,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,24/02/2020,07:42:40
1,4,,,,,07/03/2020,12:16:46
2,5,,,,,10/03/2020,16:24:12
3,7,,,,,11/03/2020,04:26:21
4,10,,,,,14/03/2020,08:46:05
5,11,,,,,14/03/2020,16:34:03
6,16,,,,,15/03/2020,06:55:44
7,16,1.0,,,,15/03/2020,09:56:00
8,21,1.0,,,,16/03/2020,06:39:21
9,22,1.0,,,,17/03/2020,08:19:33
10,24,1.0,,,,20/03/2020,08:58:28
11,34,1.0,,,,22/03/2020,12:57:16
12,34,1.0,1.0,,,22/03/2020,15:47:55
13,40,1.0,1.0,,,22/03/2020,19:57:53
14,42,1.0,1.0,,,24/03/2020,03:58:37
15,74,1.0,1.0,,,24/03/2020,15:52:26
16,74,1.0,2.0,,,25/03/2020,07:42:01
17,79,2.0,2.0,,,25/03/2020,11:10:45
18,84,2.0,2.0,,,25/03/2020,16:23:27
19,94,2.0,2.0,,,26/03/2020,17:06:09
20,94,2.0,4.0,,,26/03/2020,20:56:30
21,110,2.0,4.0,,,27/03/2020,18:43:06
22,120,2.0,4.0,,,29/03/2020,12:34:15
23,145,2.0,4.0,,,30/03/2020,15:31:51
24,170,2.0,4.0,,,30/03/2020,16:35:12
25,174,2.0,4.0,,,31/03/2020,08:15:24
26,174,5.0,4.0,,,31/03/2020,08:43:34
27,196,5.0,4.0,,,01/04/2020,05:29:49
28,239,5.0,4.0,,,01/04/2020,19:05:12
29,196,5.0,4.0,,,01/04/2020,20:10:24
30,237,5.0,4.0,,,01/04/2020,21:31:31
31,239,5.0,4.0,,,02/04/2020,07:01:49
32,239,10.0,4.0,,,02/04/2020,13:39:08
33,258,10.0,4.0,,,02/04/2020,17:29:57
34,273,10.0,6.0,,,02/04/2020,22:06:41
35,281,10.0,6.0,,,03/04/2020,17:17:02
36,299,10.0,6.0,,,04/04/2020,07:30:42
37,299,10.0,7.0,,,04/04/2020,10:10:19
38,337,10.0,7.0,,,05/04/2020,05:07:56
39,337,15.0,7.0,,,05/04/2020,06:25:24
40,349,15.0,7.0,,,05/04/2020,17:55:13
41,367,15.0,7.0,,,06/04/2020,04:30:37
42,367,17.0,7.0,,,06/04/2020,05:00:04
43,367,18.0,7.0,,,06/04/2020,17:07:03
44,367,18.0,11.0,,,06/04/2020,20:18:26
45,423,18.0,11.0,,,07/04/2020,05:59:55
46,423,18.0,14.0,,,07/04/2020,11:55:46
47,444,29.0,14.0,,,08/04/2020,17:26:19
48,484,32.0,15.0,,,09/04/2020,11:33:21
49,521,32.0,15.0,,,10/04/2020,06:17:29
50,555,32.0,18.0,,,11/04/2020,09:37:56
51,607,32.0,18.0,,,12/04/2020,07:49:01
52,665,32.0,21.0,,,13/04/2020,11:07:56
53,714,40.0,23.0,,,14/04/2020,09:00:07
54,784,43.0,25.0,,,15/04/2020,06:38:25
55,840,54.0,30.0,,,16/04/2020,11:00:05
56,906,99.0,30.0,,,17/04/2020,07:00:06
57,933,112.0,30.0,,,18/04/2020,08:32:56
58,993,131.0,32.0,,,19/04/2020,07:00:05
59,996,131.0,33.0,6422.0,,19/04/2020,16:00:05
60,1026,131.0,33.0,6422.0,,20/04/2020,10:00:05
61,1026,135.0,36.0,6422.0,,20/04/2020,16:16:01
62,1092,150.0,36.0,6422.0,,21/04/2020,10:00:06
63,1143,166.0,40.0,6422.0,,22/04/2020,09:17:40
64,1176,166.0,40.0,6422.0,,22/04/2020,13:00:07
65,1226,177.0,40.0,6422.0,,23/04/2020,10:00:05
66,1279,179.0,42.0,6422.0,,23/04/2020,17:00:34
67,1330,179.0,42.0,6422.0,,24/04/2020,12:45:23
68,1330,188.0,43.0,6422.0,,24/04/2020,13:11:07
69,1351,188.0,43.0,6422.0,,24/04/2020,19:30:20
70,1463,188.0,47.0,6422.0,,25/04/2020,08:00:00
71,1463,188.0,47.0,7425.0,,25/04/2020,17:30:05
72,1531,207.0,50.0,8090.0,,26/04/2020,11:02:22
73,1703,220.0,57.0,8694.0,,27/04/2020,09:00:44
74,1828,228.0,58.0,9000.0,,28/04/2020,02:05:53
75,1939,252.0,60.0,9000.0,,29/04/2020,14:05:37
76,2171,260.0,64.0,10022.0,,30/04/2020,08:00:50
77,2335,310.0,68.0,10593.0,,01/05/2020,10:30:42
78,2469,331.0,72.0,11068.0,,02/05/2020,09:42:14
79,2704,345.0,85.0,11068.0,,03/05/2020,10:31:18
80,2894,397.0,90.0,11068.0,,04/05/2020,12:32:43
81,3224,421.0,95.0,13076.0,,05/05/2020,09:29:02
82,3392,458.0,104.0,13777.0,,06/05/2020,07:24:11
83,3563,468.0,106.0,14389.0,,07/05/2020,11:00:33
84,3778,472.0,109.0,14389.0,,07/05/2020,20:30:27
85,3563,468.0,106.0,14389.0,,07/05/2020,21:17:20
86,3778,472.0,109.0,14389.0,,08/05/2020,14:01:24
87,4033,502.0,115.0,15560.0,,09/05/2020,09:33:10
88,4402,558.0,120.0,15560.0,,10/05/2020,12:00:05
89,4687,558.0,122.0,15560.0,,11/05/2020,09:47:35
90,4963,610.0,127.0,18098.0,,12/05/2020,15:39:30
91,5226,648.0,132.0,18724.0,,13/05/2020,11:00:35
92,5639,691.0,136.0,19732.0,,14/05/2020,09:42:42
93,6053,745.0,153.0,20854.0,38807744.0,15/05/2020,09:30:11
94,6402,745.0,168.0,21967.0,38810145.0,16/05/2020,10:56:02
95,6664,778.0,169.0,22639.0,38812546.0,17/05/2020,11:34:40
96,7072,801.0,173.0,23497.0,38814948.0,18/05/2020,09:52:57
97,7653,850.0,178.0,24697.0,38817349.0,19/05/2020,09:30:04
98,8145,930.0,187.0,25700.0,38819750.0,20/05/2020,13:20:53
99,8676,938.0,193.0,26707.0,38822151.0,21/05/2020,07:23:54
100,9216,996.0,205.0,27889.0,38824552.0,22/05/2020,10:03:53
101,9998,1040.0,216.0,29417.0,38826954.0,23/05/2020,08:30:21
102,10582,1075.0,218.0,30052.0,38829355.0,24/05/2020,08:00:08
103,11173,1097.0,219.0,31718.0,38831756.0,25/05/2020,06:54:19
104,11831,1128.0,220.0,32870.0,38834157.0,26/05/2020,06:22:07
105,12456,1138.0,227.0,33864.0,38836559.0,27/05/2020,06:03:38
106,13016,1209.0,235.0,34903.0,38838960.0,28/05/2020,05:46:23
107,13036,1209.0,235.0,34903.0,38838960.0,28/05/2020,07:37:16
108,13632,1235.0,243.0,35865.0,38841361.0,29/05/2020,05:51:38
109,13659,1259.0,246.0,35923.0,38841361.0,29/05/2020,07:29:58
110,14429,1303.0,248.0,37205.0,38843762.0,30/05/2020,06:51:11
111,14525,1303.0,249.0,37348.0,38843762.0,30/05/2020,08:10:32
112,15205,1328.0,257.0,38460.0,38846163.0,31/05/2020,06:23:23
113,15750,1428.0,265.0,39628.0,38848565.0,01/06/2020,07:38:14
114,16492,1450.0,270.0,40950.0,38850966.0,02/06/2020,06:20:15
115,16509,1450.0,270.0,40950.0,38850966.0,02/06/2020,23:57:34
116,17267,1522.0,294.0,42273.0,38853367.0,03/06/2020,07:34:42
117,17891,1541.0,299.0,42273.0,38855768.0,04/06/2020,05:45:33
118,18054,1585.0,300.0,43569.0,38855768.0,04/06/2020,11:17:55
119,18969,1762.0,309.0,45139.0,38858170.0,05/06/2020,06:57:35
120,19551,1820.0,320.0,45900.0,38860571.0,06/06/2020,06:02:36
121,19551,1830.0,327.0,45900.0,38860571.0,06/06/2020,20:40:23
122,20342,1875.0,357.0,47327.0,38862972.0,07/06/2020,06:19:05
123,20917,2171.0,369.0,48305.0,38865373.0,08/06/2020,06:30:34
