,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,09/03/2020,01:31:01
1,6,,,,,09/03/2020,23:13:58
2,10,,,,,10/03/2020,12:43:15
3,12,,1.0,,,11/03/2020,12:13:51
4,15,,1.0,,,11/03/2020,20:43:50
5,23,,1.0,,,12/03/2020,12:20:12
6,33,,1.0,,,13/03/2020,12:08:22
7,38,,1.0,,,14/03/2020,11:35:52
8,42,,1.0,,,15/03/2020,12:20:35
9,51,,1.0,,,16/03/2020,11:19:25
10,55,,1.0,,,17/03/2020,11:58:42
11,55,,2.0,,,18/03/2020,07:53:07
12,59,,2.0,,,18/03/2020,12:00:36
13,64,,2.0,,,19/03/2020,11:18:34
14,70,,2.0,,,20/03/2020,11:56:57
15,70,2.0,2.0,,,20/03/2020,21:10:29
16,76,2.0,2.0,,,21/03/2020,10:16:15
17,89,2.0,2.0,,,22/03/2020,12:18:47
18,89,2.0,4.0,,,23/03/2020,09:30:08
19,89,2.0,5.0,,,23/03/2020,10:00:55
20,89,2.0,4.0,,,23/03/2020,12:00:05
21,104,2.0,4.0,,,23/03/2020,14:18:53
22,123,10.0,5.0,,,24/03/2020,10:31:11
23,146,17.0,5.0,,,25/03/2020,10:30:18
24,146,17.0,6.0,,,26/03/2020,09:01:20
25,174,17.0,6.0,,,26/03/2020,10:30:43
26,174,17.0,7.0,,,27/03/2020,07:55:13
27,174,17.0,8.0,,,27/03/2020,09:01:15
28,186,17.0,8.0,,,27/03/2020,10:57:20
29,186,31.0,8.0,,,27/03/2020,12:08:48
30,197,31.0,8.0,,,28/03/2020,12:00:14
31,197,31.0,10.0,,,28/03/2020,12:59:29
32,197,33.0,10.0,,,29/03/2020,08:21:49
33,212,33.0,10.0,,,29/03/2020,10:28:39
34,223,44.0,11.0,,,30/03/2020,09:25:49
35,243,52.0,13.0,,,31/03/2020,09:54:18
36,243,52.0,15.0,,,31/03/2020,17:05:56
37,259,52.0,15.0,,,01/04/2020,11:05:20
38,259,67.0,15.0,,,01/04/2020,12:03:47
39,277,67.0,16.0,,,02/04/2020,10:05:12
40,277,76.0,16.0,,,02/04/2020,22:06:41
41,304,89.0,16.0,,,03/04/2020,09:54:51
42,304,89.0,17.0,,,03/04/2020,15:38:49
43,304,89.0,17.0,2031.0,,04/04/2020,03:58:25
44,332,99.0,18.0,2247.0,,04/04/2020,10:33:32
45,333,99.0,18.0,2247.0,,04/04/2020,13:14:05
46,333,99.0,19.0,2247.0,,04/04/2020,21:20:36
47,333,99.0,20.0,2247.0,,04/04/2020,22:22:17
48,361,104.0,20.0,2396.0,,05/04/2020,10:59:42
49,377,116.0,21.0,2571.0,,06/04/2020,09:28:45
50,383,131.0,21.0,2571.0,,07/04/2020,09:44:01
51,383,131.0,22.0,2753.0,,07/04/2020,10:22:55
52,400,154.0,22.0,2989.0,,08/04/2020,10:31:21
53,409,165.0,22.0,3223.0,,09/04/2020,09:20:55
54,409,165.0,23.0,3223.0,,09/04/2020,17:07:56
55,416,182.0,23.0,3385.0,,10/04/2020,10:20:54
56,433,197.0,23.0,3644.0,,11/04/2020,09:37:56
57,446,217.0,23.0,3877.0,,12/04/2020,10:00:05
58,467,232.0,23.0,4070.0,,13/04/2020,11:07:56
59,475,248.0,24.0,4070.0,,14/04/2020,09:31:13
60,475,248.0,24.0,4306.0,,14/04/2020,09:50:50
61,494,251.0,25.0,4558.0,,15/04/2020,09:36:59
62,518,277.0,26.0,4827.0,,16/04/2020,11:33:05
63,539,283.0,26.0,5080.0,,17/04/2020,09:00:05
64,548,302.0,26.0,5311.0,,18/04/2020,11:00:05
65,562,314.0,26.0,5542.0,,19/04/2020,10:00:04
66,584,327.0,26.0,5775.0,,20/04/2020,09:30:44
67,609,345.0,26.0,6017.0,,21/04/2020,10:00:06
68,634,356.0,27.0,6269.0,,22/04/2020,11:00:06
69,663,385.0,27.0,6509.0,,23/04/2020,09:30:15
70,678,394.0,27.0,6509.0,,24/04/2020,10:02:36
71,678,394.0,27.0,6768.0,,25/04/2020,02:30:27
72,712,403.0,27.0,7015.0,,25/04/2020,10:30:12
73,726,410.0,28.0,7279.0,,26/04/2020,11:25:05
74,736,422.0,28.0,7491.0,,27/04/2020,16:00:05
75,750,431.0,30.0,7758.0,,28/04/2020,02:05:53
76,766,455.0,30.0,8028.0,,29/04/2020,08:33:02
77,773,470.0,31.0,8253.0,,30/04/2020,11:07:36
78,782,488.0,31.0,8498.0,,01/05/2020,12:54:58
79,789,519.0,31.0,8669.0,,02/05/2020,10:16:44
