,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,25/02/2020,20:04:20
1,2,,,,,01/03/2020,11:53:07
2,3,,,,,02/03/2020,00:15:38
3,5,,,,,03/03/2020,01:18:59
4,8,,,,,03/03/2020,20:53:36
5,12,,,,,04/03/2020,18:21:42
6,17,,,,,04/03/2020,21:19:40
7,19,,,,,07/03/2020,11:13:05
8,20,,,,,08/03/2020,15:31:26
9,24,,1.0,,,12/03/2020,09:00:06
10,24,8.0,1.0,,,12/03/2020,11:10:56
11,24,8.0,2.0,,,12/03/2020,21:06:16
12,26,10.0,2.0,,,12/03/2020,21:33:03
13,27,10.0,2.0,,,14/03/2020,08:46:05
14,37,10.0,3.0,,,14/03/2020,11:03:36
15,39,10.0,3.0,,,15/03/2020,03:37:43
16,45,10.0,3.0,,,15/03/2020,08:45:12
17,48,10.0,4.0,,,15/03/2020,11:37:39
18,54,10.0,4.0,,,16/03/2020,02:51:16
19,60,10.0,4.0,,,16/03/2020,18:38:43
20,60,10.0,5.0,,,17/03/2020,11:50:22
21,61,10.0,5.0,,,17/03/2020,22:07:35
22,67,10.0,5.0,,,18/03/2020,07:53:07
23,72,10.0,5.0,,,18/03/2020,12:00:36
24,72,10.0,6.0,,,18/03/2020,12:26:14
25,73,10.0,7.0,,,18/03/2020,18:51:01
26,75,32.0,7.0,,,18/03/2020,19:33:32
27,82,32.0,7.0,,,19/03/2020,09:03:12
28,82,32.0,8.0,,,19/03/2020,09:31:30
29,82,32.0,9.0,,,19/03/2020,13:00:05
30,87,32.0,9.0,,,19/03/2020,15:53:36
31,90,32.0,9.0,,,19/03/2020,18:51:51
32,90,32.0,10.0,,,20/03/2020,10:00:40
33,90,32.0,11.0,,,20/03/2020,14:01:10
34,94,32.0,11.0,,,20/03/2020,21:01:10
35,95,32.0,11.0,,,21/03/2020,11:01:21
36,95,43.0,12.0,,,21/03/2020,14:00:04
