,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,02/03/2020,10:09:20
1,5,,,,,15/03/2020,17:41:57
2,14,,,,,16/03/2020,17:07:28
3,16,1.0,,,,17/03/2020,13:53:18
4,39,1.0,,,,17/03/2020,20:06:41
5,53,1.0,,,,18/03/2020,20:27:42
6,74,1.0,,,,19/03/2020,20:20:19
7,75,1.0,,,,20/03/2020,10:45:01
8,87,1.0,,,,21/03/2020,11:30:10
9,88,1.0,,,,21/03/2020,12:01:55
10,88,1.0,1.0,,,22/03/2020,11:50:21
11,113,1.0,1.0,,,22/03/2020,14:31:27
12,133,1.0,1.0,,,23/03/2020,13:33:23
13,164,1.0,1.0,,,24/03/2020,11:49:19
14,188,1.0,1.0,,,25/03/2020,12:53:42
15,224,1.0,3.0,,,26/03/2020,13:04:13
16,267,1.0,3.0,,,27/03/2020,12:26:46
17,308,1.0,3.0,,,28/03/2020,15:29:50
18,308,1.0,4.0,,,29/03/2020,11:32:09
19,334,1.0,6.0,,,29/03/2020,14:36:41
20,334,6.0,6.0,,,30/03/2020,06:50:58
21,370,10.0,8.0,,,30/03/2020,22:10:45
22,376,10.0,12.0,,,31/03/2020,20:39:01
23,390,10.0,14.0,,,01/04/2020,13:54:15
24,428,10.0,15.0,,,02/04/2020,11:59:39
25,439,16.0,16.0,,,03/04/2020,12:31:44
26,466,21.0,17.0,,,04/04/2020,13:14:05
27,501,26.0,18.0,,,05/04/2020,11:59:51
28,525,31.0,21.0,,,06/04/2020,20:18:26
29,545,39.0,22.0,1673.0,,07/04/2020,19:54:24
30,564,52.0,23.0,1673.0,,08/04/2020,14:15:38
31,583,58.0,25.0,1673.0,,09/04/2020,14:32:13
32,601,71.0,26.0,1673.0,,10/04/2020,13:07:56
33,622,71.0,28.0,1673.0,,12/04/2020,11:56:40
34,638,128.0,29.0,1673.0,,12/04/2020,14:00:04
35,646,128.0,29.0,1673.0,,13/04/2020,11:07:56
36,659,128.0,31.0,1673.0,,14/04/2020,20:36:58
37,673,169.0,33.0,1673.0,,15/04/2020,14:07:56
38,682,169.0,33.0,1673.0,,16/04/2020,23:37:57
39,696,191.0,35.0,1673.0,,17/04/2020,12:57:46
40,704,205.0,35.0,1673.0,,18/04/2020,15:25:35
41,713,235.0,36.0,1673.0,,19/04/2020,16:00:05
42,717,248.0,36.0,1673.0,,20/04/2020,19:09:01
43,717,248.0,37.0,1673.0,,20/04/2020,20:17:16
44,717,248.0,36.0,1673.0,,21/04/2020,00:00:05
45,717,248.0,37.0,1673.0,,21/04/2020,00:07:03
46,717,282.0,37.0,1673.0,,21/04/2020,17:55:03
47,723,309.0,37.0,1673.0,,22/04/2020,17:00:04
48,723,333.0,37.0,1673.0,,23/04/2020,17:00:34
49,731,333.0,40.0,1673.0,,24/04/2020,19:30:20
50,731,344.0,40.0,1673.0,,25/04/2020,02:30:27
51,738,344.0,40.0,1673.0,,25/04/2020,23:20:59
52,743,385.0,40.0,1673.0,,28/04/2020,02:05:53
53,743,398.0,41.0,1673.0,,29/04/2020,00:04:29
54,743,423.0,42.0,1673.0,,29/04/2020,19:12:58
55,745,468.0,42.0,1673.0,,30/04/2020,17:30:48
56,745,468.0,43.0,1673.0,,01/05/2020,20:30:20
57,747,472.0,44.0,1673.0,,02/05/2020,19:02:50
58,748,493.0,45.0,1673.0,,03/05/2020,23:29:01
59,750,499.0,45.0,1673.0,,04/05/2020,17:30:05
60,751,514.0,46.0,1673.0,,05/05/2020,17:53:59
61,751,521.0,46.0,1673.0,,06/05/2020,18:02:46
62,752,526.0,47.0,1673.0,,07/05/2020,20:30:27
63,752,537.0,47.0,1673.0,,08/05/2020,21:30:08
64,754,545.0,48.0,1673.0,,09/05/2020,17:03:04
65,755,550.0,48.0,1673.0,,10/05/2020,20:01:45
66,758,568.0,48.0,1673.0,,12/05/2020,20:30:16
67,760,576.0,49.0,1673.0,,13/05/2020,15:36:55
68,761,596.0,49.0,1673.0,,14/05/2020,22:15:16
69,761,604.0,49.0,1673.0,77250.0,16/05/2020,00:03:01
70,761,604.0,49.0,3750.0,77250.0,16/05/2020,10:56:02
71,761,615.0,51.0,3750.0,77250.0,16/05/2020,17:10:23
72,761,617.0,51.0,3750.0,77250.0,18/05/2020,00:00:39
73,761,624.0,51.0,3750.0,77250.0,18/05/2020,20:33:27
74,761,628.0,51.0,3750.0,77251.0,19/05/2020,13:30:35
75,762,639.0,51.0,3750.0,77251.0,20/05/2020,22:30:36
76,762,652.0,51.0,3750.0,77252.0,22/05/2020,17:47:37
77,762,653.0,51.0,3750.0,77252.0,23/05/2020,16:30:04
78,763,663.0,51.0,3750.0,77253.0,25/05/2020,14:16:54
79,763,676.0,51.0,3750.0,77253.0,26/05/2020,23:27:34
80,763,681.0,51.0,3750.0,77254.0,28/05/2020,17:21:32
81,764,684.0,51.0,3750.0,77254.0,29/05/2020,14:54:48
82,764,692.0,51.0,3750.0,77254.0,30/05/2020,16:12:58
83,764,694.0,51.0,3750.0,77255.0,31/05/2020,23:12:51
84,765,698.0,51.0,3750.0,77255.0,01/06/2020,22:08:19
85,767,701.0,51.0,3750.0,77255.0,02/06/2020,14:11:49
86,844,733.0,51.0,3750.0,77255.0,02/06/2020,16:54:05
87,851,735.0,51.0,3750.0,77256.0,03/06/2020,14:28:13
88,852,738.0,51.0,3750.0,77256.0,04/06/2020,14:42:03
89,852,741.0,51.0,3750.0,77256.0,05/06/2020,15:27:41
90,852,744.0,51.0,3750.0,77257.0,07/06/2020,17:10:51
91,852,751.0,51.0,3750.0,77257.0,08/06/2020,16:43:34
92,852,757.0,51.0,3750.0,77258.0,10/06/2020,00:01:13
93,852,759.0,51.0,3750.0,77258.0,10/06/2020,16:27:21
94,852,780.0,51.0,3750.0,77259.0,11/06/2020,16:46:37
95,853,781.0,51.0,3750.0,77259.0,12/06/2020,15:32:37
96,853,789.0,51.0,3750.0,77260.0,15/06/2020,14:30:05
97,854,789.0,52.0,3750.0,77260.0,16/06/2020,14:57:07
98,854,791.0,52.0,3750.0,77261.0,17/06/2020,14:58:44
99,855,792.0,52.0,3750.0,77261.0,18/06/2020,15:27:59
100,855,796.0,52.0,3750.0,77262.0,22/06/2020,15:01:10
101,855,797.0,52.0,3750.0,77263.0,24/06/2020,00:00:17
102,855,799.0,52.0,3750.0,77264.0,26/06/2020,23:30:42
103,855,800.0,52.0,3750.0,77266.0,02/07/2020,23:30:05
104,855,802.0,52.0,3750.0,77268.0,08/07/2020,23:38:56
105,855,803.0,52.0,3750.0,77268.0,10/07/2020,13:30:04
106,858,803.0,52.0,3750.0,77269.0,13/07/2020,23:38:01
107,861,803.0,52.0,3750.0,77270.0,14/07/2020,19:02:33
108,862,803.0,52.0,3750.0,77270.0,16/07/2020,03:29:57
109,877,803.0,52.0,3750.0,77270.0,16/07/2020,23:59:27
110,880,803.0,52.0,3750.0,77271.0,17/07/2020,13:31:58
111,884,803.0,52.0,3750.0,77272.0,20/07/2020,16:33:53
112,889,803.0,52.0,3750.0,77272.0,22/07/2020,17:16:09
113,897,803.0,52.0,3750.0,77273.0,24/07/2020,15:47:08
114,907,803.0,52.0,3750.0,77274.0,27/07/2020,14:08:57
115,918,804.0,52.0,3750.0,77275.0,29/07/2020,16:45:00
116,922,806.0,52.0,3750.0,77275.0,30/07/2020,15:01:54
117,925,807.0,52.0,3750.0,77275.0,31/07/2020,11:44:07
118,937,821.0,52.0,3750.0,77276.0,03/08/2020,13:05:35
119,939,825.0,52.0,3750.0,77277.0,04/08/2020,16:51:51
120,944,828.0,52.0,3750.0,77277.0,06/08/2020,14:05:49
121,955,839.0,52.0,3750.0,77278.0,07/08/2020,15:27:26
122,963,839.0,52.0,3750.0,77279.0,10/08/2020,14:41:21
123,963,855.0,52.0,3750.0,77279.0,12/08/2020,16:55:33
124,977,855.0,53.0,3750.0,77279.0,12/08/2020,18:28:13
125,981,858.0,53.0,3750.0,77280.0,13/08/2020,17:29:08
126,989,863.0,53.0,3750.0,77280.0,14/08/2020,17:47:50
127,1005,869.0,53.0,3750.0,77281.0,17/08/2020,16:15:34
128,1024,875.0,53.0,3750.0,77282.0,19/08/2020,16:12:39
129,1024,875.0,53.0,137457.0,77282.0,20/08/2020,16:06:02
130,1045,875.0,53.0,137457.0,77282.0,21/08/2020,19:22:38
131,1060,877.0,53.0,137457.0,77283.0,24/08/2020,20:14:35
132,1098,893.0,53.0,137457.0,77284.0,26/08/2020,15:17:04
133,1124,902.0,53.0,137457.0,77285.0,28/08/2020,20:43:07
134,1176,908.0,53.0,137457.0,77286.0,31/08/2020,20:18:50
135,1184,908.0,53.0,137457.0,77286.0,01/09/2020,22:04:51
136,1199,909.0,53.0,137457.0,77286.0,02/09/2020,19:00:00
137,1215,928.0,53.0,137457.0,77287.0,04/09/2020,16:48:52
138,1261,934.0,53.0,137457.0,77288.0,07/09/2020,18:09:42
139,1301,938.0,53.0,137457.0,77289.0,09/09/2020,21:10:37
140,1344,943.0,53.0,137457.0,77289.0,11/09/2020,16:13:46
141,1438,945.0,53.0,137457.0,77290.0,14/09/2020,18:12:57
142,1483,1054.0,53.0,137457.0,77291.0,16/09/2020,20:36:38
143,1564,1164.0,53.0,137457.0,77292.0,18/09/2020,20:19:02
144,1681,1199.0,53.0,137457.0,77293.0,21/09/2020,17:25:59
145,1753,1203.0,53.0,137457.0,77294.0,23/09/2020,19:45:47
146,1836,1263.0,53.0,137457.0,77294.0,25/09/2020,12:39:09
147,1966,1265.0,53.0,137457.0,77295.0,28/09/2020,14:12:24
148,2050,1432.0,53.0,137457.0,77296.0,30/09/2020,17:40:28
149,2110,1540.0,53.0,137457.0,77297.0,02/10/2020,19:06:00
150,2370,1615.0,53.0,137457.0,77298.0,05/10/2020,16:18:12
151,2568,1715.0,53.0,137457.0,77298.0,07/10/2020,18:00:17
152,2568,1715.0,54.0,137457.0,77299.0,08/10/2020,16:34:56
153,2696,1814.0,55.0,137457.0,77299.0,09/10/2020,16:16:52
154,2995,1928.0,57.0,137457.0,77300.0,12/10/2020,23:56:06
155,3190,2011.0,59.0,137457.0,77301.0,14/10/2020,17:55:57
156,3623,2273.0,62.0,137457.0,77302.0,17/10/2020,18:13:13
157,3811,2470.0,63.0,137457.0,77303.0,21/10/2020,18:24:38
158,4038,2729.0,69.0,137457.0,77304.0,23/10/2020,16:56:23
159,4325,2957.0,72.0,137457.0,77305.0,26/10/2020,18:10:49
160,4410,3029.0,72.0,137457.0,77305.0,27/10/2020,19:49:23
161,4517,3144.0,72.0,137457.0,77305.0,28/10/2020,16:35:31
162,4517,3144.0,72.0,146308.0,77306.0,29/10/2020,12:21:14
163,4567,3260.0,73.0,146308.0,77306.0,29/10/2020,16:49:51
164,4665,3377.0,75.0,146308.0,77306.0,30/10/2020,18:08:18
