,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,20/03/2020,08:58:28
1,2,,,,,21/03/2020,09:00:11
2,3,,,,,23/03/2020,19:28:30
3,4,,,,,26/03/2020,20:56:30
4,5,,,,,28/03/2020,21:16:45
5,7,,2.0,,,29/03/2020,17:51:10
6,7,1.0,2.0,,,30/03/2020,23:04:02
7,8,1.0,2.0,,,01/04/2020,21:57:06
8,10,2.0,2.0,,,04/04/2020,19:22:20
9,14,2.0,2.0,,,05/04/2020,23:00:04
10,16,2.0,2.0,,,06/04/2020,18:34:19
11,17,2.0,2.0,,,07/04/2020,19:17:34
12,19,2.0,2.0,,,08/04/2020,20:43:09
13,19,4.0,2.0,,,11/04/2020,21:00:05
14,19,5.0,2.0,,,14/04/2020,19:00:05
15,24,6.0,2.0,,,18/04/2020,17:59:20
16,25,6.0,2.0,,,22/04/2020,18:49:49
17,26,6.0,2.0,,,26/04/2020,19:02:28
18,27,6.0,2.0,,,28/04/2020,02:05:53
19,27,7.0,2.0,,,29/04/2020,18:21:08
20,30,11.0,2.0,481.0,,01/05/2020,19:00:04
21,35,11.0,2.0,481.0,,02/05/2020,19:02:50
22,35,11.0,2.0,3000.0,,04/05/2020,15:33:07
23,36,11.0,2.0,3000.0,,05/05/2020,17:53:59
24,43,11.0,2.0,3000.0,,08/05/2020,21:30:08
25,43,13.0,2.0,3000.0,,09/05/2020,18:30:05
26,45,13.0,2.0,3000.0,,11/05/2020,01:00:17
27,45,14.0,2.0,3000.0,,13/05/2020,17:26:38
28,48,14.0,2.0,6136.0,,14/05/2020,22:15:16
29,48,17.0,2.0,6136.0,32720557.0,15/05/2020,18:55:43
30,50,17.0,3.0,6136.0,32728977.0,18/05/2020,20:18:41
31,52,17.0,3.0,6136.0,32734590.0,20/05/2020,00:09:48
32,58,17.0,3.0,6136.0,32737396.0,21/05/2020,07:23:54
33,60,17.0,3.0,6136.0,32740203.0,22/05/2020,13:31:02
34,61,18.0,4.0,10000.0,32743009.0,23/05/2020,23:09:38
35,69,18.0,4.0,10000.0,32745816.0,24/05/2020,17:32:01
36,70,18.0,4.0,10000.0,32751429.0,26/05/2020,00:02:46
37,71,18.0,4.0,10000.0,32754235.0,27/05/2020,10:13:43
38,74,18.0,4.0,10000.0,32757041.0,28/05/2020,20:40:25
39,81,18.0,4.0,10000.0,32759848.0,29/05/2020,21:14:18
40,84,18.0,4.0,10000.0,32762654.0,30/05/2020,19:33:06
41,86,18.0,4.0,10000.0,32765461.0,31/05/2020,23:46:49
42,86,21.0,4.0,10000.0,32779493.0,05/06/2020,19:01:20
43,88,24.0,4.0,10000.0,32782300.0,06/06/2020,19:27:50
44,91,24.0,4.0,10000.0,32785106.0,07/06/2020,20:21:45
45,92,38.0,4.0,10000.0,32787913.0,08/06/2020,19:49:36
46,96,38.0,4.0,10000.0,32790719.0,09/06/2020,18:52:13
47,113,38.0,4.0,10000.0,32793526.0,10/06/2020,18:54:14
48,113,40.0,4.0,10000.0,32793526.0,10/06/2020,20:02:35
49,118,41.0,5.0,10000.0,32796332.0,11/06/2020,19:31:52
50,130,42.0,5.0,10000.0,32799138.0,12/06/2020,19:30:51
51,138,61.0,6.0,10000.0,32801945.0,13/06/2020,19:32:47
52,140,61.0,6.0,10000.0,32804751.0,14/06/2020,21:30:59
53,142,64.0,6.0,10000.0,32807558.0,15/06/2020,19:03:30
54,148,64.0,6.0,10000.0,32810364.0,16/06/2020,19:03:31
55,155,64.0,6.0,10000.0,32813171.0,17/06/2020,19:30:24
56,155,64.0,7.0,10000.0,32813171.0,17/06/2020,23:01:33
57,166,64.0,8.0,10000.0,32815977.0,18/06/2020,19:00:54
58,172,66.0,8.0,10000.0,32818784.0,19/06/2020,20:00:05
59,176,66.0,9.0,10000.0,32821590.0,20/06/2020,19:32:46
60,183,77.0,9.0,10000.0,32824397.0,21/06/2020,19:03:32
61,186,77.0,10.0,10000.0,32827203.0,22/06/2020,18:46:14
62,189,77.0,10.0,10000.0,32830010.0,23/06/2020,19:03:00
63,197,77.0,10.0,10000.0,32832816.0,24/06/2020,20:32:41
64,212,81.0,10.0,10000.0,32835622.0,25/06/2020,18:59:04
65,244,81.0,10.0,10000.0,32841235.0,27/06/2020,18:02:25
66,259,81.0,10.0,10000.0,32841235.0,27/06/2020,21:30:24
67,267,81.0,11.0,10000.0,32844042.0,28/06/2020,20:00:08
68,267,93.0,11.0,10000.0,32846848.0,29/06/2020,12:03:00
69,276,93.0,11.0,10000.0,32846848.0,29/06/2020,19:01:41
70,284,93.0,13.0,10000.0,32849655.0,30/06/2020,19:03:31
71,291,97.0,15.0,10000.0,32852461.0,01/07/2020,20:31:00
72,315,97.0,17.0,10000.0,32855268.0,02/07/2020,21:00:27
73,328,107.0,18.0,10000.0,32858074.0,03/07/2020,18:45:20
74,346,108.0,19.0,10000.0,32860881.0,04/07/2020,23:00:19
75,386,117.0,21.0,10000.0,32869300.0,07/07/2020,19:31:43
76,396,117.0,22.0,10000.0,32874913.0,09/07/2020,10:43:53
77,458,117.0,23.0,10000.0,32877719.0,10/07/2020,17:30:24
78,462,118.0,23.0,10000.0,32880526.0,11/07/2020,11:10:56
79,483,118.0,25.0,10000.0,32883332.0,12/07/2020,12:43:57
80,506,118.0,26.0,10000.0,32886139.0,13/07/2020,04:16:32
81,525,118.0,26.0,10000.0,32886139.0,13/07/2020,22:33:55
82,541,118.0,26.0,10000.0,32888945.0,14/07/2020,20:54:38
83,576,124.0,27.0,10000.0,32891752.0,15/07/2020,18:51:54
84,607,124.0,28.0,10000.0,32894558.0,16/07/2020,21:34:59
85,638,199.0,29.0,10000.0,32897365.0,17/07/2020,19:00:45
86,687,210.0,29.0,10000.0,32900171.0,18/07/2020,19:03:20
87,705,221.0,29.0,10000.0,32902978.0,19/07/2020,20:32:09
88,749,221.0,29.0,10000.0,32905784.0,20/07/2020,19:51:00
89,779,221.0,30.0,10000.0,32908591.0,21/07/2020,20:02:54
90,812,221.0,33.0,10000.0,32911397.0,22/07/2020,18:49:59
91,851,236.0,33.0,10000.0,32914204.0,23/07/2020,19:00:46
92,880,241.0,35.0,10000.0,32917010.0,24/07/2020,18:20:56
93,916,242.0,39.0,10000.0,32919816.0,25/07/2020,20:03:22
94,932,242.0,40.0,10000.0,32922623.0,26/07/2020,20:08:14
