,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,26/03/2020,23:05:03
1,3,,,,,02/04/2020,16:02:09
2,3,1.0,,,,13/04/2020,11:07:56
3,3,3.0,,,,27/04/2020,09:00:44
4,3,3.0,,30.0,14989.0,23/05/2020,22:01:48
5,3,3.0,,30.0,14990.0,27/05/2020,16:10:09
6,3,3.0,0.0,30.0,14991.0,29/05/2020,00:22:14
7,3,3.0,0.0,41.0,14991.0,29/05/2020,07:29:58
8,3,3.0,0.0,93.0,14997.0,14/06/2020,09:35:48
9,3,3.0,0.0,180.0,15001.0,25/06/2020,10:31:55
10,3,3.0,0.0,272.0,15002.0,30/06/2020,09:40:57
11,3,3.0,0.0,305.0,15005.0,06/07/2020,09:20:18
12,3,3.0,0.0,380.0,15007.0,12/07/2020,08:56:18
13,3,3.0,0.0,537.0,15015.0,03/08/2020,11:37:57
14,3,3.0,0.0,662.0,15020.0,16/08/2020,21:01:16
15,3,3.0,0.0,808.0,15025.0,30/08/2020,10:04:52
16,3,3.0,0.0,928.0,15028.0,09/09/2020,09:44:57
17,3,3.0,0.0,1020.0,15032.0,18/09/2020,22:19:47
18,3,3.0,0.0,1329.0,15039.0,09/10/2020,23:30:31
19,3,3.0,0.0,1820.0,15049.0,04/11/2020,00:00:19
