,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,16:18:45
1,3,,,,,23/03/2020,19:28:30
2,7,,,,,26/03/2020,22:31:26
3,9,,,,,02/04/2020,22:06:41
4,15,,,,,03/04/2020,22:27:02
5,15,,,9.0,,04/04/2020,03:58:25
6,15,,,40.0,,04/04/2020,10:10:19
7,19,,1.0,40.0,,07/04/2020,21:53:34
8,19,,2.0,40.0,,08/04/2020,07:18:50
9,21,,2.0,40.0,,11/04/2020,00:00:13
10,23,,2.0,40.0,,13/04/2020,11:07:56
11,23,3.0,2.0,73.0,,13/04/2020,23:00:06
12,23,3.0,3.0,73.0,,16/04/2020,03:00:02
13,23,7.0,3.0,108.0,,21/04/2020,12:00:08
14,24,7.0,3.0,108.0,,22/04/2020,03:51:39
15,24,10.0,3.0,108.0,,22/04/2020,18:49:49
16,24,11.0,3.0,113.0,,25/04/2020,02:30:27
17,25,15.0,3.0,151.0,,01/05/2020,23:24:25
18,25,16.0,3.0,153.0,,05/05/2020,14:11:06
19,25,19.0,3.0,183.0,,09/05/2020,11:31:49
20,26,19.0,3.0,183.0,97859.0,31/05/2020,20:03:34
21,26,19.0,3.0,246.0,97864.0,02/06/2020,13:18:33
22,26,20.0,3.0,246.0,97866.0,03/06/2020,01:49:48
23,26,20.0,3.0,489.0,97884.0,11/06/2020,18:07:54
24,26,22.0,3.0,489.0,97895.0,16/06/2020,10:35:55
25,26,22.0,3.0,680.0,97910.0,23/06/2020,09:33:31
26,65,22.0,3.0,680.0,97912.0,24/06/2020,18:33:38
27,69,22.0,3.0,680.0,97921.0,28/06/2020,20:30:04
28,69,23.0,3.0,796.0,97930.0,02/07/2020,13:21:22
29,68,23.0,3.0,796.0,97934.0,04/07/2020,00:30:51
30,70,23.0,3.0,796.0,97939.0,06/07/2020,22:15:09
31,73,57.0,3.0,854.0,97946.0,09/07/2020,03:30:05
32,74,57.0,3.0,860.0,97948.0,10/07/2020,23:00:43
33,74,57.0,3.0,866.0,97957.0,14/07/2020,00:00:33
34,74,57.0,3.0,901.0,97961.0,16/07/2020,05:32:00
35,76,57.0,3.0,930.0,97963.0,17/07/2020,23:59:20
36,76,58.0,3.0,1142.0,97977.0,23/07/2020,02:33:18
37,82,60.0,3.0,1189.0,97979.0,24/07/2020,22:53:14
38,86,65.0,3.0,1237.0,97988.0,28/07/2020,00:02:13
39,86,65.0,3.0,1330.0,97990.0,29/07/2020,17:06:35
40,91,67.0,3.0,1345.0,97990.0,29/07/2020,23:24:56
41,91,67.0,3.0,1387.0,97996.0,01/08/2020,00:10:49
42,92,75.0,3.0,1477.0,98003.0,04/08/2020,02:40:32
43,92,75.0,3.0,1500.0,98005.0,05/08/2020,05:48:56
44,92,76.0,3.0,1500.0,98008.0,06/08/2020,00:28:30
45,92,76.0,3.0,1734.0,98023.0,13/08/2020,00:49:39
46,93,83.0,3.0,1780.0,98025.0,14/08/2020,04:52:24
47,93,88.0,3.0,1602.0,98032.0,17/08/2020,02:22:20
48,93,88.0,3.0,1638.0,98036.0,19/08/2020,00:39:32
49,94,88.0,3.0,1647.0,98036.0,19/08/2020,18:36:45
50,94,89.0,3.0,1738.0,98041.0,21/08/2020,00:40:04
51,94,89.0,3.0,1775.0,98043.0,22/08/2020,00:42:30
52,94,89.0,3.0,1875.0,98054.0,27/08/2020,01:48:09
53,94,91.0,3.0,1875.0,98061.0,30/08/2020,15:26:58
54,94,91.0,3.0,1900.0,98061.0,30/08/2020,23:59:39
55,94,91.0,3.0,1946.0,98065.0,01/09/2020,20:39:02
56,95,91.0,3.0,1991.0,98069.0,03/09/2020,12:28:30
57,95,91.0,3.0,2066.0,98074.0,05/09/2020,02:09:17
58,95,91.0,3.0,2097.0,98083.0,09/09/2020,00:59:48
59,95,91.0,3.0,2122.0,98085.0,10/09/2020,03:40:06
60,95,91.0,3.0,2243.0,98092.0,13/09/2020,00:40:53
61,95,91.0,3.0,2282.0,98098.0,16/09/2020,02:23:26
62,95,92.0,3.0,2332.0,98103.0,18/09/2020,04:51:18
63,96,92.0,3.0,2386.0,98107.0,20/09/2020,01:10:42
64,96,92.0,3.0,2459.0,98114.0,23/09/2020,00:39:37
65,97,92.0,3.0,2490.0,98114.0,23/09/2020,23:59:37
66,97,92.0,3.0,2503.0,98118.0,25/09/2020,00:40:12
67,98,92.0,3.0,2513.0,98118.0,25/09/2020,16:20:43
68,98,92.0,3.0,2701.0,98123.0,27/09/2020,08:33:38
69,101,92.0,3.0,2701.0,98123.0,27/09/2020,16:10:33
70,101,92.0,3.0,2710.0,98129.0,30/09/2020,01:04:57
71,101,92.0,3.0,2790.0,98134.0,02/10/2020,01:10:03
72,106,94.0,3.0,2813.0,98134.0,02/10/2020,06:46:59
73,107,96.0,3.0,2878.0,98138.0,04/10/2020,01:16:59
74,107,96.0,3.0,2958.0,98142.0,06/10/2020,01:11:18
75,108,97.0,3.0,2979.0,98145.0,07/10/2020,04:56:12
76,111,97.0,3.0,3035.0,98149.0,09/10/2020,04:32:23
77,112,100.0,3.0,3130.0,98160.0,14/10/2020,17:09:12
78,119,101.0,3.0,3204.0,98171.0,17/10/2020,18:13:13
79,119,101.0,3.0,3242.0,98176.0,21/10/2020,11:10:24
80,122,101.0,3.0,3260.0,98176.0,21/10/2020,12:59:16
81,122,107.0,3.0,3366.0,98180.0,23/10/2020,02:06:40
82,124,108.0,3.0,3450.0,98185.0,25/10/2020,01:28:29
