,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,03/03/2020,18:14:41
1,2,,,,,06/03/2020,00:10:34
2,3,,,,,06/03/2020,21:05:43
3,8,,,,,06/03/2020,21:32:26
4,9,,1.0,,,07/03/2020,22:56:10
5,12,,1.0,,,08/03/2020,20:26:10
6,17,,1.0,,,09/03/2020,22:38:48
7,19,,1.0,,,10/03/2020,23:24:00
8,21,,1.0,,,12/03/2020,03:34:39
9,30,,1.0,,,12/03/2020,20:36:11
10,31,,1.0,,,13/03/2020,04:28:36
11,31,,2.0,,,13/03/2020,18:38:21
12,34,,2.0,,,14/03/2020,01:11:47
13,45,,2.0,,,14/03/2020,23:07:41
14,46,,2.0,,,15/03/2020,23:06:31
15,56,,2.0,,,16/03/2020,02:51:16
16,56,3.0,2.0,,,16/03/2020,03:04:14
17,65,3.0,2.0,,,17/03/2020,00:29:22
18,68,3.0,2.0,,,17/03/2020,12:17:24
19,79,3.0,2.0,,,17/03/2020,23:28:02
20,97,3.0,2.0,,,18/03/2020,23:14:37
21,97,3.0,3.0,,,19/03/2020,04:10:18
22,111,3.0,3.0,,,19/03/2020,23:00:51
23,128,3.0,3.0,,,20/03/2020,00:00:33
24,158,3.0,3.0,,,20/03/2020,23:25:10
25,158,3.0,4.0,,,21/03/2020,14:42:22
26,225,3.0,4.0,,,22/03/2020,03:33:21
27,225,27.0,4.0,,,22/03/2020,04:00:35
28,266,27.0,4.0,,,23/03/2020,00:00:05
29,301,51.0,4.0,,,23/03/2020,23:42:57
30,301,51.0,5.0,,,24/03/2020,15:52:26
31,301,51.0,6.0,,,24/03/2020,17:54:54
32,301,52.0,6.0,,,24/03/2020,19:01:12
33,387,52.0,6.0,,,24/03/2020,23:41:55
34,387,52.0,7.0,,,25/03/2020,13:29:16
35,387,52.0,8.0,,,25/03/2020,14:54:58
36,502,52.0,8.0,,,26/03/2020,00:01:26
37,502,63.0,8.0,,,26/03/2020,19:01:40
38,502,63.0,9.0,,,26/03/2020,22:31:26
39,589,63.0,12.0,,,27/03/2020,00:30:39
40,589,72.0,12.0,,,27/03/2020,01:30:05
41,589,72.0,13.0,,,27/03/2020,13:35:12
42,690,72.0,17.0,,,28/03/2020,02:01:33
