,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,01/03/2020,11:21:36
1,4,,,,,12/03/2020,12:20:12
2,6,,,,,12/03/2020,18:48:21
3,8,,,,,13/03/2020,13:16:57
4,13,,,,,14/03/2020,08:46:05
5,15,,,,,14/03/2020,09:39:40
6,18,,,,,14/03/2020,18:53:39
7,20,,,,,15/03/2020,02:39:45
8,23,,,,,15/03/2020,11:37:39
9,26,,,,,15/03/2020,16:35:27
10,28,,,,,16/03/2020,02:51:16
11,30,1.0,,,,16/03/2020,10:06:33
12,45,1.0,,,,16/03/2020,19:49:35
13,52,1.0,,,,16/03/2020,23:00:18
14,64,1.0,,,,17/03/2020,10:22:34
15,72,1.0,,,,17/03/2020,14:34:29
16,78,1.0,,,,17/03/2020,18:17:09
17,84,1.0,,,,18/03/2020,07:53:07
18,102,1.0,,,,18/03/2020,15:30:25
19,110,1.0,,,,18/03/2020,19:33:32
20,115,1.0,,,,19/03/2020,06:53:38
21,122,1.0,,,,19/03/2020,10:07:58
22,136,1.0,,,,20/03/2020,08:58:28
23,160,1.0,,,,21/03/2020,06:54:35
24,190,2.0,,,,22/03/2020,06:30:16
25,194,2.0,,,,22/03/2020,17:55:33
26,235,2.0,,,,23/03/2020,20:48:48
27,249,4.0,,,,24/03/2020,16:30:53
28,249,14.0,,,,24/03/2020,22:52:32
29,265,16.0,,,,25/03/2020,06:32:21
30,290,18.0,,,,26/03/2020,07:32:54
31,290,18.0,1.0,,,26/03/2020,14:43:41
32,329,18.0,1.0,,,27/03/2020,06:31:51
33,329,28.0,1.0,,,27/03/2020,12:08:48
34,372,28.0,1.0,,,28/03/2020,08:00:04
35,407,30.0,1.0,,,28/03/2020,18:25:32
36,407,30.0,3.0,,,29/03/2020,06:15:27
37,424,30.0,3.0,,,29/03/2020,07:14:58
38,482,30.0,3.0,,,30/03/2020,09:00:41
39,532,30.0,3.0,,,31/03/2020,09:54:18
40,571,31.0,3.0,,,01/04/2020,08:19:46
41,571,31.0,4.0,,,01/04/2020,16:51:46
42,663,33.0,4.0,,,02/04/2020,07:18:21
