,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,13/03/2020,23:40:37
1,3,,,,,17/03/2020,09:42:54
2,4,,,,,18/03/2020,06:52:16
3,5,1.0,,,,19/03/2020,15:53:36
4,8,1.0,,,,22/03/2020,05:00:15
5,9,1.0,,,,23/03/2020,00:00:05
6,12,1.0,,,,24/03/2020,04:12:14
7,17,1.0,,,,24/03/2020,23:56:14
8,19,1.0,,,,26/03/2020,00:01:26
9,28,1.0,,,,26/03/2020,23:15:30
10,33,1.0,,,,27/03/2020,22:56:47
11,40,1.0,,,,28/03/2020,17:21:23
12,46,1.0,,,,28/03/2020,18:25:32
13,50,1.0,,,,29/03/2020,18:57:07
14,55,1.0,,,,31/03/2020,17:47:56
15,60,1.0,,,,02/04/2020,16:37:29
16,62,1.0,,,,03/04/2020,16:52:08
17,62,1.0,,836.0,,04/04/2020,03:58:25
18,64,1.0,,836.0,,04/04/2020,17:03:36
19,64,1.0,,863.0,,04/04/2020,18:01:10
20,64,1.0,,869.0,,05/04/2020,23:22:56
21,71,2.0,,910.0,,06/04/2020,18:07:55
22,74,14.0,,954.0,,07/04/2020,17:56:29
23,77,14.0,,990.0,,08/04/2020,18:36:45
24,82,20.0,,1008.0,,09/04/2020,17:02:22
25,86,27.0,,1058.0,,10/04/2020,17:28:43
26,92,29.0,,1118.0,,11/04/2020,17:15:32
27,92,32.0,,1145.0,,12/04/2020,20:00:05
28,92,32.0,,1154.0,,14/04/2020,17:32:17
29,92,32.0,1.0,1154.0,,15/04/2020,15:05:22
30,93,39.0,1.0,1198.0,,15/04/2020,18:24:56
31,95,39.0,2.0,1237.0,,16/04/2020,23:37:57
32,96,43.0,2.0,1298.0,,17/04/2020,17:51:55
33,96,44.0,2.0,1358.0,,18/04/2020,17:59:20
34,97,49.0,2.0,1442.0,,19/04/2020,16:00:05
35,97,51.0,2.0,1445.0,,21/04/2020,07:00:08
36,100,68.0,2.0,1504.0,,22/04/2020,17:00:04
37,100,68.0,2.0,1535.0,,23/04/2020,17:00:34
38,100,69.0,2.0,1577.0,,25/04/2020,00:01:13
39,100,73.0,2.0,1622.0,,26/04/2020,19:02:28
40,100,73.0,2.0,1626.0,,28/04/2020,02:05:53
41,100,73.0,2.0,1649.0,,28/04/2020,18:17:10
42,100,79.0,2.0,1691.0,,30/04/2020,17:47:54
43,100,81.0,2.0,1721.0,,01/05/2020,17:51:39
44,100,81.0,2.0,1731.0,,02/05/2020,19:02:50
45,100,81.0,2.0,1756.0,,04/05/2020,04:01:21
46,100,81.0,2.0,1758.0,,04/05/2020,17:47:15
47,101,82.0,2.0,1780.0,,05/05/2020,17:53:59
