,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,7,,0.0,,,29/01/2020,19:56:57
1,8,,0.0,,,30/01/2020,10:38:35
2,9,,0.0,,,30/01/2020,15:00:28
3,12,,0.0,,,01/02/2020,15:54:49
4,12,,,,,02/02/2020,16:27:45
5,12,2.0,,,,03/02/2020,07:08:53
6,13,3.0,,,,04/02/2020,23:07:01
7,14,3.0,,,,05/02/2020,13:01:02
8,15,3.0,,,,06/02/2020,23:02:52
9,15,5.0,,,,07/02/2020,10:14:50
10,15,8.0,,,,13/02/2020,17:47:19
11,15,10.0,,,,14/02/2020,09:24:39
12,15,11.0,,,,20/02/2020,13:52:34
13,17,11.0,,,,21/02/2020,01:01:40
14,19,11.0,,,,21/02/2020,14:27:35
15,21,11.0,,,,21/02/2020,20:08:31
16,19,11.0,,,,21/02/2020,22:28:16
17,21,11.0,,,,22/02/2020,04:51:47
18,22,11.0,,,,23/02/2020,02:43:07
19,22,15.0,,,,25/02/2020,21:32:52
20,23,15.0,,,,26/02/2020,10:06:09
21,24,15.0,,,,28/02/2020,06:42:53
22,25,15.0,,,,29/02/2020,00:26:28
23,25,15.0,1.0,,,01/03/2020,01:20:33
24,26,15.0,1.0,,,01/03/2020,20:04:42
25,27,15.0,1.0,,,01/03/2020,20:23:54
26,29,15.0,1.0,,,01/03/2020,23:05:49
27,30,15.0,1.0,,,02/03/2020,07:51:02
28,33,15.0,1.0,,,02/03/2020,16:03:28
29,30,15.0,1.0,,,02/03/2020,22:36:28
30,33,15.0,1.0,,,02/03/2020,22:37:24
31,34,15.0,1.0,,,03/03/2020,03:37:31
32,39,15.0,1.0,,,03/03/2020,10:21:58
33,39,21.0,1.0,,,04/03/2020,01:50:05
34,40,21.0,1.0,,,04/03/2020,05:08:36
35,42,21.0,1.0,,,04/03/2020,06:00:52
36,50,21.0,2.0,,,04/03/2020,14:44:40
37,52,21.0,2.0,,,05/03/2020,04:56:42
38,53,21.0,2.0,,,05/03/2020,13:47:27
39,59,22.0,2.0,,,05/03/2020,22:49:16
40,60,22.0,2.0,,,06/03/2020,00:10:34
41,63,22.0,2.0,,,06/03/2020,17:47:32
