,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,25/02/2020,12:02:11
1,3,,,,,27/02/2020,09:48:59
2,5,,,,,27/02/2020,21:21:37
3,6,,,,,28/02/2020,18:00:06
4,9,,,,,29/02/2020,10:32:58
5,10,,,,,29/02/2020,22:47:46
6,14,,,,,01/03/2020,11:25:48
7,15,,,,,02/03/2020,11:00:36
8,16,,,,,02/03/2020,15:12:11
9,18,,,,,02/03/2020,20:07:52
10,21,,,,,03/03/2020,11:39:57
11,24,,,,,03/03/2020,16:14:50
12,27,,,,,04/03/2020,09:39:51
13,29,,,,,04/03/2020,17:26:21
14,37,,,,,05/03/2020,07:26:18
15,37,2.0,,,,05/03/2020,13:54:10
16,41,2.0,,,,05/03/2020,14:56:38
17,43,2.0,,,,05/03/2020,21:24:41
18,47,2.0,,,,06/03/2020,10:16:20
19,55,2.0,,,,06/03/2020,16:53:41
20,66,2.0,,,,06/03/2020,21:05:43
21,74,2.0,,,,07/03/2020,10:25:46
22,79,2.0,,,,07/03/2020,16:20:51
23,81,2.0,,,,07/03/2020,20:46:41
24,104,2.0,,,,08/03/2020,08:48:35
25,112,2.0,,,,09/03/2020,07:59:58
26,131,2.0,,,,09/03/2020,17:28:05
27,157,2.0,,,,10/03/2020,07:55:41
28,182,4.0,,,,10/03/2020,16:24:12
29,206,4.0,,,,11/03/2020,07:35:33
30,246,4.0,,,,11/03/2020,17:21:51
31,302,4.0,,,,12/03/2020,08:05:16
32,302,4.0,1.0,,,12/03/2020,10:42:01
33,361,4.0,1.0,,,12/03/2020,16:13:37
34,428,4.0,1.0,,,13/03/2020,08:37:16
35,428,6.0,1.0,,,13/03/2020,12:08:22
36,504,6.0,1.0,,,13/03/2020,15:38:32
37,602,6.0,1.0,,,14/03/2020,08:46:05
38,655,6.0,1.0,,,14/03/2020,15:25:40
39,800,6.0,1.0,,,15/03/2020,08:45:12
40,860,6.0,1.0,,,15/03/2020,15:12:18
