,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,11:57:33
1,3,,,,,01/03/2020,01:32:08
2,6,,,,,05/03/2020,12:44:59
3,9,,,,,07/03/2020,00:28:07
4,11,,,,,10/03/2020,13:38:40
5,11,3.0,,,,11/03/2020,12:13:51
6,15,3.0,1.0,,,12/03/2020,16:37:46
7,19,6.0,1.0,,,15/03/2020,01:41:42
8,23,6.0,1.0,,,15/03/2020,12:20:35
9,25,6.0,1.0,,,16/03/2020,07:18:45
10,28,6.0,1.0,,,17/03/2020,08:19:33
11,34,6.0,1.0,,,17/03/2020,18:51:29
12,34,7.0,1.0,,,19/03/2020,02:37:17
13,44,7.0,1.0,,,19/03/2020,15:53:36
14,53,11.0,1.0,,,21/03/2020,15:27:25
15,65,11.0,1.0,,,22/03/2020,14:01:28
16,72,11.0,1.0,,,23/03/2020,12:31:26
17,72,10.0,1.0,,,23/03/2020,14:18:53
18,87,10.0,1.0,,,24/03/2020,13:47:20
19,93,10.0,2.0,,,25/03/2020,14:54:58
20,122,10.0,3.0,,,26/03/2020,11:37:10
21,122,15.0,3.0,,,26/03/2020,11:49:49
22,165,15.0,3.0,,,27/03/2020,15:09:55
23,182,15.0,4.0,,,28/03/2020,16:35:24
24,209,15.0,4.0,,,29/03/2020,14:36:41
25,273,26.0,4.0,,,30/03/2020,13:00:17
26,298,26.0,5.0,,,31/03/2020,13:05:12
27,359,26.0,5.0,,,01/04/2020,11:05:20
28,400,26.0,5.0,,,02/04/2020,09:01:55
29,443,32.0,5.0,,,03/04/2020,08:57:01
30,443,32.0,5.0,35000.0,,04/04/2020,03:58:25
31,521,32.0,5.0,35000.0,,04/04/2020,11:32:49
32,584,32.0,5.0,35000.0,,05/04/2020,11:35:08
33,584,32.0,5.0,40000.0,,05/04/2020,12:59:56
34,584,32.0,7.0,40000.0,,05/04/2020,17:30:38
35,641,44.0,7.0,45000.0,,06/04/2020,12:12:53
36,717,44.0,8.0,53300.0,,07/04/2020,12:26:43
37,822,63.0,8.0,53300.0,,08/04/2020,14:30:17
38,926,101.0,9.0,57371.0,,09/04/2020,12:51:00
39,991,159.0,10.0,61342.0,,10/04/2020,15:11:59
40,1058,200.0,11.0,61342.0,,11/04/2020,15:41:22
41,1098,250.0,11.0,66677.0,,12/04/2020,13:00:05
42,1148,289.0,12.0,66677.0,,13/04/2020,11:07:56
43,1197,351.0,13.0,66677.0,,14/04/2020,13:02:58
44,1197,351.0,13.0,71736.0,,14/04/2020,17:00:03
45,1253,404.0,13.0,75397.0,,15/04/2020,13:51:15
46,1283,460.0,15.0,75397.0,,16/04/2020,13:16:09
47,1340,528.0,15.0,86607.0,,17/04/2020,14:31:56
48,1373,590.0,18.0,86607.0,,18/04/2020,13:28:31
49,1398,712.0,19.0,95747.0,,19/04/2020,13:35:55
50,1436,791.0,19.0,95747.0,,20/04/2020,14:24:35
51,1480,865.0,20.0,102764.0,,21/04/2020,13:57:09
52,1518,907.0,20.0,108221.0,,22/04/2020,12:00:06
53,1548,948.0,20.0,108221.0,,23/04/2020,17:00:34
54,1592,1013.0,21.0,114410.0,,24/04/2020,12:21:42
55,1617,1080.0,21.0,120479.0,,25/04/2020,13:01:28
56,1645,1139.0,21.0,120479.0,,26/04/2020,11:48:20
57,1678,1162.0,22.0,128807.0,,27/04/2020,13:00:36
58,1717,1221.0,22.0,132640.0,,28/04/2020,13:54:54
59,1766,1267.0,23.0,137379.0,,29/04/2020,16:35:36
60,1804,1325.0,24.0,143079.0,,30/04/2020,14:03:28
61,1854,1365.0,25.0,146630.0,,01/05/2020,13:31:09
62,1894,1411.0,25.0,152597.0,,02/05/2020,11:31:51
63,1932,1441.0,25.0,157932.0,,03/05/2020,13:11:23
64,1984,1480.0,26.0,157932.0,,04/05/2020,16:35:27
65,2060,1508.0,26.0,164481.0,,05/05/2020,14:11:06
66,2127,1536.0,28.0,169790.0,,06/05/2020,13:27:50
67,2204,1551.0,28.0,169790.0,,07/05/2020,14:55:03
68,2204,1551.0,28.0,175910.0,,07/05/2020,15:30:29
69,2279,1576.0,28.0,181530.0,,07/05/2020,20:30:27
70,2204,1551.0,28.0,175910.0,,07/05/2020,21:17:20
71,2279,1576.0,28.0,181530.0,,08/05/2020,14:30:21
72,2422,1620.0,31.0,188950.0,,09/05/2020,14:00:05
73,2519,1650.0,32.0,193411.0,,10/05/2020,16:59:22
74,2589,1680.0,32.0,193411.0,,11/05/2020,17:46:23
75,2693,1680.0,33.0,202282.0,,12/05/2020,16:55:59
76,2693,1735.0,33.0,202282.0,,13/05/2020,09:28:29
77,2758,1789.0,35.0,208546.0,,13/05/2020,13:10:07
78,2879,1833.0,35.0,214291.0,,14/05/2020,14:16:32
79,2980,1886.0,36.0,220363.0,10127290.0,15/05/2020,12:57:02
80,3138,1944.0,36.0,226005.0,10127539.0,16/05/2020,12:01:54
81,3274,2015.0,39.0,232077.0,10127789.0,17/05/2020,15:00:35
82,3387,2055.0,40.0,235910.0,10128038.0,18/05/2020,14:45:43
83,3518,2198.0,41.0,240220.0,10128288.0,19/05/2020,14:45:56
84,3631,2253.0,43.0,245609.0,10128537.0,20/05/2020,15:47:33
85,3749,2340.0,44.0,252496.0,10128787.0,21/05/2020,07:23:54
86,3855,2399.0,46.0,252496.0,10129036.0,22/05/2020,13:31:02
87,3982,2506.0,49.0,265067.0,10129286.0,23/05/2020,12:30:31
88,4122,2607.0,49.0,270739.0,10129535.0,24/05/2020,12:30:30
89,4271,2741.0,51.0,273411.0,10129784.0,25/05/2020,12:01:24
90,4403,2819.0,52.0,273411.0,10130034.0,26/05/2020,16:26:04
91,4568,2897.0,54.0,280663.0,10130283.0,27/05/2020,15:01:22
92,4759,3022.0,56.0,284669.0,10130533.0,28/05/2020,15:48:58
93,4989,3125.0,58.0,284669.0,10130782.0,29/05/2020,13:50:30
94,5246,3327.0,61.0,294264.0,10131032.0,30/05/2020,13:50:47
95,5494,3428.0,63.0,294264.0,10131281.0,31/05/2020,13:16:28
96,5662,3508.0,68.0,302933.0,10131531.0,01/06/2020,15:01:43
97,5935,3564.0,71.0,309901.0,10131780.0,02/06/2020,14:36:27
98,6260,3665.0,76.0,315527.0,10132029.0,03/06/2020,15:26:43
99,6522,3737.0,78.0,322574.0,10132279.0,04/06/2020,13:33:36
100,6860,3871.0,82.0,328385.0,10132528.0,05/06/2020,15:27:41
101,7239,4024.0,84.0,328385.0,10132778.0,06/06/2020,14:36:13
102,7553,4149.0,88.0,328385.0,10133027.0,07/06/2020,15:08:38
103,7876,4377.0,93.0,343391.0,10133277.0,08/06/2020,15:47:57
104,8191,4606.0,98.0,343391.0,10133526.0,09/06/2020,14:34:36
105,8191,4606.0,98.0,349200.0,10133776.0,10/06/2020,07:50:51
106,8530,4720.0,102.0,356032.0,10133776.0,10/06/2020,16:27:21
107,8882,4930.0,108.0,362654.0,10134025.0,11/06/2020,13:53:01
108,9218,5116.0,113.0,362654.0,10134274.0,12/06/2020,14:19:12
109,9570,5309.0,115.0,362654.0,10134524.0,13/06/2020,19:32:47
110,9957,5583.0,119.0,362654.0,10134773.0,14/06/2020,15:34:13
111,9957,5583.0,119.0,386898.0,10135023.0,15/06/2020,16:58:14
112,10324,5739.0,122.0,386898.0,10135023.0,15/06/2020,17:21:41
113,10662,5948.0,126.0,386898.0,10135272.0,16/06/2020,14:57:07
114,10991,6075.0,133.0,397399.0,10135522.0,17/06/2020,17:30:04
115,11329,6192.0,139.0,403499.0,10135771.0,18/06/2020,14:39:38
116,11767,6325.0,143.0,403499.0,10136021.0,19/06/2020,16:12:18
117,12238,6516.0,148.0,417102.0,10136270.0,20/06/2020,15:00:04
118,12729,6799.0,154.0,417102.0,10136519.0,21/06/2020,15:53:58
119,13207,7168.0,161.0,426394.0,10136769.0,22/06/2020,15:58:02
120,13715,7503.0,167.0,426394.0,10137018.0,23/06/2020,16:47:30
121,14305,7768.0,174.0,441961.0,10137268.0,24/06/2020,15:30:05
122,14852,8059.0,180.0,449235.0,10137517.0,25/06/2020,13:37:59
