,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,15/03/2020,18:30:54
1,3,,,,,19/03/2020,11:18:34
2,4,,,,,20/03/2020,20:38:16
3,5,1.0,,,,24/03/2020,22:52:32
4,9,1.0,,,,26/03/2020,22:31:26
5,10,1.0,,,,27/03/2020,22:31:35
6,11,1.0,,,,29/03/2020,16:42:02
7,14,1.0,,,,29/03/2020,23:24:59
8,15,1.0,,,,01/04/2020,03:32:33
9,21,1.0,1.0,,,01/04/2020,20:35:50
10,24,1.0,1.0,,,02/04/2020,22:58:25
11,24,,3.0,,,03/04/2020,23:34:36
12,28,,4.0,,,04/04/2020,22:45:19
13,29,4.0,5.0,,,05/04/2020,23:22:56
14,33,5.0,5.0,,,07/04/2020,00:02:09
15,33,5.0,6.0,,,07/04/2020,19:54:24
16,36,5.0,6.0,,,08/04/2020,01:54:47
17,40,5.0,7.0,,,08/04/2020,21:39:06
18,41,5.0,8.0,,,09/04/2020,23:07:58
19,42,5.0,8.0,,,10/04/2020,23:07:56
20,46,5.0,8.0,,,11/04/2020,22:00:03
21,47,6.0,8.0,,,13/04/2020,11:07:56
22,49,6.0,8.0,,,14/04/2020,01:56:45
23,53,6.0,8.0,,,15/04/2020,23:05:19
24,54,6.0,9.0,,,17/04/2020,20:30:36
25,54,9.0,9.0,,,18/04/2020,00:31:43
26,55,10.0,9.0,,,18/04/2020,17:59:20
27,60,11.0,9.0,,,19/04/2020,23:00:27
28,64,11.0,9.0,,,21/04/2020,15:00:07
29,65,12.0,9.0,,,21/04/2020,22:42:53
30,70,12.0,9.0,,,23/04/2020,11:30:05
31,72,14.0,11.0,,,23/04/2020,23:58:33
32,73,15.0,11.0,,,24/04/2020,22:52:58
33,78,15.0,11.0,,,25/04/2020,23:20:59
34,80,22.0,11.0,,,26/04/2020,20:30:36
35,80,23.0,11.0,,,28/04/2020,22:33:10
36,80,25.0,11.0,,,30/04/2020,03:32:09
37,81,25.0,11.0,1284.0,,01/05/2020,00:00:05
38,81,24.0,11.0,1284.0,,02/05/2020,02:30:50
39,82,24.0,11.0,1313.0,,02/05/2020,03:00:26
40,83,24.0,11.0,1353.0,,03/05/2020,00:21:50
41,83,25.0,11.0,1391.0,,04/05/2020,20:56:28
42,89,26.0,11.0,1485.0,,05/05/2020,22:31:03
43,92,26.0,11.0,1500.0,,06/05/2020,23:44:02
44,92,31.0,11.0,1500.0,,07/05/2020,20:30:27
45,92,26.0,11.0,1500.0,,07/05/2020,21:17:20
46,92,31.0,11.0,1500.0,,08/05/2020,19:00:22
47,92,37.0,11.0,1500.0,,09/05/2020,23:49:42
48,93,39.0,11.0,1634.0,,12/05/2020,15:39:30
49,94,41.0,11.0,1670.0,,14/05/2020,02:30:11
50,96,41.0,11.0,1700.0,,14/05/2020,22:15:16
51,96,42.0,11.0,1794.0,392764.0,16/05/2020,21:31:54
52,96,42.0,11.0,1814.0,392785.0,18/05/2020,00:00:39
53,96,43.0,11.0,1826.0,392795.0,19/05/2020,00:30:05
54,97,43.0,11.0,1826.0,392816.0,21/05/2020,07:23:54
55,97,44.0,11.0,1910.0,392826.0,22/05/2020,00:30:12
56,97,45.0,11.0,1910.0,392836.0,23/05/2020,17:00:30
57,100,45.0,11.0,1955.0,392846.0,24/05/2020,00:00:08
58,100,46.0,11.0,1972.0,392857.0,25/05/2020,06:54:19
59,100,46.0,11.0,2026.0,392877.0,27/05/2020,00:15:56
60,100,46.0,11.0,2043.0,392887.0,28/05/2020,00:02:25
61,101,47.0,11.0,2050.0,392898.0,29/05/2020,00:58:31
62,102,48.0,11.0,2087.0,392908.0,30/05/2020,00:29:20
63,102,48.0,11.0,2091.0,392918.0,31/05/2020,00:02:00
64,102,49.0,11.0,2101.0,392929.0,01/06/2020,23:57:57
65,102,55.0,11.0,2121.0,392959.0,04/06/2020,00:42:30
66,102,55.0,11.0,2134.0,392959.0,04/06/2020,23:47:18
67,102,55.0,11.0,2156.0,392970.0,05/06/2020,23:06:22
68,103,62.0,11.0,2194.0,392980.0,06/06/2020,20:58:52
69,103,64.0,11.0,2225.0,393011.0,09/06/2020,01:06:13
70,103,67.0,11.0,2237.0,393021.0,10/06/2020,23:30:04
71,103,68.0,11.0,2252.0,393031.0,11/06/2020,23:49:16
72,103,68.0,11.0,2261.0,393062.0,14/06/2020,00:00:14
73,104,72.0,11.0,2261.0,393082.0,16/06/2020,15:45:41
74,104,72.0,11.0,2321.0,393103.0,18/06/2020,01:28:36
75,104,74.0,11.0,2326.0,393103.0,18/06/2020,23:47:21
76,104,77.0,11.0,2347.0,393144.0,22/06/2020,00:00:21
77,104,83.0,11.0,2360.0,393164.0,24/06/2020,00:00:17
78,104,84.0,11.0,2366.0,393185.0,26/06/2020,00:27:07
79,104,87.0,11.0,2388.0,393205.0,28/06/2020,00:10:05
80,104,89.0,11.0,2404.0,393236.0,01/07/2020,22:00:08
81,104,89.0,11.0,2436.0,393257.0,03/07/2020,23:54:48
82,104,89.0,11.0,2441.0,393277.0,05/07/2020,00:27:25
83,104,89.0,11.0,2447.0,393288.0,06/07/2020,02:57:01
84,104,89.0,11.0,2461.0,393298.0,07/07/2020,00:31:09
85,104,89.0,11.0,2467.0,393298.0,07/07/2020,23:51:45
86,106,89.0,11.0,2489.0,393318.0,09/07/2020,01:30:25
87,107,89.0,11.0,2501.0,393329.0,10/07/2020,01:19:41
88,108,89.0,11.0,2519.0,393339.0,11/07/2020,02:00:59
89,111,89.0,11.0,2526.0,393339.0,11/07/2020,22:05:25
90,113,91.0,11.0,2540.0,393370.0,14/07/2020,03:34:27
91,116,91.0,11.0,2545.0,393380.0,15/07/2020,02:06:10
92,119,91.0,11.0,2552.0,393380.0,15/07/2020,23:32:31
93,124,91.0,11.0,2567.0,393390.0,16/07/2020,23:01:10
94,129,91.0,11.0,2570.0,393400.0,17/07/2020,23:00:06
95,138,91.0,11.0,2614.0,393411.0,18/07/2020,23:33:22
96,153,91.0,11.0,2645.0,393421.0,19/07/2020,22:05:23
97,174,91.0,11.0,3672.0,393441.0,21/07/2020,01:04:45
98,194,91.0,11.0,3728.0,393452.0,22/07/2020,03:59:11
99,219,91.0,11.0,3759.0,393452.0,22/07/2020,23:59:34
100,274,91.0,11.0,3845.0,393462.0,23/07/2020,23:14:05
101,316,91.0,11.0,3907.0,393472.0,24/07/2020,23:54:48
102,326,91.0,11.0,3935.0,393493.0,26/07/2020,00:30:15
103,342,91.0,11.0,3966.0,393493.0,26/07/2020,23:47:08
104,382,91.0,11.0,4014.0,393503.0,27/07/2020,23:11:50
105,447,91.0,11.0,4106.0,393513.0,28/07/2020,23:17:14
106,484,91.0,11.0,4143.0,393523.0,29/07/2020,23:57:28
107,508,91.0,14.0,4167.0,393534.0,30/07/2020,23:09:51
108,574,91.0,14.0,4286.0,393544.0,31/07/2020,22:31:19
109,599,91.0,14.0,4361.0,393564.0,02/08/2020,00:31:05
110,648,91.0,14.0,4410.0,393575.0,03/08/2020,00:31:52
111,679,91.0,14.0,4458.0,393575.0,03/08/2020,23:08:34
112,715,91.0,14.0,4622.0,393585.0,04/08/2020,23:47:39
113,751,91.0,14.0,4704.0,393595.0,05/08/2020,23:51:58
114,761,91.0,14.0,4814.0,393606.0,06/08/2020,23:59:30
115,830,95.0,14.0,6084.0,393616.0,07/08/2020,23:21:54
116,878,99.0,14.0,6281.0,393626.0,08/08/2020,23:58:38
117,898,104.0,15.0,6343.0,393636.0,09/08/2020,21:52:09
118,945,113.0,15.0,6557.0,393647.0,10/08/2020,23:59:25
119,989,116.0,15.0,6938.0,393657.0,11/08/2020,23:59:30
120,1036,122.0,15.0,7096.0,393667.0,12/08/2020,23:59:30
121,1089,138.0,15.0,7242.0,393677.0,13/08/2020,23:59:30
122,1119,138.0,17.0,7322.0,393688.0,14/08/2020,23:26:53
123,1252,160.0,17.0,7533.0,393708.0,16/08/2020,01:30:47
124,1315,189.0,18.0,7639.0,393708.0,16/08/2020,23:59:30
125,1329,191.0,19.0,7690.0,393729.0,18/08/2020,00:31:59
126,1424,203.0,20.0,7971.0,393739.0,19/08/2020,00:39:32
127,1531,209.0,22.0,8320.0,393749.0,20/08/2020,00:40:14
128,1610,211.0,23.0,8449.0,393759.0,21/08/2020,01:31:33
129,1703,221.0,27.0,8778.0,393770.0,22/08/2020,03:16:28
130,1765,227.0,29.0,9068.0,393780.0,23/08/2020,07:06:15
131,1798,634.0,46.0,10170.0,393800.0,25/08/2020,00:49:16
132,1813,634.0,48.0,10192.0,393811.0,26/08/2020,15:17:04
133,1923,733.0,48.0,10484.0,393821.0,27/08/2020,13:10:30
134,2020,742.0,50.0,10625.0,393831.0,28/08/2020,20:43:07
135,2057,755.0,50.0,10917.0,393831.0,28/08/2020,23:51:01
136,2135,782.0,50.0,11037.0,393841.0,29/08/2020,23:59:32
137,2167,782.0,50.0,11093.0,393862.0,31/08/2020,03:45:17
138,2217,801.0,50.0,11165.0,393872.0,01/09/2020,03:43:46
139,2276,801.0,50.0,11445.0,393872.0,01/09/2020,23:59:33
140,2337,849.0,50.0,11871.0,393893.0,03/09/2020,00:42:06
141,2386,893.0,50.0,12117.0,393903.0,04/09/2020,00:41:11
142,2476,948.0,55.0,12541.0,393913.0,05/09/2020,20:22:03
143,2506,948.0,56.0,12640.0,393924.0,06/09/2020,16:17:25
144,2546,976.0,58.0,12833.0,393934.0,07/09/2020,13:50:14
145,2585,976.0,59.0,13010.0,393944.0,08/09/2020,15:29:42
146,2657,1088.0,63.0,13593.0,393954.0,09/09/2020,06:54:37
147,2721,1183.0,63.0,13971.0,393965.0,10/09/2020,03:40:06
148,2814,1220.0,65.0,14383.0,393975.0,11/09/2020,18:02:14
149,2874,1285.0,67.0,14700.0,393985.0,12/09/2020,13:25:11
150,2928,1319.0,67.0,15083.0,393985.0,12/09/2020,23:35:32
151,2974,1344.0,67.0,15196.0,394006.0,14/09/2020,15:23:03
152,3008,1391.0,68.0,15418.0,394016.0,15/09/2020,04:24:14
153,3032,1482.0,69.0,15510.0,394026.0,16/09/2020,00:42:21
154,3087,1533.0,69.0,15840.0,394036.0,17/09/2020,00:48:59
155,3177,1626.0,69.0,16386.0,394036.0,17/09/2020,23:51:41
156,3214,1679.0,73.0,16517.0,394067.0,20/09/2020,00:43:12
157,3315,1689.0,74.0,17009.0,394067.0,20/09/2020,18:09:06
158,3370,1689.0,74.0,17102.0,394077.0,21/09/2020,13:30:26
159,3418,1771.0,75.0,17213.0,394088.0,22/09/2020,00:52:59
160,3467,1871.0,77.0,17341.0,394098.0,23/09/2020,00:39:37
161,3618,1915.0,80.0,18263.0,394108.0,24/09/2020,03:35:52
162,3699,1962.0,86.0,18604.0,394118.0,25/09/2020,02:19:20
163,3790,1999.0,89.0,18959.0,394129.0,26/09/2020,06:54:21
164,3838,2005.0,89.0,19026.0,394139.0,27/09/2020,20:23:54
165,3903,2072.0,91.0,19161.0,394159.0,29/09/2020,15:43:51
166,4022,2141.0,95.0,19776.0,394170.0,30/09/2020,16:32:01
167,4123,2206.0,96.0,20261.0,394180.0,01/10/2020,05:55:49
168,4220,2290.0,96.0,20835.0,394190.0,02/10/2020,19:06:00
169,4332,2375.0,96.0,21173.0,394200.0,03/10/2020,19:27:18
170,4409,2375.0,96.0,21445.0,394211.0,04/10/2020,10:25:27
171,4452,2375.0,96.0,21592.0,394221.0,05/10/2020,20:30:35
