,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,24/02/2020,06:21:21
1,2,,,,,24/02/2020,21:22:36
2,8,,,,,25/02/2020,08:09:14
3,23,,,,,25/02/2020,19:09:59
4,26,,,,,26/02/2020,06:46:03
5,33,,,,,26/02/2020,20:34:27
6,36,,,,,28/02/2020,10:13:07
7,38,,,,,28/02/2020,18:00:06
8,41,,,,,29/02/2020,19:20:46
9,47,,,,,01/03/2020,20:04:42
10,49,,,,,02/03/2020,20:07:52
11,52,1.0,,,,04/03/2020,15:10:00
12,55,4.0,,,,05/03/2020,12:44:59
13,56,4.0,,,,06/03/2020,13:55:14
14,60,4.0,,,,06/03/2020,15:42:22
15,66,4.0,,,,07/03/2020,13:56:10
16,85,4.0,,,,07/03/2020,18:37:15
17,85,6.0,,,,07/03/2020,20:46:41
18,85,14.0,,,,08/03/2020,23:22:51
19,109,14.0,,,,09/03/2020,11:21:23
20,109,22.0,,,,09/03/2020,18:07:52
21,110,22.0,,,,10/03/2020,09:39:08
22,110,30.0,,,,10/03/2020,16:26:31
23,112,30.0,,,,11/03/2020,07:47:16
24,189,30.0,,,,11/03/2020,12:13:51
25,189,35.0,,,,11/03/2020,17:21:51
26,195,35.0,,,,11/03/2020,19:21:55
27,197,35.0,,,,12/03/2020,19:59:54
28,197,44.0,,,,13/03/2020,11:23:41
29,210,44.0,,,,13/03/2020,12:08:22
30,211,60.0,,,,14/03/2020,11:03:36
31,212,60.0,,,,14/03/2020,17:14:08
32,214,60.0,,,,15/03/2020,13:25:27
33,214,77.0,,,,15/03/2020,22:00:42
34,214,77.0,1.0,,,16/03/2020,08:10:25
35,221,77.0,1.0,,,16/03/2020,10:06:33
36,227,77.0,1.0,,,16/03/2020,18:38:43
37,227,81.0,1.0,,,16/03/2020,20:50:10
38,228,81.0,1.0,,,16/03/2020,23:00:18
39,236,81.0,1.0,,,17/03/2020,11:50:22
40,237,81.0,1.0,,,17/03/2020,12:31:31
41,241,81.0,1.0,,,17/03/2020,17:46:39
42,241,88.0,1.0,,,17/03/2020,21:14:56
43,255,88.0,1.0,,,18/03/2020,12:00:36
44,255,95.0,1.0,,,18/03/2020,16:30:04
45,256,95.0,1.0,,,19/03/2020,02:37:17
46,268,100.0,1.0,,,19/03/2020,11:18:34
47,277,100.0,1.0,,,19/03/2020,16:42:31
48,278,110.0,1.0,,,19/03/2020,20:40:17
49,279,110.0,1.0,,,20/03/2020,05:07:17
50,284,110.0,1.0,,,20/03/2020,10:26:40
51,291,112.0,1.0,,,20/03/2020,16:01:46
52,297,125.0,1.0,,,20/03/2020,20:19:01
53,298,125.0,1.0,,,20/03/2020,22:01:03
54,305,125.0,1.0,,,21/03/2020,12:01:55
55,309,125.0,1.0,,,21/03/2020,17:15:43
56,310,125.0,1.0,,,21/03/2020,17:51:22
57,332,149.0,1.0,,,22/03/2020,11:36:17
58,332,149.0,2.0,,,22/03/2020,15:00:42
59,334,149.0,2.0,,,22/03/2020,20:52:01
60,335,160.0,2.0,,,23/03/2020,07:48:26
61,337,160.0,2.0,,,23/03/2020,08:30:04
62,339,160.0,2.0,,,23/03/2020,12:00:05
63,377,164.0,2.0,,,23/03/2020,17:58:40
64,390,164.0,2.0,,,24/03/2020,11:08:20
65,390,164.0,3.0,,,24/03/2020,12:19:58
66,390,177.0,3.0,,,24/03/2020,17:41:24
67,392,177.0,3.0,,,24/03/2020,19:01:12
68,419,177.0,3.0,,,25/03/2020,10:57:01
69,419,177.0,4.0,,,25/03/2020,18:02:28
70,419,190.0,4.0,,,26/03/2020,07:51:29
71,457,204.0,4.0,,,26/03/2020,11:34:05
72,458,204.0,4.0,,,26/03/2020,17:51:23
73,458,210.0,4.0,,,27/03/2020,08:01:39
74,466,227.0,4.0,,,27/03/2020,12:08:48
75,473,254.0,4.0,,,28/03/2020,08:20:34
76,476,265.0,4.0,,,28/03/2020,16:53:20
77,499,272.0,4.0,,,29/03/2020,11:26:33
78,500,272.0,4.0,,,30/03/2020,06:50:58
79,515,279.0,4.0,,,30/03/2020,07:47:45
80,515,295.0,4.0,,,30/03/2020,23:04:02
81,530,295.0,4.0,,,31/03/2020,08:15:24
82,515,295.0,4.0,,,31/03/2020,09:54:18
83,567,295.0,4.0,,,31/03/2020,11:52:57
84,567,316.0,4.0,,,01/04/2020,07:09:08
85,567,337.0,4.0,,,01/04/2020,16:47:40
86,569,337.0,4.0,,,01/04/2020,17:11:25
87,635,341.0,4.0,,,02/04/2020,11:59:39
88,643,381.0,4.0,,,02/04/2020,17:32:19
89,672,382.0,4.0,,,03/04/2020,11:05:12
90,672,382.0,4.0,37996.0,,04/04/2020,03:58:25
91,673,388.0,4.0,38117.0,,04/04/2020,07:30:42
92,688,399.0,4.0,39256.0,,04/04/2020,10:51:45
93,688,423.0,4.0,39379.0,,04/04/2020,16:29:39
94,698,427.0,4.0,43579.0,,05/04/2020,11:25:56
95,700,431.0,4.0,44386.0,,05/04/2020,20:20:02
96,723,451.0,4.0,46999.0,,06/04/2020,11:43:05
97,756,458.0,4.0,47684.0,,06/04/2020,18:07:55
98,811,458.0,4.0,47684.0,,07/04/2020,14:56:56
99,811,458.0,5.0,47684.0,,07/04/2020,18:56:42
100,811,465.0,5.0,50320.0,,08/04/2020,07:53:49
101,821,467.0,5.0,52351.0,,08/04/2020,12:56:03
102,823,477.0,5.0,52351.0,,08/04/2020,18:16:37
103,855,495.0,5.0,54708.0,,09/04/2020,12:20:14
104,887,519.0,5.0,55096.0,,09/04/2020,18:46:13
105,913,530.0,6.0,57307.0,,10/04/2020,13:37:56
106,925,539.0,6.0,57681.0,,10/04/2020,19:11:16
107,998,551.0,6.0,57681.0,,11/04/2020,02:00:11
108,1016,551.0,6.0,60425.0,,11/04/2020,11:43:50
109,1040,555.0,6.0,60425.0,,11/04/2020,18:23:58
110,1024,557.0,6.0,60425.0,,12/04/2020,11:56:40
111,1087,557.0,6.0,60425.0,,12/04/2020,13:00:05
112,1136,558.0,6.0,63973.0,,12/04/2020,17:57:16
113,1361,591.0,6.0,67327.0,,13/04/2020,11:07:56
114,1361,591.0,7.0,67327.0,,14/04/2020,07:07:56
115,1522,645.0,7.0,69359.0,,14/04/2020,11:00:07
116,1528,645.0,7.0,69359.0,,14/04/2020,20:00:07
117,1528,648.0,7.0,70813.0,,15/04/2020,06:00:04
118,1671,663.0,7.0,72647.0,,15/04/2020,12:48:38
119,1673,663.0,7.0,73272.0,,16/04/2020,08:38:55
120,1698,703.0,7.0,76630.0,,16/04/2020,11:33:05
121,1700,703.0,7.0,76630.0,,16/04/2020,16:46:01
122,1740,725.0,7.0,79564.0,,17/04/2020,14:00:07
123,1744,726.0,7.0,79612.0,,18/04/2020,08:32:56
124,1767,741.0,7.0,82561.0,,18/04/2020,11:00:05
125,1773,755.0,7.0,82568.0,,18/04/2020,17:59:20
126,1873,759.0,7.0,85126.0,,19/04/2020,13:35:55
127,1881,759.0,7.0,85126.0,,19/04/2020,16:00:05
128,1881,762.0,7.0,86732.0,,20/04/2020,08:53:42
129,1895,769.0,7.0,89225.0,,20/04/2020,10:00:05
130,1907,769.0,7.0,89225.0,,20/04/2020,19:00:04
131,1952,783.0,7.0,93858.0,,21/04/2020,12:00:08
132,1973,784.0,7.0,94380.0,,21/04/2020,18:45:51
133,2009,1026.0,7.0,96521.0,,22/04/2020,13:54:36
134,2027,1026.0,7.0,97796.0,,22/04/2020,18:00:05
135,2217,1082.0,8.0,100031.0,,23/04/2020,17:00:34
136,2506,1113.0,8.0,105365.0,,24/04/2020,19:30:20
137,2518,1113.0,8.0,107273.0,,24/04/2020,22:52:58
138,2588,1160.0,8.0,110379.0,,25/04/2020,13:01:28
139,2633,1160.0,8.0,113436.0,,26/04/2020,14:39:02
140,2647,1189.0,8.0,114110.0,,26/04/2020,19:02:28
141,2708,1218.0,8.0,117374.0,,27/04/2020,15:48:26
142,2810,1246.0,8.0,121260.0,,28/04/2020,02:05:53
143,2811,1310.0,8.0,121706.0,,28/04/2020,20:03:12
144,2869,1370.0,8.0,124591.0,,29/04/2020,18:21:08
145,2921,1455.0,8.0,126905.0,,29/04/2020,22:30:58
146,3037,1495.0,8.0,128481.0,,30/04/2020,13:02:15
147,3040,1500.0,8.0,129694.0,,30/04/2020,19:18:24
148,3169,1553.0,8.0,134082.0,,01/05/2020,14:43:10
149,3170,1555.0,8.0,134082.0,,01/05/2020,20:00:37
150,3273,1567.0,8.0,138278.0,,02/05/2020,12:39:44
151,3284,1568.0,8.0,139354.0,,02/05/2020,18:31:39
152,3356,1717.0,8.0,143030.0,,03/05/2020,11:00:17
153,3383,1718.0,8.0,144155.0,,03/05/2020,18:53:05
154,3533,1718.0,8.0,144155.0,,04/05/2020,18:28:51
155,3533,1744.0,8.0,149586.0,,04/05/2020,19:31:42
156,3679,1762.0,8.0,149586.0,,05/05/2020,11:20:06
157,3720,1762.0,8.0,155501.0,,05/05/2020,20:46:28
158,3842,1860.0,8.0,158365.0,,06/05/2020,13:00:44
159,3934,1860.0,8.0,160341.0,,06/05/2020,18:02:46
160,4131,1998.0,8.0,164517.0,,07/05/2020,11:35:11
161,4199,2000.0,8.0,166378.0,,07/05/2020,18:54:47
162,4444,2028.0,8.0,172158.0,,07/05/2020,20:30:27
163,4199,2000.0,8.0,166378.0,,07/05/2020,21:17:20
164,4404,2027.0,8.0,170719.0,,08/05/2020,13:01:26
165,4444,2028.0,8.0,172158.0,,08/05/2020,19:47:54
166,4595,2049.0,8.0,177306.0,,09/05/2020,12:15:23
167,4774,2055.0,8.0,178353.0,,09/05/2020,19:58:43
168,4856,2065.0,8.0,182906.0,,10/05/2020,12:00:05
169,4941,2070.0,8.0,184029.0,,10/05/2020,19:30:13
170,5157,2152.0,8.0,189174.0,,11/05/2020,12:31:30
171,5236,2152.0,8.0,189174.0,,11/05/2020,20:55:10
172,5409,2182.0,9.0,196128.0,,12/05/2020,15:39:30
173,5531,2192.0,9.0,197898.0,,12/05/2020,20:30:16
174,5780,2195.0,9.0,202967.0,,13/05/2020,13:10:07
175,5816,2195.0,10.0,205570.0,,13/05/2020,17:26:38
176,5816,2205.0,10.0,205570.0,,13/05/2020,22:00:32
177,6069,2220.0,10.0,205570.0,,14/05/2020,15:58:44
178,6198,2353.0,10.0,214084.0,,14/05/2020,22:15:16
179,6418,2637.0,10.0,220812.0,1693017.0,15/05/2020,12:57:02
180,6582,2640.0,10.0,222542.0,1693017.0,15/05/2020,18:55:43
181,6583,2640.0,11.0,222542.0,1693017.0,15/05/2020,21:31:17
182,6583,2640.0,12.0,222542.0,1693179.0,16/05/2020,00:03:01
183,6655,2753.0,12.0,228573.0,1693179.0,16/05/2020,12:01:54
184,6747,2753.0,12.0,228573.0,1693179.0,16/05/2020,19:31:52
185,6747,2762.0,12.0,230188.0,1693342.0,17/05/2020,01:30:23
186,6930,2774.0,12.0,234978.0,1693342.0,17/05/2020,14:10:13
187,6956,2910.0,12.0,236828.0,1693342.0,17/05/2020,17:48:51
188,7156,2929.0,12.0,241132.0,1693504.0,18/05/2020,14:45:43
189,7184,2931.0,12.0,243031.0,1693504.0,18/05/2020,20:18:41
190,7374,2952.0,12.0,248205.0,1693667.0,19/05/2020,11:05:40
191,7532,2952.0,12.0,249411.0,1693829.0,20/05/2020,00:09:48
192,7843,3334.0,12.0,254335.0,1693829.0,20/05/2020,13:20:53
193,7888,3568.0,12.0,255633.0,1693829.0,20/05/2020,18:51:42
194,8039,3715.0,12.0,260897.0,1693992.0,21/05/2020,07:23:54
195,8174,3873.0,12.0,262107.0,1693992.0,21/05/2020,21:02:52
196,8338,4004.0,12.0,267393.0,1694155.0,22/05/2020,13:31:02
197,8369,4004.0,12.0,267393.0,1694155.0,22/05/2020,13:53:03
198,8414,4096.0,12.0,269179.0,1694155.0,22/05/2020,18:32:01
199,8774,4462.0,12.0,274711.0,1694317.0,23/05/2020,10:30:09
200,8774,4462.0,13.0,274711.0,1694317.0,23/05/2020,17:00:30
201,8802,4465.0,13.0,276552.0,1694317.0,23/05/2020,20:00:04
202,9093,4581.0,13.0,276552.0,1694480.0,24/05/2020,11:30:23
203,9138,4587.0,13.0,276552.0,1694480.0,24/05/2020,17:32:01
204,9138,4587.0,14.0,276552.0,1694642.0,25/05/2020,00:30:26
205,9164,4753.0,14.0,281204.0,1694642.0,25/05/2020,12:01:24
206,9171,4753.0,14.0,283884.0,1694642.0,25/05/2020,16:31:44
207,9223,4916.0,14.0,285373.0,1694805.0,26/05/2020,10:54:33
208,9366,4938.0,14.0,286223.0,1694805.0,26/05/2020,18:01:58
209,9366,4938.0,15.0,286223.0,1694967.0,27/05/2020,09:03:05
210,9633,5142.0,15.0,289453.0,1694967.0,27/05/2020,15:01:22
211,9692,5152.0,15.0,291127.0,1694967.0,27/05/2020,19:39:10
212,9977,5295.0,15.0,296278.0,1695130.0,28/05/2020,13:22:37
213,10052,5419.0,15.0,297873.0,1695130.0,28/05/2020,18:42:36
214,10352,5491.0,15.0,302640.0,1695292.0,29/05/2020,12:00:49
215,10449,5700.0,15.0,304179.0,1695292.0,29/05/2020,19:01:12
216,10740,5811.0,15.0,308698.0,1695455.0,30/05/2020,11:26:14
217,10793,5826.0,15.0,309573.0,1695455.0,30/05/2020,17:56:56
218,10793,5826.0,16.0,309573.0,1695455.0,30/05/2020,20:30:53
219,10793,5826.0,17.0,309573.0,1695455.0,30/05/2020,22:51:09
220,10793,5826.0,18.0,309573.0,1695617.0,31/05/2020,08:20:00
221,11288,6673.0,18.0,314823.0,1695617.0,31/05/2020,10:05:49
222,11288,6673.0,19.0,314823.0,1695617.0,31/05/2020,15:02:00
223,11398,6673.0,19.0,314823.0,1695617.0,31/05/2020,20:03:34
224,11804,7070.0,19.0,322054.0,1695780.0,01/06/2020,11:59:06
225,11871,7070.0,19.0,322054.0,1695780.0,01/06/2020,18:30:39
226,11871,7076.0,19.0,323162.0,1695942.0,02/06/2020,06:49:53
227,12229,7397.0,19.0,328062.0,1695942.0,02/06/2020,13:28:09
228,12311,7407.0,19.0,330733.0,1695942.0,02/06/2020,19:06:53
229,12311,7407.0,20.0,330733.0,1696105.0,03/06/2020,06:37:24
230,12574,7410.0,20.0,335895.0,1696105.0,03/06/2020,14:28:13
231,12815,7410.0,20.0,335895.0,1696105.0,03/06/2020,19:32:46
232,12815,7410.0,20.0,337773.0,1696267.0,04/06/2020,07:29:23
233,12815,7410.0,21.0,337773.0,1696267.0,04/06/2020,12:08:09
234,13229,7728.0,21.0,337773.0,1696267.0,04/06/2020,16:53:36
235,13229,7728.0,21.0,345337.0,1696267.0,04/06/2020,19:49:35
236,13296,7728.0,21.0,345337.0,1696267.0,04/06/2020,20:55:58
237,13296,7728.0,22.0,345337.0,1696430.0,05/06/2020,08:59:05
238,13733,8471.0,22.0,350907.0,1696430.0,05/06/2020,11:11:01
239,13835,8585.0,22.0,354122.0,1696430.0,05/06/2020,18:37:48
240,13835,8585.0,23.0,354122.0,1696592.0,06/06/2020,07:26:11
241,14224,9020.0,23.0,359379.0,1696592.0,06/06/2020,11:58:43
242,14383,9056.0,23.0,361376.0,1696592.0,06/06/2020,17:31:36
243,14383,9056.0,24.0,361376.0,1696592.0,06/06/2020,19:27:50
244,14383,9056.0,25.0,361376.0,1696755.0,07/06/2020,09:00:21
245,14745,9468.0,25.0,367056.0,1696755.0,07/06/2020,10:55:06
246,14763,9468.0,25.0,367056.0,1696755.0,07/06/2020,13:34:40
247,14763,9468.0,26.0,367056.0,1696755.0,07/06/2020,21:24:48
248,15417,10326.0,26.0,374362.0,1696917.0,08/06/2020,13:31:20
249,15417,10326.0,27.0,374362.0,1696917.0,08/06/2020,18:00:43
250,15731,10606.0,28.0,378235.0,1697080.0,09/06/2020,08:02:56
251,15731,10606.0,29.0,378235.0,1697080.0,09/06/2020,13:01:51
252,16200,11109.0,29.0,386134.0,1697242.0,10/06/2020,06:35:27
253,16200,11109.0,30.0,386134.0,1697242.0,10/06/2020,10:43:21
254,16200,11109.0,31.0,386134.0,1697242.0,10/06/2020,20:30:08
255,16667,11487.0,32.0,393910.0,1697405.0,11/06/2020,06:33:25
256,16667,11487.0,34.0,393910.0,1697405.0,11/06/2020,14:16:19
257,17269,11903.0,36.0,403036.0,1697568.0,12/06/2020,06:30:15
258,17713,12191.0,37.0,410842.0,1697730.0,13/06/2020,19:32:47
259,18227,12818.0,39.0,418413.0,1697893.0,14/06/2020,06:30:55
260,18227,12818.0,41.0,418413.0,1697893.0,14/06/2020,09:00:18
261,18227,12818.0,42.0,418413.0,1697893.0,14/06/2020,20:32:13
262,18227,12818.0,43.0,418413.0,1698055.0,15/06/2020,06:31:47
263,18544,13197.0,45.0,425192.0,1698055.0,15/06/2020,07:53:37
264,18544,13197.0,46.0,425192.0,1698055.0,15/06/2020,12:27:11
265,19013,13267.0,46.0,425192.0,1698055.0,15/06/2020,21:31:19
266,19013,13267.0,47.0,432409.0,1698218.0,16/06/2020,09:43:55
