,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,08/03/2020,13:58:52
1,3,1.0,,,,13/03/2020,13:16:57
2,3,2.0,,,,14/03/2020,08:46:05
3,5,2.0,,,,14/03/2020,16:34:03
4,8,2.0,,,,16/03/2020,07:18:45
5,8,3.0,,,,16/03/2020,10:35:04
6,10,3.0,,,,17/03/2020,08:19:33
7,10,3.0,1.0,,,17/03/2020,16:48:10
8,10,3.0,,,,17/03/2020,17:46:39
9,11,3.0,,,,18/03/2020,06:52:16
10,14,3.0,1.0,,,18/03/2020,09:55:52
11,17,3.0,1.0,,,19/03/2020,07:52:18
12,18,3.0,1.0,,,19/03/2020,09:48:21
13,20,3.0,1.0,,,20/03/2020,10:00:40
14,24,3.0,2.0,,,21/03/2020,08:47:13
15,27,3.0,2.0,,,22/03/2020,11:36:17
16,33,3.0,3.0,,,23/03/2020,10:30:08
17,33,5.0,3.0,,,23/03/2020,11:33:10
18,39,5.0,4.0,,,24/03/2020,09:30:47
19,39,7.0,5.0,,,25/03/2020,07:02:57
20,44,11.0,5.0,,,26/03/2020,10:01:12
21,48,11.0,5.0,,,27/03/2020,06:01:44
22,48,15.0,5.0,,,28/03/2020,08:00:04
23,49,15.0,5.0,,,30/03/2020,07:00:55
24,49,19.0,5.0,,,30/03/2020,07:31:28
25,51,25.0,5.0,,,31/03/2020,09:54:18
26,54,25.0,6.0,,,01/04/2020,07:09:08
27,56,25.0,6.0,,,02/04/2020,07:01:49
28,61,25.0,6.0,,,03/04/2020,06:23:48
29,61,26.0,6.0,,,03/04/2020,06:26:41
30,61,26.0,6.0,2086.0,,04/04/2020,03:58:25
31,70,30.0,8.0,2086.0,,04/04/2020,07:30:42
32,88,30.0,9.0,2086.0,,05/04/2020,08:40:04
33,88,33.0,9.0,2086.0,,05/04/2020,13:10:17
34,88,33.0,9.0,2914.0,,06/04/2020,00:56:25
35,88,33.0,10.0,2914.0,,06/04/2020,06:07:02
36,117,33.0,13.0,2914.0,,06/04/2020,07:09:08
37,123,33.0,13.0,2914.0,,06/04/2020,08:07:58
38,123,33.0,12.0,2914.0,,06/04/2020,09:16:50
39,123,33.0,12.0,3610.0,,06/04/2020,17:07:03
40,164,33.0,17.0,4289.0,,07/04/2020,09:44:01
41,218,33.0,20.0,4289.0,,08/04/2020,10:31:21
42,218,33.0,20.0,5164.0,,08/04/2020,17:26:19
43,330,33.0,21.0,5164.0,,09/04/2020,11:33:21
44,330,30.0,21.0,6175.0,,09/04/2020,17:02:22
45,330,33.0,21.0,6175.0,,09/04/2020,18:30:40
46,424,33.0,27.0,6175.0,,10/04/2020,09:07:56
47,424,33.0,27.0,7167.0,,10/04/2020,10:20:54
48,424,33.0,27.0,7359.0,,10/04/2020,11:57:25
49,482,36.0,30.0,8313.0,,11/04/2020,09:00:08
50,621,39.0,34.0,9653.0,,12/04/2020,09:20:51
51,803,42.0,39.0,11223.0,,13/04/2020,11:07:56
52,1012,42.0,46.0,13128.0,,14/04/2020,09:00:07
53,1231,49.0,50.0,14868.0,,15/04/2020,08:59:40
54,1572,49.0,60.0,14868.0,,16/04/2020,09:00:05
55,1572,49.0,60.0,17003.0,,16/04/2020,11:00:05
