,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,17/03/2020,14:34:29
1,5,,,,,19/03/2020,18:51:51
2,6,,,,,20/03/2020,22:30:55
3,14,,,,,21/03/2020,22:25:44
4,17,,,,,23/03/2020,10:00:55
5,18,,,,,24/03/2020,21:11:00
6,24,,,,,27/03/2020,01:01:01
7,26,,,,,28/03/2020,03:30:44
8,33,,,,,29/03/2020,22:09:55
9,34,,,,,31/03/2020,01:42:03
10,45,,,,,01/04/2020,23:36:45
11,46,,,,,02/04/2020,22:06:41
12,51,,,,,03/04/2020,18:16:12
13,51,,,382.0,,04/04/2020,07:30:42
14,52,,,382.0,,04/04/2020,18:01:10
15,56,6.0,1.0,527.0,,05/04/2020,16:01:59
16,60,6.0,2.0,527.0,,06/04/2020,23:07:56
17,60,6.0,2.0,557.0,,07/04/2020,00:02:09
18,60,6.0,3.0,557.0,,07/04/2020,16:46:23
19,63,6.0,3.0,557.0,,07/04/2020,17:46:30
20,63,8.0,3.0,655.0,,08/04/2020,20:43:09
21,66,11.0,3.0,655.0,,09/04/2020,21:36:09
22,66,11.0,3.0,694.0,,09/04/2020,22:41:51
23,66,11.0,4.0,694.0,,10/04/2020,13:37:56
24,67,11.0,4.0,694.0,,10/04/2020,18:33:40
25,67,11.0,4.0,736.0,,10/04/2020,23:07:56
26,68,11.0,4.0,747.0,,11/04/2020,21:15:17
27,71,11.0,4.0,805.0,,12/04/2020,20:00:05
28,72,13.0,4.0,839.0,,13/04/2020,23:00:06
29,73,15.0,5.0,864.0,,15/04/2020,00:01:13
30,75,15.0,5.0,900.0,,16/04/2020,00:38:00
31,75,15.0,5.0,965.0,,17/04/2020,20:30:36
32,75,17.0,5.0,1000.0,,18/04/2020,17:59:20
33,75,19.0,5.0,1035.0,,19/04/2020,23:00:27
34,75,23.0,5.0,1063.0,,20/04/2020,23:40:25
35,75,19.0,5.0,1035.0,,21/04/2020,00:00:05
36,75,23.0,5.0,1063.0,,21/04/2020,00:07:03
37,75,25.0,5.0,1098.0,,21/04/2020,21:00:07
38,75,25.0,6.0,1098.0,,22/04/2020,23:52:27
39,76,27.0,6.0,1162.0,,23/04/2020,00:00:05
40,76,30.0,6.0,1222.0,,23/04/2020,23:58:33
41,77,31.0,6.0,1327.0,,25/04/2020,00:01:13
42,79,31.0,6.0,1327.0,,25/04/2020,23:20:59
43,79,31.0,6.0,1502.0,,26/04/2020,01:30:05
44,79,32.0,6.0,1502.0,,26/04/2020,14:39:02
45,79,39.0,6.0,1663.0,,26/04/2020,23:18:02
46,80,39.0,6.0,1751.0,,28/04/2020,02:05:53
47,80,39.0,6.0,1930.0,,29/04/2020,00:04:29
48,80,39.0,7.0,2005.0,,29/04/2020,22:30:58
49,81,39.0,7.0,2160.0,,30/04/2020,21:30:11
50,81,39.0,7.0,2317.0,,02/05/2020,06:30:08
51,81,44.0,7.0,2369.0,,02/05/2020,19:02:50
52,82,44.0,7.0,2420.0,,04/05/2020,01:57:07
53,82,46.0,7.0,2458.0,,04/05/2020,23:00:53
54,82,47.0,7.0,2549.0,,05/05/2020,20:46:28
55,82,47.0,7.0,2629.0,,06/05/2020,22:33:44
56,82,47.0,7.0,2699.0,,07/05/2020,17:06:34
57,82,53.0,7.0,2699.0,,07/05/2020,17:52:15
58,83,53.0,7.0,2788.0,,07/05/2020,20:30:27
59,82,53.0,7.0,2699.0,,07/05/2020,21:17:20
60,83,53.0,7.0,2788.0,,08/05/2020,19:00:22
61,83,53.0,7.0,2926.0,,09/05/2020,20:37:50
62,84,57.0,7.0,2926.0,,09/05/2020,23:49:42
63,84,57.0,7.0,2990.0,,10/05/2020,23:45:10
64,84,57.0,7.0,3008.0,,12/05/2020,15:39:30
65,85,57.0,7.0,3185.0,,12/05/2020,23:44:31
66,85,65.0,7.0,3323.0,,13/05/2020,23:57:22
67,85,65.0,7.0,3480.0,,14/05/2020,15:58:44
68,85,65.0,7.0,3651.0,287331.0,15/05/2020,23:01:13
69,86,67.0,7.0,3783.0,287332.0,16/05/2020,21:00:05
70,88,68.0,7.0,3924.0,287333.0,17/05/2020,19:32:22
71,88,68.0,7.0,4004.0,287334.0,18/05/2020,18:59:22
72,90,68.0,7.0,4167.0,287335.0,20/05/2020,00:09:48
73,90,68.0,7.0,4322.0,287335.0,20/05/2020,18:51:42
74,90,70.0,7.0,4322.0,287336.0,21/05/2020,07:23:54
75,90,70.0,7.0,4438.0,287336.0,21/05/2020,21:02:52
76,90,70.0,7.0,4541.0,287337.0,22/05/2020,20:58:46
77,92,70.0,7.0,4664.0,287338.0,23/05/2020,21:30:17
