,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,28/02/2020,05:48:33
1,4,,,,,04/03/2020,05:08:36
2,6,,,,,04/03/2020,09:32:16
3,9,3.0,,,,10/03/2020,13:38:40
4,12,3.0,,,,12/03/2020,07:41:03
5,21,3.0,,,,12/03/2020,20:12:35
6,27,3.0,,,,13/03/2020,18:38:21
7,36,3.0,,,,16/03/2020,10:06:33
8,51,5.0,,,,18/03/2020,09:24:03
9,69,15.0,,,,20/03/2020,08:58:28
10,76,15.0,,,,21/03/2020,13:10:07
11,81,22.0,,,,23/03/2020,11:25:55
12,86,29.0,,,,25/03/2020,09:30:29
13,94,29.0,,,,27/03/2020,10:29:23
14,94,32.0,,,,27/03/2020,12:08:48
15,152,32.0,,,,30/03/2020,13:01:47
16,152,47.0,,,,31/03/2020,07:35:12
17,152,47.0,1.0,,,31/03/2020,11:56:37
18,163,53.0,1.0,,,01/04/2020,05:58:21
19,163,53.0,2.0,,,01/04/2020,10:06:53
20,304,53.0,4.0,,,02/04/2020,14:11:21
21,351,53.0,4.0,,,03/04/2020,10:48:44
22,351,53.0,4.0,32000.0,,04/04/2020,03:58:25
23,440,53.0,5.0,32000.0,,04/04/2020,14:44:54
24,562,53.0,8.0,32000.0,,05/04/2020,11:25:56
25,562,52.0,8.0,32000.0,,05/04/2020,16:01:59
26,700,53.0,13.0,40000.0,,06/04/2020,09:03:43
27,860,53.0,13.0,40000.0,,07/04/2020,13:17:18
28,861,54.0,13.0,43000.0,,07/04/2020,14:32:01
29,1066,77.0,13.0,46000.0,,08/04/2020,08:43:04
30,1486,139.0,16.0,49000.0,,09/04/2020,14:32:13
31,1981,169.0,19.0,53000.0,,10/04/2020,11:57:25
32,2226,172.0,23.0,53000.0,,11/04/2020,09:00:08
33,2578,203.0,26.0,64000.0,,12/04/2020,08:35:14
34,2919,203.0,29.0,68000.0,,13/04/2020,11:07:56
35,3281,203.0,33.0,71875.0,,14/04/2020,09:00:07
36,3728,203.0,36.0,76198.0,,15/04/2020,11:36:01
37,4204,203.0,40.0,81246.0,,16/04/2020,11:00:05
38,4779,342.0,42.0,86813.0,,17/04/2020,11:00:04
39,4779,342.0,45.0,86813.0,,18/04/2020,17:59:20
40,4779,342.0,47.0,86813.0,,19/04/2020,15:35:55
41,4779,494.0,47.0,98231.0,,19/04/2020,16:00:05
42,6264,514.0,51.0,102556.0,,20/04/2020,14:00:09
43,6723,577.0,55.0,108545.0,,21/04/2020,17:00:06
44,7281,769.0,58.0,114955.0,,22/04/2020,09:00:09
45,8022,938.0,60.0,122543.0,,23/04/2020,17:00:34
46,8773,1120.0,63.0,130824.0,,24/04/2020,13:33:57
47,9590,1573.0,67.0,139295.0,,25/04/2020,09:30:44
48,10463,1695.0,72.0,147525.0,,26/04/2020,10:29:04
49,11289,1740.0,75.0,153845.0,,27/04/2020,10:02:06
50,12208,1993.0,79.0,161028.0,,28/04/2020,02:05:53
51,13181,2072.0,84.0,168986.0,,29/04/2020,08:33:02
52,14027,2386.0,89.0,176625.0,,30/04/2020,11:07:36
53,14917,2918.0,93.0,186262.0,,01/05/2020,10:30:42
54,15828,3117.0,97.0,195430.0,,02/05/2020,09:42:14
55,16705,3196.0,99.0,204239.0,,03/05/2020,11:00:17
56,17489,3259.0,103.0,211369.0,,04/05/2020,09:11:08
57,18350,3771.0,107.0,211369.0,,05/05/2020,14:11:06
58,19255,4388.0,112.0,220045.0,,06/05/2020,09:30:15
59,20168,5067.0,116.0,229466.0,,07/05/2020,12:30:43
60,21101,5484.0,121.0,240146.0,,07/05/2020,20:30:27
61,20168,5067.0,116.0,229466.0,,07/05/2020,21:17:20
62,21101,5484.0,121.0,240146.0,,08/05/2020,14:24:30
63,22052,6050.0,126.0,251771.0,,09/05/2020,12:30:08
64,22973,6406.0,131.0,263543.0,,10/05/2020,12:31:53
65,23906,6531.0,135.0,274060.0,,11/05/2020,09:47:35
66,24873,6974.0,142.0,284445.0,,12/05/2020,15:39:30
67,25825,7711.0,146.0,296380.0,,13/05/2020,13:10:07
68,26772,8168.0,151.0,308156.0,,14/05/2020,10:47:33
69,27730,8807.0,156.0,321705.0,9449712.0,15/05/2020,12:57:02
70,28681,9498.0,160.0,335057.0,9449703.0,16/05/2020,12:01:54
71,29650,9932.0,165.0,350515.0,9449695.0,17/05/2020,11:05:24
72,30572,10130.0,171.0,364319.0,9449686.0,18/05/2020,11:30:04
73,31508,10620.0,175.0,375076.0,9449678.0,19/05/2020,10:01:07
74,32426,11415.0,179.0,387673.0,9449669.0,20/05/2020,13:20:53
75,33371,12057.0,185.0,403236.0,9449661.0,21/05/2020,07:23:54
76,34303,12833.0,190.0,419004.0,9449653.0,22/05/2020,11:32:24
77,35244,13528.0,194.0,434618.0,9449644.0,23/05/2020,10:30:09
78,36198,14155.0,199.0,450627.0,9449636.0,24/05/2020,09:52:25
79,37144,14449.0,204.0,463004.0,9449627.0,25/05/2020,12:01:24
80,38059,15086.0,208.0,472906.0,9449619.0,26/05/2020,10:00:16
81,38956,15923.0,214.0,485534.0,9449610.0,27/05/2020,10:13:43
82,39858,16660.0,219.0,499249.0,9449602.0,28/05/2020,10:49:24
83,40764,17390.0,224.0,512418.0,9449593.0,29/05/2020,12:00:49
84,41658,17964.0,229.0,526559.0,9449585.0,30/05/2020,11:46:08
85,42556,18514.0,235.0,541093.0,9449576.0,31/05/2020,12:26:23
86,43403,18776.0,240.0,553377.0,9449568.0,01/06/2020,11:59:06
87,44255,19195.0,243.0,562945.0,9449559.0,02/06/2020,12:03:30
88,45116,20171.0,248.0,573699.0,9449551.0,03/06/2020,12:25:15
89,45981,21162.0,253.0,585065.0,9449542.0,04/06/2020,12:08:09
90,46868,22066.0,259.0,597013.0,9449534.0,05/06/2020,10:25:25
91,47751,23015.0,263.0,609671.0,9449526.0,06/06/2020,12:21:36
92,48630,23647.0,269.0,622313.0,9449517.0,07/06/2020,10:55:06
93,49453,23880.0,276.0,632993.0,9449509.0,08/06/2020,09:34:21
94,50265,24506.0,282.0,644160.0,9449500.0,09/06/2020,11:27:12
95,51066,25667.0,288.0,659565.0,9449492.0,10/06/2020,12:07:28
96,51816,26643.0,293.0,678570.0,9449483.0,11/06/2020,11:01:40
97,52520,27760.0,298.0,697011.0,9449475.0,12/06/2020,11:30:14
98,53241,29111.0,303.0,714324.0,9449466.0,13/06/2020,19:32:47
99,53973,30103.0,308.0,733788.0,9449458.0,14/06/2020,12:01:43
100,54680,30420.0,312.0,749917.0,9449449.0,15/06/2020,11:22:32
101,54680,30420.0,312.0,733788.0,9449449.0,15/06/2020,11:31:02
102,55369,31273.0,318.0,760549.0,9449441.0,16/06/2020,12:00:17
103,56032,32735.0,324.0,778935.0,9449432.0,17/06/2020,10:18:40
104,56657,34023.0,331.0,800435.0,9449424.0,18/06/2020,11:33:02
105,57333,35275.0,337.0,821887.0,9449416.0,19/06/2020,11:30:20
106,57936,36749.0,343.0,842173.0,9449407.0,20/06/2020,10:26:18
107,58505,37666.0,346.0,861703.0,9449399.0,21/06/2020,10:59:31
108,59023,37923.0,351.0,876639.0,9449390.0,22/06/2020,12:01:47
109,59487,38688.0,357.0,886248.0,9449382.0,23/06/2020,11:13:46
110,59945,40136.0,362.0,901904.0,9449373.0,24/06/2020,11:50:03
111,60382,41448.0,367.0,919139.0,9449365.0,25/06/2020,11:31:58
112,60713,42689.0,373.0,939524.0,9449356.0,26/06/2020,12:32:03
113,61095,44126.0,377.0,959880.0,9449348.0,27/06/2020,11:38:58
114,61475,45027.0,383.0,979800.0,9449339.0,28/06/2020,12:36:00
115,61790,45213.0,387.0,992007.0,9449331.0,29/06/2020,11:41:09
116,62118,46054.0,392.0,1000785.0,9449322.0,30/06/2020,12:14:51
117,62424,47553.0,398.0,1013056.0,9449314.0,01/07/2020,11:34:49
118,62698,48738.0,405.0,1028349.0,9449306.0,02/07/2020,10:47:33
119,62997,49909.0,412.0,1043876.0,9449297.0,03/07/2020,14:41:19
120,63270,50669.0,418.0,1059299.0,9449289.0,04/07/2020,13:31:58
121,63554,50871.0,423.0,1068029.0,9449280.0,05/07/2020,13:59:50
122,63804,51120.0,429.0,1074240.0,9449272.0,06/07/2020,12:00:12
123,64003,51902.0,436.0,1074240.0,9449263.0,07/07/2020,12:02:37
124,64224,52854.0,443.0,1087245.0,9449255.0,08/07/2020,12:30:48
125,64411,53609.0,449.0,1087245.0,9449246.0,09/07/2020,14:30:24
126,64604,54254.0,454.0,1111614.0,9449238.0,10/07/2020,11:00:08
127,64767,54919.0,459.0,1123158.0,9449229.0,11/07/2020,11:10:56
128,64932,55380.0,464.0,1134653.0,9449221.0,12/07/2020,10:57:17
129,65114,55492.0,468.0,1141580.0,9449212.0,13/07/2020,11:46:47
130,65269,55799.0,474.0,1144696.0,9449204.0,14/07/2020,10:48:23
131,65443,56379.0,480.0,1151734.0,9449196.0,15/07/2020,11:01:43
132,65623,56915.0,485.0,1162280.0,9449187.0,16/07/2020,10:52:11
133,65782,57370.0,491.0,1162280.0,9449179.0,17/07/2020,11:59:37
134,65953,57856.0,495.0,1183007.0,9449170.0,18/07/2020,11:02:08
135,66095,58204.0,499.0,1193162.0,9449162.0,19/07/2020,11:31:12
136,66213,58290.0,503.0,1999317.0,9449153.0,20/07/2020,11:28:20
137,66348,58592.0,507.0,1202214.0,9449145.0,21/07/2020,12:54:47
138,66521,59061.0,513.0,1209400.0,9449136.0,22/07/2020,11:32:44
139,66688,59439.0,519.0,1219705.0,9449128.0,23/07/2020,11:59:29
140,66846,59755.0,524.0,1230684.0,9449119.0,24/07/2020,11:05:35
141,67002,60092.0,530.0,1241624.0,9449111.0,25/07/2020,11:03:25
142,67132,60425.0,534.0,1251359.0,9449102.0,26/07/2020,13:39:49
143,67251,60492.0,538.0,1257399.0,9449094.0,27/07/2020,12:51:32
144,67366,60669.0,543.0,1270082.0,9449086.0,28/07/2020,11:01:54
145,67518,61442.0,548.0,1278583.0,9449077.0,29/07/2020,12:54:29
146,67665,61765.0,553.0,1288586.0,9449069.0,30/07/2020,10:49:10
147,67808,62444.0,559.0,1299428.0,9449060.0,31/07/2020,11:21:33
148,67946,62686.0,563.0,1309823.0,9449052.0,01/08/2020,14:37:47
149,68067,62896.0,567.0,1319976.0,9449043.0,02/08/2020,12:45:18
150,68166,62943.0,571.0,1323814.0,9449035.0,03/08/2020,11:20:14
151,68250,63163.0,574.0,1325776.0,9449026.0,04/08/2020,12:34:04
152,68376,63425.0,577.0,1334868.0,9449018.0,05/08/2020,11:35:37
153,68503,63756.0,580.0,1344303.0,9449009.0,06/08/2020,10:26:02
154,68614,64200.0,583.0,1353657.0,9449001.0,07/08/2020,14:50:37
155,68738,64744.0,585.0,1363011.0,9448992.0,08/08/2020,14:08:15
156,68850,64935.0,587.0,1372691.0,9448984.0,09/08/2020,11:28:06
157,68947,64991.0,589.0,1376189.0,9448976.0,10/08/2020,13:53:27
158,69005,65219.0,592.0,1377540.0,9448967.0,11/08/2020,10:57:40
159,69102,65893.0,595.0,1384026.0,9448959.0,12/08/2020,12:15:47
160,69203,66178.0,599.0,1392662.0,9448950.0,13/08/2020,14:30:18
