,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,04/02/2020,23:07:01
1,1,1.0,,,,16/02/2020,03:02:15
2,2,1.0,,,,01/03/2020,11:21:36
3,8,1.0,,,,02/03/2020,10:09:20
4,13,1.0,,,,03/03/2020,11:39:57
5,15,1.0,,,,04/03/2020,05:08:36
6,23,1.0,,,,04/03/2020,11:16:23
7,50,1.0,,,,05/03/2020,11:02:34
8,109,1.0,,,,06/03/2020,11:35:51
9,169,1.0,,,,07/03/2020,12:41:40
10,200,1.0,,,,08/03/2020,11:25:12
11,239,1.0,,,,09/03/2020,11:21:23
12,267,1.0,,,,10/03/2020,11:21:35
13,314,1.0,1.0,,,11/03/2020,12:13:51
14,314,1.0,3.0,,,11/03/2020,15:56:47
15,399,1.0,3.0,,,12/03/2020,12:51:23
16,556,1.0,3.0,,,13/03/2020,13:16:57
17,559,1.0,3.0,,,13/03/2020,16:06:14
18,689,1.0,4.0,,,14/03/2020,11:35:52
19,886,1.0,4.0,,,15/03/2020,11:37:39
20,1058,1.0,4.0,,,16/03/2020,10:13:08
21,1058,1.0,5.0,,,16/03/2020,10:35:04
22,1058,1.0,10.0,,,16/03/2020,18:50:36
23,1243,1.0,10.0,,,17/03/2020,10:22:34
24,1243,14.0,10.0,,,17/03/2020,14:00:11
25,1486,14.0,10.0,,,18/03/2020,10:24:24
26,1486,14.0,14.0,,,18/03/2020,12:00:36
27,1486,31.0,14.0,,,18/03/2020,13:49:49
28,1759,31.0,21.0,,,19/03/2020,10:28:55
29,1795,31.0,21.0,,,19/03/2020,11:18:34
30,1795,155.0,21.0,,,19/03/2020,13:11:27
31,1795,165.0,21.0,,,19/03/2020,15:53:36
32,2257,165.0,37.0,,,20/03/2020,10:17:14
33,2257,204.0,37.0,,,20/03/2020,10:20:25
34,2815,204.0,67.0,,,21/03/2020,10:16:15
35,2815,263.0,67.0,,,21/03/2020,11:01:21
36,3401,263.0,75.0,,,22/03/2020,11:36:17
37,3401,340.0,75.0,,,23/03/2020,04:00:27
38,3743,350.0,88.0,,,23/03/2020,10:30:08
39,3743,401.0,88.0,,,23/03/2020,12:59:05
40,4269,461.0,122.0,,,24/03/2020,10:31:11
41,4937,547.0,173.0,,,25/03/2020,10:30:18
42,4937,547.0,178.0,,,25/03/2020,10:57:01
43,6235,675.0,220.0,,,26/03/2020,10:30:43
44,7284,858.0,289.0,,,27/03/2020,10:29:23
45,9134,1063.0,353.0,,,28/03/2020,10:22:24
46,10836,1359.0,431.0,,,29/03/2020,09:31:16
47,11899,1527.0,513.0,,,30/03/2020,09:53:29
48,12775,1696.0,705.0,,,31/03/2020,09:54:18
49,12775,1698.0,705.0,,,31/03/2020,10:34:05
50,12775,1696.0,705.0,,,31/03/2020,11:52:57
51,13964,2132.0,828.0,,,01/04/2020,09:39:09
52,15348,2495.0,1011.0,,,02/04/2020,10:05:12
53,16770,2872.0,1143.0,,,03/04/2020,09:54:51
54,16770,2872.0,1143.0,62867.0,,04/04/2020,03:58:25
55,18431,3247.0,1283.0,62867.0,,04/04/2020,09:51:17
56,18431,3247.0,1283.0,70000.0,,04/04/2020,22:22:17
57,19691,3751.0,1447.0,70000.0,,05/04/2020,09:32:01
58,20814,3986.0,1632.0,70000.0,,06/04/2020,09:16:50
59,22194,4157.0,2035.0,70000.0,,07/04/2020,09:44:01
