,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,23/03/2020,15:56:02
1,2,,,,,25/03/2020,23:17:54
2,3,,,,,30/03/2020,16:02:13
3,4,,,,,03/04/2020,14:59:10
4,4,,,25.0,,04/04/2020,03:58:25
5,5,,,102.0,,05/04/2020,14:43:15
6,5,,1.0,102.0,,06/04/2020,04:30:37
7,7,,1.0,268.0,,06/04/2020,16:40:03
8,8,,1.0,268.0,,08/04/2020,14:15:38
9,8,,1.0,334.0,,09/04/2020,05:35:00
10,9,,1.0,364.0,,09/04/2020,17:02:58
11,10,,1.0,364.0,,10/04/2020,13:07:56
12,10,,2.0,364.0,,10/04/2020,18:10:49
13,13,,2.0,364.0,,11/04/2020,17:00:04
14,14,,2.0,364.0,,12/04/2020,17:00:08
15,18,,2.0,567.0,,13/04/2020,11:07:56
16,18,,2.0,651.0,,17/04/2020,07:00:06
17,18,2.0,2.0,651.0,,19/04/2020,19:47:39
18,18,2.0,2.0,785.0,,22/04/2020,12:00:06
19,18,5.0,2.0,816.0,,23/04/2020,04:00:05
20,18,6.0,2.0,936.0,,27/04/2020,16:29:43
21,18,9.0,2.0,995.0,,29/04/2020,00:04:29
22,18,13.0,2.0,1043.0,,01/05/2020,03:30:45
23,18,14.0,2.0,1043.0,,05/05/2020,02:01:01
24,18,16.0,2.0,1043.0,,05/05/2020,22:31:03
25,18,16.0,2.0,1363.0,396752.0,20/05/2020,15:47:33
26,18,16.0,2.0,1435.0,396791.0,22/05/2020,15:40:17
27,18,16.0,2.0,1485.0,396870.0,26/05/2020,02:52:39
28,18,16.0,2.0,1517.0,396890.0,27/05/2020,08:32:32
29,18,16.0,2.0,1572.0,396929.0,29/05/2020,07:29:58
30,18,16.0,2.0,1671.0,397048.0,04/06/2020,00:18:24
31,19,16.0,2.0,1741.0,397087.0,06/06/2020,00:14:45
32,20,16.0,2.0,1776.0,397166.0,10/06/2020,00:01:13
33,21,16.0,2.0,1912.0,397265.0,15/06/2020,12:48:49
34,22,16.0,2.0,1957.0,397304.0,17/06/2020,04:34:49
35,22,17.0,2.0,1957.0,397364.0,20/06/2020,00:26:42
36,22,17.0,2.0,1998.0,397383.0,21/06/2020,03:30:05
37,23,17.0,2.0,2043.0,397423.0,23/06/2020,02:01:09
38,24,18.0,2.0,2188.0,397502.0,27/06/2020,01:30:26
39,28,18.0,2.0,2281.0,397581.0,01/07/2020,14:30:41
40,30,19.0,2.0,2358.0,397640.0,04/07/2020,02:30:13
41,30,19.0,2.0,2396.0,397680.0,06/07/2020,23:51:14
42,30,19.0,2.0,2459.0,397719.0,08/07/2020,01:32:15
43,33,20.0,2.0,2499.0,397759.0,10/07/2020,06:00:15
44,37,20.0,2.0,2577.0,397778.0,11/07/2020,02:08:41
45,39,21.0,2.0,2665.0,397838.0,14/07/2020,23:59:35
46,40,22.0,2.0,2786.0,397897.0,17/07/2020,00:56:19
47,40,22.0,2.0,2834.0,397976.0,21/07/2020,01:35:37
48,42,22.0,2.0,2958.0,397976.0,21/07/2020,07:03:04
49,43,23.0,2.0,3025.0,397996.0,22/07/2020,05:00:27
50,47,25.0,2.0,3108.0,398035.0,24/07/2020,03:00:05
51,48,26.0,2.0,3166.0,398055.0,25/07/2020,04:30:06
52,48,27.0,2.0,3251.0,398134.0,29/07/2020,01:53:31
53,48,30.0,2.0,3439.0,398193.0,01/08/2020,04:08:34
54,56,30.0,2.0,3483.0,398213.0,02/08/2020,02:23:22
55,57,30.0,2.0,3484.0,398213.0,02/08/2020,19:34:13
56,72,31.0,2.0,3628.0,398272.0,05/08/2020,05:27:03
57,86,31.0,2.0,3679.0,398292.0,06/08/2020,03:45:59
58,114,32.0,2.0,3800.0,398312.0,07/08/2020,04:41:14
59,146,32.0,2.0,4014.0,398331.0,08/08/2020,14:08:15
60,153,32.0,2.0,4014.0,398371.0,10/08/2020,03:12:03
61,154,32.0,2.0,4031.0,398371.0,10/08/2020,10:50:52
62,177,32.0,2.0,4175.0,398391.0,11/08/2020,04:28:00
63,210,32.0,2.0,4259.0,398410.0,12/08/2020,12:15:47
64,296,32.0,2.0,4516.0,398430.0,13/08/2020,05:55:15
65,356,32.0,2.0,4688.0,398450.0,14/08/2020,14:17:35
66,356,32.0,3.0,4688.0,398470.0,15/08/2020,03:15:45
67,388,35.0,3.0,4860.0,398470.0,15/08/2020,05:04:21
68,452,35.0,3.0,5117.0,398489.0,16/08/2020,05:55:52
69,475,38.0,4.0,5281.0,398529.0,18/08/2020,05:14:11
70,553,38.0,4.0,5592.0,398549.0,19/08/2020,04:33:01
71,553,38.0,5.0,5592.0,398568.0,20/08/2020,16:06:02
72,605,38.0,5.0,5592.0,398568.0,20/08/2020,20:28:33
73,605,38.0,5.0,5855.0,398588.0,21/08/2020,02:59:22
74,648,43.0,5.0,6128.0,398588.0,21/08/2020,23:15:07
75,668,44.0,6.0,6293.0,398608.0,22/08/2020,23:39:21
76,686,44.0,6.0,6458.0,398628.0,23/08/2020,23:59:29
77,713,45.0,10.0,6639.0,398647.0,24/08/2020,20:58:51
78,730,48.0,10.0,6768.0,398667.0,25/08/2020,23:22:35
79,760,54.0,11.0,7034.0,398687.0,26/08/2020,20:54:08
80,818,54.0,12.0,7289.0,398707.0,27/08/2020,22:01:53
81,870,93.0,12.0,7622.0,398726.0,28/08/2020,22:10:41
82,964,115.0,13.0,7965.0,398766.0,30/08/2020,05:27:45
83,993,117.0,13.0,8050.0,398786.0,31/08/2020,02:02:07
84,1007,173.0,13.0,8143.0,398786.0,31/08/2020,22:54:39
85,1050,213.0,13.0,8460.0,398805.0,01/09/2020,23:59:33
86,1101,240.0,13.0,8721.0,398845.0,03/09/2020,03:19:19
87,1118,255.0,13.0,8812.0,398865.0,04/09/2020,06:10:19
88,1152,271.0,15.0,9073.0,398884.0,05/09/2020,00:19:43
89,1194,287.0,15.0,9421.0,398904.0,06/09/2020,00:42:45
90,1307,314.0,16.0,9863.0,398944.0,08/09/2020,00:44:03
91,1361,321.0,16.0,10112.0,398963.0,09/09/2020,04:41:26
92,1365,326.0,18.0,10193.0,398983.0,10/09/2020,03:40:06
93,1399,360.0,19.0,10510.0,399003.0,11/09/2020,04:43:13
94,1435,404.0,19.0,10814.0,399023.0,12/09/2020,03:44:20
95,1458,458.0,19.0,11066.0,399042.0,13/09/2020,03:52:05
96,1480,492.0,19.0,11322.0,399062.0,14/09/2020,05:04:14
97,1501,540.0,19.0,11491.0,399082.0,15/09/2020,04:24:14
98,1528,663.0,19.0,11825.0,399102.0,16/09/2020,02:23:26
99,1536,696.0,19.0,11958.0,399121.0,17/09/2020,03:48:16
100,1567,742.0,19.0,12182.0,399141.0,18/09/2020,02:33:22
101,1590,812.0,20.0,12429.0,399161.0,19/09/2020,03:24:46
102,1606,876.0,20.0,12685.0,399181.0,20/09/2020,04:03:12
103,1627,918.0,21.0,12852.0,399200.0,21/09/2020,04:21:40
104,1635,967.0,21.0,13058.0,399220.0,22/09/2020,03:24:58
105,1669,1004.0,21.0,13251.0,399240.0,23/09/2020,18:09:42
106,1706,1019.0,22.0,13419.0,399260.0,24/09/2020,03:35:52
107,1758,1072.0,22.0,13719.0,399279.0,25/09/2020,09:06:05
108,1808,1134.0,23.0,14030.0,399299.0,26/09/2020,06:54:21
109,1825,1165.0,24.0,14189.0,399319.0,27/09/2020,08:33:38
110,1854,1196.0,24.0,14441.0,399339.0,28/09/2020,04:52:27
111,1891,1208.0,24.0,14556.0,399358.0,29/09/2020,04:01:30
112,1943,1225.0,26.0,14780.0,399378.0,30/09/2020,04:49:05
113,1992,1246.0,27.0,14964.0,399398.0,01/10/2020,05:55:49
114,2026,1272.0,27.0,15144.0,399418.0,02/10/2020,04:57:46
115,2080,1290.0,28.0,15323.0,399437.0,03/10/2020,04:51:07
116,2131,1346.0,29.0,15729.0,399457.0,04/10/2020,04:51:14
117,2196,1378.0,30.0,15982.0,399477.0,05/10/2020,04:54:09
118,2204,1378.0,30.0,16071.0,399497.0,06/10/2020,07:12:32
119,2243,1392.0,34.0,16246.0,399516.0,07/10/2020,03:18:17
120,2310,1427.0,34.0,16552.0,399536.0,08/10/2020,03:46:15
121,2373,1459.0,34.0,16812.0,399556.0,09/10/2020,04:32:23
122,2427,1487.0,35.0,17072.0,399576.0,10/10/2020,02:54:25
123,2496,1531.0,36.0,17500.0,399595.0,11/10/2020,06:04:42
124,2531,1548.0,37.0,17663.0,399615.0,12/10/2020,04:11:28
125,2569,1566.0,37.0,17836.0,399635.0,13/10/2020,05:41:03
126,2585,1580.0,39.0,18006.0,399655.0,14/10/2020,04:45:47
127,2619,1596.0,40.0,18254.0,399674.0,15/10/2020,03:27:18
128,2813,1670.0,44.0,19197.0,399753.0,17/10/2020,18:13:13
129,2833,1692.0,45.0,19351.0,399773.0,20/10/2020,04:37:08
130,2886,1727.0,45.0,19690.0,399793.0,21/10/2020,02:42:18
131,2937,1756.0,46.0,20021.0,399813.0,22/10/2020,05:44:54
132,2995,1826.0,46.0,20458.0,399832.0,23/10/2020,03:03:21
133,3050,1872.0,46.0,20807.0,399852.0,24/10/2020,04:41:46
134,3106,1921.0,48.0,21150.0,399872.0,25/10/2020,09:51:12
135,3145,1961.0,50.0,21400.0,399892.0,26/10/2020,05:22:29
136,3200,2031.0,51.0,21646.0,399911.0,27/10/2020,05:55:11
137,3232,2045.0,51.0,21802.0,399931.0,28/10/2020,12:23:23
