,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,16/03/2020,14:30:07
1,2,,,,,18/03/2020,13:49:49
2,5,,,,,23/03/2020,22:30:37
3,6,,,,,24/03/2020,02:20:46
4,6,1.0,,,,31/03/2020,08:58:35
5,9,1.0,,,,31/03/2020,16:41:57
6,13,1.0,,,,01/04/2020,20:14:33
7,16,2.0,,,,03/04/2020,19:03:19
8,22,5.0,,,,05/04/2020,17:55:13
9,22,5.0,1.0,,,06/04/2020,12:12:53
10,23,5.0,1.0,,,06/04/2020,16:13:24
11,26,5.0,1.0,,,06/04/2020,23:07:56
12,35,5.0,1.0,,,10/04/2020,15:11:59
13,35,18.0,1.0,,,14/04/2020,15:17:16
14,54,27.0,1.0,,,20/04/2020,12:28:28
15,64,33.0,1.0,,,26/04/2020,20:30:36
16,90,42.0,2.0,,,01/05/2020,19:00:04
17,96,50.0,2.0,,,04/05/2020,09:01:17
18,140,53.0,2.0,,,07/05/2020,09:00:05
19,242,62.0,2.0,,,07/05/2020,20:30:27
20,140,53.0,2.0,,,07/05/2020,21:17:20
21,242,62.0,2.0,,,08/05/2020,10:59:54
22,284,62.0,2.0,19474.0,,09/05/2020,14:00:05
23,319,62.0,2.0,19474.0,,10/05/2020,11:31:42
24,319,62.0,2.0,22808.0,,11/05/2020,22:17:21
25,327,76.0,2.0,25015.0,,12/05/2020,15:39:30
26,327,83.0,2.0,25471.0,,13/05/2020,09:28:29
27,339,83.0,2.0,25471.0,,14/05/2020,22:15:16
28,130,83.0,2.0,25471.0,12083204.0,20/05/2020,00:09:48
29,130,83.0,2.0,26431.0,12083204.0,20/05/2020,22:30:36
30,130,57.0,2.0,26431.0,12084074.0,21/05/2020,07:23:54
31,135,61.0,3.0,26792.0,12084074.0,21/05/2020,17:07:19
32,191,82.0,3.0,27954.0,12086686.0,24/05/2020,17:32:01
33,191,84.0,3.0,27954.0,12087557.0,25/05/2020,12:01:24
34,191,84.0,3.0,28015.0,12087557.0,25/05/2020,23:42:52
35,208,118.0,3.0,28015.0,12088427.0,26/05/2020,12:29:54
36,208,118.0,3.0,28179.0,12088427.0,26/05/2020,16:26:04
37,210,134.0,3.0,28179.0,12089298.0,27/05/2020,15:01:22
38,210,134.0,3.0,28324.0,12090168.0,28/05/2020,23:27:44
