,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,18/03/2020,21:36:53
1,6,,,,,23/03/2020,00:19:40
2,7,,,,,25/03/2020,22:12:13
3,7,2.0,,,,26/03/2020,11:01:02
4,15,2.0,,,,26/03/2020,22:47:14
5,17,2.0,,,,27/03/2020,22:31:35
6,22,2.0,,,,29/03/2020,12:05:53
7,27,2.0,,,,30/03/2020,21:54:32
8,27,10.0,,,,31/03/2020,10:58:49
9,32,10.0,,,,31/03/2020,21:57:09
10,35,11.0,,,,02/04/2020,22:06:41
11,35,14.0,,,,03/04/2020,21:05:12
12,35,14.0,,272.0,,04/04/2020,03:58:25
13,37,14.0,,291.0,,05/04/2020,00:01:12
14,37,14.0,,298.0,,05/04/2020,23:22:56
15,39,17.0,2.0,298.0,,06/04/2020,21:53:19
16,39,17.0,2.0,306.0,,07/04/2020,11:19:43
17,39,23.0,3.0,315.0,,08/04/2020,21:39:06
18,48,25.0,4.0,354.0,,09/04/2020,22:04:20
19,50,28.0,4.0,416.0,,12/04/2020,01:37:56
20,57,29.0,4.0,416.0,,13/04/2020,00:00:03
21,57,30.0,5.0,416.0,,13/04/2020,21:49:48
22,81,33.0,5.0,527.0,,15/04/2020,22:00:02
23,83,35.0,5.0,552.0,,17/04/2020,09:00:05
24,86,35.0,5.0,638.0,,19/04/2020,09:00:06
25,86,37.0,5.0,651.0,,20/04/2020,23:40:25
26,86,35.0,5.0,638.0,,21/04/2020,00:00:05
27,86,37.0,5.0,651.0,,21/04/2020,00:07:03
28,89,39.0,5.0,877.0,,22/04/2020,01:30:04
29,98,39.0,5.0,877.0,,22/04/2020,02:00:06
30,99,39.0,5.0,877.0,,22/04/2020,22:23:38
31,99,39.0,5.0,949.0,,22/04/2020,22:32:10
32,109,39.0,5.0,1173.0,,25/04/2020,23:20:59
33,109,39.0,6.0,1546.0,,27/04/2020,02:57:23
34,110,44.0,6.0,1682.0,,28/04/2020,02:05:53
35,111,48.0,6.0,2197.0,,29/04/2020,21:49:58
36,114,48.0,6.0,2500.0,,01/05/2020,00:21:15
37,114,48.0,6.0,2791.0,,01/05/2020,23:00:36
38,114,51.0,7.0,2819.0,,02/05/2020,22:21:45
39,115,51.0,7.0,3144.0,,03/05/2020,23:29:01
40,115,54.0,7.0,3270.0,,04/05/2020,21:31:13
41,115,54.0,7.0,3374.0,,06/05/2020,00:11:33
42,118,59.0,7.0,3569.0,,06/05/2020,23:44:02
43,118,61.0,7.0,3719.0,,07/05/2020,20:30:27
44,118,59.0,7.0,3569.0,,07/05/2020,21:17:20
45,118,61.0,7.0,3719.0,,08/05/2020,00:30:45
46,118,64.0,7.0,3854.0,,09/05/2020,14:32:56
47,118,64.0,7.0,4020.0,,10/05/2020,01:00:13
48,119,66.0,8.0,4489.0,,11/05/2020,20:55:10
49,121,66.0,8.0,4551.0,,12/05/2020,20:30:16
50,121,66.0,8.0,4642.0,,12/05/2020,23:44:31
51,122,66.0,9.0,4691.0,,14/05/2020,22:15:16
52,123,73.0,9.0,5017.0,62306.0,16/05/2020,23:00:04
53,125,77.0,9.0,5549.0,62304.0,19/05/2020,00:06:01
54,125,78.0,9.0,5705.0,62303.0,20/05/2020,00:09:48
55,125,80.0,9.0,5719.0,62303.0,20/05/2020,22:30:36
56,125,80.0,9.0,5784.0,62302.0,22/05/2020,00:01:45
57,128,81.0,9.0,5784.0,62302.0,22/05/2020,22:02:18
58,128,81.0,9.0,6133.0,62301.0,23/05/2020,01:02:33
59,133,81.0,9.0,6362.0,62301.0,24/05/2020,07:00:32
60,133,89.0,9.0,6603.0,62300.0,25/05/2020,21:38:58
61,139,89.0,9.0,6773.0,62299.0,26/05/2020,22:30:05
62,139,91.0,9.0,6773.0,62299.0,27/05/2020,00:01:05
63,139,91.0,9.0,6826.0,62298.0,28/05/2020,00:15:46
64,140,92.0,9.0,6941.0,62298.0,28/05/2020,23:42:47
65,140,92.0,9.0,7171.0,62296.0,31/05/2020,00:02:00
66,141,112.0,9.0,7506.0,62296.0,01/06/2020,23:19:02
67,141,113.0,9.0,7649.0,62295.0,02/06/2020,23:02:50
68,141,113.0,9.0,7679.0,62294.0,03/06/2020,22:00:14
69,141,114.0,9.0,7891.0,62293.0,05/06/2020,23:06:22
70,141,120.0,9.0,8169.0,62291.0,09/06/2020,01:06:13
71,141,125.0,9.0,8169.0,62290.0,10/06/2020,23:01:10
72,141,125.0,9.0,8359.0,62289.0,11/06/2020,00:01:38
73,141,127.0,9.0,8430.0,62289.0,11/06/2020,23:49:16
74,142,127.0,9.0,8430.0,62288.0,13/06/2020,19:32:47
75,144,127.0,9.0,8430.0,62287.0,15/06/2020,19:30:57
76,144,128.0,9.0,9246.0,62286.0,17/06/2020,00:24:49
77,144,128.0,9.0,9370.0,62285.0,18/06/2020,00:52:44
78,144,128.0,9.0,9493.0,62284.0,19/06/2020,07:30:42
79,146,132.0,9.0,9747.0,62284.0,20/06/2020,02:22:27
80,146,132.0,9.0,9979.0,62284.0,20/06/2020,22:39:46
81,146,132.0,9.0,10315.0,62282.0,23/06/2020,00:25:55
82,146,132.0,9.0,10373.0,62281.0,24/06/2020,02:31:07
83,146,132.0,9.0,10414.0,62281.0,25/06/2020,00:00:12
84,146,133.0,9.0,10634.0,62281.0,25/06/2020,23:54:32
85,146,134.0,9.0,10794.0,62279.0,27/06/2020,21:00:27
86,146,134.0,9.0,10920.0,62279.0,28/06/2020,23:30:24
87,146,135.0,9.0,11298.0,62278.0,30/06/2020,00:56:53
88,146,135.0,9.0,11404.0,62278.0,30/06/2020,23:48:08
89,146,135.0,9.0,11723.0,62276.0,03/07/2020,00:00:11
90,146,137.0,9.0,11908.0,62276.0,03/07/2020,22:32:21
91,146,137.0,9.0,12046.0,62274.0,05/07/2020,00:01:03
92,146,137.0,9.0,12363.0,62273.0,07/07/2020,09:03:07
93,148,137.0,9.0,12544.0,62273.0,07/07/2020,23:20:42
94,149,137.0,9.0,12764.0,62272.0,09/07/2020,00:37:08
95,149,137.0,9.0,13047.0,62271.0,10/07/2020,00:03:29
96,150,137.0,9.0,13440.0,62271.0,11/07/2020,00:02:23
97,150,137.0,9.0,13710.0,62271.0,11/07/2020,23:59:50
98,150,137.0,9.0,14208.0,62269.0,14/07/2020,00:00:33
99,150,137.0,9.0,14467.0,62269.0,14/07/2020,23:59:35
100,150,137.0,9.0,14751.0,62268.0,16/07/2020,05:21:07
101,152,137.0,9.0,15114.0,62267.0,17/07/2020,00:56:19
102,153,137.0,9.0,16279.0,62266.0,19/07/2020,01:02:42
103,153,137.0,9.0,16852.0,62264.0,21/07/2020,01:04:45
104,153,137.0,9.0,17370.0,62264.0,22/07/2020,00:52:36
105,153,139.0,9.0,17958.0,62264.0,22/07/2020,22:34:45
106,153,139.0,9.0,18320.0,62263.0,24/07/2020,02:03:15
107,154,141.0,9.0,20407.0,62261.0,27/07/2020,22:34:28
108,156,141.0,9.0,20962.0,62259.0,29/07/2020,03:57:22
109,157,143.0,9.0,22011.0,62256.0,03/08/2020,04:20:27
110,157,143.0,9.0,22755.0,62256.0,03/08/2020,17:29:23
111,157,144.0,9.0,24242.0,62256.0,04/08/2020,00:10:15
112,157,144.0,9.0,24963.0,62255.0,05/08/2020,01:00:54
113,157,144.0,9.0,25697.0,62255.0,05/08/2020,23:59:26
114,157,144.0,9.0,26352.0,62254.0,06/08/2020,23:59:30
115,157,144.0,9.0,26853.0,62253.0,08/08/2020,00:34:30
116,158,144.0,9.0,27627.0,62252.0,10/08/2020,00:32:30
117,159,144.0,9.0,27627.0,62251.0,11/08/2020,18:14:41
118,159,145.0,9.0,27627.0,62251.0,12/08/2020,07:13:46
119,159,145.0,9.0,29481.0,62251.0,12/08/2020,16:13:28
120,159,145.0,9.0,30213.0,62250.0,13/08/2020,00:49:39
121,159,145.0,9.0,31021.0,62249.0,14/08/2020,00:41:43
122,159,145.0,9.0,31582.0,62249.0,14/08/2020,23:26:53
123,162,147.0,9.0,32415.0,62248.0,16/08/2020,01:30:47
124,166,147.0,9.0,33659.0,62247.0,18/08/2020,02:51:40
125,166,147.0,9.0,35054.0,62246.0,20/08/2020,00:40:14
126,166,147.0,9.0,36203.0,62245.0,21/08/2020,01:31:33
127,167,147.0,9.0,36998.0,62244.0,22/08/2020,00:42:30
128,167,149.0,9.0,37879.0,62244.0,23/08/2020,00:14:15
129,168,150.0,9.0,39372.0,62243.0,25/08/2020,00:49:16
130,168,151.0,9.0,40157.0,62242.0,26/08/2020,00:38:29
131,168,151.0,9.0,40926.0,62241.0,27/08/2020,00:40:02
132,168,151.0,9.0,41829.0,62241.0,28/08/2020,00:43:03
133,168,151.0,9.0,42710.0,62240.0,29/08/2020,00:39:24
134,169,153.0,9.0,43629.0,62239.0,30/08/2020,00:40:53
135,172,155.0,9.0,45022.0,62238.0,01/09/2020,00:43:13
136,172,157.0,9.0,45756.0,62238.0,01/09/2020,22:04:51
137,172,157.0,9.0,46667.0,62237.0,03/09/2020,02:08:57
138,174,157.0,9.0,47557.0,62236.0,04/09/2020,00:14:40
139,175,158.0,9.0,48220.0,62236.0,05/09/2020,00:45:54
140,177,159.0,9.0,51279.0,62233.0,09/09/2020,21:10:37
141,177,160.0,9.0,53057.0,62233.0,10/09/2020,23:56:07
142,177,161.0,9.0,53833.0,62231.0,12/09/2020,00:01:14
143,177,164.0,9.0,55911.0,62229.0,15/09/2020,23:02:38
144,178,164.0,9.0,56728.0,62229.0,16/09/2020,23:05:18
145,180,166.0,9.0,58742.0,62226.0,20/09/2020,01:10:42
146,181,167.0,9.0,60717.0,62224.0,24/09/2020,01:16:53
147,181,167.0,9.0,61504.0,62223.0,25/09/2020,00:40:12
148,181,167.0,9.0,61848.0,62223.0,25/09/2020,23:33:46
149,181,167.0,9.0,62408.0,62222.0,27/09/2020,01:58:54
150,181,167.0,9.0,63640.0,62221.0,29/09/2020,01:10:49
151,181,167.0,9.0,64613.0,62219.0,01/10/2020,00:35:34
152,181,168.0,9.0,65508.0,62219.0,01/10/2020,22:43:46
153,181,169.0,9.0,65904.0,62218.0,03/10/2020,01:57:28
154,181,169.0,9.0,66664.0,62218.0,04/10/2020,01:16:59
155,181,170.0,9.0,67860.0,62216.0,06/10/2020,01:11:18
156,182,170.0,9.0,68956.0,62215.0,08/10/2020,22:11:09
157,184,170.0,9.0,69671.0,62214.0,09/10/2020,16:16:52
158,184,170.0,9.0,71024.0,62213.0,11/10/2020,00:43:57
159,184,172.0,9.0,72390.0,62212.0,13/10/2020,00:44:08
160,185,172.0,9.0,72941.0,62211.0,14/10/2020,00:40:27
161,185,172.0,9.0,74353.0,62208.0,17/10/2020,18:13:13
162,188,174.0,9.0,77453.0,62207.0,20/10/2020,23:59:42
163,188,174.0,9.0,78102.0,62206.0,22/10/2020,05:44:54
164,188,175.0,9.0,78690.0,62206.0,23/10/2020,02:06:40
165,190,175.0,9.0,79686.0,62206.0,23/10/2020,20:28:58
