,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,03:33:29
1,2,,,,,20/03/2020,08:58:28
2,3,,,,,27/03/2020,05:03:33
3,4,,,,,29/03/2020,04:29:08
4,5,1.0,,,,02/04/2020,02:13:31
5,5,2.0,,,,03/04/2020,06:58:38
6,5,2.0,,1166.0,,07/04/2020,08:21:53
7,5,2.0,,7913.0,,17/04/2020,14:00:07
8,5,2.0,,8107.0,,18/04/2020,12:00:04
9,5,2.0,,8570.0,,20/04/2020,14:00:09
10,6,2.0,,8765.0,,21/04/2020,00:07:03
11,6,2.0,,8953.0,,22/04/2020,12:00:06
12,7,2.0,,8953.0,,22/04/2020,23:54:14
13,7,3.0,,8953.0,,23/04/2020,05:00:04
14,7,4.0,,9791.0,,26/04/2020,11:02:22
15,7,4.0,,9829.0,,27/04/2020,06:30:24
16,7,5.0,,9865.0,,28/04/2020,02:05:53
17,7,5.0,,10045.0,,30/04/2020,06:32:24
18,7,5.0,,10101.0,,01/05/2020,06:03:40
19,7,5.0,,10548.0,,02/05/2020,06:30:08
20,7,5.0,,10761.0,,03/05/2020,04:15:41
21,7,5.0,,10980.0,,04/05/2020,04:14:28
22,7,5.0,,11015.0,,05/05/2020,04:50:42
23,7,5.0,,11373.0,,06/05/2020,03:30:14
24,7,5.0,,11492.0,,07/05/2020,05:46:40
25,7,5.0,,11568.0,,09/05/2020,04:30:14
26,7,5.0,,11655.0,,10/05/2020,06:02:08
27,9,5.0,,11673.0,,11/05/2020,01:51:54
28,7,5.0,,11655.0,,11/05/2020,02:00:05
29,9,5.0,,11673.0,,11/05/2020,03:00:32
30,11,5.0,,12163.0,,12/05/2020,15:39:30
31,11,5.0,,12255.0,,13/05/2020,05:16:27
32,15,5.0,,12438.0,,14/05/2020,05:08:27
33,15,5.0,,12932.0,,14/05/2020,06:47:18
34,19,5.0,,12932.0,,14/05/2020,10:31:18
35,20,5.0,,13311.0,770494.0,15/05/2020,05:31:30
36,21,5.0,,13311.0,770494.0,15/05/2020,09:30:11
37,21,5.0,,13660.0,770517.0,16/05/2020,04:46:11
38,21,5.0,,13701.0,770540.0,17/05/2020,05:10:40
39,21,5.0,,13962.0,770563.0,18/05/2020,06:02:18
40,21,5.0,,14223.0,770586.0,19/05/2020,04:39:36
41,21,5.0,,14294.0,770610.0,20/05/2020,09:33:06
42,21,6.0,,14527.0,770633.0,21/05/2020,07:23:54
43,21,6.0,,14843.0,770656.0,22/05/2020,04:00:04
44,24,6.0,,15293.0,770679.0,23/05/2020,04:54:30
45,27,6.0,,15342.0,770726.0,25/05/2020,04:00:05
46,27,6.0,,15607.0,770726.0,25/05/2020,06:54:19
47,27,6.0,,15862.0,770772.0,27/05/2020,04:30:04
48,28,6.0,,15862.0,770772.0,27/05/2020,15:01:22
49,28,6.0,,15862.0,770772.0,27/05/2020,16:10:09
50,31,6.0,,15862.0,770795.0,28/05/2020,09:24:03
