,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,11/03/2020,00:46:02
1,3,,,,,12/03/2020,16:55:24
2,10,,,,,14/03/2020,01:11:47
3,11,,,,,16/03/2020,10:06:33
4,12,,,,,17/03/2020,22:03:41
5,15,,,,,19/03/2020,13:00:05
6,17,,,,,20/03/2020,03:03:23
7,16,,,,,20/03/2020,14:01:10
8,19,,,,,21/03/2020,07:18:44
9,24,,,,,22/03/2020,14:31:27
10,27,,,,,23/03/2020,07:48:26
11,28,,,,,24/03/2020,05:32:33
12,29,,,,,24/03/2020,18:20:00
13,32,,,,,25/03/2020,03:30:15
14,38,,,,,26/03/2020,01:04:00
15,39,,,,,26/03/2020,11:20:38
16,40,,,,,26/03/2020,16:45:58
17,43,,,,,26/03/2020,20:56:30
18,61,,,,,27/03/2020,00:30:39
19,74,,,,,28/03/2020,02:31:47
20,81,,,,,29/03/2020,01:45:55
21,81,,1.0,,,29/03/2020,15:35:16
22,96,,1.0,,,30/03/2020,05:24:45
23,96,,3.0,,,30/03/2020,11:30:05
24,96,,4.0,,,30/03/2020,13:53:22
25,97,,4.0,,,30/03/2020,15:02:49
26,107,,6.0,,,31/03/2020,05:57:14
27,115,,7.0,,,01/04/2020,02:05:12
28,115,1.0,7.0,,,01/04/2020,03:32:33
29,123,1.0,7.0,,,02/04/2020,07:01:49
30,123,1.0,8.0,,,02/04/2020,15:51:12
31,132,1.0,9.0,,,03/04/2020,01:18:00
32,139,1.0,10.0,,,04/04/2020,01:47:29
33,139,1.0,10.0,591.0,,04/04/2020,03:58:25
34,157,2.0,10.0,591.0,,05/04/2020,03:01:11
35,183,2.0,11.0,591.0,,06/04/2020,01:23:50
36,194,2.0,14.0,591.0,,07/04/2020,01:56:10
37,210,2.0,15.0,591.0,,08/04/2020,01:54:47
38,264,2.0,18.0,591.0,,09/04/2020,05:35:00
39,268,2.0,19.0,591.0,,10/04/2020,02:20:02
40,275,2.0,20.0,591.0,,11/04/2020,12:32:43
41,275,2.0,20.0,2185.0,,11/04/2020,23:00:04
42,300,2.0,24.0,2185.0,,12/04/2020,02:24:06
43,330,2.0,27.0,2185.0,,13/04/2020,11:07:56
44,354,6.0,28.0,2185.0,,14/04/2020,01:56:45
45,397,7.0,28.0,2185.0,,15/04/2020,03:26:28
46,441,14.0,29.0,2185.0,,16/04/2020,02:06:47
47,465,26.0,31.0,2185.0,,16/04/2020,23:37:57
48,493,31.0,31.0,3569.0,,18/04/2020,03:00:04
49,520,31.0,32.0,3569.0,,18/04/2020,17:59:20
50,564,31.0,33.0,3569.0,,19/04/2020,23:00:27
51,598,37.0,34.0,3569.0,,21/04/2020,00:07:03
52,609,44.0,37.0,4420.0,,22/04/2020,01:30:04
53,672,44.0,40.0,4420.0,,23/04/2020,02:55:23
54,703,44.0,43.0,4420.0,,24/04/2020,01:57:45
55,703,44.0,43.0,4995.0,,24/04/2020,22:52:58
56,807,54.0,44.0,4995.0,,25/04/2020,02:30:27
57,866,54.0,46.0,4995.0,,26/04/2020,01:30:05
58,866,74.0,46.0,4995.0,,26/04/2020,14:39:02
59,950,80.0,50.0,4995.0,,27/04/2020,00:49:17
60,950,80.0,50.0,5791.0,,27/04/2020,02:57:23
61,1014,98.0,53.0,5791.0,,28/04/2020,02:05:53
62,1053,110.0,55.0,5791.0,,29/04/2020,00:04:29
63,1110,117.0,59.0,5791.0,,30/04/2020,02:03:18
64,1167,132.0,62.0,5791.0,,01/05/2020,04:00:36
65,1229,134.0,66.0,5791.0,,02/05/2020,02:18:38
66,1470,159.0,71.0,5791.0,,03/05/2020,03:30:26
67,1470,159.0,71.0,7651.0,,03/05/2020,12:30:04
68,1594,166.0,76.0,7651.0,,04/05/2020,01:57:07
69,1681,174.0,82.0,7651.0,,05/05/2020,02:01:01
70,1802,187.0,86.0,7651.0,,06/05/2020,03:30:14
71,1886,198.0,91.0,7651.0,,07/05/2020,02:29:13
72,2081,219.0,102.0,7651.0,,07/05/2020,20:30:27
73,1886,198.0,91.0,7651.0,,07/05/2020,21:17:20
74,2081,219.0,102.0,7651.0,,08/05/2020,01:00:43
75,2266,237.0,106.0,7651.0,,09/05/2020,01:17:23
76,2437,258.0,114.0,7651.0,,10/05/2020,01:00:13
77,2556,273.0,118.0,7651.0,,11/05/2020,01:00:17
78,2831,299.0,122.0,7651.0,,12/05/2020,15:39:30
79,2964,313.0,128.0,7651.0,,13/05/2020,02:14:22
80,3148,339.0,142.0,7651.0,,14/05/2020,02:30:11
81,3372,356.0,152.0,7651.0,11651907.0,15/05/2020,05:31:30
82,3577,434.0,164.0,7651.0,11652343.0,16/05/2020,01:31:52
83,3577,434.0,164.0,14803.0,11652343.0,16/05/2020,19:31:52
84,3826,473.0,165.0,14803.0,11652778.0,17/05/2020,01:30:23
85,4088,493.0,169.0,14803.0,11653213.0,18/05/2020,02:30:21
86,4263,503.0,174.0,14803.0,11653648.0,19/05/2020,01:53:40
87,4481,533.0,189.0,14803.0,11654083.0,20/05/2020,02:32:31
88,4919,553.0,199.0,14803.0,11654518.0,21/05/2020,07:23:54
89,5187,561.0,215.0,14803.0,11654953.0,22/05/2020,02:28:26
90,5579,575.0,230.0,14803.0,11655388.0,23/05/2020,01:30:12
91,5915,609.0,240.0,14803.0,11655824.0,24/05/2020,02:30:16
92,6263,629.0,250.0,14803.0,11656259.0,25/05/2020,00:30:26
93,6263,629.0,250.0,22294.0,11656259.0,25/05/2020,04:00:05
94,6660,647.0,261.0,22294.0,11656694.0,26/05/2020,02:00:05
95,7136,677.0,274.0,22294.0,11657129.0,27/05/2020,02:30:31
96,7768,689.0,280.0,22294.0,11657564.0,28/05/2020,02:22:00
97,8387,738.0,293.0,22294.0,11657999.0,29/05/2020,02:13:14
98,8731,749.0,300.0,22294.0,11658434.0,30/05/2020,01:52:56
99,9592,889.0,310.0,22294.0,11658870.0,31/05/2020,02:14:25
100,9592,889.0,310.0,28239.0,11658870.0,31/05/2020,02:47:32
101,9982,968.0,313.0,28239.0,11659305.0,01/06/2020,03:00:28
102,10531,1137.0,343.0,28239.0,11659740.0,02/06/2020,02:12:47
103,10991,1298.0,376.0,28239.0,11660175.0,03/06/2020,02:27:34
104,11638,1507.0,400.0,28239.0,11660610.0,04/06/2020,02:37:35
105,12245,1658.0,415.0,28239.0,11661045.0,05/06/2020,02:30:58
106,12728,1739.0,427.0,28239.0,11661480.0,06/06/2020,01:40:50
107,13358,1902.0,454.0,28239.0,11661915.0,07/06/2020,02:38:41
108,13358,1902.0,454.0,36530.0,11662351.0,08/06/2020,00:22:14
109,13643,2086.0,465.0,36530.0,11662351.0,08/06/2020,02:35:55
110,13643,2086.0,465.0,37276.0,11662351.0,08/06/2020,09:00:06
111,13949,2159.0,475.0,37276.0,11662786.0,09/06/2020,02:32:28
112,13949,2159.0,475.0,38092.0,11662786.0,09/06/2020,06:17:07
113,14644,2190.0,487.0,38092.0,11663221.0,10/06/2020,02:22:29
114,14644,2190.0,487.0,39610.0,11663221.0,10/06/2020,09:39:07
115,15281,2261.0,512.0,39610.0,11663656.0,11/06/2020,03:00:14
116,16165,2372.0,533.0,39610.0,11664091.0,12/06/2020,03:01:21
117,16165,2372.0,533.0,42741.0,11664091.0,12/06/2020,08:31:50
118,16929,2431.0,559.0,42741.0,11664526.0,13/06/2020,02:00:06
119,17842,2768.0,585.0,42741.0,11664961.0,14/06/2020,02:30:05
120,17842,2768.0,585.0,46069.0,11664961.0,14/06/2020,10:31:33
121,18459,3113.0,611.0,46069.0,11665397.0,15/06/2020,03:21:04
122,18459,3113.0,611.0,47372.0,11665832.0,16/06/2020,02:29:20
123,19073,3430.0,632.0,47372.0,11665832.0,16/06/2020,02:53:58
124,19883,3752.0,659.0,47372.0,11666267.0,17/06/2020,03:02:38
125,19883,3752.0,659.0,50114.0,11666267.0,17/06/2020,23:30:05
