,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,05/03/2020,10:13:28
1,3,,,,,06/03/2020,16:53:41
2,4,,,,,09/03/2020,17:28:05
3,5,,,,,09/03/2020,20:50:50
4,7,,,,,11/03/2020,04:26:21
5,11,,,,,12/03/2020,09:00:06
6,13,,,,,13/03/2020,14:06:52
7,18,,,,,13/03/2020,16:44:32
8,21,,,,,14/03/2020,23:59:06
9,24,,,,,15/03/2020,16:13:43
10,25,2.0,,,,16/03/2020,19:49:35
11,26,2.0,,,,17/03/2020,11:50:22
12,27,2.0,,,,17/03/2020,13:53:18
13,34,2.0,,,,17/03/2020,22:03:41
14,36,2.0,,,,18/03/2020,09:55:52
15,38,2.0,,,,18/03/2020,10:24:24
16,39,2.0,,,,18/03/2020,15:30:25
17,45,2.0,,,,19/03/2020,09:31:30
18,49,2.0,,,,19/03/2020,15:53:36
19,63,2.0,,,,19/03/2020,17:14:37
20,64,2.0,,,,19/03/2020,19:15:23
21,69,2.0,,,,20/03/2020,10:00:40
22,83,2.0,,,,20/03/2020,17:42:56
23,84,2.0,,,,20/03/2020,18:55:44
24,89,2.0,,,,20/03/2020,20:19:01
25,90,2.0,,,,21/03/2020,07:18:44
26,91,2.0,,,,21/03/2020,12:30:11
27,93,2.0,,,,21/03/2020,15:27:25
28,93,2.0,1.0,,,21/03/2020,16:12:44
29,94,2.0,1.0,,,22/03/2020,13:23:33
30,126,2.0,1.0,,,22/03/2020,20:52:01
31,128,2.0,1.0,,,23/03/2020,10:00:55
32,130,2.0,1.0,,,23/03/2020,14:56:32
33,131,2.0,1.0,,,23/03/2020,18:18:07
34,132,2.0,1.0,,,23/03/2020,20:30:29
35,136,2.0,1.0,,,24/03/2020,00:00:43
36,137,2.0,1.0,,,24/03/2020,07:02:56
37,150,2.0,1.0,,,24/03/2020,09:14:31
38,150,2.0,2.0,,,24/03/2020,13:10:31
39,153,2.0,2.0,,,24/03/2020,15:52:26
40,154,2.0,2.0,,,24/03/2020,17:23:19
41,164,2.0,2.0,,,24/03/2020,17:41:24
42,166,2.0,3.0,,,24/03/2020,20:03:44
43,168,2.0,3.0,,,25/03/2020,00:16:15
44,173,2.0,3.0,,,25/03/2020,18:54:54
45,176,2.0,3.0,,,25/03/2020,22:12:13
46,185,2.0,3.0,,,26/03/2020,07:51:29
47,189,2.0,3.0,,,26/03/2020,16:09:16
48,191,2.0,3.0,,,26/03/2020,22:31:26
49,191,2.0,5.0,,,27/03/2020,08:01:39
50,192,5.0,3.0,,,27/03/2020,08:18:01
51,230,5.0,3.0,,,27/03/2020,09:53:19
52,231,5.0,4.0,,,27/03/2020,15:09:55
53,232,5.0,4.0,,,27/03/2020,18:00:27
54,237,5.0,4.0,,,27/03/2020,22:56:47
55,257,5.0,4.0,,,28/03/2020,10:05:16
56,258,5.0,5.0,,,28/03/2020,17:10:50
57,278,8.0,6.0,,,28/03/2020,23:38:50
58,323,8.0,6.0,,,29/03/2020,09:31:16
59,340,8.0,6.0,,,30/03/2020,06:31:16
60,354,17.0,8.0,,,30/03/2020,11:00:16
61,358,17.0,9.0,,,30/03/2020,15:52:52
62,368,17.0,10.0,,,30/03/2020,22:10:45
63,379,17.0,10.0,,,31/03/2020,06:36:57
64,411,17.0,10.0,,,31/03/2020,08:15:24
65,411,17.0,12.0,,,31/03/2020,13:05:12
66,418,17.0,12.0,,,31/03/2020,19:31:10
67,420,17.0,13.0,,,31/03/2020,21:04:29
68,430,17.0,13.0,,,01/04/2020,08:19:46
69,448,17.0,13.0,,,01/04/2020,08:50:14
70,450,17.0,13.0,,,01/04/2020,10:06:53
71,451,17.0,13.0,,,01/04/2020,12:03:47
72,455,19.0,13.0,,,01/04/2020,13:25:33
73,457,19.0,13.0,,,01/04/2020,16:47:40
74,459,19.0,13.0,,,01/04/2020,20:14:33
75,490,19.0,13.0,,,02/04/2020,07:01:49
76,512,20.0,15.0,,,02/04/2020,09:01:55
77,518,20.0,15.0,,,02/04/2020,11:59:39
78,518,20.0,16.0,,,02/04/2020,15:51:12
79,532,20.0,16.0,,,02/04/2020,16:02:09
80,533,20.0,16.0,,,02/04/2020,22:06:41
81,543,20.0,16.0,,,03/04/2020,06:58:38
82,543,27.0,16.0,,,03/04/2020,07:49:25
83,568,27.0,17.0,,,03/04/2020,14:08:32
84,574,27.0,17.0,,,03/04/2020,14:59:10
85,575,27.0,17.0,,,03/04/2020,17:27:55
86,579,27.0,17.0,,,03/04/2020,18:40:03
87,579,27.0,17.0,4696.0,,04/04/2020,03:58:25
88,604,27.0,18.0,4696.0,,04/04/2020,07:30:42
89,613,27.0,18.0,4696.0,,04/04/2020,08:29:36
90,614,27.0,18.0,4696.0,,04/04/2020,09:51:17
91,614,27.0,19.0,4696.0,,04/04/2020,10:10:19
92,615,27.0,19.0,4696.0,,04/04/2020,10:33:32
93,616,27.0,19.0,4696.0,,04/04/2020,11:36:04
94,616,28.0,19.0,4696.0,,04/04/2020,13:23:58
