,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,30/03/2020,18:26:43
1,4,,1.0,,,31/03/2020,23:05:12
2,4,,1.0,175.0,,04/04/2020,03:58:25
3,6,,1.0,966.0,,05/04/2020,17:30:38
4,6,,1.0,1154.0,,07/04/2020,14:32:01
5,13,,1.0,1154.0,,09/04/2020,11:33:21
6,13,,1.0,2527.0,,11/04/2020,15:54:17
7,13,,1.0,3115.0,,12/04/2020,15:28:06
8,13,,1.0,3441.0,,15/04/2020,21:27:24
9,15,,1.0,3441.0,,16/04/2020,10:00:06
10,15,,1.0,3602.0,,17/04/2020,12:57:46
11,20,,1.0,3602.0,,19/04/2020,10:00:04
12,20,,1.0,4432.0,,19/04/2020,15:35:55
13,22,,1.0,4432.0,,22/04/2020,14:49:32
14,22,,1.0,5023.0,,24/04/2020,14:31:09
15,22,,1.0,6016.0,,28/04/2020,02:05:53
16,23,,1.0,6016.0,,28/04/2020,22:29:04
17,23,5.0,1.0,6016.0,,29/04/2020,16:35:36
18,23,5.0,1.0,6548.0,,30/04/2020,13:15:18
19,23,8.0,1.0,7675.0,,01/05/2020,19:00:04
20,23,8.0,1.0,8636.0,,04/05/2020,19:31:42
21,23,8.0,1.0,9066.0,,06/05/2020,17:27:46
22,23,9.0,1.0,9066.0,,07/05/2020,15:30:29
23,23,12.0,1.0,9540.0,,09/05/2020,18:30:05
24,24,12.0,1.0,9540.0,,11/05/2020,13:32:25
25,24,12.0,1.0,11495.0,,12/05/2020,15:39:30
26,24,17.0,1.0,11495.0,,12/05/2020,20:30:16
27,25,17.0,1.0,11495.0,2345548.0,18/05/2020,00:00:39
28,25,17.0,1.0,13294.0,2345548.0,18/05/2020,09:00:53
29,25,17.0,1.0,14283.0,2345808.0,20/05/2020,22:30:36
30,29,17.0,1.0,14855.0,2345938.0,21/05/2020,07:23:54
31,29,19.0,1.0,14855.0,2345938.0,21/05/2020,19:08:21
32,30,19.0,1.0,16100.0,2346068.0,22/05/2020,21:32:30
33,35,19.0,1.0,16100.0,2346328.0,24/05/2020,15:40:55
34,35,19.0,1.0,17631.0,2346458.0,25/05/2020,06:54:19
35,35,20.0,1.0,17631.0,2346588.0,26/05/2020,10:22:21
36,35,20.0,1.0,17991.0,2346847.0,28/05/2020,00:02:25
37,35,20.0,1.0,20186.0,2347237.0,31/05/2020,12:26:23
38,38,20.0,1.0,21716.0,2347367.0,01/06/2020,09:10:21
39,38,21.0,1.0,21716.0,2347497.0,02/06/2020,13:28:09
40,40,23.0,1.0,21716.0,2347497.0,02/06/2020,20:31:50
41,40,23.0,1.0,23337.0,2347627.0,03/06/2020,13:34:43
42,40,23.0,1.0,24006.0,2347757.0,04/06/2020,15:01:36
43,42,24.0,1.0,26238.0,2348277.0,08/06/2020,16:43:34
44,48,24.0,1.0,26238.0,2348667.0,11/06/2020,00:01:38
45,48,24.0,1.0,26800.0,2348797.0,12/06/2020,19:30:51
46,60,24.0,1.0,26800.0,2348927.0,13/06/2020,19:32:47
47,79,24.0,1.0,26800.0,2349447.0,17/06/2020,17:30:04
48,79,25.0,1.0,26800.0,2349447.0,17/06/2020,21:00:12
49,79,25.0,1.0,33176.0,2349577.0,18/06/2020,11:00:48
50,89,25.0,1.0,33176.0,2349707.0,19/06/2020,15:00:50
51,89,25.0,1.0,33919.0,2349967.0,21/06/2020,02:31:20
52,92,25.0,1.0,36868.0,2350357.0,24/06/2020,21:53:39
53,175,25.0,1.0,36868.0,2351007.0,29/06/2020,20:59:28
54,227,28.0,1.0,42290.0,2351137.0,30/06/2020,19:03:31
55,227,28.0,1.0,45440.0,2351526.0,03/07/2020,22:12:03
56,277,29.0,1.0,45440.0,2351526.0,03/07/2020,22:32:21
57,314,31.0,1.0,47860.0,2351916.0,06/07/2020,17:46:53
58,399,38.0,1.0,51379.0,2352696.0,12/07/2020,23:52:38
59,522,48.0,1.0,51379.0,2353346.0,17/07/2020,00:29:01
60,522,48.0,1.0,56541.0,2354126.0,23/07/2020,00:14:55
61,592,48.0,1.0,56541.0,2354256.0,24/07/2020,01:24:32
62,686,52.0,1.0,62296.0,2354256.0,24/07/2020,11:12:49
63,739,63.0,2.0,66744.0,2354646.0,27/07/2020,16:52:57
64,804,63.0,2.0,68423.0,2354906.0,29/07/2020,20:18:48
65,804,63.0,2.0,80163.0,2356465.0,10/08/2020,16:55:42
66,1066,80.0,2.0,80163.0,2356595.0,11/08/2020,00:35:33
67,1214,120.0,3.0,87280.0,2356855.0,13/08/2020,21:35:58
68,1308,136.0,3.0,87280.0,2357375.0,17/08/2020,19:07:37
69,1308,136.0,3.0,93420.0,2357505.0,18/08/2020,23:49:59
70,1562,199.0,3.0,106284.0,2358285.0,24/08/2020,20:14:35
71,1633,224.0,6.0,109547.0,2358545.0,26/08/2020,22:06:39
72,1724,493.0,6.0,116728.0,2359195.0,31/08/2020,17:03:00
73,2002,493.0,8.0,128016.0,2359715.0,04/09/2020,18:34:57
74,2126,493.0,9.0,133971.0,2360105.0,07/09/2020,18:58:15
75,2252,546.0,10.0,138290.0,2360494.0,10/09/2020,22:30:33
76,2463,575.0,11.0,150407.0,2361014.0,14/09/2020,21:17:27
77,2567,624.0,13.0,156054.0,2361404.0,17/09/2020,19:55:36
78,2921,701.0,16.0,179742.0,2362314.0,24/09/2020,22:45:38
79,3172,710.0,16.0,184076.0,2362834.0,28/09/2020,22:14:48
80,3172,834.0,18.0,222045.0,2363874.0,06/10/2020,20:46:31
81,3219,834.0,18.0,224692.0,2364134.0,08/10/2020,22:11:09
82,3515,853.0,20.0,238334.0,2364654.0,12/10/2020,18:45:43
83,5242,905.0,20.0,256952.0,2365563.0,17/10/2020,18:13:13
84,5609,915.0,21.0,267517.0,2365563.0,19/10/2020,20:24:23
85,5923,927.0,21.0,279070.0,2365953.0,23/10/2020,00:00:03
