,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,25/03/2020,22:12:13
1,3,,,,,31/03/2020,02:35:12
2,3,2.0,,,,11/04/2020,11:02:20
3,4,2.0,,,,16/04/2020,23:37:57
4,4,2.0,1.0,,,19/04/2020,13:00:06
5,5,3.0,1.0,,,20/04/2020,03:31:51
6,6,3.0,1.0,,,25/04/2020,17:30:05
7,7,3.0,1.0,132.0,,06/05/2020,15:00:36
8,7,4.0,1.0,167.0,,09/05/2020,04:30:14
9,8,6.0,1.0,167.0,30205.0,15/05/2020,05:31:30
10,8,7.0,1.0,167.0,30212.0,27/05/2020,03:30:49
11,8,7.0,1.0,212.0,30220.0,11/06/2020,22:00:05
12,8,7.0,1.0,439.0,30232.0,03/07/2020,10:00:08
13,8,7.0,1.0,1253.0,30248.0,01/08/2020,06:27:29
14,9,7.0,1.0,1522.0,30250.0,05/08/2020,11:35:37
15,11,8.0,1.0,1890.0,30257.0,18/08/2020,11:15:37
16,12,8.0,1.0,1890.0,30259.0,22/08/2020,00:42:30
17,21,8.0,1.0,2092.0,30259.0,22/08/2020,02:55:20
18,26,8.0,1.0,2092.0,30261.0,25/08/2020,19:45:58
19,35,8.0,1.0,2853.0,30263.0,28/08/2020,23:25:52
20,47,8.0,1.0,2853.0,30264.0,30/08/2020,23:59:39
21,63,10.0,1.0,3713.0,30267.0,05/09/2020,01:27:38
22,63,10.0,1.0,3824.0,30269.0,08/09/2020,03:10:41
23,64,30.0,1.0,3824.0,30270.0,11/09/2020,21:43:09
24,66,37.0,1.0,3858.0,30271.0,13/09/2020,01:23:26
25,69,40.0,1.0,3858.0,30274.0,18/09/2020,02:33:22
26,69,48.0,1.0,4410.0,30274.0,18/09/2020,22:19:47
27,71,62.0,1.0,4410.0,30278.0,24/09/2020,17:51:04
28,71,66.0,1.0,4410.0,30280.0,29/09/2020,20:10:15
29,71,66.0,1.0,4841.0,30281.0,30/09/2020,01:04:57
30,71,69.0,1.0,5161.0,30284.0,06/10/2020,23:14:23
31,71,70.0,1.0,5193.0,30286.0,09/10/2020,23:30:31
