,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,09/03/2020,15:26:57
1,6,,,,,10/03/2020,10:32:37
2,11,,,,,11/03/2020,15:03:12
3,25,,,,,12/03/2020,14:54:18
4,37,,,,,13/03/2020,12:08:22
5,40,,,,,14/03/2020,17:43:51
6,50,,,,,15/03/2020,12:20:35
7,54,,,,,16/03/2020,11:19:25
8,56,,,,,17/03/2020,10:22:34
9,68,,,,,18/03/2020,09:55:52
10,73,,,,,19/03/2020,09:48:21
11,73,1.0,,,,20/03/2020,11:39:27
12,78,1.0,,,,20/03/2020,12:32:04
13,83,1.0,,,,21/03/2020,09:30:23
14,88,2.0,,,,22/03/2020,15:00:42
15,91,2.0,,,,23/03/2020,10:00:55
16,104,2.0,,,,24/03/2020,10:00:15
17,109,2.0,,,,25/03/2020,10:00:56
18,114,5.0,,,,26/03/2020,10:11:26
19,115,11.0,,,,27/03/2020,10:29:23
20,115,11.0,1.0,,,28/03/2020,02:31:47
21,120,25.0,1.0,,,28/03/2020,11:02:05
22,126,34.0,1.0,,,29/03/2020,10:28:39
23,127,38.0,1.0,,,30/03/2020,09:53:29
24,129,45.0,1.0,,,31/03/2020,09:54:18
25,131,52.0,1.0,,,01/04/2020,11:05:20
26,133,56.0,1.0,,,02/04/2020,10:05:12
27,134,65.0,1.0,,,03/04/2020,11:05:12
28,134,65.0,1.0,7566.0,,04/04/2020,03:58:25
29,135,66.0,1.0,7801.0,,04/04/2020,09:51:17
30,135,73.0,1.0,8129.0,,05/04/2020,09:32:01
31,135,82.0,1.0,8261.0,,06/04/2020,10:00:40
32,135,85.0,1.0,8845.0,,07/04/2020,10:39:06
33,135,91.0,1.0,8845.0,,08/04/2020,09:27:48
34,135,92.0,1.0,8985.0,,09/04/2020,09:51:35
35,136,99.0,1.0,9342.0,,10/04/2020,10:20:54
36,136,104.0,1.0,9637.0,,11/04/2020,09:37:56
37,136,106.0,1.0,9884.0,,12/04/2020,10:07:56
