,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,08/03/2020,00:24:41
1,4,,,,,08/03/2020,09:30:13
2,6,,,,,10/03/2020,22:31:11
3,6,,1.0,,,11/03/2020,17:21:51
4,7,,1.0,,,11/03/2020,19:21:55
5,16,,1.0,,,12/03/2020,15:55:30
6,23,,1.0,,,12/03/2020,17:27:07
7,31,,1.0,,,14/03/2020,01:11:47
8,31,,2.0,,,14/03/2020,11:03:36
9,37,,2.0,,,14/03/2020,16:34:03
10,41,,2.0,,,14/03/2020,19:54:23
11,43,,2.0,,,15/03/2020,07:26:10
12,51,,2.0,,,15/03/2020,15:30:38
13,52,,2.0,,,16/03/2020,07:40:27
14,62,,2.0,,,16/03/2020,15:20:08
15,67,,2.0,,,17/03/2020,08:19:33
16,81,,2.0,,,17/03/2020,15:47:47
17,92,,2.0,,,18/03/2020,15:30:25
18,94,,3.0,,,19/03/2020,06:53:38
19,105,,3.0,,,19/03/2020,15:53:36
20,107,,3.0,,,19/03/2020,18:51:51
21,112,,3.0,,,20/03/2020,08:58:28
22,112,1.0,3.0,,,20/03/2020,11:39:27
23,129,1.0,3.0,,,20/03/2020,15:30:18
24,127,1.0,3.0,,,20/03/2020,21:28:23
25,127,3.0,3.0,,,21/03/2020,05:32:26
26,142,3.0,3.0,,,21/03/2020,06:54:35
27,163,3.0,3.0,,,21/03/2020,15:27:25
28,171,3.0,3.0,,,22/03/2020,11:36:17
29,174,3.0,3.0,,,22/03/2020,12:57:16
30,185,3.0,3.0,,,22/03/2020,15:30:12
31,187,3.0,3.0,,,22/03/2020,20:52:01
32,190,3.0,3.0,,,23/03/2020,06:54:46
33,201,3.0,3.0,,,23/03/2020,15:31:10
34,202,3.0,3.0,,,24/03/2020,07:02:56
35,218,3.0,3.0,,,24/03/2020,16:30:53
36,220,3.0,3.0,,,25/03/2020,06:32:21
37,220,4.0,3.0,,,25/03/2020,09:30:29
38,242,4.0,3.0,,,25/03/2020,15:28:22
39,243,4.0,3.0,,,26/03/2020,07:32:54
40,264,4.0,3.0,,,26/03/2020,15:14:31
41,264,8.0,3.0,,,26/03/2020,16:09:16
42,276,8.0,3.0,,,27/03/2020,06:31:51
43,276,9.0,3.0,,,27/03/2020,12:08:48
44,293,9.0,3.0,,,27/03/2020,15:40:32
45,313,9.0,4.0,,,28/03/2020,08:00:04
46,313,9.0,5.0,,,28/03/2020,10:05:16
47,313,9.0,6.0,,,28/03/2020,16:11:17
48,313,11.0,6.0,,,28/03/2020,16:53:20
49,331,11.0,6.0,,,28/03/2020,17:33:33
50,331,11.0,7.0,,,28/03/2020,22:21:04
51,338,11.0,7.0,,,29/03/2020,06:15:27
52,338,11.0,8.0,,,29/03/2020,09:01:48
53,346,14.0,8.0,,,29/03/2020,15:30:35
54,354,15.0,8.0,,,30/03/2020,06:24:52
55,359,17.0,8.0,,,30/03/2020,15:02:49
56,379,17.0,8.0,,,31/03/2020,06:36:57
57,399,17.0,8.0,,,31/03/2020,14:24:22
58,412,17.0,8.0,,,01/04/2020,05:58:21
59,412,20.0,8.0,,,01/04/2020,06:08:41
60,412,20.0,9.0,,,01/04/2020,12:20:14
61,422,20.0,9.0,,,01/04/2020,14:05:12
62,422,20.0,10.0,,,01/04/2020,17:50:38
63,449,25.0,10.0,,,02/04/2020,06:12:01
64,457,25.0,10.0,,,02/04/2020,14:11:21
65,477,25.0,11.0,,,03/04/2020,05:27:29
66,477,30.0,12.0,,,03/04/2020,05:44:45
67,485,30.0,14.0,,,03/04/2020,14:59:10
68,485,30.0,14.0,566.0,,04/04/2020,03:58:25
69,498,34.0,14.0,566.0,,04/04/2020,07:30:42
70,498,34.0,15.0,566.0,,04/04/2020,10:51:45
71,498,34.0,17.0,566.0,,04/04/2020,11:55:34
72,503,34.0,17.0,566.0,,04/04/2020,14:44:54
73,503,34.0,17.0,9000.0,,05/04/2020,05:07:56
74,522,37.0,18.0,13000.0,,05/04/2020,06:25:24
75,522,37.0,18.0,15899.0,,05/04/2020,09:03:07
76,531,37.0,20.0,15899.0,,05/04/2020,14:43:15
77,541,37.0,21.0,15899.0,,06/04/2020,06:07:02
78,541,39.0,21.0,15899.0,,06/04/2020,06:19:15
79,549,39.0,22.0,15899.0,,06/04/2020,15:10:50
80,565,42.0,22.0,15899.0,,07/04/2020,05:59:55
81,577,42.0,23.0,15899.0,,07/04/2020,15:42:48
82,581,42.0,23.0,15899.0,,08/04/2020,06:52:05
83,593,42.0,24.0,15899.0,,08/04/2020,14:30:17
84,611,48.0,24.0,15899.0,,09/04/2020,06:31:38
85,618,48.0,24.0,15899.0,,09/04/2020,15:26:47
86,624,54.0,24.0,18502.0,,10/04/2020,05:20:14
87,635,54.0,25.0,18502.0,,10/04/2020,15:11:59
88,648,62.0,26.0,18502.0,,11/04/2020,06:45:05
