,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,09/03/2020,22:38:48
1,2,,,,,10/03/2020,12:14:54
2,3,,,,,15/03/2020,10:12:45
3,15,,,,,16/03/2020,10:06:33
4,20,,,,,18/03/2020,09:03:01
5,20,,1.0,,,18/03/2020,12:00:36
6,27,,1.0,,,19/03/2020,05:35:18
7,33,,1.0,,,19/03/2020,11:18:34
8,40,4.0,1.0,,,20/03/2020,11:05:10
9,64,5.0,3.0,,,21/03/2020,11:01:21
10,75,5.0,4.0,,,22/03/2020,12:57:16
11,99,5.0,4.0,,,23/03/2020,11:25:55
12,114,7.0,4.0,,,24/03/2020,10:03:57
13,146,10.0,4.0,,,25/03/2020,20:06:33
14,152,10.0,4.0,,,26/03/2020,16:09:16
15,152,10.0,7.0,,,26/03/2020,21:30:04
16,180,12.0,9.0,,,27/03/2020,15:40:32
17,207,21.0,11.0,,,28/03/2020,15:56:48
18,222,23.0,12.0,,,29/03/2020,18:57:07
19,246,31.0,12.0,,,30/03/2020,17:14:00
20,261,32.0,14.0,,,31/03/2020,17:25:44
21,282,46.0,16.0,,,01/04/2020,17:50:38
22,288,50.0,16.0,,,02/04/2020,12:58:46
23,302,50.0,16.0,,,03/04/2020,15:32:06
24,318,66.0,16.0,,,04/04/2020,15:53:48
25,345,90.0,17.0,,,05/04/2020,17:30:38
26,364,108.0,18.0,,,06/04/2020,21:53:19
27,384,127.0,19.0,,,07/04/2020,21:08:04
28,414,134.0,23.0,,,08/04/2020,18:46:01
29,443,146.0,24.0,,,09/04/2020,18:30:40
30,448,149.0,26.0,,,11/04/2020,00:00:13
31,484,155.0,27.0,,,11/04/2020,22:00:03
32,497,161.0,27.0,,,12/04/2020,19:00:06
33,515,161.0,27.0,,,13/04/2020,23:00:06
34,528,177.0,30.0,,,14/04/2020,23:01:58
35,542,226.0,32.0,,,15/04/2020,22:00:02
36,546,257.0,32.0,,,16/04/2020,23:37:57
37,557,294.0,35.0,,,17/04/2020,22:00:04
38,565,321.0,36.0,,,18/04/2020,17:59:20
39,576,338.0,36.0,,,19/04/2020,16:00:05
40,581,357.0,38.0,,,20/04/2020,19:28:23
41,576,338.0,36.0,,,21/04/2020,00:00:05
42,581,357.0,38.0,,,21/04/2020,00:07:03
43,600,362.0,38.0,,,21/04/2020,19:00:11
44,609,389.0,39.0,,,22/04/2020,18:32:20
45,616,410.0,41.0,,,23/04/2020,23:58:33
46,629,425.0,41.0,,,24/04/2020,23:49:16
47,629,442.0,41.0,,,25/04/2020,23:20:59
48,632,453.0,42.0,,,26/04/2020,14:39:02
49,635,469.0,42.0,,,28/04/2020,02:05:53
50,638,476.0,42.0,,,28/04/2020,22:29:04
51,641,498.0,43.0,,,29/04/2020,22:30:58
52,645,506.0,43.0,,,30/04/2020,22:21:21
53,649,517.0,44.0,,,01/05/2020,21:30:36
54,652,535.0,44.0,,,02/05/2020,22:33:05
55,662,540.0,45.0,,,03/05/2020,21:00:50
56,672,545.0,46.0,,,04/05/2020,20:31:57
57,688,548.0,48.0,,,05/05/2020,22:31:03
58,729,555.0,48.0,,,06/05/2020,18:02:46
59,736,562.0,48.0,,,07/05/2020,20:30:27
60,729,555.0,48.0,,,07/05/2020,21:17:20
61,736,562.0,48.0,,,07/05/2020,21:30:37
62,744,566.0,48.0,,,08/05/2020,22:03:24
63,748,569.0,48.0,,,09/05/2020,19:03:16
64,751,577.0,49.0,,,10/05/2020,19:00:04
65,760,584.0,50.0,,,12/05/2020,15:39:30
66,766,588.0,51.0,,,12/05/2020,23:44:31
67,773,592.0,51.0,,,13/05/2020,22:00:32
68,780,595.0,51.0,,20822813.0,15/05/2020,20:30:05
69,782,604.0,51.0,,20824384.0,16/05/2020,23:00:04
70,796,644.0,51.0,,20825956.0,17/05/2020,17:24:15
71,796,652.0,51.0,,20827528.0,18/05/2020,18:59:22
72,809,661.0,52.0,,20830672.0,20/05/2020,13:20:53
73,812,669.0,52.0,,20832244.0,21/05/2020,07:23:54
74,814,672.0,52.0,,20833816.0,22/05/2020,17:47:37
75,832,672.0,52.0,,20838531.0,25/05/2020,12:01:24
76,845,672.0,53.0,,20841675.0,27/05/2020,10:13:43
77,845,672.0,53.0,,20841675.0,27/05/2020,16:10:09
78,847,719.0,53.0,,20843247.0,28/05/2020,18:26:03
79,847,720.0,53.0,,20844819.0,29/05/2020,21:49:31
80,881,720.0,53.0,,20851107.0,02/06/2020,13:18:33
81,884,720.0,53.0,,20852679.0,03/06/2020,13:21:33
82,884,753.0,53.0,,20852679.0,03/06/2020,14:28:13
83,885,760.0,53.0,,20854250.0,04/06/2020,18:26:13
84,888,760.0,53.0,,20855822.0,05/06/2020,20:16:08
85,888,765.0,53.0,,20857394.0,06/06/2020,22:51:35
86,889,765.0,53.0,,20858966.0,07/06/2020,16:07:45
87,890,765.0,53.0,,20860538.0,08/06/2020,14:43:26
88,891,765.0,53.0,,20862110.0,09/06/2020,17:32:33
89,891,790.0,53.0,,20865254.0,11/06/2020,12:43:08
90,892,790.0,53.0,,20865254.0,11/06/2020,19:31:52
91,892,791.0,53.0,,20866826.0,12/06/2020,13:00:09
92,892,799.0,53.0,,20868398.0,13/06/2020,19:32:47
93,894,799.0,53.0,,20869969.0,14/06/2020,12:32:22
94,894,804.0,53.0,,20871541.0,15/06/2020,10:41:05
95,894,807.0,53.0,,20873113.0,16/06/2020,10:35:55
96,895,807.0,53.0,,20873113.0,16/06/2020,19:03:31
97,895,809.0,53.0,,20874685.0,17/06/2020,06:58:00
98,899,809.0,53.0,,20874685.0,17/06/2020,23:01:33
99,899,810.0,53.0,,20876257.0,18/06/2020,11:00:48
100,900,810.0,53.0,,20877829.0,19/06/2020,14:30:59
101,901,810.0,53.0,,20879401.0,20/06/2020,15:00:04
102,901,814.0,53.0,,20880973.0,21/06/2020,10:59:31
103,903,814.0,53.0,,20880973.0,21/06/2020,23:00:41
104,907,823.0,53.0,,20884116.0,23/06/2020,11:13:46
105,919,825.0,53.0,,20885688.0,24/06/2020,08:30:38
106,934,826.0,53.0,,20887260.0,25/06/2020,11:26:18
107,941,830.0,53.0,,20888832.0,26/06/2020,10:31:24
108,959,830.0,53.0,,20891976.0,28/06/2020,19:00:15
109,962,838.0,53.0,,20895120.0,30/06/2020,11:01:19
110,967,846.0,53.0,,20898264.0,02/07/2020,11:57:55
111,980,852.0,53.0,,20899835.0,03/07/2020,11:00:20
112,980,854.0,53.0,,20901407.0,04/07/2020,18:30:58
113,987,854.0,53.0,,20901407.0,04/07/2020,23:28:40
114,1000,858.0,53.0,,20904551.0,06/07/2020,11:00:35
115,1003,860.0,53.0,,20906123.0,07/07/2020,11:01:44
116,1003,861.0,53.0,,20907695.0,08/07/2020,17:01:41
117,1005,862.0,53.0,,20909267.0,09/07/2020,11:30:54
118,1020,862.0,53.0,,20910839.0,10/07/2020,21:22:14
119,1020,864.0,53.0,,20912411.0,11/07/2020,11:10:56
120,1033,869.0,53.0,,20912411.0,11/07/2020,22:05:25
121,1036,869.0,53.0,,20913982.0,12/07/2020,23:20:26
122,1037,873.0,53.0,,20917126.0,14/07/2020,13:00:16
123,1037,882.0,53.0,,20918698.0,15/07/2020,18:34:58
124,1038,882.0,53.0,,20920270.0,16/07/2020,02:52:55
125,1045,887.0,53.0,,20921842.0,17/07/2020,10:32:19
126,1047,887.0,53.0,,20923414.0,18/07/2020,11:24:57
127,1052,901.0,53.0,,20924986.0,19/07/2020,11:31:12
128,1065,901.0,53.0,,20926558.0,20/07/2020,17:55:14
129,1066,917.0,53.0,,20929701.0,22/07/2020,10:55:16
130,1070,919.0,53.0,,20931273.0,23/07/2020,14:00:07
131,1075,920.0,53.0,,20932845.0,24/07/2020,11:05:35
132,1086,920.0,53.0,,20935989.0,26/07/2020,00:00:15
133,1100,926.0,53.0,,20937561.0,27/07/2020,10:37:43
134,1105,926.0,53.0,,20939133.0,28/07/2020,23:29:41
135,1105,931.0,53.0,,20940705.0,29/07/2020,11:22:55
136,1106,935.0,53.0,,20942277.0,30/07/2020,13:30:08
137,1143,935.0,53.0,,20945420.0,01/08/2020,19:41:01
138,1143,945.0,53.0,,20946992.0,02/08/2020,13:49:07
139,1150,947.0,53.0,,20948564.0,03/08/2020,11:20:14
140,1153,947.0,53.0,,20950136.0,04/08/2020,11:53:47
141,1153,947.0,54.0,,20950136.0,04/08/2020,23:47:39
142,1158,961.0,54.0,,20953280.0,06/08/2020,13:40:00
143,1175,974.0,54.0,,20956424.0,08/08/2020,19:03:32
144,1204,984.0,54.0,,20959567.0,10/08/2020,10:50:52
145,1211,990.0,54.0,,20961139.0,11/08/2020,18:14:41
146,1213,995.0,54.0,,20962711.0,12/08/2020,14:26:05
147,1228,997.0,54.0,,20964283.0,13/08/2020,22:26:35
