,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,31/03/2020,17:57:28
1,3,,,,,02/04/2020,16:08:21
2,3,,,2.0,,04/04/2020,03:58:25
3,3,,,,,05/04/2020,06:51:41
4,5,,,,,11/04/2020,17:00:04
5,5,,1.0,,,13/04/2020,11:07:56
6,5,,1.0,80.0,,17/04/2020,16:41:00
7,5,4.0,1.0,80.0,,19/04/2020,23:00:27
8,11,4.0,1.0,284.0,,22/04/2020,06:00:05
9,15,7.0,1.0,284.0,,02/05/2020,23:12:21
10,23,11.0,1.0,284.0,11842528.0,17/05/2020,17:48:51
11,23,15.0,1.0,284.0,11842528.0,17/05/2020,19:02:20
12,42,20.0,1.0,284.0,11843500.0,18/05/2020,06:43:37
13,63,33.0,1.0,284.0,11856133.0,31/05/2020,00:02:00
14,83,45.0,1.0,382.0,11861964.0,06/06/2020,23:49:36
15,85,45.0,1.0,382.0,11866823.0,11/06/2020,16:46:37
16,104,75.0,1.0,382.0,11871682.0,16/06/2020,07:10:34
17,144,93.0,1.0,382.0,11876541.0,21/06/2020,10:59:31
18,144,93.0,1.0,493.0,11882372.0,27/06/2020,21:30:24
19,170,115.0,1.0,493.0,11882372.0,27/06/2020,23:54:30
20,191,118.0,1.0,749.0,11888203.0,03/07/2020,23:54:48
21,269,207.0,1.0,6697.0,11897921.0,13/07/2020,13:22:15
22,303,207.0,1.0,6697.0,11901808.0,17/07/2020,03:04:27
23,310,207.0,1.0,6697.0,11901808.0,17/07/2020,20:32:16
24,322,207.0,1.0,6697.0,11905695.0,21/07/2020,00:00:51
25,328,207.0,1.0,6697.0,11906667.0,22/07/2020,00:29:45
26,345,270.0,1.0,6697.0,11907639.0,23/07/2020,10:54:22
27,345,270.0,1.0,11332.0,11908610.0,24/07/2020,22:25:00
28,361,279.0,1.0,13105.0,11910554.0,26/07/2020,00:58:09
29,378,301.0,1.0,13573.0,11911526.0,27/07/2020,19:21:24
30,387,304.0,1.0,14362.0,11913469.0,29/07/2020,23:57:28
31,395,304.0,1.0,15614.0,11916385.0,01/08/2020,17:03:22
32,400,304.0,1.0,15614.0,11922216.0,07/08/2020,04:01:03
33,405,312.0,1.0,17026.0,11923187.0,08/08/2020,23:31:07
34,408,315.0,1.0,17306.0,11924159.0,09/08/2020,21:52:09
35,409,315.0,1.0,17306.0,11927075.0,12/08/2020,23:59:30
36,410,315.0,1.0,17306.0,11928046.0,13/08/2020,17:29:08
37,412,315.0,1.0,17306.0,11929018.0,14/08/2020,17:47:50
38,413,315.0,1.0,17306.0,11930962.0,16/08/2020,10:55:56
39,413,336.0,1.0,19993.0,11931934.0,17/08/2020,23:46:27
40,416,336.0,1.0,19993.0,11932905.0,18/08/2020,22:40:29
41,422,336.0,1.0,19993.0,11933877.0,19/08/2020,18:36:45
42,426,336.0,1.0,19993.0,11935821.0,21/08/2020,19:22:38
43,429,336.0,1.0,19993.0,11936793.0,22/08/2020,16:49:34
44,430,336.0,1.0,19993.0,11937764.0,23/08/2020,17:00:58
45,430,345.0,1.0,22093.0,11939708.0,25/08/2020,00:49:16
46,431,345.0,1.0,22093.0,11941652.0,27/08/2020,15:29:32
47,433,345.0,1.0,22093.0,11943595.0,29/08/2020,00:39:24
48,445,357.0,1.0,24659.0,11943595.0,29/08/2020,21:17:02
49,448,357.0,1.0,24659.0,11947482.0,02/09/2020,23:18:17
50,451,357.0,1.0,24659.0,11950398.0,05/09/2020,00:45:54
51,460,357.0,1.0,24659.0,11951370.0,06/09/2020,00:42:45
52,462,357.0,1.0,24659.0,11952341.0,07/09/2020,01:13:13
53,466,374.0,1.0,27836.0,11953313.0,08/09/2020,03:10:41
54,469,374.0,1.0,27836.0,11955257.0,10/09/2020,22:30:33
55,471,374.0,1.0,27836.0,11957200.0,12/09/2020,22:59:26
56,472,374.0,1.0,27836.0,11959144.0,14/09/2020,00:44:52
57,473,374.0,1.0,27836.0,11963031.0,18/09/2020,01:06:02
58,473,462.0,1.0,34140.0,11965947.0,21/09/2020,02:00:08
59,474,462.0,1.0,34140.0,11965947.0,21/09/2020,16:22:31
60,476,462.0,1.0,34140.0,11968862.0,24/09/2020,01:16:53
61,477,462.0,1.0,34140.0,11969834.0,25/09/2020,00:40:12
62,483,462.0,1.0,34140.0,11969834.0,25/09/2020,19:46:31
63,485,472.0,1.0,37522.0,11970806.0,26/09/2020,23:59:29
64,502,472.0,1.0,37522.0,11973721.0,29/09/2020,00:39:29
65,506,472.0,1.0,37522.0,11973721.0,29/09/2020,22:24:02
66,508,472.0,1.0,37522.0,11974693.0,30/09/2020,23:48:12
67,510,472.0,1.0,37522.0,11975665.0,01/10/2020,18:37:08
68,513,472.0,1.0,37522.0,11976636.0,02/10/2020,21:53:51
69,514,472.0,1.0,37522.0,11979552.0,05/10/2020,13:09:33
70,515,472.0,1.0,37522.0,11981495.0,07/10/2020,23:02:33
71,517,472.0,1.0,37522.0,11984411.0,10/10/2020,17:14:18
72,524,472.0,1.0,37522.0,11985383.0,11/10/2020,15:18:07
73,525,472.0,1.0,37522.0,11986354.0,12/10/2020,16:17:24
74,529,472.0,1.0,37522.0,11987326.0,13/10/2020,17:02:21
75,529,497.0,1.0,44526.0,11989270.0,15/10/2020,00:00:57
76,549,497.0,1.0,44526.0,11993157.0,17/10/2020,18:13:13
77,550,497.0,1.0,44526.0,11994129.0,20/10/2020,17:39:11
78,551,497.0,1.0,44526.0,11996073.0,23/10/2020,00:00:03
79,553,497.0,1.0,44526.0,11997044.0,23/10/2020,16:56:23
80,555,497.0,1.0,44526.0,11998016.0,24/10/2020,16:00:32
81,557,511.0,1.0,49642.0,11998988.0,25/10/2020,15:45:55
82,558,511.0,1.0,49642.0,12000932.0,27/10/2020,17:46:24
83,559,511.0,1.0,49642.0,12001903.0,28/10/2020,18:07:29
84,560,511.0,1.0,49642.0,12003847.0,30/10/2020,00:00:12
85,582,511.0,1.0,49642.0,12004819.0,31/10/2020,05:16:18
86,585,511.0,1.0,49642.0,12004819.0,31/10/2020,16:54:05
87,589,511.0,1.0,49642.0,12005791.0,01/11/2020,19:06:02
88,597,511.0,1.0,49642.0,12008706.0,04/11/2020,06:41:50
89,606,511.0,1.0,49642.0,12008706.0,04/11/2020,20:34:21
90,612,511.0,1.0,49642.0,12011621.0,07/11/2020,23:06:08
91,612,549.0,1.0,56870.0,12013565.0,09/11/2020,00:00:26
92,614,549.0,1.0,56870.0,12013565.0,09/11/2020,11:43:21
