,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,15/03/2020,09:56:00
1,2,,,,,20/03/2020,08:58:28
2,3,,,,,20/03/2020,14:31:22
3,8,,,,,03/04/2020,03:07:58
4,11,3.0,,,,13/04/2020,11:07:56
5,11,4.0,,,,14/04/2020,13:31:09
6,12,4.0,,,,15/04/2020,19:21:13
7,14,10.0,,,,21/04/2020,13:57:09
8,16,10.0,,,,23/04/2020,17:00:34
9,19,10.0,,,,26/04/2020,11:14:05
10,50,10.0,,,,28/04/2020,02:05:53
11,64,10.0,,,,01/05/2020,09:49:57
12,72,10.0,,,,02/05/2020,00:01:35
13,85,10.0,,3498.0,,04/05/2020,14:50:36
14,94,10.0,,3498.0,,06/05/2020,12:31:06
15,143,10.0,,3498.0,,08/05/2020,23:30:05
16,301,13.0,,3498.0,4818688.0,16/05/2020,00:03:01
17,327,13.0,,3498.0,4818688.0,16/05/2020,23:00:04
18,366,18.0,,3498.0,4819377.0,19/05/2020,14:36:04
19,418,18.0,,10837.0,4819836.0,21/05/2020,07:23:54
20,436,18.0,,11294.0,4819836.0,21/05/2020,18:06:46
21,479,18.0,,11570.0,4820066.0,22/05/2020,16:52:39
22,552,18.0,1.0,11570.0,4820296.0,23/05/2020,15:32:31
23,604,22.0,1.0,11570.0,4820525.0,24/05/2020,21:00:23
24,652,22.0,1.0,11570.0,4820755.0,25/05/2020,18:01:55
25,671,22.0,1.0,11570.0,4820985.0,26/05/2020,17:04:49
26,702,23.0,1.0,11570.0,4821214.0,27/05/2020,20:02:52
27,755,23.0,1.0,11570.0,4821444.0,28/05/2020,23:27:44
28,874,23.0,1.0,14557.0,4821674.0,29/05/2020,23:26:29
29,962,23.0,1.0,15021.0,4821903.0,30/05/2020,19:48:28
30,1011,23.0,2.0,15021.0,4822133.0,31/05/2020,16:26:40
31,1069,23.0,4.0,15021.0,4822363.0,01/06/2020,17:33:08
32,1173,23.0,4.0,15881.0,4822822.0,03/06/2020,09:37:34
33,1288,23.0,4.0,15881.0,4823052.0,04/06/2020,17:20:48
34,1451,29.0,4.0,15881.0,4823282.0,05/06/2020,19:48:38
35,1570,37.0,5.0,15881.0,4823511.0,06/06/2020,16:34:02
36,1634,38.0,5.0,15881.0,4823741.0,07/06/2020,19:31:47
37,1850,38.0,5.0,15881.0,4823971.0,08/06/2020,18:56:05
38,1888,38.0,5.0,18161.0,4824430.0,10/06/2020,09:39:07
39,1952,38.0,5.0,18161.0,4824660.0,11/06/2020,11:23:06
40,2044,360.0,7.0,18921.0,4824890.0,12/06/2020,15:32:37
41,2057,363.0,7.0,18921.0,4825119.0,13/06/2020,19:32:47
42,2222,369.0,7.0,18921.0,4825579.0,15/06/2020,07:53:37
43,2289,382.0,10.0,18921.0,4825808.0,16/06/2020,07:10:34
44,2410,396.0,14.0,18921.0,4825808.0,16/06/2020,17:16:14
