,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,20/03/2020,08:58:28
1,3,,,,,21/03/2020,14:00:04
2,3,,1.0,,,24/03/2020,11:49:19
3,4,,1.0,,,25/03/2020,12:22:49
4,5,,1.0,,,27/03/2020,00:30:39
5,6,,1.0,,,29/03/2020,00:09:49
6,7,,1.0,,,04/04/2020,10:51:45
7,7,1.0,1.0,,,06/04/2020,09:22:55
8,8,1.0,1.0,,,11/04/2020,13:13:08
9,10,1.0,1.0,,,13/04/2020,11:07:56
10,11,1.0,1.0,,,14/04/2020,20:36:58
11,56,1.0,1.0,,,15/04/2020,13:51:15
12,58,1.0,1.0,,,18/04/2020,13:00:07
13,61,1.0,1.0,,,19/04/2020,12:00:03
14,67,1.0,1.0,,,20/04/2020,13:00:08
15,68,1.0,1.0,,,21/04/2020,19:32:38
16,73,1.0,1.0,,,22/04/2020,17:00:04
17,82,1.0,1.0,,,23/04/2020,12:00:09
18,88,1.0,1.0,,,24/04/2020,12:45:23
19,88,1.0,1.0,791.0,,25/04/2020,02:30:27
20,90,1.0,1.0,791.0,,25/04/2020,13:01:28
21,106,1.0,1.0,791.0,,26/04/2020,14:39:02
22,109,1.0,1.0,791.0,,27/04/2020,13:00:36
23,109,2.0,1.0,791.0,,28/04/2020,02:05:53
24,114,2.0,1.0,791.0,,28/04/2020,13:54:54
25,113,2.0,1.0,791.0,,30/04/2020,11:07:36
26,116,2.0,1.0,791.0,,30/04/2020,17:47:54
27,121,4.0,1.0,791.0,,30/04/2020,22:21:21
28,122,4.0,1.0,791.0,,01/05/2020,12:32:18
29,122,18.0,1.0,791.0,,01/05/2020,21:00:58
30,152,18.0,2.0,791.0,,02/05/2020,18:31:39
31,165,33.0,2.0,791.0,,03/05/2020,21:30:17
32,175,37.0,2.0,791.0,,04/05/2020,14:50:36
33,186,37.0,2.0,791.0,,05/05/2020,14:11:06
34,191,38.0,2.0,791.0,,06/05/2020,13:27:50
35,218,38.0,2.0,791.0,,07/05/2020,13:28:53
36,230,44.0,2.0,791.0,,07/05/2020,20:30:27
37,218,38.0,2.0,791.0,,07/05/2020,21:17:20
38,230,44.0,2.0,791.0,,08/05/2020,15:31:09
39,236,44.0,2.0,791.0,,09/05/2020,18:53:32
40,236,56.0,2.0,791.0,,09/05/2020,21:30:04
41,246,56.0,2.0,791.0,,10/05/2020,16:00:36
42,260,58.0,2.0,791.0,,11/05/2020,21:31:17
43,267,58.0,2.0,791.0,,12/05/2020,15:39:30
44,289,61.0,2.0,791.0,,13/05/2020,14:38:14
45,315,67.0,2.0,791.0,,14/05/2020,15:58:44
46,326,67.0,2.0,791.0,555195.0,15/05/2020,15:32:26
47,328,67.0,2.0,791.0,555212.0,16/05/2020,18:37:01
48,328,84.0,3.0,892.0,555212.0,16/05/2020,23:00:04
49,328,85.0,3.0,892.0,555261.0,19/05/2020,00:06:01
50,335,85.0,3.0,892.0,555261.0,19/05/2020,19:31:27
51,349,85.0,3.0,892.0,555278.0,20/05/2020,15:00:59
52,356,85.0,3.0,892.0,555294.0,21/05/2020,17:07:19
53,356,95.0,3.0,892.0,555311.0,22/05/2020,00:01:45
54,362,95.0,3.0,892.0,555311.0,22/05/2020,14:24:34
55,362,130.0,3.0,1307.0,555327.0,23/05/2020,10:30:09
56,371,142.0,3.0,1307.0,555327.0,23/05/2020,14:31:52
57,380,155.0,3.0,1307.0,555344.0,24/05/2020,17:32:01
58,390,155.0,3.0,1307.0,555360.0,25/05/2020,12:01:24
59,390,155.0,4.0,1307.0,555377.0,26/05/2020,16:26:04
60,405,155.0,4.0,1307.0,555426.0,29/05/2020,21:49:31
61,421,167.0,4.0,1307.0,555443.0,30/05/2020,15:06:59
62,435,193.0,4.0,1307.0,555459.0,31/05/2020,17:58:19
63,458,193.0,4.0,1307.0,555476.0,01/06/2020,17:33:08
64,466,237.0,5.0,1307.0,555492.0,02/06/2020,16:54:05
65,477,238.0,5.0,1307.0,555509.0,03/06/2020,13:34:43
66,502,239.0,5.0,1307.0,555525.0,04/06/2020,13:06:51
67,536,239.0,5.0,1307.0,555542.0,05/06/2020,19:18:06
68,542,240.0,5.0,1307.0,555558.0,06/06/2020,13:04:26
69,554,240.0,5.0,1307.0,555575.0,07/06/2020,17:25:46
70,567,266.0,5.0,1307.0,555591.0,08/06/2020,14:43:26
71,585,270.0,5.0,1307.0,555608.0,09/06/2020,14:34:36
72,615,294.0,5.0,1307.0,555624.0,10/06/2020,13:11:03
73,616,294.0,5.0,1307.0,555641.0,11/06/2020,08:10:29
74,657,294.0,5.0,1307.0,555641.0,11/06/2020,14:36:22
75,657,294.0,6.0,1307.0,555641.0,11/06/2020,23:00:05
76,697,294.0,6.0,1307.0,555657.0,12/06/2020,15:32:37
77,726,294.0,6.0,1307.0,555674.0,13/06/2020,19:32:47
78,750,301.0,6.0,1307.0,555690.0,14/06/2020,15:00:04
79,759,301.0,6.0,1307.0,555707.0,15/06/2020,14:30:05
80,760,340.0,7.0,1307.0,555707.0,15/06/2020,21:31:19
81,760,354.0,7.0,1307.0,555723.0,16/06/2020,07:10:34
82,781,354.0,7.0,1307.0,555723.0,16/06/2020,19:30:14
83,791,354.0,7.0,1307.0,555740.0,17/06/2020,13:31:39
84,792,361.0,7.0,1307.0,555740.0,17/06/2020,20:32:04
85,792,377.0,7.0,1307.0,555740.0,17/06/2020,23:30:05
86,823,377.0,7.0,1307.0,555756.0,18/06/2020,15:02:23
87,849,377.0,8.0,1307.0,555773.0,19/06/2020,17:33:10
88,848,377.0,8.0,1307.0,555789.0,20/06/2020,00:00:40
89,863,377.0,8.0,1307.0,555789.0,20/06/2020,15:00:04
90,890,377.0,8.0,1307.0,555806.0,21/06/2020,17:08:26
91,890,413.0,8.0,1307.0,555822.0,22/06/2020,00:15:42
92,944,419.0,8.0,1307.0,555822.0,22/06/2020,18:02:45
93,982,426.0,8.0,1560.0,555839.0,23/06/2020,23:32:02
94,982,479.0,8.0,1560.0,555855.0,24/06/2020,08:30:38
95,999,479.0,8.0,1560.0,555855.0,24/06/2020,18:33:38
96,999,562.0,8.0,1560.0,555872.0,25/06/2020,13:37:59
97,1003,562.0,8.0,1560.0,555872.0,25/06/2020,14:52:49
98,1027,562.0,9.0,1560.0,555888.0,26/06/2020,14:30:35
99,1027,568.0,10.0,1560.0,555888.0,26/06/2020,23:18:12
100,1091,568.0,12.0,1560.0,555905.0,27/06/2020,18:27:09
101,1155,570.0,12.0,1560.0,555921.0,28/06/2020,18:43:26
102,1155,570.0,12.0,1737.0,555938.0,29/06/2020,12:03:00
103,1165,608.0,12.0,1737.0,555938.0,29/06/2020,19:16:42
104,1226,608.0,14.0,39000.0,555954.0,30/06/2020,15:03:29
105,1227,629.0,15.0,39000.0,555954.0,30/06/2020,19:32:25
106,1267,629.0,15.0,39000.0,555971.0,01/07/2020,15:32:31
107,1301,629.0,15.0,39000.0,555987.0,02/07/2020,13:00:15
108,1301,629.0,15.0,39257.0,555987.0,02/07/2020,13:44:06
109,1382,629.0,15.0,39257.0,556004.0,03/07/2020,15:30:05
110,1421,654.0,16.0,39257.0,556020.0,04/07/2020,18:00:49
111,1451,655.0,17.0,39257.0,556036.0,05/07/2020,23:35:19
112,1451,655.0,17.0,39485.0,556053.0,06/07/2020,08:53:07
113,1463,671.0,17.0,39485.0,556053.0,06/07/2020,17:46:53
114,1463,722.0,17.0,39485.0,556069.0,07/07/2020,01:01:18
115,1499,724.0,18.0,39485.0,556069.0,07/07/2020,19:31:43
116,1542,730.0,18.0,39485.0,556086.0,08/07/2020,22:31:05
117,1552,730.0,18.0,39485.0,556102.0,09/07/2020,17:30:30
