,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,0.0,,,29/01/2020,19:56:57
1,1,,,,,02/02/2020,16:27:45
2,1,1.0,,,,07/02/2020,10:14:50
3,2,1.0,,,,07/03/2020,16:20:51
4,3,1.0,,,,10/03/2020,15:07:07
5,5,1.0,,,,12/03/2020,11:10:56
6,7,1.0,,,,13/03/2020,15:38:32
7,12,1.0,,,,15/03/2020,16:35:27
8,24,1.0,,,,17/03/2020,04:32:23
9,33,1.0,,,,17/03/2020,14:36:59
10,35,1.0,,,,18/03/2020,07:53:07
11,37,1.0,,,,18/03/2020,18:29:33
12,47,1.0,,,,20/03/2020,08:58:28
13,51,1.0,,,,20/03/2020,15:30:18
14,53,1.0,,,,21/03/2020,14:42:22
15,53,2.0,,,,21/03/2020,16:04:02
16,84,2.0,,,,22/03/2020,15:47:55
17,86,2.0,,,,23/03/2020,06:50:38
18,87,2.0,,,,23/03/2020,17:02:22
19,91,4.0,,,,24/03/2020,14:27:07
20,93,4.0,,,,25/03/2020,05:54:37
21,93,6.0,,,,25/03/2020,12:53:42
22,98,6.0,,,,25/03/2020,14:54:58
23,96,10.0,,,,25/03/2020,15:28:22
24,98,10.0,,,,27/03/2020,01:13:13
25,98,11.0,,,,27/03/2020,05:03:33
26,99,11.0,,,,27/03/2020,12:08:48
27,99,13.0,,,,28/03/2020,02:31:47
28,103,21.0,,,,29/03/2020,02:10:32
29,107,21.0,,,,30/03/2020,09:33:33
30,109,23.0,,,,31/03/2020,08:15:24
31,109,25.0,,,,01/04/2020,05:58:21
32,110,34.0,,,,02/04/2020,02:26:27
33,114,35.0,,,,03/04/2020,02:55:38
34,114,35.0,,5768.0,,04/04/2020,03:58:25
35,114,50.0,,5768.0,,04/04/2020,04:32:59
36,114,53.0,,5768.0,,06/04/2020,05:07:58
37,115,58.0,,5768.0,,07/04/2020,04:05:08
38,117,63.0,,5768.0,,08/04/2020,02:31:55
39,119,63.0,,5768.0,,09/04/2020,13:03:34
40,119,62.0,,5768.0,,09/04/2020,19:38:38
41,119,72.0,,5768.0,,10/04/2020,04:39:24
42,120,75.0,,5768.0,,11/04/2020,04:00:05
43,122,77.0,,5768.0,,12/04/2020,02:24:06
44,122,91.0,,5768.0,,14/04/2020,05:42:22
45,122,96.0,,5768.0,,15/04/2020,03:13:15
46,122,98.0,,5768.0,,16/04/2020,03:32:25
47,122,103.0,,5768.0,,18/04/2020,06:00:29
48,122,105.0,,5768.0,,19/04/2020,08:24:24
49,122,107.0,,5768.0,,20/04/2020,05:00:05
50,122,110.0,,5768.0,,21/04/2020,00:07:03
51,122,117.0,,5768.0,,25/04/2020,02:30:27
52,122,119.0,,11576.0,,27/04/2020,02:57:23
53,122,119.0,,11721.0,,28/04/2020,02:05:53
54,122,119.0,,11905.0,,29/04/2020,00:04:29
