,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,09:51:52
1,2,,,,,07/03/2020,00:16:26
2,4,,,,,15/03/2020,22:00:42
3,5,,,,,16/03/2020,22:13:52
4,10,,,,,17/03/2020,11:50:22
5,13,,,,,18/03/2020,19:33:32
6,13,2.0,,,,20/03/2020,08:58:28
7,20,2.0,,,,20/03/2020,09:03:12
8,27,2.0,,,,21/03/2020,02:23:24
9,40,2.0,,,,21/03/2020,21:53:01
10,56,2.0,,,,23/03/2020,07:29:02
11,66,2.0,,,,24/03/2020,08:01:14
12,66,2.0,1.0,,,25/03/2020,02:12:04
13,70,2.0,1.0,,,25/03/2020,12:02:15
14,75,2.0,1.0,,,25/03/2020,19:24:49
15,88,2.0,1.0,,,27/03/2020,04:00:04
16,88,2.0,2.0,,,27/03/2020,07:55:13
17,91,2.0,2.0,,,27/03/2020,21:22:52
18,139,5.0,6.0,,,29/03/2020,21:07:54
19,193,5.0,6.0,,,31/03/2020,06:36:57
20,223,5.0,6.0,,,01/04/2020,07:09:08
21,233,10.0,6.0,,,01/04/2020,11:05:20
22,255,10.0,6.0,,,02/04/2020,09:01:55
23,284,10.0,7.0,,,02/04/2020,12:22:33
24,306,10.0,7.0,,,02/04/2020,22:06:41
25,509,17.0,8.0,,,03/04/2020,19:37:07
26,555,17.0,9.0,,,04/04/2020,20:49:25
27,650,17.0,9.0,,,05/04/2020,20:20:02
28,658,17.0,9.0,,,06/04/2020,09:03:43
29,658,43.0,9.0,,,07/04/2020,19:54:24
30,685,60.0,9.0,,,07/04/2020,23:51:10
31,730,60.0,10.0,,,08/04/2020,20:43:09
32,803,61.0,12.0,,,10/04/2020,02:20:02
33,820,98.0,12.0,,,10/04/2020,19:11:16
34,848,98.0,12.0,,,13/04/2020,23:00:06
35,848,130.0,14.0,,,14/04/2020,13:31:09
36,848,165.0,17.0,,,15/04/2020,13:00:06
37,996,164.0,22.0,,,16/04/2020,23:37:57
38,1017,168.0,22.0,,,18/04/2020,01:00:05
39,1017,177.0,22.0,,,18/04/2020,02:30:04
40,1017,305.0,42.0,,,18/04/2020,17:59:20
41,1163,305.0,42.0,,,20/04/2020,22:35:11
42,1017,305.0,42.0,,,21/04/2020,00:00:05
43,1163,305.0,42.0,,,21/04/2020,00:07:03
44,1163,329.0,43.0,,,21/04/2020,12:00:08
45,1163,331.0,43.0,,,22/04/2020,09:00:09
46,1163,397.0,43.0,,,22/04/2020,23:00:07
47,1334,668.0,43.0,,,23/04/2020,17:00:34
48,1430,668.0,43.0,,,24/04/2020,08:30:24
49,1518,697.0,53.0,,,25/04/2020,13:01:28
50,1621,786.0,56.0,,,26/04/2020,13:29:37
51,1705,805.0,58.0,,,28/04/2020,02:05:53
52,1705,915.0,58.0,,,28/04/2020,22:29:04
53,1806,915.0,59.0,,,29/04/2020,04:13:02
54,1806,934.0,61.0,,,29/04/2020,20:11:15
55,1832,934.0,61.0,,,30/04/2020,00:36:30
56,2077,953.0,64.0,,,02/05/2020,16:26:16
57,2104,953.0,64.0,,,05/05/2020,01:01:30
58,2265,1000.0,64.0,,,06/05/2020,12:31:06
59,2265,1000.0,108.0,,,06/05/2020,23:51:30
60,2267,1002.0,108.0,,,07/05/2020,09:30:18
61,2274,1232.0,108.0,,,09/05/2020,14:44:35
62,2579,1465.0,114.0,,,10/05/2020,10:54:42
63,2689,1524.0,125.0,,,11/05/2020,22:17:21
64,2800,1543.0,136.0,,,13/05/2020,22:00:32
65,2954,1553.0,139.0,,,14/05/2020,22:15:16
66,3105,1567.0,140.0,,26455880.0,16/05/2020,02:00:04
67,3529,1567.0,140.0,,26461313.0,19/05/2020,00:06:01
68,3733,1595.0,146.0,,26464935.0,21/05/2020,07:23:54
69,4288,1808.0,156.0,,26464935.0,21/05/2020,21:30:48
70,4400,1822.0,159.0,,26466746.0,22/05/2020,19:47:47
71,4890,1865.0,165.0,,26472178.0,25/05/2020,00:30:26
72,5044,1917.0,171.0,,26473989.0,26/05/2020,06:04:53
73,5436,1996.0,175.0,,26473989.0,26/05/2020,22:30:05
74,5436,1996.0,175.0,,26475800.0,27/05/2020,16:10:09
75,5436,3326.0,177.0,,26479422.0,29/05/2020,20:45:29
76,5659,3441.0,185.0,,26481233.0,30/05/2020,15:22:54
77,5904,3568.0,191.0,,26481233.0,30/05/2020,23:21:14
78,6143,3578.0,197.0,,26484855.0,01/06/2020,13:54:39
79,6397,3629.0,199.0,,26484855.0,01/06/2020,20:33:46
80,6585,3676.0,200.0,,26486666.0,02/06/2020,20:31:50
81,6789,3705.0,203.0,,26490288.0,04/06/2020,11:57:10
82,7392,4575.0,205.0,,26492099.0,05/06/2020,09:33:58
