,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,0.0,,,29/01/2020,19:56:57
1,4,,0.0,,,31/01/2020,21:49:27
2,4,,,,,02/02/2020,16:27:45
3,5,,,,,04/02/2020,23:07:01
4,7,,,,,06/02/2020,23:18:55
5,7,1.0,,,,11/02/2020,18:49:21
6,8,1.0,,,,14/02/2020,23:27:53
7,8,2.0,,,,20/02/2020,08:08:31
8,9,2.0,,,,21/02/2020,01:54:29
9,9,3.0,,,,21/02/2020,05:16:39
10,10,3.0,,,,23/02/2020,23:34:28
11,11,3.0,,,,24/02/2020,18:39:06
12,12,3.0,,,,26/02/2020,12:20:37
13,13,3.0,,,,27/02/2020,21:21:37
14,14,3.0,,,,28/02/2020,02:18:37
15,15,3.0,,,,29/02/2020,00:26:28
16,16,3.0,,,,29/02/2020,03:23:39
17,16,4.0,,,,29/02/2020,22:19:46
18,20,4.0,,,,01/03/2020,00:55:00
19,24,4.0,,,,01/03/2020,23:38:56
20,27,7.0,,,,02/03/2020,20:07:52
21,27,4.0,,,,02/03/2020,22:36:28
22,27,7.0,,,,02/03/2020,22:37:24
23,29,7.0,,,,03/03/2020,17:43:55
24,30,7.0,,,,03/03/2020,22:39:15
25,33,7.0,,,,04/03/2020,01:50:05
26,34,7.0,,,,05/03/2020,02:02:17
27,35,7.0,,,,05/03/2020,12:44:59
28,37,8.0,,,,05/03/2020,16:13:03
29,45,8.0,,,,06/03/2020,01:25:59
30,46,8.0,,,,06/03/2020,02:52:21
31,48,8.0,,,,06/03/2020,06:14:11
32,49,8.0,,,,06/03/2020,17:12:04
33,51,8.0,,,,06/03/2020,21:05:43
34,52,8.0,,,,07/03/2020,00:16:26
35,54,8.0,,,,07/03/2020,01:03:15
36,60,8.0,,,,07/03/2020,18:37:15
37,63,8.0,,,,08/03/2020,15:31:26
38,64,8.0,,,,08/03/2020,18:35:03
39,66,8.0,,,,09/03/2020,02:51:22
40,67,8.0,,,,09/03/2020,06:45:01
41,70,8.0,,,,09/03/2020,17:28:05
42,70,8.0,1.0,,,09/03/2020,18:31:31
43,77,8.0,1.0,,,09/03/2020,19:28:19
44,80,8.0,1.0,,,10/03/2020,18:20:32
45,86,8.0,1.0,,,10/03/2020,22:31:11
46,87,8.0,1.0,,,10/03/2020,22:59:38
47,94,8.0,1.0,,,10/03/2020,23:24:00
48,95,8.0,1.0,,,11/03/2020,05:04:21
49,96,9.0,1.0,,,11/03/2020,05:45:21
50,97,9.0,1.0,,,11/03/2020,06:16:18
51,99,9.0,1.0,,,11/03/2020,17:21:51
52,102,9.0,1.0,,,11/03/2020,22:32:56
53,109,9.0,1.0,,,12/03/2020,00:02:33
54,118,9.0,1.0,,,12/03/2020,03:34:39
55,122,9.0,1.0,,,12/03/2020,16:37:46
56,142,9.0,1.0,,,12/03/2020,21:33:03
57,142,11.0,1.0,,,12/03/2020,23:06:10
58,158,11.0,1.0,,,13/03/2020,04:28:36
59,179,11.0,1.0,,,13/03/2020,22:40:01
60,198,11.0,1.0,,,13/03/2020,23:59:40
61,200,11.0,1.0,,,14/03/2020,05:33:26
62,218,11.0,1.0,,,14/03/2020,15:46:50
63,225,11.0,1.0,,,14/03/2020,16:34:03
64,247,11.0,1.0,,,14/03/2020,22:08:07
65,252,11.0,1.0,,,15/03/2020,01:09:29
66,255,11.0,1.0,,,15/03/2020,15:58:06
67,302,11.0,1.0,,,15/03/2020,17:41:57
68,313,11.0,1.0,,,15/03/2020,18:16:20
69,317,11.0,1.0,,,15/03/2020,19:01:14
70,321,11.0,1.0,,,15/03/2020,22:00:42
71,341,11.0,1.0,,,16/03/2020,00:02:21
72,375,11.0,1.0,,,16/03/2020,17:07:28
73,376,11.0,4.0,,,16/03/2020,18:38:43
74,406,11.0,4.0,,,16/03/2020,19:49:35
75,422,11.0,4.0,,,16/03/2020,22:13:52
76,441,11.0,4.0,,,17/03/2020,00:17:22
77,424,11.0,4.0,,,17/03/2020,14:36:59
78,440,11.0,4.0,,,17/03/2020,14:51:26
79,449,11.0,4.0,,,17/03/2020,15:23:24
80,449,11.0,5.0,,,17/03/2020,15:47:47
81,452,11.0,5.0,,,17/03/2020,17:46:39
82,465,11.0,5.0,,,17/03/2020,18:51:29
83,479,11.0,5.0,,,17/03/2020,21:14:56
84,562,11.0,8.0,,,17/03/2020,22:31:37
85,597,11.0,8.0,,,17/03/2020,23:28:02
86,598,12.0,8.0,,,17/03/2020,23:47:53
87,648,12.0,9.0,,,18/03/2020,18:51:01
88,656,12.0,9.0,,,18/03/2020,20:27:42
89,727,12.0,9.0,,,18/03/2020,23:14:37
90,770,12.0,9.0,,,19/03/2020,15:53:36
91,772,12.0,9.0,,,19/03/2020,17:33:38
92,800,11.0,10.0,,,19/03/2020,18:51:51
