,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,01/04/2020,03:32:33
1,2,,,10.0,,04/04/2020,03:58:25
2,3,,,10.0,,12/04/2020,05:38:38
3,5,,,110.0,,19/04/2020,13:00:06
4,6,,,110.0,,02/05/2020,00:01:35
5,6,6.0,,357.0,,13/05/2020,09:28:29
6,6,6.0,,424.0,26196.0,22/05/2020,03:30:44
7,6,6.0,,424.0,26199.0,27/05/2020,16:10:09
8,6,6.0,0.0,424.0,26201.0,29/05/2020,00:22:14
9,7,7.0,0.0,424.0,26203.0,01/06/2020,09:41:16
10,9,7.0,0.0,424.0,26232.0,15/07/2020,10:42:47
11,10,7.0,0.0,424.0,26233.0,17/07/2020,16:34:22
12,11,7.0,0.0,424.0,26238.0,24/07/2020,21:02:27
13,13,7.0,0.0,424.0,26244.0,02/08/2020,07:50:49
14,14,7.0,0.0,424.0,26261.0,28/08/2020,16:58:34
15,15,7.0,0.0,424.0,26262.0,29/08/2020,11:59:00
16,15,7.0,0.0,900.0,26262.0,30/08/2020,10:04:52
17,16,7.0,0.0,900.0,26264.0,02/09/2020,00:33:52
18,18,7.0,0.0,900.0,26265.0,03/09/2020,18:52:26
19,21,7.0,0.0,900.0,26268.0,08/09/2020,12:37:11
20,25,7.0,0.0,900.0,26270.0,10/09/2020,12:00:28
21,28,17.0,1.0,1516.0,26273.0,15/09/2020,14:02:49
22,32,17.0,1.0,1516.0,26274.0,17/09/2020,16:32:19
23,36,17.0,1.0,1516.0,26275.0,18/09/2020,13:40:36
24,54,18.0,1.0,1878.0,26278.0,22/09/2020,15:01:57
25,69,21.0,1.0,1996.0,26278.0,23/09/2020,12:55:57
26,85,21.0,1.0,2194.0,26280.0,25/09/2020,12:46:18
27,88,21.0,1.0,2194.0,26282.0,28/09/2020,16:50:31
28,106,24.0,1.0,2413.0,26282.0,29/09/2020,12:29:23
29,121,32.0,1.0,2569.0,26284.0,01/10/2020,00:49:51
30,124,46.0,1.0,2575.0,26285.0,03/10/2020,13:03:29
31,141,67.0,2.0,2796.0,26287.0,06/10/2020,11:05:55
32,148,78.0,2.0,2857.0,26289.0,09/10/2020,12:43:43
33,150,111.0,2.0,2890.0,26292.0,14/10/2020,07:44:38
34,150,121.0,3.0,2890.0,26296.0,17/10/2020,18:13:13
35,150,126.0,3.0,2890.0,26301.0,27/10/2020,00:00:13
36,153,145.0,3.0,3353.0,26302.0,29/10/2020,12:21:14
