,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,10:52:48
1,1,,1.0,,,16/03/2020,12:36:27
2,3,,1.0,,,19/03/2020,19:41:28
3,5,,1.0,,,23/03/2020,21:26:15
4,6,,1.0,,,24/03/2020,17:54:54
5,8,,1.0,,,25/03/2020,20:06:33
6,12,,1.0,,,29/03/2020,23:53:59
7,14,,1.0,,,31/03/2020,23:05:12
8,22,,1.0,,,01/04/2020,21:31:31
9,28,,1.0,,,02/04/2020,22:58:25
10,29,1.0,1.0,,,03/04/2020,23:34:36
11,29,1.0,1.0,265.0,,04/04/2020,03:58:25
12,35,1.0,1.0,319.0,,04/04/2020,21:20:36
13,39,1.0,1.0,365.0,,05/04/2020,23:22:56
14,45,1.0,1.0,365.0,,07/04/2020,19:57:08
15,45,6.0,1.0,479.0,,07/04/2020,21:00:12
16,53,6.0,1.0,536.0,,11/04/2020,23:56:33
17,54,6.0,1.0,580.0,,13/04/2020,23:00:06
18,60,6.0,1.0,636.0,,15/04/2020,23:22:56
19,61,7.0,1.0,690.0,,16/04/2020,23:37:57
20,61,7.0,1.0,702.0,,18/04/2020,00:31:43
21,66,7.0,1.0,778.0,,20/04/2020,22:35:11
22,61,7.0,1.0,702.0,,21/04/2020,00:00:05
23,66,7.0,1.0,778.0,,21/04/2020,00:07:03
24,70,8.0,1.0,940.0,,24/04/2020,23:49:16
25,70,10.0,1.0,1148.0,,28/04/2020,02:05:53
26,73,10.0,1.0,1335.0,,29/04/2020,16:35:36
27,73,10.0,1.0,1535.0,,29/04/2020,21:49:58
28,74,10.0,1.0,1927.0,,01/05/2020,23:00:36
29,75,14.0,1.0,2528.0,,04/05/2020,20:56:28
30,78,30.0,1.0,2752.0,,06/05/2020,03:30:14
31,78,30.0,1.0,3050.0,,06/05/2020,22:33:44
32,81,41.0,1.0,3423.0,,07/05/2020,20:30:27
33,78,30.0,1.0,3050.0,,07/05/2020,21:17:20
34,80,35.0,1.0,3126.0,,07/05/2020,22:14:18
35,81,41.0,1.0,3423.0,,08/05/2020,21:00:55
36,84,47.0,1.0,4187.0,,11/05/2020,22:17:21
37,85,50.0,1.0,4564.0,,12/05/2020,23:44:31
38,86,50.0,1.0,4893.0,,13/05/2020,20:19:26
39,86,54.0,1.0,4893.0,,13/05/2020,22:00:32
40,93,54.0,1.0,5342.0,,14/05/2020,22:15:16
41,94,55.0,1.0,5900.0,65620.0,15/05/2020,23:01:13
42,111,55.0,1.0,7082.0,65631.0,20/05/2020,00:09:48
43,111,55.0,1.0,7576.0,65631.0,20/05/2020,22:30:36
44,121,55.0,1.0,7959.0,65633.0,21/05/2020,23:35:30
45,129,61.0,1.0,7959.0,65635.0,22/05/2020,19:39:25
46,129,61.0,1.0,8426.0,65635.0,22/05/2020,21:32:30
47,134,61.0,1.0,9401.0,65642.0,25/05/2020,21:30:20
48,137,63.0,1.0,9815.0,65646.0,27/05/2020,00:05:51
49,140,67.0,1.0,10174.0,65646.0,27/05/2020,23:30:14
50,140,67.0,1.0,10466.0,65648.0,28/05/2020,20:40:25
51,141,68.0,1.0,11139.0,65650.0,29/05/2020,21:14:18
52,150,75.0,1.0,11944.0,65658.0,02/06/2020,00:01:35
53,151,77.0,1.0,12003.0,65658.0,02/06/2020,21:48:26
54,156,78.0,1.0,12508.0,65661.0,03/06/2020,22:00:14
55,156,85.0,1.0,12508.0,65663.0,04/06/2020,19:31:22
56,160,85.0,1.0,13253.0,65663.0,04/06/2020,19:35:59
57,164,93.0,1.0,13947.0,65665.0,05/06/2020,20:16:08
58,171,102.0,1.0,14733.0,65671.0,08/06/2020,21:01:15
59,176,104.0,1.0,15423.0,65673.0,09/06/2020,21:14:36
60,180,107.0,1.0,16072.0,65675.0,10/06/2020,21:00:47
61,186,112.0,1.0,16628.0,65677.0,11/06/2020,23:30:48
62,187,115.0,1.0,17227.0,65679.0,12/06/2020,21:30:23
63,193,123.0,1.0,18220.0,65688.0,16/06/2020,22:53:14
64,193,123.0,1.0,18605.0,65690.0,17/06/2020,21:30:53
65,193,132.0,1.0,18605.0,65690.0,17/06/2020,23:30:05
66,193,141.0,1.0,19336.0,65692.0,18/06/2020,20:45:10
67,195,143.0,1.0,20370.0,65694.0,19/06/2020,23:01:51
68,195,146.0,1.0,20831.0,65701.0,22/06/2020,22:31:33
69,195,154.0,1.0,21282.0,65703.0,23/06/2020,23:00:04
70,196,169.0,1.0,21733.0,65705.0,24/06/2020,21:02:03
71,196,184.0,1.0,22266.0,65707.0,25/06/2020,21:56:44
72,196,186.0,1.0,22657.0,65711.0,27/06/2020,00:00:20
73,199,189.0,1.0,23280.0,65715.0,29/06/2020,21:51:55
74,200,191.0,1.0,23750.0,65717.0,30/06/2020,22:00:35
75,201,193.0,1.0,24069.0,65720.0,01/07/2020,22:05:52
76,201,194.0,1.0,24321.0,65722.0,02/07/2020,22:00:47
77,201,194.0,1.0,24637.0,65728.0,05/07/2020,00:01:03
78,201,194.0,1.0,25220.0,65732.0,07/07/2020,23:20:42
79,201,197.0,1.0,25530.0,65734.0,08/07/2020,23:56:24
