,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,19/03/2020,15:53:36
1,2,,,,,24/03/2020,02:20:46
2,3,,,,,24/03/2020,09:30:47
3,5,,,,,30/03/2020,13:40:16
4,7,,,,,31/03/2020,08:15:24
5,8,,,,,02/04/2020,22:06:41
6,9,,,,,04/04/2020,07:30:42
7,10,2.0,,,,07/04/2020,15:42:48
8,11,2.0,,,,09/04/2020,18:30:40
9,18,2.0,,,,12/04/2020,14:00:04
10,23,2.0,,,,13/04/2020,11:07:56
11,27,5.0,,,,16/04/2020,08:38:55
12,33,8.0,,,,18/04/2020,10:00:05
13,40,8.0,,,,24/04/2020,10:02:36
14,46,15.0,,,,25/04/2020,17:30:05
15,52,19.0,2.0,,,28/04/2020,18:17:10
16,73,33.0,5.0,,,30/04/2020,19:41:48
17,117,39.0,10.0,,,02/05/2020,19:31:11
18,170,43.0,17.0,,,05/05/2020,17:53:59
19,253,50.0,27.0,,,07/05/2020,19:30:04
20,260,50.0,28.0,,,07/05/2020,20:30:27
21,253,50.0,27.0,,,07/05/2020,21:17:20
22,260,50.0,28.0,,,08/05/2020,19:30:04
23,322,53.0,31.0,,,09/05/2020,19:03:16
24,357,76.0,40.0,,,12/05/2020,16:55:59
25,372,78.0,42.0,,,13/05/2020,15:36:55
26,399,83.0,46.0,,,14/05/2020,22:15:16
27,428,88.0,48.0,,16359351.0,15/05/2020,17:21:00
28,474,111.0,50.0,,16360644.0,16/05/2020,17:10:23
29,503,117.0,53.0,,16361937.0,17/05/2020,19:02:20
30,519,117.0,53.0,,16363230.0,18/05/2020,18:59:22
31,545,139.0,56.0,,16364523.0,19/05/2020,16:57:23
32,565,177.0,57.0,,16365816.0,20/05/2020,18:02:04
33,588,186.0,58.0,,16367109.0,21/05/2020,17:07:19
34,611,196.0,58.0,,16368402.0,22/05/2020,17:47:37
35,648,204.0,60.0,,16369695.0,23/05/2020,17:30:04
36,675,215.0,60.0,,16370988.0,24/05/2020,17:32:01
37,687,244.0,61.0,,16372282.0,25/05/2020,18:32:47
38,700,303.0,62.0,,16373575.0,26/05/2020,17:04:49
39,700,303.0,62.0,,16374868.0,27/05/2020,16:10:09
40,715,359.0,64.0,,16374868.0,27/05/2020,19:10:04
41,726,413.0,65.0,,16376161.0,28/05/2020,16:17:40
42,759,444.0,65.0,,16377454.0,29/05/2020,17:44:31
43,759,470.0,65.0,,16378747.0,30/05/2020,16:34:34
44,778,491.0,65.0,,16380040.0,31/05/2020,17:54:11
45,790,539.0,66.0,,16381333.0,01/06/2020,17:33:08
46,803,562.0,66.0,,16382626.0,02/06/2020,17:23:30
47,820,590.0,66.0,,16383919.0,03/06/2020,18:23:15
48,828,633.0,66.0,,16385212.0,04/06/2020,17:53:19
49,836,657.0,68.0,,16386505.0,05/06/2020,18:08:10
50,836,672.0,69.0,,16387798.0,06/06/2020,18:16:19
51,837,672.0,69.0,,16389091.0,07/06/2020,17:56:28
52,839,685.0,70.0,,16390384.0,08/06/2020,18:56:05
53,844,706.0,71.0,,16391677.0,09/06/2020,18:52:13
54,846,706.0,72.0,,16392970.0,10/06/2020,17:47:44
55,848,706.0,72.0,,16394263.0,11/06/2020,18:32:08
56,848,711.0,72.0,,16395556.0,12/06/2020,18:30:35
57,848,718.0,72.0,,16396849.0,13/06/2020,19:32:47
58,850,720.0,73.0,,16398142.0,14/06/2020,15:59:18
59,853,720.0,74.0,,16400728.0,16/06/2020,17:55:03
60,854,721.0,74.0,,16402021.0,17/06/2020,18:31:18
61,854,733.0,74.0,,16403314.0,18/06/2020,15:27:59
62,858,742.0,74.0,,16404607.0,19/06/2020,16:05:52
63,858,746.0,74.0,,16405900.0,20/06/2020,16:30:17
64,858,752.0,74.0,,16407193.0,21/06/2020,17:08:26
65,858,755.0,74.0,,16408486.0,22/06/2020,17:20:52
66,860,757.0,74.0,,16409779.0,23/06/2020,18:31:10
67,860,770.0,74.0,,16411072.0,24/06/2020,19:02:22
68,863,774.0,74.0,,16412365.0,25/06/2020,16:58:48
69,865,778.0,74.0,,16413658.0,26/06/2020,15:14:05
70,866,780.0,74.0,,16416244.0,28/06/2020,17:23:50
71,866,781.0,74.0,,16417537.0,29/06/2020,18:13:41
72,866,785.0,74.0,,16420123.0,01/07/2020,21:00:05
73,868,785.0,74.0,,16421417.0,02/07/2020,17:19:36
74,871,786.0,74.0,,16422710.0,03/07/2020,17:31:52
75,871,787.0,74.0,,16424003.0,04/07/2020,18:30:58
76,872,787.0,74.0,,16425296.0,05/07/2020,22:26:05
77,873,788.0,74.0,,16427882.0,07/07/2020,20:40:27
78,874,789.0,74.0,,16431761.0,10/07/2020,18:31:24
79,874,790.0,74.0,,16433054.0,11/07/2020,18:31:58
80,880,790.0,75.0,,16434347.0,12/07/2020,20:31:09
81,880,792.0,75.0,,16435640.0,13/07/2020,19:27:06
82,884,798.0,75.0,,16436933.0,14/07/2020,18:10:42
83,885,799.0,75.0,,16438226.0,15/07/2020,18:23:25
84,886,799.0,75.0,,16439519.0,16/07/2020,21:34:59
85,887,800.0,75.0,,16440812.0,17/07/2020,15:52:58
86,889,800.0,75.0,,16443398.0,19/07/2020,00:32:32
87,889,801.0,75.0,,16443398.0,19/07/2020,17:01:07
88,889,803.0,75.0,,16445984.0,21/07/2020,17:32:05
89,889,805.0,75.0,,16447277.0,22/07/2020,18:00:06
90,915,805.0,75.0,,16448570.0,23/07/2020,19:56:35
91,915,810.0,75.0,,16451156.0,25/07/2020,22:13:46
92,922,810.0,75.0,,16453742.0,27/07/2020,16:32:33
93,926,810.0,75.0,,16455035.0,28/07/2020,18:17:03
94,926,813.0,75.0,,16456328.0,29/07/2020,17:49:28
95,935,813.0,75.0,,16457621.0,30/07/2020,19:50:58
96,936,813.0,75.0,,16458914.0,31/07/2020,21:41:33
97,936,814.0,75.0,,16462793.0,03/08/2020,20:10:50
98,938,814.0,75.0,,16464086.0,04/08/2020,20:32:04
99,939,835.0,75.0,,16465379.0,05/08/2020,20:32:59
100,942,838.0,76.0,,16466672.0,06/08/2020,22:42:59
101,942,839.0,76.0,,16469258.0,08/08/2020,23:31:07
102,944,839.0,76.0,,16470551.0,09/08/2020,20:36:22
103,945,843.0,76.0,,16471845.0,10/08/2020,20:30:58
104,946,859.0,76.0,,16473138.0,11/08/2020,22:54:27
