,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,09/03/2020,14:08:36
1,2,,,,,10/03/2020,16:37:32
2,3,,,,,12/03/2020,10:42:01
3,6,,,,,16/03/2020,13:33:06
4,7,,,,,18/03/2020,19:33:32
5,11,,,,,19/03/2020,19:30:14
6,12,,,,,20/03/2020,18:55:44
7,14,,,,,21/03/2020,09:30:23
8,32,,,,,21/03/2020,19:45:31
9,35,,,,,23/03/2020,08:39:49
10,36,,,,,23/03/2020,14:56:32
11,39,,,,,25/03/2020,10:30:18
12,46,,,,,25/03/2020,21:47:32
13,46,,1.0,,,26/03/2020,07:32:54
14,66,,1.0,,,26/03/2020,21:30:04
15,80,,1.0,,,27/03/2020,13:47:45
16,88,,1.0,,,27/03/2020,18:43:06
17,97,,1.0,,,28/03/2020,18:25:32
18,100,,1.0,,,29/03/2020,06:30:36
19,100,,2.0,,,29/03/2020,15:30:35
20,108,,2.0,,,29/03/2020,20:55:31
21,141,,2.0,,,30/03/2020,13:40:16
22,141,,3.0,,,31/03/2020,07:35:12
23,159,,3.0,,,01/04/2020,07:09:08
24,172,,3.0,,,01/04/2020,12:41:57
25,187,,3.0,,,02/04/2020,15:18:57
26,193,,3.0,,,02/04/2020,15:51:12
27,210,,4.0,,,03/04/2020,12:31:44
28,210,13.0,4.0,,,03/04/2020,14:08:32
29,232,13.0,4.0,,,03/04/2020,14:59:10
30,232,13.0,5.0,,,04/04/2020,11:55:34
31,240,13.0,5.0,,,04/04/2020,19:53:16
32,262,13.0,5.0,,,04/04/2020,22:22:17
33,280,27.0,6.0,,,05/04/2020,17:30:38
34,309,27.0,6.0,,,05/04/2020,20:22:11
35,309,27.0,7.0,,,06/04/2020,16:33:46
36,323,27.0,7.0,1157.0,,06/04/2020,18:07:55
37,334,27.0,7.0,1157.0,,07/04/2020,09:44:01
38,335,34.0,7.0,1157.0,,07/04/2020,13:04:08
39,351,38.0,8.0,1157.0,,08/04/2020,18:16:37
40,361,40.0,8.0,1157.0,,09/04/2020,14:32:13
41,398,40.0,9.0,1157.0,,10/04/2020,18:10:49
42,398,40.0,9.0,3320.0,,11/04/2020,06:45:05
43,407,48.0,9.0,3320.0,,11/04/2020,21:00:05
44,431,48.0,9.0,3320.0,,12/04/2020,19:00:06
45,436,48.0,9.0,3320.0,,13/04/2020,11:07:56
46,440,48.0,13.0,3320.0,,14/04/2020,19:00:05
47,445,69.0,13.0,3320.0,,15/04/2020,13:51:15
48,447,69.0,15.0,3320.0,,15/04/2020,18:59:52
49,457,73.0,19.0,3320.0,,16/04/2020,23:37:57
