,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,03/03/2020,22:39:15
1,2,,,,,04/03/2020,19:33:00
2,3,,,,,05/03/2020,00:06:56
3,4,,,,,05/03/2020,22:17:04
4,5,,,,,06/03/2020,19:57:53
5,7,,,,,08/03/2020,03:53:53
6,8,,,,,08/03/2020,15:31:26
7,10,,,,,08/03/2020,22:11:11
8,13,,,,,09/03/2020,20:50:50
9,17,,,,,10/03/2020,16:24:12
10,23,,,,,11/03/2020,18:37:47
11,33,,,,,12/03/2020,20:36:11
12,43,,,,,13/03/2020,16:06:14
13,61,,,,,14/03/2020,17:54:56
14,75,,,,,15/03/2020,16:35:27
15,155,,,,,16/03/2020,14:17:48
16,156,,,,,16/03/2020,19:03:42
17,181,,,,,17/03/2020,13:20:44
18,201,,,,,17/03/2020,14:34:29
19,238,,,,,18/03/2020,13:49:49
20,342,,,,,19/03/2020,15:53:36
21,434,6.0,,,,20/03/2020,14:01:10
22,537,8.0,,,,21/03/2020,14:42:22
23,537,8.0,1.0,,,21/03/2020,20:27:29
24,632,8.0,1.0,,,22/03/2020,14:01:28
25,746,8.0,1.0,,,23/03/2020,13:33:23
26,746,8.0,2.0,,,23/03/2020,14:18:53
27,746,11.0,2.0,,,23/03/2020,14:56:32
28,922,17.0,2.0,,,24/03/2020,13:47:20
29,922,22.0,2.0,,,25/03/2020,13:14:07
30,1142,22.0,2.0,,,25/03/2020,13:29:16
31,1142,22.0,3.0,,,25/03/2020,14:54:58
32,1306,22.0,4.0,,,26/03/2020,13:30:35
33,1610,22.0,5.0,,,27/03/2020,14:00:04
34,1610,43.0,5.0,,,27/03/2020,15:09:55
35,1909,43.0,5.0,,,28/03/2020,15:29:50
36,1909,61.0,6.0,,,28/03/2020,16:17:32
37,2139,61.0,6.0,,,29/03/2020,15:30:35
38,2139,75.0,7.0,,,29/03/2020,16:42:02
39,2449,156.0,8.0,,,30/03/2020,13:40:16
40,2738,156.0,12.0,,,31/03/2020,14:24:22
41,3031,234.0,16.0,,,01/04/2020,13:54:15
42,3404,335.0,18.0,,,02/04/2020,13:39:08
43,3737,427.0,22.0,,,03/04/2020,14:59:10
44,3737,427.0,22.0,35142.0,,04/04/2020,03:58:25
45,4161,427.0,27.0,35142.0,,04/04/2020,15:53:48
46,4161,528.0,27.0,48613.0,,04/04/2020,16:19:00
47,4471,528.0,34.0,51956.0,,05/04/2020,16:01:59
48,4471,618.0,34.0,51956.0,,05/04/2020,17:30:38
49,4815,618.0,37.0,51956.0,,06/04/2020,15:10:50
50,4815,728.0,37.0,54864.0,,06/04/2020,15:24:02
51,5116,898.0,43.0,57122.0,,07/04/2020,15:07:56
52,5546,1115.0,48.0,57122.0,,08/04/2020,14:30:17
53,5546,1115.0,48.0,60391.0,,08/04/2020,14:40:41
54,5972,1274.0,57.0,68353.0,,09/04/2020,14:32:13
55,6501,1274.0,65.0,72797.0,,10/04/2020,16:07:54
56,6501,1571.0,65.0,72797.0,,10/04/2020,17:28:43
57,6927,1864.0,73.0,76374.0,,11/04/2020,15:17:31
58,7213,2059.0,73.0,76374.0,,12/04/2020,15:00:04
