,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,6070,,133.0,,,29/01/2020,19:56:57
1,7801,,170.0,,,30/01/2020,09:35:54
2,7804,,170.0,,,30/01/2020,15:00:28
3,8123,,170.0,,,30/01/2020,19:37:26
4,9692,,213.0,,,31/01/2020,02:54:22
5,9798,,213.0,,,31/01/2020,21:49:27
6,11791,,259.0,,,01/02/2020,00:37:30
7,11860,,259.0,,,01/02/2020,15:54:49
8,14497,,304.0,,,02/02/2020,16:27:45
9,17205,494.0,361.0,,,03/02/2020,07:08:53
10,17222,497.0,361.0,,,03/02/2020,08:08:04
11,17302,512.0,361.0,,,03/02/2020,11:24:42
12,20438,647.0,425.0,,,04/02/2020,05:17:06
13,23658,861.0,490.0,,,04/02/2020,23:07:01
14,24324,892.0,490.0,,,05/02/2020,00:57:31
15,24387,973.0,491.0,,,05/02/2020,09:27:26
16,24391,1014.0,491.0,,,05/02/2020,13:01:02
17,24399,1022.0,491.0,,,05/02/2020,18:44:41
18,30551,1593.0,633.0,,,06/02/2020,23:02:52
19,31204,1630.0,636.0,,,07/02/2020,10:14:50
20,31210,1747.0,636.0,,,07/02/2020,15:36:23
21,34611,2363.0,722.0,,,08/02/2020,14:51:42
22,34620,2376.0,722.0,,,08/02/2020,17:51:53
23,36778,2377.0,804.0,,,08/02/2020,22:42:47
24,40185,3422.0,908.0,,,10/02/2020,10:07:48
25,40197,3619.0,908.0,,,10/02/2020,15:41:16
26,40199,3623.0,908.0,,,10/02/2020,19:40:00
27,42670,4318.0,1016.0,,,11/02/2020,18:49:21
28,44653,4740.0,1113.0,,,12/02/2020,06:01:34
29,44653,4777.0,1113.0,,,12/02/2020,10:28:15
30,59826,6210.0,1367.0,,,13/02/2020,17:47:19
31,59828,6210.0,1367.0,,,13/02/2020,19:54:11
32,63865,7014.0,1381.0,,,14/02/2020,09:24:39
33,66291,7977.0,1520.0,,,14/02/2020,23:27:53
34,66492,8096.0,1523.0,,,15/02/2020,01:47:53
35,66493,8251.0,1523.0,,,15/02/2020,06:36:49
36,68501,9452.0,1665.0,,,16/02/2020,03:02:15
37,68505,9544.0,1665.0,,,16/02/2020,08:02:43
38,68509,9754.0,1666.0,,,16/02/2020,22:14:07
39,70542,10728.0,1765.0,,,16/02/2020,23:04:26
40,70553,11066.0,1771.0,,,17/02/2020,10:01:50
41,70553,11158.0,1771.0,,,17/02/2020,11:39:20
42,72436,12552.0,1868.0,,,18/02/2020,01:13:07
43,72438,12621.0,1868.0,,,18/02/2020,02:34:10
44,72438,12941.0,1869.0,,,18/02/2020,12:52:29
45,72439,12948.0,1869.0,,,18/02/2020,13:10:27
46,72440,12994.0,1870.0,,,18/02/2020,16:41:40
47,74186,14451.0,2005.0,,,19/02/2020,03:43:10
48,74187,14754.0,2006.0,,,19/02/2020,10:51:12
49,74188,14926.0,2006.0,,,19/02/2020,17:04:15
50,74192,14926.0,2006.0,,,19/02/2020,17:46:33
51,74577,16233.0,2118.0,,,20/02/2020,02:39:06
52,74578,16264.0,2118.0,,,20/02/2020,05:17:10
53,74578,16352.0,2119.0,,,20/02/2020,08:08:31
54,74579,16699.0,2119.0,,,20/02/2020,13:52:34
55,74580,16707.0,2119.0,,,20/02/2020,16:52:51
56,74581,16707.0,2119.0,,,20/02/2020,18:39:52
57,74582,16707.0,2120.0,,,20/02/2020,22:08:12
58,75000,18007.0,2236.0,,,21/02/2020,00:00:38
59,75004,18007.0,2236.0,,,21/02/2020,00:05:58
60,75013,18057.0,2236.0,,,21/02/2020,00:34:59
61,75013,18140.0,2236.0,,,21/02/2020,01:01:40
62,75014,18270.0,2236.0,,,21/02/2020,01:11:08
63,75464,18308.0,2236.0,,,21/02/2020,01:26:05
64,75465,18308.0,2236.0,,,21/02/2020,02:02:21
65,75465,18362.0,2236.0,,,21/02/2020,05:16:39
66,75467,18371.0,2236.0,,,21/02/2020,08:50:19
67,75467,18588.0,2236.0,,,21/02/2020,10:41:35
68,75467,18616.0,2236.0,,,21/02/2020,11:29:14
69,75467,18640.0,2236.0,,,21/02/2020,11:37:07
70,75467,18664.0,2236.0,,,21/02/2020,13:03:06
71,75467,18667.0,2236.0,,,21/02/2020,14:27:35
72,75892,18673.0,2236.0,,,21/02/2020,20:08:31
73,75893,18673.0,2236.0,,,21/02/2020,22:28:16
74,75897,18690.0,2236.0,,,21/02/2020,23:16:49
75,75897,18692.0,2236.0,,,21/02/2020,23:33:17
