,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,06/03/2020,21:05:43
1,3,,,,,09/03/2020,14:08:36
2,9,,,,,11/03/2020,15:03:12
3,14,,,,,13/03/2020,14:54:14
4,13,,,,,13/03/2020,15:38:32
5,16,,,,,14/03/2020,01:11:47
6,22,,,,,14/03/2020,14:52:51
7,24,,,,,15/03/2020,02:39:45
8,34,,,,,15/03/2020,15:12:18
9,45,,,,,16/03/2020,06:39:21
10,54,,,,,16/03/2020,14:07:40
11,54,1.0,,,,16/03/2020,14:30:07
12,57,1.0,,,,17/03/2020,09:07:12
13,65,1.0,,,,17/03/2020,13:53:18
14,75,1.0,,,,18/03/2020,05:42:07
15,93,1.0,,,,18/03/2020,14:30:40
16,102,1.0,,,,19/03/2020,03:50:47
17,108,1.0,,,,19/03/2020,16:42:31
18,128,1.0,,,,20/03/2020,04:29:06
19,145,1.0,,,,20/03/2020,16:21:20
20,158,1.0,,,,21/03/2020,03:30:05
21,196,1.0,,,,21/03/2020,16:04:02
22,196,2.0,,,,22/03/2020,04:00:35
23,210,3.0,1.0,,,22/03/2020,04:30:35
24,231,3.0,2.0,,,22/03/2020,15:47:55
25,235,3.0,2.0,,,23/03/2020,07:29:02
26,235,3.0,3.0,,,23/03/2020,14:18:53
27,277,3.0,3.0,,,23/03/2020,16:48:23
28,306,6.0,3.0,,,24/03/2020,03:32:06
29,378,6.0,3.0,,,24/03/2020,22:30:52
30,470,6.0,3.0,,,25/03/2020,18:54:54
31,470,8.0,4.0,,,25/03/2020,19:01:27
32,491,8.0,6.0,,,26/03/2020,19:53:33
33,539,8.0,6.0,,,27/03/2020,19:52:04
34,539,10.0,6.0,,,27/03/2020,20:28:33
35,608,10.0,6.0,,,28/03/2020,18:25:32
36,702,10.0,10.0,,,29/03/2020,19:30:45
37,798,15.0,12.0,,,30/03/2020,18:33:59
38,798,15.0,14.0,,,30/03/2020,23:58:38
39,906,31.0,16.0,,,31/03/2020,19:31:10
40,1065,39.0,17.0,,,01/04/2020,18:37:14
41,1161,55.0,19.0,,,02/04/2020,22:06:41
42,1267,55.0,25.0,,,03/04/2020,21:05:12
43,1267,55.0,25.0,21202.0,,04/04/2020,03:58:25
44,1406,85.0,32.0,21202.0,,04/04/2020,19:53:16
45,1406,85.0,32.0,23706.0,,04/04/2020,23:11:03
46,1485,85.0,35.0,23706.0,,05/04/2020,18:50:04
47,1485,88.0,35.0,23706.0,,05/04/2020,19:33:36
48,1485,88.0,35.0,25264.0,,06/04/2020,17:07:03
49,1579,88.0,46.0,25264.0,,06/04/2020,20:57:59
50,1579,88.0,46.0,27685.0,,06/04/2020,21:15:30
51,1780,100.0,50.0,30445.0,,07/04/2020,21:00:12
52,2054,123.0,54.0,30445.0,,08/04/2020,20:43:09
53,2054,123.0,54.0,33575.0,,08/04/2020,21:39:06
54,2054,123.0,55.0,33575.0,,08/04/2020,23:50:03
55,2223,174.0,69.0,33575.0,,09/04/2020,21:36:09
56,2223,174.0,69.0,34910.0,,10/04/2020,00:00:05
57,2473,197.0,80.0,34910.0,,10/04/2020,21:48:50
58,2473,197.0,80.0,37593.0,,10/04/2020,22:29:54
59,2709,214.0,100.0,40603.0,,11/04/2020,23:00:04
60,2776,270.0,109.0,41765.0,,12/04/2020,23:00:24
61,2852,319.0,112.0,41765.0,,13/04/2020,23:00:06
62,2852,319.0,112.0,43053.0,,14/04/2020,13:00:13
63,2979,354.0,127.0,43053.0,,14/04/2020,22:00:04
64,2979,354.0,127.0,45423.0,,15/04/2020,04:33:15
65,3105,452.0,131.0,45423.0,,15/04/2020,23:00:02
66,3105,452.0,131.0,48628.0,,16/04/2020,06:00:06
67,3233,550.0,144.0,52085.0,,16/04/2020,23:37:57
68,3439,634.0,153.0,52085.0,,17/04/2020,22:00:04
69,3439,634.0,153.0,55573.0,,18/04/2020,02:30:04
70,3621,691.0,166.0,59002.0,,18/04/2020,17:59:20
71,3792,711.0,179.0,62746.0,,19/04/2020,23:00:27
72,3977,804.0,189.0,62746.0,,20/04/2020,22:35:11
73,3792,711.0,179.0,62746.0,,21/04/2020,00:00:05
74,3977,804.0,189.0,65169.0,,21/04/2020,00:07:03
75,4149,804.0,196.0,65169.0,,21/04/2020,22:20:03
76,4149,804.0,196.0,68428.0,,22/04/2020,03:51:39
77,4356,870.0,206.0,68428.0,,22/04/2020,22:23:38
