,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,30/04/2020,15:33:10
1,3,,,,,02/05/2020,20:44:56
2,4,,1.0,,,06/05/2020,15:00:36
3,8,,1.0,,,06/05/2020,23:51:30
4,11,,1.0,,,09/05/2020,22:00:16
5,11,3.0,1.0,,,14/05/2020,22:15:16
6,34,8.0,1.0,,867319.0,20/05/2020,13:20:53
7,78,18.0,1.0,,867421.0,22/05/2020,17:47:37
8,87,21.0,1.0,,867522.0,24/05/2020,19:00:41
9,87,21.0,1.0,,867674.0,27/05/2020,16:10:09
10,87,24.0,2.0,,867674.0,27/05/2020,17:26:21
11,106,26.0,2.0,,867826.0,30/05/2020,16:12:58
12,132,27.0,2.0,,867979.0,02/06/2020,16:54:05
13,132,55.0,2.0,,868080.0,04/06/2020,23:47:18
14,141,67.0,2.0,,868181.0,06/06/2020,18:16:19
15,162,97.0,2.0,,868384.0,10/06/2020,10:43:21
16,163,97.0,2.0,,868486.0,12/06/2020,23:58:31
17,176,114.0,2.0,,868536.0,13/06/2020,19:32:47
18,197,127.0,3.0,,868689.0,16/06/2020,17:16:14
19,210,129.0,5.0,,868790.0,18/06/2020,16:30:13
20,247,159.0,5.0,,868892.0,20/06/2020,17:52:07
21,265,159.0,7.0,,869044.0,23/06/2020,17:04:47
22,272,161.0,7.0,,869145.0,25/06/2020,13:37:59
23,303,200.0,7.0,,869399.0,30/06/2020,20:12:35
24,309,241.0,7.0,,869551.0,03/07/2020,17:14:40
25,311,266.0,7.0,,869652.0,05/07/2020,21:00:05
26,313,272.0,7.0,,869804.0,08/07/2020,20:00:23
27,314,272.0,7.0,,869906.0,10/07/2020,00:03:29
28,317,296.0,7.0,,869957.0,11/07/2020,21:00:28
29,321,302.0,7.0,,870109.0,14/07/2020,23:59:35
30,328,311.0,7.0,,870261.0,17/07/2020,02:41:39
31,334,313.0,7.0,,870362.0,19/07/2020,17:01:07
32,337,319.0,7.0,,870464.0,21/07/2020,22:27:29
33,340,324.0,7.0,,870565.0,23/07/2020,18:34:50
34,354,328.0,7.0,,870717.0,26/07/2020,05:25:19
35,378,330.0,7.0,,870870.0,29/07/2020,23:59:53
36,386,330.0,7.0,,871022.0,01/08/2020,18:49:15
37,388,340.0,7.0,,871174.0,04/08/2020,23:47:39
38,396,340.0,7.0,,871275.0,06/08/2020,19:48:55
39,396,353.0,7.0,,871326.0,07/08/2020,23:53:24
40,399,369.0,7.0,,871377.0,08/08/2020,23:31:07
41,399,379.0,7.0,,871529.0,11/08/2020,23:59:30
42,403,379.0,7.0,,871681.0,14/08/2020,22:05:22
43,405,379.0,7.0,,871783.0,16/08/2020,10:55:56
44,406,393.0,7.0,,871884.0,18/08/2020,22:40:29
45,417,396.0,7.0,,871985.0,20/08/2020,16:06:02
46,417,399.0,7.0,,872290.0,26/08/2020,00:38:29
47,422,399.0,7.0,,872340.0,27/08/2020,22:01:53
48,423,399.0,7.0,,872442.0,29/08/2020,21:17:02
49,427,410.0,7.0,,872594.0,01/09/2020,22:04:51
50,448,410.0,7.0,,872695.0,03/09/2020,23:59:31
51,452,410.0,7.0,,872848.0,06/09/2020,02:07:11
52,456,415.0,7.0,,872949.0,08/09/2020,22:32:16
53,457,427.0,7.0,,873253.0,14/09/2020,22:35:31
54,467,446.0,7.0,,873355.0,16/09/2020,00:42:21
55,470,449.0,7.0,,873456.0,18/09/2020,01:06:02
56,470,450.0,7.0,,873558.0,20/09/2020,00:43:12
57,470,453.0,7.0,,873659.0,22/09/2020,17:16:52
58,474,453.0,7.0,,873761.0,24/09/2020,17:51:04
59,478,458.0,7.0,,873862.0,26/09/2020,21:58:29
60,479,464.0,7.0,,874014.0,29/09/2020,20:10:15
61,484,466.0,7.0,,874116.0,01/10/2020,18:37:08
62,487,466.0,7.0,,874268.0,04/10/2020,00:39:55
63,491,468.0,7.0,,874369.0,06/10/2020,21:35:38
64,495,475.0,7.0,,874471.0,08/10/2020,20:15:43
65,496,484.0,7.0,,874724.0,13/10/2020,20:16:58
66,502,485.0,7.0,,875029.0,17/10/2020,18:13:13
67,504,494.0,7.0,,875079.0,20/10/2020,17:39:11
68,517,494.0,7.0,,875181.0,23/10/2020,00:00:03
