,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,15/03/2020,13:25:27
1,3,,,,,19/03/2020,19:15:23
2,4,,,,,23/03/2020,20:00:14
3,19,,,,,29/03/2020,12:43:46
4,22,,2.0,,,01/04/2020,22:45:28
5,22,2.0,2.0,,,02/04/2020,14:11:21
6,45,2.0,5.0,,,05/04/2020,10:00:35
7,60,5.0,5.0,,,09/04/2020,12:51:00
8,74,10.0,5.0,,,15/04/2020,00:01:13
9,117,10.0,5.0,,,15/04/2020,15:17:40
10,117,11.0,5.0,,,15/04/2020,16:15:51
11,143,11.0,6.0,,,17/04/2020,16:00:06
12,160,16.0,6.0,,,20/04/2020,12:28:28
13,165,16.0,6.0,,,21/04/2020,21:00:07
14,186,16.0,6.0,,,22/04/2020,22:00:04
15,200,19.0,6.0,,,24/04/2020,23:49:16
16,207,19.0,8.0,,,28/04/2020,02:05:53
17,220,19.0,9.0,,,30/04/2020,11:07:36
18,229,25.0,9.0,,,01/05/2020,23:30:19
19,236,26.0,10.0,,,04/05/2020,17:30:05
20,264,30.0,10.0,,,06/05/2020,16:44:13
21,274,33.0,10.0,,,07/05/2020,20:30:27
22,264,30.0,10.0,,,07/05/2020,21:17:20
23,274,33.0,10.0,,,08/05/2020,04:30:51
24,333,53.0,11.0,,,11/05/2020,22:46:40
25,391,87.0,15.0,,,14/05/2020,22:15:16
26,412,110.0,15.0,,5500357.0,18/05/2020,18:59:22
27,420,132.0,15.0,,5500730.0,19/05/2020,16:57:23
28,469,137.0,16.0,,5501474.0,21/05/2020,19:08:21
29,487,147.0,16.0,,5502218.0,23/05/2020,19:18:31
30,487,147.0,16.0,,5503707.0,27/05/2020,16:10:09
31,571,161.0,19.0,,5503707.0,27/05/2020,20:31:32
32,611,179.0,20.0,,5505196.0,31/05/2020,17:33:29
33,635,182.0,20.0,,5507057.0,05/06/2020,18:37:48
34,683,210.0,22.0,,5507429.0,06/06/2020,21:33:49
35,728,221.0,24.0,,5508918.0,10/06/2020,00:01:13
36,883,391.0,27.0,,5510779.0,15/06/2020,19:03:30
37,1087,456.0,37.0,,5513385.0,22/06/2020,16:52:07
38,1382,486.0,41.0,,5517107.0,02/07/2020,00:16:00
39,1557,501.0,44.0,,5517479.0,03/07/2020,21:00:25
40,1821,525.0,47.0,,5519340.0,08/07/2020,19:05:42
41,2028,589.0,47.0,,5520084.0,10/07/2020,18:01:23
42,2222,589.0,47.0,,5521945.0,15/07/2020,05:01:44
43,2358,589.0,48.0,,5522317.0,16/07/2020,23:32:01
44,2633,626.0,49.0,,5522690.0,17/07/2020,17:30:06
45,2851,666.0,50.0,,5523806.0,20/07/2020,23:30:15
46,3038,756.0,51.0,,5525295.0,24/07/2020,11:05:35
47,3200,829.0,54.0,,5526412.0,27/07/2020,23:48:01
48,3546,1589.0,58.0,,5529017.0,03/08/2020,19:32:45
49,3637,1589.0,58.0,,5530506.0,07/08/2020,23:21:54
50,3664,1589.0,58.0,,5530878.0,08/08/2020,23:31:07
51,3745,1625.0,60.0,,5531995.0,11/08/2020,23:59:30
52,3831,1625.0,76.0,,5533856.0,16/08/2020,21:01:16
53,3850,1625.0,77.0,,5534972.0,19/08/2020,18:36:45
54,3979,1742.0,78.0,,5536833.0,24/08/2020,23:48:54
55,4628,1742.0,102.0,,5540555.0,03/09/2020,00:42:06
56,4891,3887.0,102.0,,5542044.0,07/09/2020,23:59:30
57,4891,3887.0,114.0,,5542789.0,09/09/2020,00:59:48
58,4891,3887.0,83.0,,5543161.0,10/09/2020,00:38:55
59,4928,3887.0,88.0,,5543533.0,11/09/2020,21:21:13
60,4934,3887.0,88.0,,5544650.0,14/09/2020,23:49:08
61,4980,3887.0,89.0,,5546138.0,18/09/2020,23:59:48
62,4986,3887.0,89.0,,5546511.0,19/09/2020,18:19:16
63,5002,3887.0,89.0,,5547255.0,21/09/2020,16:22:31
64,5005,3887.0,89.0,,5547999.0,23/09/2020,21:22:00
65,5008,3887.0,89.0,,5549488.0,27/09/2020,23:59:33
66,5089,3887.0,89.0,,5550605.0,30/09/2020,23:48:12
67,5118,3887.0,90.0,,5553955.0,09/10/2020,16:16:52
68,5156,3887.0,92.0,,5555816.0,14/10/2020,20:32:25
69,5156,3887.0,92.0,,5558793.0,23/10/2020,00:00:03
70,5156,3887.0,92.0,,5559166.0,23/10/2020,19:40:35
