,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,05/03/2020,22:36:49
1,5,,,,,08/03/2020,03:53:53
2,9,,,,,09/03/2020,02:51:22
3,13,,,,,10/03/2020,16:24:12
4,22,,,,,12/03/2020,00:47:00
5,23,,,,,12/03/2020,21:40:10
6,26,,,,,14/03/2020,08:46:05
7,27,,,,,14/03/2020,22:20:08
8,35,,,,,15/03/2020,19:57:34
9,41,,,,,16/03/2020,23:26:04
10,50,,,,,17/03/2020,21:14:56
11,69,,,,,18/03/2020,19:33:32
12,69,,1.0,,,18/03/2020,23:14:37
13,87,,1.0,,,19/03/2020,19:15:23
14,89,,1.0,,,20/03/2020,04:29:06
15,89,,2.0,,,20/03/2020,05:03:30
16,89,2.0,2.0,,,20/03/2020,19:58:56
17,113,2.0,2.0,,,20/03/2020,20:19:01
18,117,2.0,2.0,,,21/03/2020,19:16:52
19,134,2.0,2.0,,,22/03/2020,19:57:53
20,158,2.0,2.0,,,23/03/2020,19:28:30
21,177,2.0,2.0,,,24/03/2020,19:01:12
22,201,2.0,2.0,,,25/03/2020,19:24:49
23,231,2.0,2.0,,,26/03/2020,19:09:20
24,263,2.0,2.0,,,27/03/2020,19:52:04
25,263,3.0,2.0,,,27/03/2020,20:28:33
26,295,3.0,2.0,,,28/03/2020,20:26:15
27,314,3.0,2.0,,,29/03/2020,19:30:45
28,330,4.0,2.0,,,30/03/2020,21:07:54
29,347,4.0,2.0,,,31/03/2020,19:31:10
30,375,4.0,2.0,,,01/04/2020,19:05:12
31,396,6.0,2.0,,,02/04/2020,22:06:41
32,416,6.0,2.0,,,03/04/2020,19:37:07
33,416,11.0,2.0,,,03/04/2020,19:39:25
34,416,11.0,2.0,3845.0,,04/04/2020,03:58:25
35,435,13.0,2.0,4654.0,,04/04/2020,19:22:20
36,454,16.0,2.0,5098.0,,05/04/2020,19:33:36
37,467,18.0,2.0,5098.0,,06/04/2020,19:30:50
38,467,18.0,2.0,5363.0,,07/04/2020,00:02:09
39,483,24.0,2.0,5525.0,,07/04/2020,19:08:40
40,502,29.0,2.0,6035.0,,08/04/2020,19:47:20
41,502,29.0,3.0,6035.0,,08/04/2020,21:39:06
42,502,29.0,2.0,6035.0,,08/04/2020,22:09:01
43,502,29.0,3.0,6035.0,,08/04/2020,22:50:54
44,539,30.0,3.0,6298.0,,09/04/2020,19:38:38
45,558,42.0,3.0,6298.0,,10/04/2020,19:11:16
46,577,49.0,3.0,6608.0,,11/04/2020,19:00:05
47,595,56.0,3.0,6762.0,,12/04/2020,19:03:00
48,612,62.0,3.0,6868.0,,13/04/2020,11:07:56
