,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,25/02/2020,11:49:12
1,2,,,,,26/02/2020,08:08:53
2,3,,,,,26/02/2020,20:34:27
3,5,,,,,28/02/2020,08:23:34
4,6,,,,,29/02/2020,19:20:46
5,7,,,,,01/03/2020,20:04:42
6,8,,,,,02/03/2020,09:04:21
7,9,,,,,03/03/2020,13:13:54
8,10,,,,,04/03/2020,22:24:28
9,11,,,,,06/03/2020,15:42:22
10,12,,,,,07/03/2020,12:16:46
11,13,,,,,09/03/2020,19:28:19
12,14,,,,,10/03/2020,16:24:12
13,15,,,,,10/03/2020,21:36:59
14,16,,,,,11/03/2020,12:13:51
15,19,,,,,11/03/2020,20:14:39
16,19,1.0,,,,12/03/2020,13:10:24
17,25,1.0,,,,12/03/2020,19:52:03
18,27,1.0,,,,12/03/2020,20:10:20
19,31,1.0,,,,13/03/2020,09:25:52
20,32,1.0,,,,13/03/2020,22:40:01
21,37,1.0,,,,14/03/2020,08:46:05
22,38,1.0,,,,14/03/2020,16:34:03
23,39,1.0,,,,14/03/2020,23:07:41
24,39,2.0,,,,14/03/2020,23:59:06
25,46,2.0,,,,15/03/2020,09:25:51
26,49,2.0,,,,15/03/2020,13:42:06
27,50,2.0,,,,16/03/2020,07:40:27
28,56,3.0,,,,16/03/2020,08:28:24
29,57,3.0,,,,16/03/2020,14:30:07
30,65,4.0,,,,17/03/2020,08:19:33
31,67,5.0,,,,17/03/2020,16:48:10
32,69,5.0,,,,17/03/2020,18:07:01
33,81,5.0,,,,18/03/2020,09:03:01
34,87,5.0,,,,18/03/2020,17:52:17
35,89,5.0,,,,18/03/2020,21:36:53
36,99,5.0,,,,19/03/2020,07:52:18
37,102,5.0,1.0,,,19/03/2020,09:31:30
38,105,5.0,1.0,,,19/03/2020,16:42:31
39,110,5.0,1.0,,,19/03/2020,19:15:23
40,113,5.0,1.0,,,20/03/2020,08:58:28
41,128,5.0,1.0,,,20/03/2020,15:30:18
42,130,5.0,1.0,,,20/03/2020,21:28:23
43,128,5.0,1.0,,,21/03/2020,08:00:06
44,157,5.0,1.0,,,21/03/2020,08:30:14
45,168,5.0,1.0,,,21/03/2020,09:10:06
46,206,5.0,1.0,,,21/03/2020,15:35:09
47,235,5.0,1.0,,,22/03/2020,11:36:17
48,254,5.0,1.0,,,22/03/2020,15:47:55
49,306,5.0,1.0,,,23/03/2020,08:26:37
