,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,12/03/2020,01:20:30
1,4,,,,,13/03/2020,19:20:32
2,5,,,,,17/03/2020,10:36:15
3,7,,,,,18/03/2020,00:34:34
4,10,,,,,18/03/2020,17:52:17
5,10,,1.0,,,18/03/2020,23:41:41
6,11,,1.0,,,19/03/2020,08:17:49
7,16,,1.0,,,20/03/2020,01:48:37
8,21,,1.0,,,21/03/2020,00:27:13
9,35,,1.0,,,22/03/2020,17:55:33
10,40,,1.0,,,23/03/2020,16:48:23
11,48,,1.0,,,24/03/2020,15:52:26
12,48,1.0,1.0,,,24/03/2020,19:32:48
13,57,1.0,1.0,,,25/03/2020,15:28:22
14,67,1.0,1.0,,,26/03/2020,16:09:16
15,67,1.0,2.0,,,26/03/2020,23:15:30
16,80,4.0,2.0,,,27/03/2020,15:40:32
17,119,4.0,3.0,,,28/03/2020,15:47:12
18,139,4.0,3.0,,,29/03/2020,16:42:02
19,170,4.0,4.0,,,30/03/2020,15:42:22
20,186,8.0,6.0,,,31/03/2020,15:53:36
21,212,12.0,6.0,,,01/04/2020,16:47:40
22,233,13.0,6.0,,,02/04/2020,15:18:57
23,269,15.0,6.0,,,03/04/2020,15:32:06
24,269,15.0,6.0,3342.0,,04/04/2020,03:58:25
25,288,15.0,6.0,3342.0,,04/04/2020,15:53:48
26,320,15.0,8.0,5234.0,,05/04/2020,16:35:27
27,350,15.0,8.0,5234.0,,06/04/2020,15:24:02
28,350,18.0,9.0,5234.0,,06/04/2020,16:13:24
29,363,18.0,9.0,5234.0,,07/04/2020,05:59:55
30,396,27.0,11.0,7054.0,,07/04/2020,15:42:48
31,457,27.0,12.0,9410.0,,08/04/2020,16:12:03
32,515,28.0,15.0,9410.0,,09/04/2020,15:36:07
33,564,51.0,15.0,12023.0,,10/04/2020,15:11:59
34,620,77.0,16.0,13162.0,,11/04/2020,15:41:22
35,669,92.0,18.0,13162.0,,12/04/2020,15:51:56
36,669,92.0,18.0,15057.0,,12/04/2020,23:00:24
37,726,121.0,21.0,17133.0,,13/04/2020,11:07:56
38,766,132.0,21.0,17133.0,,14/04/2020,15:17:16
39,766,132.0,21.0,18634.0,,14/04/2020,17:00:03
40,814,151.0,24.0,18634.0,,15/04/2020,15:12:35
41,814,151.0,24.0,20451.0,,15/04/2020,17:36:51
42,862,171.0,27.0,21837.0,,16/04/2020,15:46:19
43,923,171.0,31.0,21837.0,,17/04/2020,15:30:05
44,923,192.0,31.0,21837.0,,17/04/2020,16:41:00
45,923,192.0,31.0,23317.0,,17/04/2020,18:49:21
46,986,227.0,32.0,25309.0,,18/04/2020,15:59:18
47,1035,255.0,34.0,25309.0,,19/04/2020,16:00:05
48,1035,255.0,34.0,26982.0,,19/04/2020,19:47:39
49,1087,285.0,36.0,28598.0,,20/04/2020,15:59:50
50,1137,309.0,38.0,30416.0,,21/04/2020,15:40:51
51,1189,341.0,40.0,30416.0,,22/04/2020,16:00:08
52,1235,365.0,43.0,34243.0,,23/04/2020,17:00:34
53,1285,416.0,49.0,36134.0,,24/04/2020,19:30:20
54,1337,437.0,51.0,37991.0,,25/04/2020,17:30:05
55,1369,501.0,54.0,39828.0,,26/04/2020,14:39:02
56,1389,525.0,56.0,39828.0,,27/04/2020,16:29:43
57,1389,525.0,56.0,41651.0,,28/04/2020,02:05:53
58,1437,575.0,58.0,43508.0,,28/04/2020,13:54:54
59,1467,617.0,58.0,45344.0,,29/04/2020,16:35:36
60,1501,681.0,61.0,47347.0,,30/04/2020,15:58:07
61,1537,714.0,64.0,49409.0,,01/05/2020,17:10:23
62,1611,765.0,66.0,51506.0,,02/05/2020,19:02:50
63,1649,827.0,67.0,53545.0,,03/05/2020,16:23:09
64,1668,876.0,69.0,55542.0,,04/05/2020,16:35:27
65,1685,954.0,69.0,57711.0,,05/05/2020,17:53:59
66,1703,1001.0,69.0,57711.0,,06/05/2020,16:01:21
67,1703,1001.0,69.0,59648.0,,06/05/2020,23:51:30
68,1729,1031.0,73.0,61613.0,,07/05/2020,15:38:22
69,1741,1078.0,74.0,63560.0,,07/05/2020,20:30:27
70,1729,1031.0,73.0,61613.0,,07/05/2020,21:17:20
71,1741,1078.0,74.0,63560.0,,08/05/2020,14:30:21
72,1754,1140.0,74.0,63560.0,,09/05/2020,15:58:45
73,1766,1193.0,77.0,67335.0,,10/05/2020,21:01:06
74,1783,1229.0,77.0,69182.0,,11/05/2020,17:46:23
75,1804,1277.0,78.0,71157.0,,12/05/2020,20:30:16
76,1810,1326.0,79.0,73129.0,,13/05/2020,15:36:55
77,1830,1383.0,79.0,75142.0,,14/05/2020,14:26:04
78,1840,1425.0,79.0,77374.0,11327480.0,15/05/2020,15:48:14
79,1862,1460.0,79.0,79834.0,11327461.0,16/05/2020,15:07:37
80,1872,1495.0,79.0,81917.0,11327442.0,17/05/2020,13:50:37
81,1881,1505.0,79.0,83868.0,11327423.0,18/05/2020,14:45:43
82,1887,1538.0,79.0,85556.0,11327404.0,19/05/2020,19:31:27
83,1900,1573.0,79.0,87288.0,11327386.0,20/05/2020,18:02:04
84,1908,1603.0,80.0,89031.0,11327367.0,21/05/2020,17:07:19
85,1916,1631.0,81.0,90911.0,11327348.0,22/05/2020,14:24:34
86,1931,1671.0,81.0,92629.0,11327329.0,23/05/2020,16:30:04
87,1941,1689.0,82.0,94060.0,11327310.0,24/05/2020,14:10:18
88,1947,1704.0,82.0,94060.0,11327291.0,25/05/2020,12:01:24
89,1963,1709.0,82.0,97003.0,11327273.0,26/05/2020,13:30:12
90,1974,1724.0,82.0,97003.0,11327254.0,27/05/2020,15:30:05
91,1974,1724.0,82.0,98381.0,11327235.0,28/05/2020,12:02:14
92,1983,1734.0,82.0,98381.0,11327235.0,28/05/2020,13:22:37
93,1983,1734.0,82.0,99745.0,11327235.0,28/05/2020,16:17:40
94,2005,1760.0,82.0,101108.0,11327216.0,29/05/2020,13:50:30
95,2025,1795.0,83.0,103123.0,11327197.0,30/05/2020,15:06:59
96,2045,1809.0,83.0,103123.0,11327179.0,31/05/2020,15:44:12
97,2045,1809.0,83.0,105274.0,11327160.0,01/06/2020,02:13:07
98,2083,1826.0,83.0,105274.0,11327160.0,01/06/2020,15:19:59
99,2083,1826.0,83.0,107037.0,11327160.0,01/06/2020,17:33:08
100,2092,1827.0,83.0,107037.0,11327141.0,02/06/2020,13:28:09
101,2092,1827.0,83.0,108389.0,11327141.0,02/06/2020,16:54:05
102,2107,1830.0,83.0,110349.0,11327122.0,03/06/2020,14:28:13
103,2119,1839.0,83.0,110349.0,11327103.0,04/06/2020,13:33:36
104,2119,1839.0,83.0,112449.0,11327103.0,04/06/2020,16:53:36
105,2133,1848.0,83.0,112449.0,11327084.0,05/06/2020,18:37:48
106,2133,1848.0,83.0,114464.0,11327084.0,05/06/2020,18:51:47
107,2173,1855.0,83.0,114464.0,11327066.0,06/06/2020,14:36:13
108,2173,1855.0,83.0,116468.0,11327066.0,06/06/2020,15:11:39
109,2191,1862.0,83.0,118488.0,11327047.0,07/06/2020,15:08:38
110,2200,1868.0,83.0,120536.0,11327028.0,08/06/2020,14:43:26
111,2205,1880.0,83.0,122603.0,11327009.0,09/06/2020,13:45:52
112,2211,1886.0,83.0,122603.0,11326990.0,10/06/2020,13:50:28
113,2211,1886.0,83.0,124947.0,11326990.0,10/06/2020,16:27:21
114,2219,1893.0,84.0,124947.0,11326971.0,11/06/2020,13:32:06
115,2219,1893.0,84.0,127042.0,11326971.0,11/06/2020,20:04:25
116,2233,1902.0,84.0,127042.0,11326953.0,12/06/2020,14:19:12
117,2233,1902.0,84.0,129132.0,11326953.0,12/06/2020,16:03:26
118,2238,1923.0,84.0,131628.0,11326934.0,13/06/2020,19:32:47
119,2248,1948.0,84.0,133763.0,11326915.0,14/06/2020,14:31:57
120,2262,1965.0,84.0,136249.0,11326896.0,15/06/2020,14:00:36
121,2273,1994.0,84.0,136249.0,11326877.0,16/06/2020,14:30:04
122,2273,1994.0,84.0,138831.0,11326877.0,16/06/2020,17:55:03
123,2280,1999.0,84.0,138831.0,11326859.0,17/06/2020,13:31:39
124,2280,1999.0,84.0,141151.0,11326859.0,17/06/2020,23:49:43
125,2295,2020.0,85.0,141151.0,11326840.0,18/06/2020,14:00:12
126,2295,2020.0,85.0,143733.0,11326821.0,19/06/2020,01:53:31
127,2305,2037.0,85.0,143733.0,11326821.0,19/06/2020,14:00:37
128,2305,2037.0,85.0,146276.0,11326821.0,19/06/2020,16:57:59
129,2309,2071.0,85.0,146276.0,11326802.0,20/06/2020,15:00:04
130,2309,2071.0,85.0,148812.0,11326802.0,20/06/2020,16:00:04
131,2312,2103.0,85.0,148812.0,11326783.0,21/06/2020,16:52:59
132,2315,2113.0,85.0,148812.0,11326764.0,22/06/2020,14:32:14
133,2315,2113.0,85.0,153233.0,11326764.0,22/06/2020,22:49:14
134,2318,2123.0,85.0,155381.0,11326746.0,23/06/2020,15:30:58
135,2319,2130.0,85.0,155381.0,11326727.0,24/06/2020,13:52:00
136,2319,2130.0,85.0,157387.0,11326727.0,24/06/2020,14:50:57
137,2321,2171.0,85.0,157387.0,11326708.0,25/06/2020,14:30:35
138,2321,2171.0,85.0,159571.0,11326689.0,26/06/2020,04:00:05
139,2325,2180.0,85.0,159571.0,11326689.0,26/06/2020,14:58:37
140,2330,2187.0,86.0,159571.0,11326670.0,27/06/2020,14:36:33
141,2330,2187.0,86.0,163962.0,11326670.0,27/06/2020,20:31:57
142,2332,2201.0,86.0,166335.0,11326652.0,28/06/2020,14:45:27
143,2340,2211.0,86.0,166335.0,11326633.0,29/06/2020,14:56:44
144,2341,2214.0,86.0,170791.0,11326614.0,30/06/2020,14:36:13
145,2348,2218.0,86.0,173063.0,11326595.0,01/07/2020,14:51:56
146,2353,2221.0,86.0,173063.0,11326576.0,02/07/2020,14:15:15
147,2353,2221.0,86.0,175372.0,11326557.0,03/07/2020,02:30:04
148,2361,2224.0,86.0,175372.0,11326557.0,03/07/2020,17:01:09
149,2369,2227.0,86.0,180697.0,11326539.0,04/07/2020,15:33:32
150,2372,2229.0,86.0,183143.0,11326520.0,05/07/2020,16:00:06
151,2380,2234.0,86.0,186518.0,11326501.0,06/07/2020,15:30:16
152,2395,2240.0,86.0,189599.0,11326482.0,07/07/2020,18:02:32
153,2399,2242.0,86.0,189599.0,11326463.0,08/07/2020,13:30:46
154,2399,2242.0,86.0,192443.0,11326463.0,08/07/2020,17:01:41
155,2403,2244.0,86.0,192443.0,11326445.0,09/07/2020,13:49:06
156,2413,2249.0,86.0,192443.0,11326426.0,10/07/2020,17:02:39
157,2413,2249.0,86.0,198675.0,11326426.0,10/07/2020,23:00:43
158,2420,2254.0,87.0,202014.0,11326407.0,11/07/2020,15:00:06
159,2426,2258.0,87.0,202014.0,11326388.0,12/07/2020,16:37:10
160,2428,2268.0,87.0,202014.0,11326369.0,13/07/2020,14:25:00
161,2428,2268.0,87.0,208098.0,11326350.0,14/07/2020,12:35:47
162,2432,2275.0,87.0,208098.0,11326350.0,14/07/2020,14:10:55
