,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,01:44:34
1,2,,,,,15/03/2020,00:49:29
2,3,,,,,17/03/2020,14:00:11
3,3,,1.0,,,19/03/2020,03:50:47
4,4,,1.0,,,23/03/2020,12:59:05
5,6,,1.0,,,24/03/2020,20:21:32
6,6,2.0,1.0,,,25/03/2020,23:41:28
7,7,2.0,1.0,,,27/03/2020,00:30:39
8,8,2.0,1.0,,,27/03/2020,21:45:51
9,11,2.0,1.0,,,30/03/2020,15:02:49
10,11,3.0,1.0,,,01/04/2020,12:20:14
11,11,5.0,1.0,,,04/04/2020,19:31:30
12,13,5.0,1.0,,,06/04/2020,16:13:24
13,13,7.0,1.0,,,07/04/2020,17:09:17
14,14,7.0,1.0,,,08/04/2020,20:43:09
15,14,8.0,1.0,,,12/04/2020,21:30:08
16,14,10.0,1.0,230.0,,14/04/2020,05:42:22
17,14,10.0,1.0,269.0,,17/04/2020,20:30:36
18,14,11.0,1.0,286.0,,18/04/2020,17:59:20
19,14,11.0,1.0,302.0,,22/04/2020,18:00:05
20,14,11.0,1.0,304.0,,23/04/2020,17:00:34
21,16,11.0,1.0,304.0,,24/04/2020,22:52:58
22,16,13.0,1.0,343.0,,29/04/2020,20:11:15
23,16,13.0,1.0,351.0,,01/05/2020,11:41:57
24,16,13.0,1.0,374.0,,06/05/2020,00:11:33
25,16,14.0,1.0,389.0,,07/05/2020,18:54:47
26,16,14.0,1.0,485.0,164017.0,20/05/2020,00:09:48
27,16,14.0,1.0,504.0,164020.0,22/05/2020,17:47:37
28,17,14.0,1.0,504.0,164022.0,23/05/2020,16:30:04
29,18,14.0,1.0,572.0,164026.0,25/05/2020,18:01:55
30,19,14.0,1.0,572.0,164035.0,30/05/2020,16:34:34
31,20,15.0,1.0,572.0,164040.0,02/06/2020,06:04:19
32,21,15.0,1.0,572.0,164042.0,03/06/2020,22:59:56
33,21,15.0,1.0,900.0,164044.0,04/06/2020,13:06:51
34,21,15.0,1.0,985.0,164044.0,04/06/2020,22:13:06
35,22,15.0,1.0,1080.0,164057.0,11/06/2020,00:01:38
36,22,16.0,1.0,1080.0,164064.0,15/06/2020,06:31:47
37,22,19.0,1.0,1080.0,164064.0,15/06/2020,22:30:05
38,23,19.0,1.0,1080.0,164066.0,16/06/2020,16:10:46
39,25,24.0,1.0,1080.0,164110.0,10/07/2020,02:00:05
40,26,24.0,1.0,1080.0,164119.0,15/07/2020,04:50:27
41,28,24.0,1.0,1080.0,164125.0,18/07/2020,02:22:27
42,29,24.0,1.0,1080.0,164136.0,24/07/2020,17:15:36
43,31,28.0,1.0,1080.0,164159.0,06/08/2020,08:35:38
44,31,30.0,1.0,1080.0,164161.0,07/08/2020,11:05:37
45,32,30.0,1.0,1080.0,164167.0,10/08/2020,23:59:25
46,33,31.0,1.0,1080.0,164176.0,15/08/2020,10:19:58
47,34,31.0,1.0,1080.0,164178.0,16/08/2020,08:15:26
48,36,31.0,1.0,1080.0,164179.0,17/08/2020,20:49:28
49,37,32.0,1.0,1080.0,164189.0,22/08/2020,01:23:49
50,39,33.0,1.0,1080.0,164190.0,23/08/2020,04:31:19
51,43,34.0,1.0,1080.0,164192.0,24/08/2020,07:27:30
52,47,34.0,1.0,1080.0,164194.0,25/08/2020,07:34:54
53,49,34.0,1.0,1080.0,164196.0,26/08/2020,03:21:20
54,53,34.0,1.0,1080.0,164198.0,27/08/2020,04:14:34
55,55,35.0,1.0,1080.0,164200.0,28/08/2020,03:33:04
56,57,35.0,1.0,1080.0,164200.0,28/08/2020,22:10:41
57,62,35.0,1.0,1080.0,164201.0,29/08/2020,04:48:39
58,67,35.0,1.0,1080.0,164203.0,30/08/2020,17:26:50
59,68,35.0,1.0,1080.0,164205.0,31/08/2020,05:49:32
60,69,35.0,1.0,1080.0,164207.0,01/09/2020,05:53:20
61,71,35.0,1.0,1080.0,164209.0,02/09/2020,07:11:53
62,75,39.0,1.0,1080.0,164211.0,03/09/2020,03:19:19
63,78,39.0,1.0,1080.0,164212.0,04/09/2020,04:16:17
64,88,39.0,1.0,1080.0,164214.0,05/09/2020,20:22:03
65,92,45.0,1.0,1080.0,164216.0,06/09/2020,13:23:36
66,102,45.0,1.0,1080.0,164218.0,07/09/2020,15:27:06
67,107,48.0,1.0,1080.0,164222.0,09/09/2020,00:39:10
68,116,51.0,1.0,1080.0,164222.0,09/09/2020,13:50:10
69,131,55.0,1.0,1080.0,164223.0,10/09/2020,17:04:18
70,135,55.0,1.0,1080.0,164225.0,11/09/2020,14:51:26
71,145,56.0,1.0,1080.0,164229.0,13/09/2020,00:40:53
72,157,57.0,1.0,1080.0,164229.0,13/09/2020,19:37:17
73,161,58.0,1.0,1080.0,164231.0,14/09/2020,20:13:58
74,169,61.0,1.0,1080.0,164232.0,15/09/2020,18:00:04
75,192,61.0,1.0,1080.0,164234.0,16/09/2020,18:18:04
76,192,68.0,1.0,1080.0,164234.0,16/09/2020,22:32:07
77,210,74.0,1.0,1080.0,164236.0,17/09/2020,19:55:36
78,228,83.0,1.0,1080.0,164238.0,18/09/2020,19:30:30
79,247,88.0,1.0,1080.0,164242.0,20/09/2020,00:43:12
80,268,96.0,1.0,1080.0,164243.0,21/09/2020,02:00:08
81,282,102.0,1.0,1080.0,164243.0,21/09/2020,16:22:31
82,291,103.0,1.0,1080.0,164247.0,23/09/2020,00:39:37
83,301,104.0,1.0,1080.0,164247.0,23/09/2020,18:09:42
84,315,115.0,1.0,1080.0,164249.0,24/09/2020,17:51:04
85,329,124.0,1.0,1080.0,164251.0,25/09/2020,19:20:08
86,337,134.0,1.0,1080.0,164253.0,26/09/2020,21:58:29
87,360,141.0,1.0,1080.0,164254.0,27/09/2020,16:47:23
88,366,148.0,1.0,1080.0,164256.0,28/09/2020,14:12:24
89,364,148.0,1.0,1080.0,164256.0,28/09/2020,17:47:15
90,370,157.0,1.0,1080.0,164258.0,29/09/2020,19:01:10
91,392,171.0,1.0,7442.0,164260.0,30/09/2020,23:48:12
92,399,185.0,1.0,7553.0,164262.0,01/10/2020,22:30:14
93,411,197.0,1.0,7553.0,164264.0,02/10/2020,21:53:51
94,411,197.0,1.0,7730.0,164264.0,02/10/2020,22:30:26
95,429,213.0,1.0,7895.0,164265.0,03/10/2020,23:25:38
96,452,231.0,1.0,8045.0,164267.0,04/10/2020,20:00:41
97,462,242.0,1.0,8045.0,164269.0,05/10/2020,20:30:35
98,476,262.0,1.0,8404.0,164271.0,06/10/2020,17:39:51
99,505,270.0,1.0,8597.0,164273.0,07/10/2020,23:02:33
100,532,281.0,1.0,8745.0,164275.0,08/10/2020,18:35:06
101,549,291.0,1.0,8866.0,164276.0,09/10/2020,16:16:52
102,571,308.0,1.0,9070.0,164278.0,10/10/2020,18:49:30
103,583,315.0,1.0,9148.0,164280.0,11/10/2020,17:55:57
104,585,332.0,1.0,9163.0,164282.0,12/10/2020,21:00:23
