,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,2,,,,,09/03/2020,17:28:05
1,6,,,,,11/03/2020,15:56:47
2,7,,,,,12/03/2020,14:54:18
3,10,,,,,12/03/2020,20:36:11
4,19,,,,,13/03/2020,10:52:48
5,14,,,,,13/03/2020,11:23:41
6,21,,,,,14/03/2020,11:03:36
7,26,,,,,14/03/2020,20:39:47
8,33,,,,,15/03/2020,19:01:14
9,39,,,,,15/03/2020,19:57:34
10,33,,,,,15/03/2020,20:38:15
11,46,,,,,16/03/2020,19:49:35
12,49,,,,,17/03/2020,17:10:01
13,58,,,,,18/03/2020,19:33:32
14,67,,,,,19/03/2020,16:42:31
15,75,,,,,20/03/2020,17:27:52
16,84,,,,,21/03/2020,15:45:47
17,84,3.0,,,,21/03/2020,21:15:04
18,84,3.0,1.0,,,21/03/2020,22:25:44
19,95,3.0,1.0,,,22/03/2020,16:51:13
20,116,3.0,1.0,,,23/03/2020,16:28:37
21,116,3.0,3.0,,,24/03/2020,16:44:18
22,124,3.0,3.0,,,24/03/2020,18:20:00
23,132,3.0,3.0,,,25/03/2020,16:46:50
24,132,4.0,3.0,,,26/03/2020,09:40:23
25,146,4.0,3.0,,,26/03/2020,17:51:23
26,146,4.0,5.0,,,27/03/2020,16:58:09
27,162,4.0,5.0,,,27/03/2020,18:00:27
28,162,15.0,5.0,,,27/03/2020,21:22:52
29,179,15.0,5.0,,,28/03/2020,16:53:20
30,214,15.0,5.0,,,29/03/2020,15:30:35
31,214,15.0,6.0,,,29/03/2020,23:53:59
32,230,15.0,7.0,,,30/03/2020,15:15:39
33,230,22.0,7.0,,,30/03/2020,18:26:43
34,262,23.0,8.0,,,31/03/2020,15:53:36
35,320,28.0,9.0,,,01/04/2020,16:47:40
36,356,28.0,9.0,,,02/04/2020,15:18:57
37,356,28.0,10.0,,,02/04/2020,15:51:12
38,396,28.0,11.0,,,03/04/2020,15:32:06
39,396,28.0,11.0,9447.0,,04/04/2020,03:58:25
40,426,28.0,11.0,9447.0,,04/04/2020,15:53:48
41,426,33.0,11.0,9447.0,,04/04/2020,17:27:07
42,426,33.0,11.0,10154.0,,04/04/2020,19:22:20
43,426,33.0,9.0,10154.0,,05/04/2020,00:01:12
44,446,33.0,9.0,10154.0,,05/04/2020,15:22:46
45,446,37.0,9.0,10946.0,,05/04/2020,16:01:59
46,465,37.0,9.0,10946.0,,06/04/2020,15:10:50
47,465,45.0,9.0,11664.0,,06/04/2020,15:24:02
48,494,45.0,9.0,11664.0,,07/04/2020,15:42:48
