,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,3,,,,,01/03/2020,20:04:42
1,4,,,,,03/03/2020,01:42:45
2,5,,,,,03/03/2020,09:51:09
3,8,,,,,04/03/2020,17:26:21
4,12,,,,,05/03/2020,16:13:03
5,18,,,,,06/03/2020,15:42:22
6,19,,,,,06/03/2020,19:57:53
7,21,,,,,07/03/2020,16:20:51
8,26,,,,,07/03/2020,21:52:07
9,31,,,,,08/03/2020,15:31:26
10,32,,,,,08/03/2020,20:13:04
11,33,,,,,09/03/2020,14:08:36
12,35,,,,,09/03/2020,15:26:57
13,36,,,,,09/03/2020,17:28:05
14,38,,,,,09/03/2020,20:50:50
15,40,,,,,10/03/2020,07:25:26
16,41,,,,,10/03/2020,13:38:40
17,58,,,,,10/03/2020,18:20:32
18,61,,,,,10/03/2020,20:00:26
19,63,,,,,10/03/2020,23:24:00
20,64,,,,,11/03/2020,07:35:33
21,67,,,,,11/03/2020,13:21:58
22,75,,,,,11/03/2020,17:21:51
23,81,,,,,11/03/2020,19:00:40
24,91,,,,,11/03/2020,19:21:55
25,94,,,,,11/03/2020,22:32:56
26,96,,,,,12/03/2020,14:03:27
27,109,,,,,12/03/2020,18:10:04
28,113,,,,,12/03/2020,20:42:03
29,116,,,,,13/03/2020,04:28:36
30,117,,,,,13/03/2020,09:15:57
31,120,,,,,13/03/2020,13:16:57
32,141,,,,,13/03/2020,18:38:21
33,150,,,,,14/03/2020,08:46:05
34,175,,,,,14/03/2020,17:32:14
35,189,,,,,14/03/2020,17:54:56
36,214,,,,,15/03/2020,07:26:10
37,231,,,,,15/03/2020,10:26:44
38,253,,,,,15/03/2020,17:41:57
39,293,,,,,15/03/2020,23:19:20
40,298,,,,,16/03/2020,07:40:27
41,298,3.0,,,,16/03/2020,17:07:28
42,344,3.0,,,,16/03/2020,18:38:43
43,383,3.0,,,,17/03/2020,08:19:33
44,396,3.0,,,,17/03/2020,13:20:44
45,434,3.0,,,,17/03/2020,17:58:32
46,464,3.0,,,,18/03/2020,08:05:21
47,522,3.0,,,,18/03/2020,18:29:33
48,572,3.0,,,,19/03/2020,08:17:49
49,631,3.0,,,,19/03/2020,15:53:36
50,694,3.0,,,,19/03/2020,18:51:51
51,765,3.0,,,,20/03/2020,08:58:28
52,774,3.0,,,,20/03/2020,09:27:44
53,774,4.0,,,,20/03/2020,11:56:57
54,833,4.0,,,,20/03/2020,17:27:52
55,904,4.0,,,,21/03/2020,08:30:14
56,925,4.0,,,,21/03/2020,11:35:06
57,925,5.0,,,,21/03/2020,14:00:04
58,925,6.0,,,,21/03/2020,16:58:44
59,995,6.0,,,,21/03/2020,18:10:28
60,1047,6.0,,,,22/03/2020,11:36:17
61,1120,6.0,,,,22/03/2020,17:55:33
62,1120,6.0,1.0,,,22/03/2020,19:57:53
63,1165,6.0,1.0,,,23/03/2020,07:58:21
64,1236,6.0,1.0,,,23/03/2020,16:54:05
65,1236,7.0,1.0,,,23/03/2020,20:30:29
66,1287,7.0,1.0,,,24/03/2020,07:31:53
67,1289,7.0,1.0,,,24/03/2020,08:01:14
68,1289,7.0,2.0,,,24/03/2020,10:31:11
69,1289,8.0,2.0,,,24/03/2020,13:10:31
70,1394,8.0,2.0,,,24/03/2020,17:23:19
71,1394,10.0,3.0,,,24/03/2020,21:11:00
72,1497,10.0,3.0,,,25/03/2020,07:55:42
73,1497,10.0,4.0,,,25/03/2020,11:15:13
74,1497,10.0,5.0,,,25/03/2020,12:02:15
75,1654,10.0,6.0,,,25/03/2020,17:09:18
76,1775,10.0,6.0,,,26/03/2020,07:51:29
77,1775,10.0,7.0,,,26/03/2020,16:09:16
78,1775,10.0,9.0,,,26/03/2020,17:06:09
79,1925,10.0,9.0,,,26/03/2020,17:51:23
80,2062,10.0,9.0,,,27/03/2020,07:55:13
81,2062,11.0,9.0,,,27/03/2020,13:35:12
