,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,10/03/2020,20:03:36
1,2,,,,,13/03/2020,12:08:22
2,3,,,,,17/03/2020,03:07:44
3,4,,,,,18/03/2020,08:05:21
4,7,,,,,18/03/2020,09:03:01
5,14,,,,,19/03/2020,08:42:48
6,18,,,,,20/03/2020,08:58:28
7,23,,1.0,,,21/03/2020,08:30:14
8,23,,,,,21/03/2020,14:00:04
9,23,,1.0,,,21/03/2020,21:15:04
10,30,,1.0,,,22/03/2020,16:51:13
11,36,,1.0,,,23/03/2020,14:18:53
12,36,,2.0,,,24/03/2020,02:20:46
13,45,,2.0,,,24/03/2020,09:01:33
14,48,,2.0,,,25/03/2020,12:22:49
15,51,,3.0,,,26/03/2020,08:30:04
16,51,2.0,3.0,,,27/03/2020,06:31:51
17,58,2.0,6.0,,,28/03/2020,11:19:47
18,65,2.0,6.0,,,28/03/2020,19:06:29
19,81,2.0,8.0,,,29/03/2020,23:53:59
20,98,2.0,8.0,,,31/03/2020,07:46:51
21,109,2.0,8.0,,,01/04/2020,09:39:09
22,109,3.0,9.0,,,01/04/2020,12:41:57
23,123,3.0,11.0,,,02/04/2020,07:01:49
24,134,3.0,13.0,,,02/04/2020,22:36:40
25,148,3.0,16.0,,,03/04/2020,23:34:36
26,154,3.0,18.0,,,05/04/2020,00:01:12
27,161,5.0,18.0,,,06/04/2020,16:33:46
28,180,9.0,18.0,,,07/04/2020,21:23:55
29,215,13.0,20.0,,,10/04/2020,03:39:19
30,223,16.0,20.0,,,11/04/2020,00:13:13
31,234,16.0,20.0,,,12/04/2020,11:13:10
32,235,17.0,20.0,,,13/04/2020,11:07:56
33,241,20.0,20.0,,,14/04/2020,13:31:09
34,254,21.0,21.0,,,15/04/2020,13:51:15
35,267,23.0,22.0,,,16/04/2020,08:38:55
36,287,25.0,23.0,,,17/04/2020,07:00:06
37,307,26.0,25.0,,,18/04/2020,08:32:56
38,327,26.0,25.0,,,19/04/2020,09:00:06
39,327,27.0,25.0,,,20/04/2020,08:53:42
40,332,27.0,25.0,,,20/04/2020,18:00:06
41,350,35.0,25.0,,,21/04/2020,00:07:03
42,359,45.0,25.0,,,22/04/2020,06:00:05
43,377,47.0,25.0,,,23/04/2020,11:00:07
44,394,48.0,25.0,,,24/04/2020,05:30:06
45,416,49.0,28.0,,,25/04/2020,09:00:05
46,442,50.0,28.0,,,26/04/2020,09:02:09
47,459,50.0,28.0,,,27/04/2020,06:30:24
48,471,56.0,30.0,,,28/04/2020,02:05:53
49,491,59.0,30.0,,,29/04/2020,08:33:02
50,500,65.0,31.0,,,30/04/2020,07:31:50
51,572,73.0,31.0,,,01/05/2020,00:43:22
52,604,75.0,32.0,,,01/05/2020,23:00:36
53,674,75.0,33.0,,,03/05/2020,00:21:50
54,682,80.0,34.0,,,04/05/2020,06:30:05
55,705,90.0,34.0,,,05/05/2020,14:11:06
56,797,92.0,35.0,,,06/05/2020,03:30:14
57,863,103.0,36.0,,,07/05/2020,07:00:08
58,897,119.0,36.0,,,07/05/2020,20:30:27
59,863,103.0,36.0,,,07/05/2020,21:17:20
60,897,119.0,36.0,,,08/05/2020,04:30:51
61,863,130.0,36.0,,,09/05/2020,00:59:32
62,937,130.0,39.0,,,09/05/2020,01:43:23
63,991,136.0,41.0,,,10/05/2020,16:00:36
64,1024,141.0,41.0,,,11/05/2020,15:55:07
65,1102,146.0,44.0,,,12/05/2020,15:39:30
66,1169,148.0,50.0,,,13/05/2020,14:38:14
67,1242,157.0,50.0,,,14/05/2020,12:39:39
68,1298,212.0,50.0,,89174452.0,15/05/2020,09:30:11
69,1370,229.0,61.0,,89181925.0,16/05/2020,08:16:44
70,1455,270.0,61.0,,89189398.0,17/05/2020,01:30:23
71,1538,272.0,61.0,,89196871.0,18/05/2020,18:59:22
72,1629,290.0,61.0,,89204344.0,19/05/2020,19:31:27
73,1731,302.0,61.0,,89211817.0,20/05/2020,09:33:06
74,1835,303.0,61.0,,89219290.0,21/05/2020,07:23:54
75,1945,312.0,63.0,,89226763.0,22/05/2020,11:32:24
76,2025,312.0,63.0,,89234236.0,23/05/2020,09:00:15
77,2141,317.0,63.0,,89241709.0,24/05/2020,11:30:23
78,2297,337.0,67.0,,89249182.0,25/05/2020,17:22:18
79,2403,340.0,68.0,,89256655.0,26/05/2020,09:02:42
80,2546,365.0,68.0,,89264128.0,27/05/2020,08:01:11
81,2546,365.0,68.0,,89264128.0,27/05/2020,16:10:09
82,2660,381.0,69.0,,89271601.0,28/05/2020,07:19:50
83,2833,400.0,69.0,,89279074.0,29/05/2020,07:29:58
84,2966,428.0,69.0,,89286547.0,30/05/2020,08:10:32
85,3070,448.0,71.0,,89294020.0,31/05/2020,09:02:17
86,3070,448.0,72.0,,89294020.0,31/05/2020,10:05:49
87,3195,454.0,72.0,,89301493.0,01/06/2020,11:59:06
88,3326,482.0,72.0,,89308966.0,02/06/2020,07:55:00
89,3495,492.0,75.0,,89316439.0,03/06/2020,10:58:30
90,3644,495.0,78.0,,89323912.0,04/06/2020,08:01:03
91,3764,512.0,81.0,,89331385.0,05/06/2020,10:25:25
92,3878,537.0,82.0,,89338858.0,06/06/2020,10:02:51
93,4016,537.0,85.0,,89346331.0,07/06/2020,10:10:17
94,4106,537.0,88.0,,89353804.0,08/06/2020,09:34:21
95,4259,539.0,90.0,,89361277.0,09/06/2020,08:44:17
96,4390,565.0,96.0,,89368750.0,10/06/2020,09:39:07
97,4515,567.0,98.0,,89376223.0,11/06/2020,11:30:36
98,4637,580.0,101.0,,89383696.0,12/06/2020,13:33:02
99,4724,595.0,106.0,,89391169.0,13/06/2020,19:32:47
100,4778,600.0,107.0,,89398642.0,14/06/2020,11:30:04
101,4837,613.0,112.0,,89406115.0,15/06/2020,08:28:00
102,4974,628.0,112.0,,89413588.0,16/06/2020,11:30:35
103,5100,640.0,115.0,,89421061.0,17/06/2020,09:58:40
104,5283,685.0,117.0,,89428534.0,18/06/2020,09:02:04
105,5477,719.0,122.0,,89436007.0,19/06/2020,10:36:07
106,5672,807.0,125.0,,89443480.0,20/06/2020,09:52:40
107,5826,841.0,130.0,,89450953.0,21/06/2020,10:59:31
108,5924,856.0,135.0,,89458426.0,22/06/2020,09:40:09
109,6027,861.0,135.0,,89465899.0,23/06/2020,11:13:46
110,6213,870.0,142.0,,89473372.0,24/06/2020,13:52:00
111,6411,885.0,142.0,,89480845.0,25/06/2020,13:37:59
112,6552,900.0,149.0,,89488318.0,26/06/2020,11:01:02
113,6690,937.0,153.0,,89495791.0,27/06/2020,12:00:05
114,6827,985.0,157.0,,89503264.0,28/06/2020,11:17:19
115,6939,1050.0,167.0,,89510737.0,29/06/2020,12:03:00
116,7039,1426.0,170.0,,89518210.0,30/06/2020,12:14:51
117,7122,1785.0,175.0,,89525683.0,01/07/2020,09:32:23
118,7189,2317.0,176.0,,89533156.0,02/07/2020,10:47:33
119,7311,2684.0,179.0,,89540629.0,03/07/2020,09:30:49
120,7379,2961.0,182.0,,89548102.0,04/07/2020,11:04:25
121,7411,3184.0,182.0,,89555575.0,05/07/2020,23:12:40
122,7432,3226.0,182.0,,89563048.0,06/07/2020,11:00:35
123,7846,3513.0,189.0,,89585467.0,09/07/2020,10:43:53
124,7905,3513.0,189.0,,89592940.0,10/07/2020,11:00:08
125,7971,3615.0,189.0,,89600413.0,11/07/2020,23:31:24
126,8033,3615.0,189.0,,89607886.0,12/07/2020,10:32:04
127,8075,3620.0,190.0,,89615359.0,13/07/2020,12:37:13
128,8135,3948.0,190.0,,89622832.0,14/07/2020,10:12:41
129,8163,3983.0,192.0,,89630305.0,15/07/2020,12:01:13
130,8199,4248.0,193.0,,89637777.0,16/07/2020,10:32:34
131,8249,4248.0,193.0,,89645250.0,17/07/2020,11:32:09
132,8324,4313.0,193.0,,89652723.0,18/07/2020,09:13:34
133,8403,4335.0,194.0,,89660196.0,19/07/2020,09:50:43
134,8443,4335.0,194.0,,89667669.0,20/07/2020,09:06:32
135,8534,4528.0,196.0,,89675142.0,21/07/2020,11:14:25
136,8626,4790.0,197.0,,89682615.0,22/07/2020,10:55:16
137,8720,5105.0,201.0,,89690088.0,23/07/2020,11:06:02
138,8767,5109.0,201.0,,89697561.0,24/07/2020,11:31:24
139,8801,5305.0,204.0,,89705034.0,25/07/2020,10:30:50
140,8831,5510.0,204.0,,89712507.0,26/07/2020,11:51:38
141,8844,5700.0,208.0,,89719980.0,27/07/2020,08:43:02
142,8873,5930.0,208.0,,89727453.0,28/07/2020,11:01:54
143,8931,6095.0,210.0,,89734926.0,29/07/2020,09:40:01
144,9010,6437.0,215.0,,89742399.0,30/07/2020,10:21:24
145,9070,6796.0,215.0,,89749872.0,31/07/2020,11:21:33
146,9084,7030.0,215.0,,89757345.0,01/08/2020,10:34:38
147,9115,7319.0,215.0,,89764818.0,02/08/2020,09:36:20
148,9133,7424.0,215.0,,89772291.0,03/08/2020,08:48:23
149,9178,7727.0,215.0,,89779764.0,04/08/2020,08:57:28
150,9253,7821.0,215.0,,89787237.0,05/08/2020,11:35:37
151,9309,8048.0,215.0,,89794710.0,06/08/2020,08:35:38
152,9355,8174.0,218.0,,89802183.0,07/08/2020,11:05:37
153,9436,8275.0,218.0,,89809656.0,08/08/2020,09:45:30
154,9454,8324.0,224.0,,89817129.0,09/08/2020,10:00:41
155,9489,8363.0,224.0,,89824602.0,10/08/2020,10:50:52
156,9499,8375.0,225.0,,89832075.0,11/08/2020,10:57:40
157,9538,8421.0,225.0,,89839548.0,12/08/2020,09:52:30
158,9589,8480.0,234.0,,89847021.0,13/08/2020,13:23:47
159,9605,8512.0,238.0,,89854494.0,14/08/2020,12:46:09
160,9638,8597.0,239.0,,89861967.0,15/08/2020,22:48:57
161,9676,8705.0,240.0,,89869440.0,16/08/2020,10:22:35
162,9706,8705.0,243.0,,89876913.0,17/08/2020,15:25:05
163,9721,8882.0,243.0,,89884386.0,18/08/2020,12:21:07
164,9741,8895.0,246.0,,89891859.0,19/08/2020,09:49:22
165,9757,8895.0,247.0,,89899332.0,20/08/2020,11:08:14
166,9802,8920.0,248.0,,89906805.0,21/08/2020,10:04:58
167,9811,8920.0,251.0,,89914278.0,22/08/2020,09:09:52
168,9830,8934.0,251.0,,89921751.0,23/08/2020,09:29:01
169,9842,8953.0,251.0,,89929224.0,24/08/2020,17:54:44
170,9891,8972.0,251.0,,89936697.0,25/08/2020,10:16:28
171,9912,8987.0,254.0,,89944170.0,26/08/2020,10:35:30
172,9915,9020.0,255.0,,89951643.0,27/08/2020,09:01:34
173,9994,9035.0,255.0,,89959116.0,28/08/2020,10:01:11
174,10007,9068.0,258.0,,89966589.0,29/08/2020,11:59:00
175,10045,9103.0,258.0,,89974062.0,30/08/2020,10:04:52
176,10097,9133.0,258.0,,89981535.0,31/08/2020,14:39:45
177,10104,9322.0,259.0,,89989008.0,01/09/2020,13:30:57
178,10114,9347.0,259.0,,89996481.0,02/09/2020,10:21:23
179,10125,9367.0,259.0,,90003954.0,03/09/2020,09:57:34
180,10149,9367.0,259.0,,90011427.0,04/09/2020,16:48:52
181,10178,9420.0,259.0,,90018900.0,05/09/2020,20:22:03
182,10210,9439.0,260.0,,90026373.0,06/09/2020,16:17:25
183,10233,9451.0,260.0,,90033846.0,07/09/2020,13:50:14
184,10292,9501.0,260.0,,90041319.0,08/09/2020,11:31:19
185,10324,9523.0,260.0,,90048792.0,09/09/2020,12:55:31
186,10343,9533.0,262.0,,90056265.0,10/09/2020,09:04:57
187,10361,9622.0,262.0,,90063738.0,11/09/2020,10:57:11
188,10385,9719.0,262.0,,90071211.0,12/09/2020,10:35:02
189,10390,9756.0,264.0,,90078684.0,13/09/2020,09:41:57
190,10390,9807.0,264.0,,90086157.0,14/09/2020,23:17:44
191,10401,9817.0,267.0,,90093630.0,15/09/2020,14:02:49
192,10414,9827.0,267.0,,90101103.0,16/09/2020,09:53:31
193,10442,9840.0,267.0,,90108576.0,17/09/2020,11:16:51
194,10456,9863.0,268.0,,90116049.0,18/09/2020,18:21:26
195,10488,9891.0,268.0,,90123522.0,19/09/2020,11:40:27
196,10515,9930.0,271.0,,90130995.0,20/09/2020,14:35:22
197,10519,9952.0,271.0,,90138468.0,21/09/2020,12:52:07
198,10523,10011.0,271.0,,90145941.0,22/09/2020,10:36:14
199,10537,10041.0,271.0,,90153414.0,23/09/2020,12:03:49
200,10555,10051.0,271.0,,90160887.0,24/09/2020,13:36:54
201,10578,10070.0,271.0,,90168360.0,25/09/2020,12:39:09
202,10593,10093.0,271.0,,90175833.0,26/09/2020,15:13:50
203,10612,10093.0,271.0,,90183306.0,27/09/2020,23:59:33
204,10624,10093.0,271.0,,90190779.0,28/09/2020,11:00:56
205,10631,10129.0,272.0,,90198252.0,29/09/2020,11:11:24
206,10659,10139.0,272.0,,90205725.0,30/09/2020,12:01:30
207,10685,10165.0,272.0,,90213198.0,01/10/2020,12:35:01
208,10729,10183.0,272.0,,90220671.0,02/10/2020,12:19:25
