,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,27/02/2020,05:50:39
1,2,,,,,28/02/2020,20:48:39
2,3,,,,,29/02/2020,11:01:59
3,4,,,,,01/03/2020,22:33:19
4,6,,,,,03/03/2020,09:51:09
5,10,,,,,03/03/2020,22:39:15
6,15,,,,,04/03/2020,20:08:04
7,20,,,,,05/03/2020,18:38:17
8,20,1.0,,,,05/03/2020,21:15:12
9,23,1.0,,,,06/03/2020,13:25:51
10,27,1.0,,,,07/03/2020,16:20:51
11,35,1.0,,,,08/03/2020,13:14:43
12,59,1.0,,,,09/03/2020,14:08:36
13,90,1.0,,,,09/03/2020,17:28:05
14,113,1.0,,,,10/03/2020,07:25:26
15,156,1.0,,,,10/03/2020,10:29:41
16,262,1.0,,,,10/03/2020,16:24:12
17,340,1.0,,,,11/03/2020,12:13:51
18,442,1.0,,,,11/03/2020,17:21:51
19,514,1.0,,,,11/03/2020,20:55:38
20,615,1.0,,,,12/03/2020,09:15:39
21,674,1.0,,,,12/03/2020,16:55:24
22,785,1.0,,,,13/03/2020,09:15:57
23,788,1.0,,,,13/03/2020,15:38:32
24,801,1.0,,,,13/03/2020,16:06:14
25,804,1.0,,,,14/03/2020,01:11:47
26,827,1.0,,,,14/03/2020,11:03:36
27,827,1.0,1.0,,,14/03/2020,16:47:15
28,836,1.0,1.0,,,15/03/2020,02:39:45
29,864,1.0,1.0,,,15/03/2020,10:12:45
30,864,1.0,2.0,,,15/03/2020,12:28:19
31,864,1.0,3.0,,,16/03/2020,07:18:45
32,898,1.0,4.0,,,16/03/2020,10:06:33
33,914,1.0,4.0,,,16/03/2020,17:07:28
34,960,1.0,4.0,,,17/03/2020,09:07:12
35,977,1.0,4.0,,,17/03/2020,16:48:10
36,1044,1.0,4.0,,,18/03/2020,09:03:01
37,1057,1.0,4.0,,,18/03/2020,16:30:04
38,1132,1.0,4.0,,,19/03/2020,09:03:12
39,1132,1.0,6.0,,,19/03/2020,09:31:30
40,1151,1.0,6.0,,,19/03/2020,16:42:31
41,1226,1.0,9.0,,,20/03/2020,09:27:44
42,1255,1.0,9.0,,,20/03/2020,16:01:46
43,1326,1.0,13.0,,,21/03/2020,11:06:12
44,1395,1.0,13.0,,,22/03/2020,12:57:16
45,1450,1.0,13.0,,,23/03/2020,09:30:08
46,1450,1.0,24.0,,,23/03/2020,13:33:23
47,1460,1.0,24.0,,,24/03/2020,02:20:46
48,1577,1.0,24.0,,,24/03/2020,09:14:31
49,1577,1.0,32.0,,,24/03/2020,11:30:04
50,1591,1.0,32.0,,,24/03/2020,16:30:53
51,1715,1.0,32.0,,,25/03/2020,09:30:29
52,1715,1.0,34.0,,,25/03/2020,12:22:49
53,1724,1.0,34.0,,,25/03/2020,18:54:54
54,1851,1.0,34.0,,,26/03/2020,09:01:20
55,1851,1.0,41.0,,,26/03/2020,12:37:20
56,1877,1.0,41.0,,,26/03/2020,16:45:58
57,2010,1.0,41.0,,,27/03/2020,09:30:08
58,2010,1.0,52.0,,,27/03/2020,12:26:46
59,2046,1.0,52.0,,,27/03/2020,18:00:27
60,2201,1.0,54.0,,,28/03/2020,12:20:21
61,2201,1.0,52.0,,,28/03/2020,12:59:29
62,2201,1.0,65.0,,,28/03/2020,15:03:57
63,2395,1.0,72.0,,,29/03/2020,11:26:33
