,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,18/03/2020,12:00:36
1,3,,,,,23/03/2020,19:50:29
2,1,,,,,23/03/2020,19:50:43
3,3,,,,,23/03/2020,19:50:44
4,11,,,,,25/03/2020,12:02:15
5,12,,,,,27/03/2020,12:08:48
6,14,,,,,28/03/2020,22:21:04
7,18,,,,,29/03/2020,19:11:12
8,30,,,,,31/03/2020,15:53:36
9,33,,,,,01/04/2020,15:05:12
10,40,,,,,02/04/2020,12:58:46
11,49,8.0,,,,03/04/2020,12:13:30
12,50,8.0,,,,04/04/2020,11:41:16
13,59,9.0,,,,05/04/2020,12:59:56
14,90,9.0,,,,06/04/2020,21:55:31
15,90,9.0,,2229.0,,07/04/2020,17:46:30
16,121,18.0,,2229.0,,08/04/2020,10:31:21
17,135,25.0,,3106.0,,08/04/2020,12:56:03
18,140,28.0,1.0,3399.0,,09/04/2020,23:28:07
19,150,36.0,1.0,3740.0,,10/04/2020,13:07:56
20,187,36.0,2.0,4017.0,,11/04/2020,12:32:43
21,214,36.0,2.0,4451.0,,12/04/2020,14:00:04
22,298,41.0,2.0,4949.0,,13/04/2020,11:07:56
23,363,53.0,2.0,5356.0,,14/04/2020,13:57:41
24,435,71.0,2.0,5936.0,,15/04/2020,15:04:31
25,591,73.0,2.0,6430.0,,16/04/2020,15:46:19
26,732,76.0,2.0,7486.0,,17/04/2020,14:00:07
27,846,102.0,2.0,8144.0,,19/04/2020,16:00:05
28,945,112.0,2.0,8955.0,,21/04/2020,15:23:13
29,974,183.0,2.0,10272.0,,22/04/2020,13:22:08
30,986,252.0,2.0,10619.0,,23/04/2020,17:00:34
31,999,330.0,2.0,11090.0,,24/04/2020,12:02:57
32,1008,373.0,2.0,11431.0,,25/04/2020,13:01:28
33,1023,411.0,2.0,11741.0,,26/04/2020,14:39:02
34,1035,477.0,2.0,12250.0,,28/04/2020,02:05:53
35,1072,498.0,2.0,12571.0,,29/04/2020,00:04:29
36,1077,599.0,2.0,12985.0,,29/04/2020,16:35:36
37,1089,642.0,2.0,13422.0,,30/04/2020,15:33:10
38,1097,672.0,2.0,13751.0,,01/05/2020,11:41:57
39,1112,686.0,2.0,13856.0,,02/05/2020,11:00:04
40,1116,713.0,2.0,14222.0,,04/05/2020,14:50:36
41,1120,745.0,2.0,14378.0,,05/05/2020,17:53:59
42,1124,755.0,3.0,14538.0,,06/05/2020,22:33:44
43,1133,799.0,3.0,14751.0,,07/05/2020,20:30:04
44,1135,824.0,3.0,14857.0,,07/05/2020,20:30:27
45,1133,799.0,3.0,14751.0,,07/05/2020,21:17:20
46,1135,824.0,3.0,14857.0,,08/05/2020,20:30:38
47,1189,834.0,3.0,15056.0,,09/05/2020,17:03:04
48,1210,847.0,3.0,15304.0,,10/05/2020,19:37:23
49,1227,872.0,3.0,15790.0,,11/05/2020,22:46:40
50,1256,886.0,3.0,16093.0,,12/05/2020,20:30:16
51,1268,900.0,3.0,16424.0,,13/05/2020,17:26:38
52,1284,905.0,3.0,16647.0,,14/05/2020,22:15:16
53,1309,935.0,4.0,16878.0,986088.0,15/05/2020,18:55:43
54,1331,950.0,4.0,17106.0,986127.0,16/05/2020,18:37:01
55,1401,972.0,4.0,17532.0,986166.0,17/05/2020,19:32:22
56,1518,1018.0,7.0,18345.0,986206.0,18/05/2020,16:57:03
57,1518,1033.0,7.0,18933.0,986245.0,19/05/2020,13:30:35
58,1618,1033.0,7.0,18933.0,986284.0,20/05/2020,00:09:48
59,1828,1052.0,9.0,20056.0,986284.0,20/05/2020,18:02:04
60,2047,1055.0,10.0,21156.0,986323.0,21/05/2020,17:07:19
61,2270,1064.0,10.0,22097.0,986363.0,22/05/2020,16:52:39
62,2468,1079.0,14.0,23140.0,986480.0,25/05/2020,12:01:24
63,2697,1185.0,18.0,23140.0,986559.0,27/05/2020,15:01:22
64,2914,1241.0,20.0,25257.0,986598.0,28/05/2020,13:22:37
65,3194,1286.0,22.0,26366.0,986677.0,30/05/2020,12:58:31
66,3354,1504.0,24.0,26366.0,986716.0,31/05/2020,15:44:12
67,3569,1521.0,24.0,28260.0,986755.0,01/06/2020,13:54:39
68,3779,1607.0,25.0,30394.0,986795.0,02/06/2020,13:18:33
69,3935,1636.0,26.0,30394.0,986834.0,03/06/2020,15:52:05
70,4054,1685.0,26.0,33492.0,986873.0,04/06/2020,12:58:40
71,4123,1707.0,26.0,34551.0,986912.0,05/06/2020,16:35:04
72,4169,1815.0,26.0,35165.0,986952.0,06/06/2020,14:36:13
73,4207,1877.0,28.0,35165.0,986991.0,07/06/2020,15:08:38
74,4278,2013.0,31.0,36497.0,987030.0,08/06/2020,12:52:47
75,4331,2139.0,34.0,36497.0,987070.0,09/06/2020,16:00:14
76,4373,2260.0,34.0,38240.0,987109.0,10/06/2020,14:19:35
77,4398,2519.0,37.0,39299.0,987148.0,11/06/2020,13:11:04
78,4441,2730.0,38.0,40356.0,987187.0,12/06/2020,12:30:45
79,4449,2823.0,41.0,40855.0,987227.0,13/06/2020,19:32:47
80,4465,2950.0,43.0,40855.0,987266.0,14/06/2020,15:34:13
81,4501,3183.0,43.0,40855.0,987305.0,15/06/2020,16:58:14
82,4539,3324.0,43.0,40855.0,987344.0,16/06/2020,17:16:14
83,4545,3411.0,43.0,40855.0,987384.0,17/06/2020,16:49:40
84,4557,3527.0,43.0,43871.0,987423.0,18/06/2020,17:07:37
85,4565,3565.0,45.0,43871.0,987462.0,19/06/2020,17:33:10
86,4582,3859.0,45.0,44604.0,987541.0,21/06/2020,15:13:36
87,4599,3952.0,48.0,44883.0,987580.0,22/06/2020,13:30:04
88,4617,3989.0,49.0,45213.0,987619.0,23/06/2020,17:35:38
89,4630,4182.0,52.0,45560.0,987659.0,24/06/2020,13:07:35
90,4635,4269.0,52.0,45810.0,987698.0,25/06/2020,14:30:35
91,4643,4348.0,52.0,45998.0,987737.0,26/06/2020,12:32:03
92,4656,4433.0,53.0,46108.0,987855.0,29/06/2020,15:15:13
93,4682,4524.0,54.0,46500.0,987894.0,30/06/2020,14:36:13
94,4704,4550.0,55.0,46779.0,987934.0,01/07/2020,16:29:51
95,4715,4564.0,55.0,46779.0,987973.0,02/07/2020,16:09:45
96,4736,4580.0,55.0,47491.0,988012.0,03/07/2020,12:03:07
97,4792,4593.0,55.0,47922.0,988091.0,05/07/2020,18:31:29
98,4822,4610.0,55.0,48170.0,988130.0,06/07/2020,18:11:20
99,4878,4621.0,55.0,48170.0,988169.0,07/07/2020,13:01:47
100,4889,4644.0,55.0,48636.0,988208.0,08/07/2020,18:00:46
101,4955,4671.0,56.0,49742.0,988248.0,09/07/2020,18:01:02
102,4955,4671.0,56.0,50542.0,988287.0,10/07/2020,20:15:58
103,4968,4689.0,56.0,50542.0,988287.0,10/07/2020,20:30:31
104,4972,4712.0,56.0,50713.0,988366.0,12/07/2020,13:57:36
105,4977,4729.0,56.0,51543.0,988405.0,13/07/2020,14:40:45
106,4979,4743.0,56.0,51843.0,988444.0,14/07/2020,13:49:56
107,4985,4765.0,56.0,52257.0,988483.0,15/07/2020,21:02:50
108,4993,4796.0,56.0,52899.0,988523.0,16/07/2020,22:10:06
109,5003,4809.0,56.0,53305.0,988562.0,17/07/2020,14:02:52
110,5011,4838.0,56.0,53687.0,988640.0,19/07/2020,16:02:23
111,5020,4868.0,56.0,54235.0,988680.0,20/07/2020,17:55:14
112,5027,4884.0,56.0,54671.0,988719.0,21/07/2020,14:55:12
113,5030,4904.0,58.0,55048.0,988758.0,22/07/2020,12:34:38
114,5031,4927.0,58.0,55441.0,988798.0,23/07/2020,17:54:15
115,5039,4949.0,58.0,55726.0,988837.0,24/07/2020,16:28:40
116,5050,4966.0,58.0,55983.0,988915.0,26/07/2020,23:47:08
117,5059,4977.0,58.0,56366.0,988955.0,27/07/2020,22:05:58
118,5068,4992.0,58.0,56721.0,988994.0,28/07/2020,18:17:03
119,5081,4999.0,58.0,56721.0,989033.0,29/07/2020,13:55:50
120,5084,4999.0,58.0,56721.0,989112.0,31/07/2020,22:31:19
121,5161,5019.0,59.0,57575.0,989190.0,02/08/2020,13:49:07
122,5240,5028.0,59.0,58088.0,989229.0,03/08/2020,15:21:24
123,5248,5044.0,59.0,58445.0,989269.0,04/08/2020,16:51:51
