,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,22/03/2020,21:30:16
1,2,,,,,23/03/2020,23:04:15
2,7,,,,,24/03/2020,23:56:14
3,11,,,,,26/03/2020,00:01:26
4,12,,,,,30/03/2020,23:58:38
5,14,,,,,03/04/2020,23:43:00
6,14,,,255.0,,04/04/2020,22:22:17
7,15,1.0,,293.0,,06/04/2020,23:07:56
8,16,5.0,,309.0,,10/04/2020,02:20:02
9,16,7.0,,324.0,,12/04/2020,17:57:16
10,16,8.0,,345.0,,12/04/2020,23:00:24
11,16,9.0,,377.0,,22/04/2020,04:12:31
12,16,10.0,,383.0,,24/04/2020,22:52:58
13,16,13.0,,383.0,,26/04/2020,01:30:05
14,16,14.0,,416.0,,05/05/2020,17:53:59
15,16,15.0,,420.0,,11/05/2020,00:02:10
16,16,16.0,,433.0,71965.0,18/05/2020,02:30:21
17,16,16.0,,433.0,71969.0,27/05/2020,16:10:09
18,16,16.0,0.0,433.0,71970.0,29/05/2020,00:22:14
19,18,16.0,0.0,433.0,71972.0,02/06/2020,04:59:28
20,18,16.0,0.0,534.0,71973.0,03/06/2020,08:08:09
21,18,18.0,0.0,623.0,71980.0,18/06/2020,06:19:13
22,18,18.0,0.0,851.0,71993.0,15/07/2020,13:37:33
23,18,18.0,0.0,1005.0,71997.0,24/07/2020,12:03:27
24,18,18.0,0.0,1646.0,72010.0,18/08/2020,11:16:09
25,19,18.0,0.0,1646.0,72012.0,22/08/2020,12:36:58
26,20,18.0,0.0,2022.0,72013.0,24/08/2020,12:54:04
27,20,18.0,0.0,2077.0,72016.0,31/08/2020,00:38:17
28,22,18.0,0.0,2077.0,72018.0,05/09/2020,20:22:03
29,24,18.0,0.0,2077.0,72021.0,10/09/2020,12:00:28
30,24,18.0,0.0,2612.0,72026.0,21/09/2020,18:38:40
31,30,24.0,0.0,2612.0,72029.0,27/09/2020,16:10:33
32,31,24.0,0.0,2612.0,72031.0,01/10/2020,22:30:14
33,32,24.0,0.0,2612.0,72035.0,09/10/2020,23:30:31
34,33,29.0,0.0,3955.0,72040.0,17/10/2020,18:13:13
35,37,29.0,0.0,4268.0,72042.0,23/10/2020,16:56:23
36,38,29.0,0.0,4268.0,72043.0,25/10/2020,00:00:11
37,42,29.0,0.0,4268.0,72046.0,31/10/2020,05:16:18
38,50,33.0,0.0,4268.0,72046.0,31/10/2020,11:55:04
