,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,01/03/2020,20:04:42
1,2,,,,,06/03/2020,13:44:08
2,5,,,,,08/03/2020,16:48:29
3,11,,,,,14/03/2020,12:56:07
4,21,,,,,16/03/2020,19:49:35
5,21,,1.0,,,17/03/2020,03:07:44
6,34,,2.0,,,18/03/2020,23:29:43
7,72,,2.0,,,20/03/2020,15:30:18
8,112,,3.0,,,21/03/2020,15:27:25
9,202,,3.0,,,22/03/2020,14:31:27
10,245,,3.0,,,23/03/2020,14:18:53
11,245,3.0,3.0,,,23/03/2020,21:01:14
12,312,3.0,6.0,,,24/03/2020,14:32:31
13,392,3.0,10.0,,,25/03/2020,14:54:58
14,488,3.0,10.0,,,26/03/2020,16:45:58
15,581,3.0,20.0,,,27/03/2020,15:09:55
16,719,3.0,28.0,,,28/03/2020,15:03:57
17,859,3.0,28.0,,,29/03/2020,14:36:41
18,859,3.0,39.0,,,29/03/2020,15:30:35
19,901,4.0,42.0,,,30/03/2020,15:02:49
20,1109,5.0,51.0,,,31/03/2020,14:27:07
21,1284,9.0,57.0,,,01/04/2020,14:34:33
22,1380,16.0,60.0,,,02/04/2020,14:37:50
23,1488,16.0,68.0,,,03/04/2020,14:59:10
24,1488,16.0,68.0,4200.0,,04/04/2020,07:30:42
25,1578,17.0,77.0,4542.0,,05/04/2020,00:01:12
26,1745,17.0,82.0,4542.0,,05/04/2020,15:08:42
27,1828,33.0,86.0,4542.0,,06/04/2020,14:30:05
28,1956,33.0,98.0,4542.0,,07/04/2020,14:56:56
29,1956,36.0,98.0,4542.0,,07/04/2020,19:54:24
30,2111,50.0,108.0,4542.0,,08/04/2020,15:18:57
31,2349,80.0,118.0,4542.0,,09/04/2020,15:26:47
32,2349,80.0,118.0,7151.0,,09/04/2020,18:46:13
33,2620,98.0,126.0,7936.0,,10/04/2020,17:28:43
34,2759,108.0,135.0,8469.0,,11/04/2020,20:19:36
35,2967,131.0,173.0,9275.0,,12/04/2020,15:37:56
36,3167,152.0,177.0,9275.0,,13/04/2020,11:07:56
37,3286,162.0,183.0,9275.0,,14/04/2020,15:00:08
38,3614,208.0,189.0,9275.0,,15/04/2020,14:52:21
39,3755,215.0,196.0,9275.0,,16/04/2020,15:00:09
40,3755,215.0,196.0,12229.0,,16/04/2020,16:00:07
41,4126,215.0,200.0,13282.0,,17/04/2020,15:00:06
42,4126,268.0,200.0,13282.0,,17/04/2020,21:00:06
43,4335,312.0,217.0,14373.0,,18/04/2020,17:00:04
44,4680,363.0,226.0,15583.0,,19/04/2020,15:35:55
45,4964,416.0,235.0,57809.0,,20/04/2020,14:24:35
46,5044,463.0,245.0,16973.0,,21/04/2020,15:23:13
47,5300,581.0,260.0,18261.0,,22/04/2020,15:17:04
48,5543,581.0,265.0,18261.0,,23/04/2020,17:00:34
49,5543,674.0,265.0,18261.0,,24/04/2020,05:30:06
50,5749,763.0,267.0,18261.0,,24/04/2020,19:30:20
51,5926,822.0,273.0,21284.0,,25/04/2020,17:30:05
52,6135,910.0,278.0,22498.0,,26/04/2020,14:39:02
53,6293,993.0,282.0,22498.0,,27/04/2020,15:48:26
54,6416,1165.0,286.0,23979.0,,28/04/2020,16:38:23
55,6652,1228.0,293.0,25368.0,,29/04/2020,17:18:20
56,6972,1301.0,301.0,25368.0,,30/04/2020,15:33:10
57,7288,1387.0,313.0,25368.0,,01/05/2020,15:32:27
58,7578,1481.0,326.0,30102.0,,02/05/2020,16:26:16
59,7954,1606.0,333.0,30102.0,,03/05/2020,17:32:19
60,8235,1771.0,346.0,33377.0,,04/05/2020,15:33:07
61,8480,1905.0,354.0,33377.0,,05/05/2020,14:11:06
62,8807,1905.0,362.0,33377.0,,06/05/2020,15:00:36
63,8807,1960.0,362.0,33377.0,,06/05/2020,23:44:02
64,9095,2064.0,373.0,36959.0,,07/05/2020,16:00:38
65,9376,2286.0,380.0,38543.0,,07/05/2020,20:30:27
66,9095,2064.0,373.0,36959.0,,07/05/2020,21:17:20
67,9376,2286.0,380.0,38543.0,,08/05/2020,15:31:09
68,9882,2584.0,385.0,40591.0,,09/05/2020,17:03:04
69,10347,2763.0,388.0,40591.0,,10/05/2020,16:00:36
70,10347,2763.0,388.0,42615.0,,10/05/2020,22:30:40
71,10634,2870.0,393.0,42615.0,,11/05/2020,15:55:07
72,10900,2870.0,402.0,42615.0,,12/05/2020,15:39:30
73,10900,3221.0,402.0,42615.0,,12/05/2020,16:55:59
74,11196,3221.0,409.0,42615.0,,13/05/2020,17:26:38
75,11320,3351.0,422.0,47774.0,,14/05/2020,22:15:16
76,11739,3557.0,424.0,50108.0,10833701.0,15/05/2020,15:48:14
77,12110,3726.0,428.0,50108.0,10833998.0,16/05/2020,16:29:53
78,12314,5847.0,428.0,50108.0,10834295.0,17/05/2020,17:24:15
79,12725,6613.0,434.0,50108.0,10834592.0,18/05/2020,15:11:45
