,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,29/02/2020,19:20:46
1,6,,,,,01/03/2020,22:40:51
2,7,,,,,03/03/2020,04:00:45
3,10,,,,,04/03/2020,17:26:21
4,13,,,,,05/03/2020,16:13:03
5,14,,,,,07/03/2020,04:16:55
6,15,,,,,09/03/2020,02:51:22
7,17,,,,,11/03/2020,04:26:21
8,19,,,,,13/03/2020,06:25:47
9,23,,1.0,,,14/03/2020,01:11:47
10,26,,1.0,,,14/03/2020,08:46:05
11,23,,1.0,,,14/03/2020,14:52:51
12,28,,1.0,,,14/03/2020,18:53:39
13,28,,2.0,,,15/03/2020,02:39:45
14,37,,2.0,,,15/03/2020,20:38:15
15,58,,2.0,,,16/03/2020,17:07:28
16,111,,2.0,,,17/03/2020,15:47:47
17,155,,2.0,,,18/03/2020,12:00:36
18,168,,3.0,,,18/03/2020,23:14:37
19,168,1.0,3.0,,,19/03/2020,02:37:17
20,199,1.0,3.0,,,19/03/2020,16:42:31
21,260,1.0,3.0,,,19/03/2020,21:35:45
22,260,1.0,4.0,,,20/03/2020,09:27:44
23,367,3.0,5.0,,,20/03/2020,15:30:18
24,426,3.0,7.0,,,20/03/2020,22:30:55
25,506,3.0,7.0,,,21/03/2020,17:35:11
26,532,3.0,7.0,,,21/03/2020,22:25:44
27,789,3.0,14.0,,,22/03/2020,16:51:13
28,981,3.0,18.0,,,23/03/2020,15:48:01
29,1049,3.0,27.0,,,24/03/2020,15:21:21
30,1082,3.0,27.0,,,24/03/2020,23:41:55
31,1173,3.0,28.0,,,25/03/2020,15:28:22
32,1211,3.0,29.0,,,26/03/2020,00:03:28
33,1382,3.0,34.0,,,26/03/2020,16:09:16
34,1403,3.0,34.0,,,26/03/2020,22:31:26
35,1595,3.0,36.0,,,27/03/2020,16:26:40
36,1627,3.0,41.0,,,27/03/2020,23:35:12
37,1823,3.0,48.0,,,28/03/2020,16:35:24
38,1890,3.0,57.0,,,29/03/2020,16:42:02
39,1924,3.0,58.0,,,29/03/2020,23:24:59
40,1962,3.0,60.0,,,30/03/2020,18:26:43
41,1966,3.0,62.0,,,30/03/2020,23:04:02
42,1966,54.0,62.0,,,31/03/2020,05:57:14
43,2240,54.0,75.0,,,31/03/2020,16:41:57
