,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/02/2020,23:27:53
1,1,1.0,,,,20/02/2020,13:52:34
2,2,1.0,,,,01/03/2020,23:38:56
3,3,1.0,,,,05/03/2020,12:44:59
4,15,1.0,,,,06/03/2020,13:25:51
5,48,1.0,,,,07/03/2020,20:46:41
6,49,1.0,1.0,,,08/03/2020,16:48:29
7,55,1.0,1.0,,,09/03/2020,00:04:38
8,59,1.0,1.0,,,09/03/2020,23:23:13
9,59,26.0,1.0,,,11/03/2020,00:54:46
10,60,27.0,1.0,,,11/03/2020,12:13:51
11,67,27.0,1.0,,,12/03/2020,03:34:39
12,80,27.0,2.0,,,12/03/2020,21:33:03
13,93,27.0,2.0,,,14/03/2020,01:11:47
14,109,27.0,2.0,,,14/03/2020,20:39:47
15,110,27.0,2.0,,,15/03/2020,03:37:43
16,126,27.0,2.0,,,15/03/2020,20:38:15
17,126,32.0,2.0,,,16/03/2020,02:51:16
18,150,32.0,2.0,,,16/03/2020,17:07:28
19,166,32.0,4.0,,,16/03/2020,23:00:18
20,169,32.0,4.0,,,17/03/2020,13:53:18
21,196,26.0,6.0,,,17/03/2020,17:46:39
22,210,28.0,6.0,,,18/03/2020,19:38:43
23,256,28.0,7.0,,,19/03/2020,18:51:51
24,256,42.0,7.0,,,19/03/2020,20:40:17
25,285,42.0,8.0,,,20/03/2020,19:55:36
26,294,42.0,10.0,,,21/03/2020,19:33:45
27,327,56.0,14.0,,,22/03/2020,20:30:15
28,366,68.0,19.0,,,23/03/2020,20:30:29
29,402,80.0,20.0,,,24/03/2020,19:01:12
30,442,80.0,20.0,,,25/03/2020,13:10:19
31,442,80.0,21.0,,,25/03/2020,13:14:07
32,442,93.0,21.0,,,25/03/2020,14:54:58
33,456,95.0,21.0,,,25/03/2020,19:24:49
34,495,95.0,21.0,,,26/03/2020,20:20:11
35,495,102.0,24.0,,,26/03/2020,20:56:30
36,536,116.0,30.0,,,27/03/2020,19:42:09
37,576,121.0,36.0,,,28/03/2020,18:25:32
38,609,132.0,40.0,,,29/03/2020,18:57:07
39,656,150.0,41.0,,,30/03/2020,18:26:43
40,710,157.0,46.0,,,31/03/2020,19:31:10
41,779,179.0,52.0,,,01/04/2020,19:40:14
42,850,179.0,52.0,,,02/04/2020,17:29:57
43,865,201.0,58.0,,,02/04/2020,22:06:41
44,985,216.0,66.0,,,03/04/2020,18:40:03
45,985,216.0,66.0,25000.0,,04/04/2020,07:30:42
46,1070,241.0,71.0,25000.0,,04/04/2020,18:01:10
47,1173,241.0,78.0,25000.0,,05/04/2020,17:55:13
48,1173,247.0,78.0,25000.0,,05/04/2020,18:07:55
49,1322,259.0,85.0,25000.0,,06/04/2020,20:18:26
50,1450,276.0,94.0,25000.0,,07/04/2020,19:13:46
51,1560,305.0,103.0,25000.0,,08/04/2020,18:19:30
52,1699,348.0,118.0,25000.0,,09/04/2020,19:38:38
53,1794,384.0,135.0,25000.0,,10/04/2020,18:33:40
54,1939,542.0,146.0,25000.0,,11/04/2020,19:58:06
55,1939,426.0,146.0,25000.0,,11/04/2020,20:19:36
56,2065,589.0,159.0,25000.0,,12/04/2020,19:00:06
57,2190,589.0,164.0,25000.0,,13/04/2020,11:07:56
58,2350,589.0,178.0,25000.0,,14/04/2020,18:00:05
59,2505,589.0,183.0,25000.0,,15/04/2020,18:24:56
60,2673,596.0,196.0,25000.0,,16/04/2020,23:37:57
61,2844,646.0,205.0,25000.0,,17/04/2020,16:41:00
62,3032,701.0,224.0,55000.0,,18/04/2020,17:59:20
63,3144,732.0,239.0,55000.0,,19/04/2020,16:00:05
64,3333,821.0,250.0,55000.0,,20/04/2020,17:15:53
65,3490,870.0,264.0,55000.0,,21/04/2020,18:16:28
66,3659,935.0,276.0,55000.0,,22/04/2020,18:32:20
67,3891,1004.0,287.0,90000.0,,23/04/2020,17:00:34
68,4092,1075.0,294.0,90000.0,,24/04/2020,19:30:20
69,4319,1114.0,307.0,90000.0,,25/04/2020,17:30:05
70,4534,1176.0,317.0,90000.0,,26/04/2020,19:02:28
71,4782,1236.0,337.0,90000.0,,27/04/2020,15:48:26
72,5042,1304.0,359.0,90000.0,,28/04/2020,16:02:30
73,5268,1335.0,380.0,90000.0,,29/04/2020,16:35:36
74,5537,1381.0,392.0,90000.0,,30/04/2020,15:49:26
75,5895,1460.0,406.0,90000.0,,01/05/2020,16:51:59
76,6193,1522.0,415.0,90000.0,,02/05/2020,17:01:58
