,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,19/03/2020,03:50:47
1,3,,,,,21/03/2020,05:32:26
2,5,,,,,24/03/2020,02:26:03
3,9,,,,,25/03/2020,04:44:55
4,13,,,,,26/03/2020,01:04:00
5,19,,,,,28/03/2020,03:30:44
6,24,,,,,29/03/2020,06:06:31
7,30,,,,,30/03/2020,04:38:33
8,32,,,,,31/03/2020,02:47:46
9,32,,1.0,,,31/03/2020,23:49:04
10,32,,2.0,,,01/04/2020,22:45:28
11,33,,2.0,,,02/04/2020,00:00:23
12,41,,2.0,,,02/04/2020,03:14:09
13,46,,2.0,,,03/04/2020,02:36:07
14,46,,3.0,,,03/04/2020,23:34:36
15,56,,3.0,,,04/04/2020,07:30:42
16,56,2.0,3.0,,,04/04/2020,19:53:16
17,62,2.0,3.0,,,05/04/2020,05:07:56
18,69,2.0,3.0,,,06/04/2020,04:30:37
19,69,2.0,4.0,,,06/04/2020,18:10:24
20,69,5.0,4.0,,,06/04/2020,18:19:55
21,78,5.0,4.0,,,07/04/2020,03:14:09
22,93,9.0,5.0,,,08/04/2020,06:52:05
23,103,10.0,5.0,,,09/04/2020,05:35:00
24,103,14.0,6.0,,,09/04/2020,22:04:20
25,117,15.0,6.0,,,10/04/2020,05:02:52
26,118,19.0,6.0,,,11/04/2020,06:45:05
27,124,19.0,6.0,,,12/04/2020,06:37:56
28,125,21.0,6.0,,,12/04/2020,07:00:05
29,137,22.0,6.0,6729.0,,13/04/2020,11:07:56
30,149,22.0,6.0,7230.0,,14/04/2020,06:11:43
31,149,25.0,6.0,7230.0,,14/04/2020,08:00:04
32,159,30.0,6.0,7785.0,,15/04/2020,06:31:00
33,159,33.0,6.0,7785.0,,16/04/2020,05:00:04
34,164,33.0,6.0,8333.0,,16/04/2020,07:00:06
35,177,33.0,7.0,9267.0,,17/04/2020,07:00:06
36,177,38.0,7.0,9267.0,,17/04/2020,15:30:05
37,190,43.0,7.0,9267.0,,18/04/2020,06:00:29
38,190,43.0,7.0,10191.0,,18/04/2020,13:28:31
39,201,44.0,7.0,11160.0,,19/04/2020,05:00:04
40,218,46.0,7.0,12210.0,,20/04/2020,06:05:10
41,225,48.0,7.0,13352.0,,21/04/2020,07:00:08
42,237,63.0,7.0,14375.0,,22/04/2020,07:52:58
43,237,63.0,8.0,14375.0,,23/04/2020,02:55:23
44,250,67.0,8.0,15385.0,,23/04/2020,07:00:05
45,261,67.0,8.0,16418.0,,24/04/2020,07:00:53
46,261,72.0,8.0,16418.0,,24/04/2020,07:58:26
47,274,75.0,8.0,17423.0,,25/04/2020,06:29:17
48,298,83.0,8.0,18686.0,,26/04/2020,04:13:41
49,323,89.0,8.0,20109.0,,27/04/2020,06:52:52
50,345,97.0,8.0,21364.0,,28/04/2020,02:05:53
51,345,97.0,9.0,21364.0,,29/04/2020,00:04:29
52,377,106.0,9.0,22593.0,,29/04/2020,08:33:02
53,395,118.0,9.0,24057.0,,30/04/2020,06:20:29
54,395,119.0,9.0,24057.0,,30/04/2020,21:30:11
55,395,119.0,10.0,24057.0,,01/05/2020,00:00:05
56,424,124.0,10.0,25492.0,,01/05/2020,04:48:24
57,446,138.0,10.0,26961.0,,02/05/2020,05:02:07
58,446,141.0,10.0,26961.0,,02/05/2020,19:02:50
59,446,141.0,11.0,26961.0,,03/05/2020,00:21:50
60,490,154.0,11.0,28596.0,,03/05/2020,07:54:07
61,555,180.0,12.0,30387.0,,04/05/2020,04:01:21
62,555,180.0,13.0,30387.0,,04/05/2020,21:31:13
63,587,201.0,13.0,30387.0,,05/05/2020,04:50:42
64,587,205.0,14.0,32030.0,,06/05/2020,00:11:33
65,633,219.0,14.0,33628.0,,06/05/2020,03:30:14
66,633,219.0,15.0,33628.0,,06/05/2020,18:02:46
67,695,245.0,15.0,35411.0,,07/05/2020,05:00:56
68,742,257.0,16.0,37306.0,,07/05/2020,20:30:27
69,695,245.0,15.0,35411.0,,07/05/2020,21:17:20
70,695,252.0,15.0,35411.0,,08/05/2020,02:00:31
71,742,257.0,15.0,37306.0,,08/05/2020,06:01:44
72,742,257.0,16.0,37306.0,,08/05/2020,18:21:57
73,784,276.0,16.0,39079.0,,09/05/2020,04:47:37
74,784,276.0,17.0,39079.0,,09/05/2020,19:58:43
75,889,293.0,17.0,41090.0,,10/05/2020,03:34:45
76,958,325.0,17.0,43043.0,,11/05/2020,04:26:57
77,889,293.0,17.0,41090.0,,11/05/2020,04:30:12
78,958,325.0,17.0,43043.0,,11/05/2020,05:31:27
79,958,325.0,18.0,43043.0,,11/05/2020,17:46:23
80,998,349.0,18.0,44926.0,,12/05/2020,15:39:30
81,998,349.0,20.0,44926.0,,12/05/2020,23:44:31
82,1037,374.0,20.0,46831.0,,13/05/2020,09:28:29
83,1112,405.0,20.0,48913.0,,14/05/2020,06:47:18
84,1112,405.0,23.0,48913.0,,14/05/2020,22:15:16
85,1210,416.0,23.0,51142.0,6482018.0,15/05/2020,05:31:30
86,1210,417.0,25.0,51142.0,6482107.0,16/05/2020,02:32:36
87,1265,441.0,25.0,53412.0,6482107.0,16/05/2020,06:48:01
88,1265,441.0,26.0,53412.0,6482107.0,16/05/2020,19:31:52
89,1265,443.0,26.0,53412.0,6482197.0,17/05/2020,05:10:40
90,1338,462.0,27.0,55694.0,6482197.0,17/05/2020,07:30:11
91,1338,464.0,30.0,55694.0,6482286.0,18/05/2020,02:30:21
92,1413,474.0,30.0,57883.0,6482286.0,18/05/2020,07:31:50
93,1498,502.0,30.0,60341.0,6482375.0,19/05/2020,07:05:13
94,1571,531.0,31.0,62838.0,6482464.0,20/05/2020,09:33:06
95,1640,540.0,32.0,65226.0,6482554.0,21/05/2020,07:23:54
96,1640,544.0,33.0,65226.0,6482643.0,22/05/2020,01:00:10
97,1725,562.0,33.0,67663.0,6482643.0,22/05/2020,07:24:52
98,1725,566.0,33.0,67663.0,6482732.0,23/05/2020,01:02:33
99,1725,570.0,33.0,67663.0,6482732.0,23/05/2020,01:56:50
100,1819,570.0,33.0,70225.0,6482732.0,23/05/2020,07:00:55
101,1819,574.0,33.0,70225.0,6482821.0,24/05/2020,03:30:16
102,1819,575.0,35.0,70225.0,6482821.0,24/05/2020,05:53:51
103,1915,594.0,35.0,72616.0,6482821.0,24/05/2020,13:01:13
104,1915,633.0,35.0,72616.0,6482911.0,25/05/2020,00:30:26
105,1983,698.0,35.0,75146.0,6482911.0,25/05/2020,06:54:19
106,1983,772.0,35.0,75146.0,6483000.0,26/05/2020,01:00:08
107,2042,787.0,36.0,77482.0,6483000.0,26/05/2020,06:04:53
108,2042,793.0,36.0,77482.0,6483089.0,27/05/2020,04:30:04
109,2109,873.0,36.0,79711.0,6483089.0,27/05/2020,05:44:43
110,2109,873.0,37.0,79711.0,6483089.0,27/05/2020,06:03:38
111,2109,891.0,39.0,79711.0,6483178.0,28/05/2020,01:33:42
112,2109,1002.0,39.0,79711.0,6483178.0,28/05/2020,06:00:11
113,2194,1002.0,39.0,82243.0,6483178.0,28/05/2020,07:07:52
114,2194,1015.0,39.0,82243.0,6483267.0,29/05/2020,03:02:15
115,2194,1015.0,42.0,82243.0,6483267.0,29/05/2020,05:51:38
116,2278,1015.0,42.0,84650.0,6483267.0,29/05/2020,07:29:58
117,2278,1017.0,43.0,84650.0,6483357.0,30/05/2020,04:41:44
118,2395,1026.0,44.0,86972.0,6483357.0,30/05/2020,07:29:08
119,2395,1031.0,46.0,86972.0,6483446.0,31/05/2020,02:01:31
120,2517,1040.0,46.0,89358.0,6483446.0,31/05/2020,05:53:31
121,2582,1063.0,46.0,91837.0,6483535.0,01/06/2020,09:02:32
122,2582,1083.0,46.0,91837.0,6483624.0,02/06/2020,04:28:01
123,2653,1116.0,46.0,94272.0,6483624.0,02/06/2020,10:28:52
124,2653,1160.0,49.0,94272.0,6483714.0,03/06/2020,02:27:34
125,2705,1179.0,49.0,96647.0,6483714.0,03/06/2020,09:37:34
126,2705,1186.0,51.0,96647.0,6483803.0,04/06/2020,01:05:32
127,2781,1208.0,51.0,99178.0,6483803.0,04/06/2020,09:02:08
128,2781,1214.0,52.0,99178.0,6483892.0,05/06/2020,01:45:18
129,2849,1249.0,53.0,101604.0,6483892.0,05/06/2020,10:25:25
130,2934,1281.0,53.0,104060.0,6483981.0,06/06/2020,11:58:43
131,3015,1305.0,53.0,106548.0,6484071.0,07/06/2020,06:27:06
132,3015,1342.0,55.0,106548.0,6484160.0,08/06/2020,04:45:20
133,3104,1361.0,55.0,108924.0,6484160.0,08/06/2020,09:00:06
134,3104,1379.0,56.0,108924.0,6484249.0,09/06/2020,01:59:08
135,3191,1413.0,58.0,111274.0,6484249.0,09/06/2020,07:10:14
136,3191,1419.0,60.0,111274.0,6484338.0,10/06/2020,01:14:22
137,3274,1438.0,60.0,113656.0,6484338.0,10/06/2020,14:19:35
138,3274,1438.0,64.0,113656.0,6484338.0,10/06/2020,23:30:04
139,3373,1497.0,64.0,116027.0,6484427.0,11/06/2020,06:33:25
140,3373,1504.0,66.0,116027.0,6484517.0,12/06/2020,02:22:48
141,3373,1504.0,68.0,116027.0,6484517.0,12/06/2020,04:55:44
142,3481,1587.0,68.0,118483.0,6484517.0,12/06/2020,10:31:33
143,3603,1738.0,72.0,120941.0,6484606.0,13/06/2020,19:32:47
144,3603,1745.0,72.0,120941.0,6484695.0,14/06/2020,07:09:40
145,3720,1837.0,72.0,123360.0,6484695.0,14/06/2020,08:26:21
146,3720,1846.0,74.0,123360.0,6484784.0,15/06/2020,03:01:05
147,3826,1912.0,74.0,125759.0,6484784.0,15/06/2020,08:28:00
148,3826,1926.0,74.0,125759.0,6484874.0,16/06/2020,01:48:00
149,3826,1927.0,76.0,125759.0,6484874.0,16/06/2020,04:41:43
150,3941,2041.0,76.0,128204.0,6484874.0,16/06/2020,08:42:08
151,4066,2137.0,78.0,130677.0,6484963.0,17/06/2020,09:01:52
152,4066,2137.0,79.0,130677.0,6484963.0,17/06/2020,23:30:05
153,4066,2152.0,82.0,130677.0,6485052.0,18/06/2020,04:46:44
154,4200,2235.0,82.0,130677.0,6485052.0,18/06/2020,10:43:47
155,4200,2251.0,86.0,133151.0,6485141.0,19/06/2020,05:51:48
156,4329,2310.0,86.0,135570.0,6485141.0,19/06/2020,07:00:04
157,4329,2326.0,93.0,135570.0,6485231.0,20/06/2020,05:15:16
158,4475,2449.0,93.0,137996.0,6485231.0,20/06/2020,07:32:01
159,4475,2468.0,98.0,137996.0,6485320.0,21/06/2020,06:13:05
160,4626,2535.0,98.0,140429.0,6485320.0,21/06/2020,10:59:31
161,4626,2542.0,107.0,140429.0,6485409.0,22/06/2020,05:16:48
162,4808,2655.0,107.0,142886.0,6485409.0,22/06/2020,10:45:28
163,4808,2695.0,107.0,142886.0,6485498.0,23/06/2020,05:48:08
164,4973,2814.0,113.0,145341.0,6485498.0,23/06/2020,08:12:57
165,4973,2847.0,113.0,145341.0,6485588.0,24/06/2020,06:32:01
166,5150,2924.0,119.0,147771.0,6485588.0,24/06/2020,08:30:38
167,5150,2950.0,119.0,147771.0,6485677.0,25/06/2020,06:18:22
168,5336,3116.0,126.0,150252.0,6485677.0,25/06/2020,09:00:50
169,5336,3147.0,133.0,150252.0,6485766.0,26/06/2020,06:31:24
170,5517,3291.0,133.0,152729.0,6485766.0,26/06/2020,09:23:26
171,5517,3330.0,143.0,152729.0,6485855.0,27/06/2020,06:30:03
172,5727,3447.0,143.0,155301.0,6485855.0,27/06/2020,08:52:27
173,5727,3471.0,152.0,155301.0,6485944.0,28/06/2020,06:39:40
174,5934,3557.0,152.0,157799.0,6485944.0,28/06/2020,07:48:23
175,5934,3566.0,164.0,157799.0,6486034.0,29/06/2020,06:03:30
176,6173,3648.0,164.0,160216.0,6486034.0,29/06/2020,08:31:57
177,6438,3770.0,174.0,162711.0,6486123.0,30/06/2020,09:40:57
178,6438,3809.0,182.0,162711.0,6486212.0,01/07/2020,06:30:53
179,6736,3964.0,182.0,165161.0,6486212.0,01/07/2020,08:32:27
180,7000,4115.0,191.0,167584.0,6486301.0,02/07/2020,07:30:13
181,7000,4137.0,200.0,167584.0,6486391.0,03/07/2020,06:41:44
182,7267,4268.0,202.0,170017.0,6486391.0,03/07/2020,09:01:48
183,7507,4434.0,210.0,172455.0,6486480.0,04/07/2020,08:48:09
184,7777,4573.0,217.0,174930.0,6486569.0,05/07/2020,12:30:49
185,7777,4588.0,223.0,174930.0,6486658.0,06/07/2020,07:13:51
186,8027,4730.0,223.0,177366.0,6486658.0,06/07/2020,10:25:35
187,8027,4785.0,223.0,177366.0,6486748.0,07/07/2020,06:00:55
188,8307,4929.0,229.0,179862.0,6486748.0,07/07/2020,08:00:05
189,8307,4955.0,229.0,179862.0,6486837.0,08/07/2020,06:06:52
190,8566,5133.0,235.0,182361.0,6486837.0,08/07/2020,07:30:34
191,8566,5160.0,243.0,182361.0,6486926.0,09/07/2020,06:30:22
192,8844,5289.0,243.0,184831.0,6486926.0,09/07/2020,08:00:33
193,8844,5341.0,249.0,184831.0,6487015.0,10/07/2020,06:00:15
194,9142,5428.0,249.0,187316.0,6487015.0,10/07/2020,09:01:05
195,9142,5454.0,254.0,187316.0,6487104.0,11/07/2020,06:07:39
196,9391,5516.0,254.0,189746.0,6487104.0,11/07/2020,10:32:47
197,9391,5551.0,254.0,189746.0,6487194.0,12/07/2020,06:31:57
198,9391,5551.0,260.0,189746.0,6487194.0,12/07/2020,07:33:43
199,9674,5634.0,260.0,192206.0,6487194.0,12/07/2020,12:43:57
200,9674,5663.0,267.0,192206.0,6487283.0,13/07/2020,06:44:22
201,9978,5732.0,267.0,194655.0,6487283.0,13/07/2020,09:30:30
202,9978,5761.0,267.0,194655.0,6487372.0,14/07/2020,06:36:08
203,10303,5919.0,278.0,197151.0,6487372.0,14/07/2020,09:07:17
204,10303,5947.0,278.0,197151.0,6487461.0,15/07/2020,06:37:12
205,10645,6120.0,286.0,199637.0,6487461.0,15/07/2020,08:22:46
206,10645,6128.0,298.0,199637.0,6487551.0,16/07/2020,07:05:22
207,10957,6257.0,298.0,202126.0,6487551.0,16/07/2020,07:58:51
208,10957,6281.0,309.0,202126.0,6487640.0,17/07/2020,05:21:28
209,11207,6422.0,309.0,204609.0,6487640.0,17/07/2020,07:45:25
210,11207,6441.0,324.0,204609.0,6487729.0,18/07/2020,06:30:48
211,11508,6560.0,324.0,207024.0,6487729.0,18/07/2020,11:02:08
212,11508,6632.0,324.0,207024.0,6487818.0,19/07/2020,06:02:10
213,11846,6705.0,335.0,209446.0,6487818.0,19/07/2020,09:27:00
214,11846,6721.0,344.0,209446.0,6487908.0,20/07/2020,06:27:41
215,12207,6831.0,344.0,211896.0,6487908.0,20/07/2020,11:02:19
216,12207,6872.0,352.0,211896.0,6487997.0,21/07/2020,06:01:23
217,12582,6965.0,352.0,214443.0,6487997.0,21/07/2020,13:05:30
218,12582,6996.0,363.0,214443.0,6488086.0,22/07/2020,06:32:43
219,12975,7119.0,363.0,216916.0,6488086.0,22/07/2020,09:34:44
220,12975,7151.0,372.0,216916.0,6488175.0,23/07/2020,06:35:20
221,13377,7276.0,372.0,219391.0,6488175.0,23/07/2020,09:00:06
222,13377,7324.0,379.0,219391.0,6488264.0,24/07/2020,06:32:49
223,13792,7415.0,379.0,221820.0,6488264.0,24/07/2020,11:31:24
224,13792,7455.0,390.0,221820.0,6488354.0,25/07/2020,06:02:31
225,14221,7549.0,390.0,221820.0,6488354.0,25/07/2020,11:03:25
226,14630,7648.0,400.0,226718.0,6488443.0,26/07/2020,09:32:47
227,14630,7667.0,408.0,226718.0,6488532.0,27/07/2020,06:21:37
228,15035,7778.0,408.0,229186.0,6488532.0,27/07/2020,08:43:02
229,15035,7793.0,408.0,229186.0,6488621.0,28/07/2020,06:05:38
230,15446,7903.0,417.0,231684.0,6488621.0,28/07/2020,09:33:59
231,15446,7930.0,417.0,231684.0,6488711.0,29/07/2020,06:28:12
232,15841,8071.0,430.0,234086.0,6488711.0,29/07/2020,07:13:55
233,15841,8095.0,430.0,234086.0,6488800.0,30/07/2020,06:28:01
234,16230,8206.0,439.0,236501.0,6488800.0,30/07/2020,08:29:59
235,16230,8268.0,439.0,236501.0,6488889.0,31/07/2020,06:27:49
236,16632,8362.0,448.0,238917.0,6488889.0,31/07/2020,10:18:25
237,16632,8396.0,448.0,238917.0,6488978.0,01/08/2020,06:02:53
238,17050,8495.0,459.0,241359.0,6488978.0,01/08/2020,10:34:38
239,17050,8561.0,467.0,241359.0,6489068.0,02/08/2020,05:41:05
240,17448,8634.0,467.0,243842.0,6489068.0,02/08/2020,07:50:49
241,17448,8649.0,477.0,243842.0,6489157.0,03/08/2020,06:39:10
242,17843,8809.0,477.0,246302.0,6489157.0,03/08/2020,11:37:57
