,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,15/03/2020,02:13:33
1,4,,,,,18/03/2020,14:05:37
2,6,,,,,19/03/2020,20:40:17
3,9,,,,,23/03/2020,14:18:53
4,12,,,,,26/03/2020,20:13:13
5,12,1.0,,,,31/03/2020,13:41:38
6,15,1.0,,,,31/03/2020,23:49:04
7,16,1.0,,,,03/04/2020,16:20:40
8,16,3.0,,854.0,,06/04/2020,18:34:19
9,18,3.0,,854.0,,08/04/2020,19:58:05
10,21,3.0,,854.0,,12/04/2020,11:13:10
11,21,4.0,,854.0,,13/04/2020,23:00:06
12,41,4.0,,854.0,,14/04/2020,16:00:08
13,51,4.0,,854.0,,15/04/2020,17:00:02
14,79,4.0,,854.0,,17/04/2020,15:54:10
15,79,7.0,,854.0,,20/04/2020,16:49:00
16,83,7.0,,854.0,,21/04/2020,17:19:12
17,84,7.0,1.0,854.0,,22/04/2020,18:32:20
18,214,7.0,1.0,854.0,,24/04/2020,19:30:20
19,258,7.0,1.0,854.0,,25/04/2020,23:20:59
20,258,8.0,1.0,854.0,,26/04/2020,07:30:44
21,258,9.0,1.0,854.0,,28/04/2020,02:05:53
22,315,9.0,1.0,854.0,,28/04/2020,20:03:12
23,315,13.0,1.0,854.0,,04/05/2020,07:31:35
24,315,13.0,3.0,854.0,,04/05/2020,19:31:42
25,439,13.0,4.0,854.0,,06/05/2020,13:00:44
26,522,13.0,6.0,854.0,,13/05/2020,14:38:14
27,583,13.0,7.0,854.0,,14/05/2020,22:15:16
28,594,22.0,7.0,854.0,1396368.0,15/05/2020,20:30:05
29,719,22.0,7.0,854.0,1396748.0,18/05/2020,18:59:22
30,825,22.0,7.0,854.0,1397001.0,20/05/2020,00:09:48
31,890,22.0,7.0,854.0,1397001.0,20/05/2020,22:30:36
32,903,22.0,10.0,854.0,1397127.0,21/05/2020,19:46:04
33,903,165.0,10.0,854.0,1397254.0,22/05/2020,12:00:04
34,960,165.0,11.0,854.0,1397254.0,22/05/2020,15:40:17
35,1043,165.0,12.0,854.0,1397634.0,25/05/2020,12:01:24
36,1306,200.0,12.0,854.0,1398140.0,29/05/2020,12:59:18
37,1306,200.0,12.0,8268.0,1398393.0,31/05/2020,10:05:49
38,1664,515.0,32.0,16000.0,1400545.0,17/06/2020,01:23:33
39,2001,515.0,32.0,16000.0,1401685.0,26/06/2020,01:30:05
40,3071,842.0,51.0,16000.0,1402571.0,03/07/2020,01:51:29
41,4821,2182.0,83.0,44356.0,1406115.0,31/07/2020,22:31:19
42,4821,2182.0,83.0,49215.0,1408520.0,19/08/2020,13:30:34
43,4892,2713.0,83.0,49215.0,1408520.0,19/08/2020,20:30:47
44,4926,2713.0,83.0,49215.0,1408774.0,21/08/2020,23:15:07
45,4926,3795.0,83.0,50481.0,1408900.0,22/08/2020,23:39:21
46,4928,3798.0,83.0,51597.0,1409407.0,26/08/2020,23:55:28
47,4941,3884.0,83.0,51944.0,1409660.0,28/08/2020,20:43:07
48,4965,3884.0,83.0,51944.0,1410166.0,01/09/2020,19:13:55
49,4965,4390.0,83.0,53443.0,1410419.0,03/09/2020,00:42:06
50,4972,4413.0,83.0,54174.0,1410546.0,04/09/2020,23:59:57
51,4985,4454.0,83.0,54174.0,1410926.0,07/09/2020,22:02:34
52,4985,4454.0,83.0,54822.0,1411052.0,08/09/2020,23:11:23
53,4990,4479.0,83.0,55133.0,1411179.0,09/09/2020,23:26:03
54,4996,4490.0,83.0,55783.0,1411559.0,12/09/2020,02:48:27
55,5000,4496.0,83.0,56704.0,1411812.0,14/09/2020,21:17:27
56,5002,4509.0,83.0,57119.0,1412192.0,17/09/2020,19:55:36
57,5018,4509.0,83.0,58603.0,1412824.0,22/09/2020,17:49:04
58,5018,4530.0,83.0,58976.0,1413078.0,24/09/2020,23:53:45
59,5028,4740.0,83.0,58976.0,1413331.0,26/09/2020,21:58:29
60,5028,4740.0,83.0,59706.0,1413457.0,27/09/2020,23:59:33
61,5030,4769.0,83.0,60417.0,1413711.0,29/09/2020,23:12:47
62,5045,4879.0,83.0,60916.0,1413964.0,01/10/2020,22:30:14
63,5052,4894.0,83.0,61836.0,1414597.0,06/10/2020,14:18:50
64,5062,4894.0,83.0,62311.0,1414850.0,08/10/2020,23:59:40
65,5063,4894.0,83.0,62615.0,1414976.0,09/10/2020,23:59:37
66,5066,4954.0,83.0,62944.0,1415356.0,12/10/2020,22:08:46
67,5068,4954.0,83.0,63108.0,1415609.0,14/10/2020,22:35:28
68,5070,4954.0,83.0,63589.0,1416242.0,17/10/2020,18:13:13
69,5074,4954.0,83.0,64170.0,1416369.0,20/10/2020,12:17:24
70,5074,4961.0,83.0,64485.0,1416622.0,23/10/2020,00:00:03
71,5079,4962.0,83.0,64910.0,1416875.0,24/10/2020,11:21:26
72,5083,4964.0,83.0,65408.0,1417255.0,27/10/2020,13:35:32
73,5088,4965.0,83.0,65982.0,1417888.0,01/11/2020,00:00:30
74,5089,4965.0,83.0,66077.0,1418141.0,03/11/2020,00:00:14
