,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,21/03/2020,19:16:52
1,4,,,,,25/03/2020,20:28:03
2,6,,,,,26/03/2020,22:47:14
3,12,,,,,29/03/2020,20:23:18
4,15,,,,,30/03/2020,23:58:38
5,18,,,,,02/04/2020,07:01:49
6,22,,,,,02/04/2020,17:13:14
7,29,,,,,04/04/2020,18:01:10
8,31,,,,,06/04/2020,20:57:59
9,33,,,,,08/04/2020,20:43:09
10,34,,,,,10/04/2020,18:10:49
11,35,,,,,15/04/2020,00:01:13
12,39,3.0,,,,18/04/2020,17:59:20
13,39,6.0,,,,21/04/2020,19:32:38
14,39,11.0,,,,24/04/2020,09:00:28
15,39,13.0,,,,25/04/2020,17:30:05
16,39,19.0,,,,29/04/2020,00:04:29
17,39,26.0,,,,30/04/2020,17:47:54
18,39,30.0,,,,05/05/2020,17:53:59
19,39,37.0,,,,07/05/2020,20:30:27
20,39,30.0,,,,07/05/2020,21:17:20
21,39,37.0,,,,08/05/2020,18:30:53
22,39,38.0,,,,11/05/2020,17:46:23
23,39,39.0,,,3539907.0,15/05/2020,17:21:00
24,39,39.0,,,3541517.0,27/05/2020,16:10:09
25,39,39.0,0.0,,3541785.0,29/05/2020,00:22:14
26,41,39.0,0.0,,3543529.0,11/06/2020,00:31:17
27,65,39.0,0.0,,3543797.0,13/06/2020,23:02:26
28,96,39.0,0.0,,3543931.0,14/06/2020,20:00:04
29,109,39.0,0.0,,3544066.0,15/06/2020,19:03:30
30,121,39.0,0.0,,3544200.0,16/06/2020,17:16:14
31,131,39.0,0.0,,3544334.0,17/06/2020,17:30:04
32,142,39.0,0.0,,3544468.0,18/06/2020,17:30:05
33,143,39.0,0.0,,3544736.0,20/06/2020,23:40:37
34,144,39.0,0.0,,3545273.0,24/06/2020,20:32:41
35,167,53.0,0.0,,3545675.0,27/06/2020,00:00:20
36,191,53.0,0.0,,3545675.0,27/06/2020,23:54:30
37,203,53.0,0.0,,3546078.0,30/06/2020,19:32:25
38,203,56.0,0.0,,3546346.0,02/07/2020,00:59:49
39,215,56.0,0.0,,3546346.0,02/07/2020,18:31:54
40,232,107.0,0.0,,3547419.0,10/07/2020,00:03:29
41,251,149.0,0.0,,3548224.0,16/07/2020,23:59:27
42,251,155.0,0.0,,3548358.0,17/07/2020,20:32:16
43,261,189.0,0.0,,3549163.0,23/07/2020,18:34:50
44,263,189.0,0.0,,3549431.0,25/07/2020,22:13:46
45,265,191.0,0.0,,3549699.0,27/07/2020,18:01:19
46,279,225.0,0.0,,3550102.0,30/07/2020,23:48:53
47,282,225.0,0.0,,3550638.0,03/08/2020,22:25:57
48,285,245.0,0.0,,3551175.0,07/08/2020,22:53:45
49,285,248.0,0.0,,3551711.0,11/08/2020,03:43:47
50,304,261.0,0.0,,3552650.0,18/08/2020,19:03:47
51,306,274.0,0.0,,3552919.0,20/08/2020,19:16:30
52,315,276.0,0.0,,3553589.0,25/08/2020,19:45:58
53,317,284.0,0.0,,3553992.0,28/08/2020,00:34:43
54,318,284.0,0.0,,3554126.0,29/08/2020,21:17:02
55,319,284.0,0.0,,3554394.0,31/08/2020,20:18:50
56,330,295.0,0.0,,3554797.0,03/09/2020,16:40:12
57,341,295.0,0.0,,3555467.0,08/09/2020,22:32:16
58,361,304.0,0.0,,3555736.0,10/09/2020,17:47:29
59,364,304.0,0.0,,3556406.0,15/09/2020,18:00:04
60,364,305.0,0.0,,3556540.0,16/09/2020,09:13:03
61,364,309.0,0.0,,3557345.0,22/09/2020,19:43:07
62,369,330.0,0.0,,3557614.0,24/09/2020,20:12:48
63,375,341.0,0.0,,3557882.0,26/09/2020,18:49:35
64,381,353.0,0.0,,3558553.0,01/10/2020,16:11:55
65,398,358.0,0.0,,3558821.0,03/10/2020,19:11:00
66,405,364.0,0.0,,3559491.0,08/10/2020,15:37:48
67,414,372.0,0.0,,3559760.0,10/10/2020,22:10:24
68,452,388.0,0.0,,3560967.0,17/10/2020,18:13:13
69,457,391.0,0.0,,3561369.0,23/10/2020,00:00:03
70,461,405.0,0.0,,3561504.0,23/10/2020,16:56:23
71,461,405.0,0.0,,3561504.0,23/10/2020,19:40:35
72,461,405.0,0.0,,3561638.0,24/10/2020,00:00:15
73,461,405.0,0.0,,3561638.0,24/10/2020,18:55:54
74,461,405.0,0.0,,3561772.0,25/10/2020,10:48:21
75,461,405.0,0.0,,3561906.0,26/10/2020,18:33:57
76,461,405.0,0.0,,3562174.0,28/10/2020,16:35:31
77,461,405.0,0.0,,3562174.0,28/10/2020,19:23:48
78,461,405.0,0.0,,3562308.0,29/10/2020,13:45:24
79,461,405.0,0.0,,3562308.0,29/10/2020,16:49:51
80,461,405.0,0.0,,3562443.0,30/10/2020,00:00:12
81,461,405.0,0.0,,3562443.0,30/10/2020,13:29:17
82,463,412.0,0.0,,3562443.0,30/10/2020,18:08:18
83,463,412.0,0.0,,3562577.0,31/10/2020,00:00:11
84,463,412.0,0.0,,3562577.0,31/10/2020,16:54:05
85,463,412.0,0.0,,3562711.0,01/11/2020,23:23:53
86,463,412.0,0.0,,3562845.0,02/11/2020,00:54:04
87,463,412.0,0.0,,3562845.0,02/11/2020,19:34:01
88,480,426.0,0.0,,3562979.0,03/11/2020,00:00:14
89,480,426.0,0.0,,3562979.0,03/11/2020,19:11:50
