,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,27/02/2020,06:21:45
1,2,,,,,03/03/2020,20:41:20
2,3,,,,,05/03/2020,12:44:59
3,5,,,,,05/03/2020,21:15:12
4,10,,,,,06/03/2020,10:40:49
5,12,,,,,10/03/2020,11:21:35
6,13,,,,,10/03/2020,14:17:21
7,16,,,,,11/03/2020,18:37:47
8,17,,,,,12/03/2020,13:50:36
9,19,,,,,12/03/2020,18:10:04
10,27,,,,,12/03/2020,21:33:03
11,41,,,,,13/03/2020,09:15:57
12,68,,,,,13/03/2020,16:44:32
13,79,,,,,13/03/2020,18:38:21
14,109,,,,,14/03/2020,09:39:40
15,115,,,,,14/03/2020,17:43:51
16,115,1.0,,,,15/03/2020,05:20:33
17,135,1.0,,,,15/03/2020,09:56:00
18,171,1.0,,,,15/03/2020,17:41:57
19,205,1.0,,,,16/03/2020,10:06:33
20,225,1.0,,,,17/03/2020,09:07:12
21,258,1.0,,,,18/03/2020,09:03:01
22,267,1.0,,,,19/03/2020,11:18:34
23,283,1.0,,,,20/03/2020,10:00:40
24,306,1.0,,,,21/03/2020,10:01:16
25,306,2.0,,,,21/03/2020,14:42:22
26,326,4.0,,,,22/03/2020,12:05:43
27,352,4.0,,,,23/03/2020,09:30:08
28,369,4.0,,,,24/03/2020,09:01:33
29,369,7.0,,,,24/03/2020,10:31:11
30,404,8.0,,,,25/03/2020,09:30:29
31,404,8.0,1.0,,,25/03/2020,15:28:22
32,538,8.0,1.0,,,26/03/2020,09:20:14
33,575,8.0,1.0,,,27/03/2020,09:30:08
34,575,11.0,1.0,,,27/03/2020,10:29:23
35,645,20.0,1.0,,,28/03/2020,11:02:05
36,679,20.0,3.0,,,29/03/2020,09:31:16
37,715,20.0,3.0,,,30/03/2020,07:31:28
38,745,26.0,4.0,,,31/03/2020,08:58:35
39,779,26.0,4.0,,,01/04/2020,09:39:09
40,779,33.0,5.0,,,01/04/2020,11:05:20
41,858,45.0,11.0,,,02/04/2020,09:01:55
42,961,48.0,12.0,,,03/04/2020,08:57:01
43,961,48.0,12.0,18290.0,,04/04/2020,03:58:25
44,1018,59.0,13.0,19091.0,,04/04/2020,08:59:18
45,1039,59.0,13.0,19091.0,,04/04/2020,15:53:48
46,1097,62.0,15.0,21004.0,,05/04/2020,09:03:07
47,1108,62.0,19.0,21866.0,,06/04/2020,08:07:58
48,1149,69.0,21.0,23546.0,,07/04/2020,09:44:01
49,1185,72.0,24.0,24813.0,,08/04/2020,08:25:58
50,1207,83.0,24.0,26416.0,,09/04/2020,08:24:07
51,1258,93.0,24.0,27883.0,,10/04/2020,09:07:56
52,1304,93.0,24.0,29456.0,,11/04/2020,07:56:12
53,1309,98.0,25.0,30349.0,,12/04/2020,09:20:51
54,1332,102.0,28.0,30764.0,,13/04/2020,11:07:56
55,1373,115.0,31.0,32263.0,,14/04/2020,08:00:04
56,1400,117.0,35.0,33967.0,,15/04/2020,09:36:59
57,1434,133.0,36.0,36024.0,,16/04/2020,10:00:06
58,1459,145.0,38.0,37594.0,,17/04/2020,09:00:05
59,1512,162.0,38.0,39605.0,,18/04/2020,08:32:56
60,1528,164.0,40.0,40333.0,,19/04/2020,08:24:24
61,1535,165.0,40.0,40930.0,,20/04/2020,08:53:42
62,1552,169.0,43.0,42213.0,,21/04/2020,07:00:08
63,1559,184.0,44.0,43637.0,,22/04/2020,09:00:09
64,1592,192.0,45.0,45181.0,,23/04/2020,08:48:28
65,1605,206.0,46.0,46281.0,,24/04/2020,10:02:36
66,1635,228.0,46.0,47331.0,,25/04/2020,10:18:06
67,1643,233.0,49.0,47933.0,,26/04/2020,10:29:04
68,1647,233.0,50.0,48406.0,,27/04/2020,09:31:40
69,1660,240.0,50.0,49527.0,,28/04/2020,02:05:53
70,1666,236.0,50.0,51188.0,,29/04/2020,08:33:02
71,1689,249.0,52.0,52741.0,,30/04/2020,10:00:03
72,1694,253.0,52.0,53767.0,,01/05/2020,08:07:47
73,1699,256.0,53.0,54464.0,,02/05/2020,08:00:16
74,1700,259.0,55.0,55206.0,,03/05/2020,09:22:20
75,1703,259.0,55.0,55784.0,,04/05/2020,08:25:00
76,1711,261.0,55.0,57423.0,,05/05/2020,07:57:05
77,1713,264.0,55.0,58955.0,,06/05/2020,08:30:05
78,1720,273.0,56.0,60530.0,,07/05/2020,08:30:13
79,1725,704.0,56.0,61767.0,,07/05/2020,20:30:27
80,1720,273.0,56.0,60530.0,,07/05/2020,21:17:20
81,1725,273.0,56.0,61767.0,,08/05/2020,08:24:44
82,1725,704.0,56.0,61767.0,,08/05/2020,09:00:53
83,1733,747.0,60.0,62720.0,,09/05/2020,08:02:04
84,1739,750.0,60.0,63372.0,,10/05/2020,08:53:01
85,1741,751.0,61.0,63964.0,,11/05/2020,08:01:59
86,1746,777.0,61.0,64975.0,,12/05/2020,15:39:30
87,1751,777.0,61.0,66102.0,,13/05/2020,09:28:29
88,1758,909.0,62.0,67130.0,,14/05/2020,08:02:26
89,1766,923.0,63.0,68097.0,1326423.0,15/05/2020,08:30:46
90,1770,934.0,63.0,68840.0,1326425.0,16/05/2020,08:16:44
91,1774,938.0,63.0,69520.0,1326428.0,17/05/2020,08:24:55
92,1784,938.0,64.0,69520.0,1326430.0,18/05/2020,08:30:05
93,1784,938.0,64.0,70188.0,1326430.0,18/05/2020,14:45:43
94,1791,938.0,64.0,70188.0,1326433.0,19/05/2020,08:15:47
95,1794,956.0,64.0,72464.0,1326435.0,20/05/2020,09:33:06
96,1800,963.0,64.0,73731.0,1326438.0,21/05/2020,07:23:54
97,1800,1488.0,64.0,73732.0,1326438.0,21/05/2020,22:31:38
98,1807,1508.0,64.0,74604.0,1326440.0,22/05/2020,08:01:12
99,1821,1526.0,64.0,75249.0,1326442.0,23/05/2020,08:00:41
100,1823,1532.0,64.0,75779.0,1326445.0,24/05/2020,08:00:08
101,1824,1538.0,65.0,75779.0,1326447.0,25/05/2020,06:54:19
102,1834,1552.0,65.0,76589.0,1326450.0,26/05/2020,07:56:43
103,1834,1552.0,65.0,78085.0,1326450.0,26/05/2020,08:27:39
104,1840,1561.0,66.0,79605.0,1326452.0,27/05/2020,08:01:11
105,1851,1574.0,66.0,80724.0,1326455.0,28/05/2020,08:25:48
106,1859,1610.0,67.0,80724.0,1326457.0,29/05/2020,07:45:21
107,1859,1610.0,67.0,81719.0,1326457.0,29/05/2020,08:31:35
108,1865,1622.0,67.0,82747.0,1326459.0,30/05/2020,08:10:32
109,1869,1624.0,68.0,82747.0,1326462.0,31/05/2020,07:29:37
110,1869,1624.0,68.0,83440.0,1326462.0,31/05/2020,08:31:11
111,1870,1625.0,68.0,83440.0,1326464.0,01/06/2020,07:38:14
112,1870,1625.0,68.0,84156.0,1326464.0,01/06/2020,10:55:54
113,1870,1632.0,68.0,85175.0,1326467.0,02/06/2020,07:55:00
114,1880,1650.0,69.0,86000.0,1326469.0,03/06/2020,07:59:13
