,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,14/03/2020,09:05:08
1,4,,,,,22/03/2020,05:00:15
2,6,,,,,26/03/2020,22:00:13
3,9,,,,,27/03/2020,16:46:15
4,10,,,,,06/04/2020,14:30:05
5,10,4.0,,,,06/04/2020,19:30:50
6,12,4.0,,,,08/04/2020,16:43:54
7,12,7.0,,,,08/04/2020,18:33:50
8,14,7.0,,,,12/04/2020,06:37:56
9,15,7.0,,714.0,,13/04/2020,11:07:56
10,15,8.0,,714.0,,14/04/2020,13:57:41
11,16,8.0,,714.0,,16/04/2020,07:00:06
12,16,8.0,1.0,714.0,,16/04/2020,15:46:19
13,17,8.0,1.0,714.0,,18/04/2020,01:00:05
14,19,8.0,1.0,714.0,,18/04/2020,06:00:29
15,22,8.0,1.0,714.0,,18/04/2020,17:59:20
16,24,8.0,1.0,714.0,,20/04/2020,14:00:09
17,31,8.0,1.0,714.0,,21/04/2020,18:45:51
18,36,10.0,1.0,714.0,,24/04/2020,11:30:42
19,40,10.0,1.0,714.0,,25/04/2020,11:29:41
20,56,10.0,1.0,714.0,,25/04/2020,17:30:05
21,59,10.0,1.0,714.0,,26/04/2020,13:29:37
22,65,10.0,1.0,714.0,,27/04/2020,15:48:26
23,71,10.0,1.0,714.0,,28/04/2020,13:54:54
24,91,10.0,1.0,714.0,,29/04/2020,18:21:08
25,100,10.0,1.0,714.0,,30/04/2020,14:03:28
26,100,12.0,1.0,714.0,,30/04/2020,14:23:47
27,106,12.0,1.0,714.0,,01/05/2020,15:50:49
28,108,12.0,1.0,714.0,,02/05/2020,14:32:44
29,112,12.0,1.0,714.0,,03/05/2020,15:30:04
30,116,12.0,1.0,714.0,,04/05/2020,16:35:27
31,119,12.0,1.0,714.0,,05/05/2020,17:53:59
32,123,12.0,2.0,714.0,,06/05/2020,17:27:46
33,153,12.0,2.0,714.0,,07/05/2020,17:30:56
34,159,12.0,2.0,714.0,,07/05/2020,20:30:27
35,153,12.0,2.0,714.0,,07/05/2020,21:17:20
36,159,12.0,2.0,714.0,,08/05/2020,17:24:41
37,163,14.0,2.0,714.0,,09/05/2020,21:00:54
38,172,27.0,2.0,714.0,,11/05/2020,00:30:00
39,175,28.0,2.0,714.0,,11/05/2020,17:46:23
40,184,28.0,2.0,714.0,,12/05/2020,20:30:16
41,184,28.0,2.0,2262.0,,12/05/2020,23:44:31
42,187,48.0,2.0,2262.0,,13/05/2020,17:26:38
43,187,51.0,2.0,2262.0,,14/05/2020,22:15:16
44,190,66.0,2.0,4160.0,1158593.0,15/05/2020,18:55:43
45,202,72.0,2.0,4160.0,1158626.0,16/05/2020,17:10:23
46,203,73.0,2.0,4160.0,1158658.0,17/05/2020,17:24:15
47,205,78.0,2.0,4160.0,1158691.0,18/05/2020,18:59:22
48,208,87.0,2.0,4160.0,1158724.0,19/05/2020,16:57:23
49,217,97.0,2.0,4160.0,1158757.0,20/05/2020,22:30:36
50,220,112.0,2.0,4994.0,1158790.0,21/05/2020,17:07:19
51,225,119.0,2.0,4994.0,1158822.0,22/05/2020,17:47:37
52,238,119.0,2.0,4994.0,1158855.0,23/05/2020,17:40:49
53,250,156.0,2.0,4994.0,1158888.0,24/05/2020,18:30:20
54,256,158.0,2.0,4994.0,1158921.0,25/05/2020,18:01:55
55,261,164.0,2.0,4994.0,1158954.0,26/05/2020,17:04:49
56,272,168.0,2.0,4994.0,1158986.0,27/05/2020,17:26:21
57,279,168.0,2.0,4994.0,1159019.0,28/05/2020,17:21:32
58,283,168.0,2.0,4994.0,1159085.0,30/05/2020,17:56:56
59,285,189.0,2.0,4994.0,1159118.0,31/05/2020,17:33:29
60,293,194.0,3.0,4994.0,1159150.0,01/06/2020,17:33:08
61,294,198.0,3.0,4994.0,1159183.0,02/06/2020,18:07:24
62,295,201.0,3.0,6551.0,1159216.0,03/06/2020,18:23:15
63,300,201.0,3.0,6551.0,1159249.0,04/06/2020,17:20:48
64,305,221.0,3.0,6551.0,1159282.0,05/06/2020,18:37:48
65,322,224.0,3.0,6551.0,1159314.0,06/06/2020,19:57:10
66,333,225.0,3.0,6551.0,1159347.0,07/06/2020,16:07:45
67,340,229.0,3.0,6551.0,1159380.0,08/06/2020,18:56:05
68,371,232.0,3.0,6551.0,1159413.0,09/06/2020,17:32:33
69,398,236.0,3.0,6551.0,1159446.0,10/06/2020,17:47:44
70,449,238.0,3.0,6551.0,1159478.0,11/06/2020,18:07:54
71,472,246.0,3.0,6551.0,1159511.0,12/06/2020,17:59:13
72,486,247.0,3.0,6551.0,1159544.0,13/06/2020,19:32:47
73,490,249.0,4.0,6551.0,1159577.0,14/06/2020,18:20:34
74,506,249.0,4.0,6551.0,1159610.0,15/06/2020,19:03:30
75,520,259.0,4.0,6551.0,1159642.0,16/06/2020,17:16:14
76,563,262.0,4.0,6551.0,1159675.0,17/06/2020,17:30:04
77,586,267.0,4.0,6551.0,1159708.0,18/06/2020,18:31:44
78,623,276.0,4.0,6551.0,1159741.0,19/06/2020,19:30:38
79,627,285.0,5.0,6551.0,1159774.0,20/06/2020,18:30:09
80,635,285.0,5.0,6551.0,1159806.0,21/06/2020,19:03:32
81,643,291.0,6.0,6551.0,1159839.0,22/06/2020,18:14:48
82,674,319.0,7.0,6551.0,1159872.0,23/06/2020,19:03:00
83,690,331.0,7.0,6551.0,1159905.0,24/06/2020,19:02:22
84,706,347.0,8.0,6551.0,1159938.0,25/06/2020,16:58:48
85,728,367.0,8.0,6551.0,1159970.0,26/06/2020,23:30:42
86,745,370.0,8.0,6551.0,1160003.0,27/06/2020,19:00:11
87,781,372.0,11.0,11872.0,1160036.0,28/06/2020,19:00:15
88,795,380.0,11.0,11872.0,1160069.0,29/06/2020,18:13:41
89,812,408.0,11.0,11872.0,1160102.0,30/06/2020,17:25:25
90,840,418.0,11.0,11872.0,1160134.0,01/07/2020,19:00:11
91,873,452.0,11.0,11872.0,1160167.0,02/07/2020,17:19:36
92,909,515.0,13.0,11872.0,1160200.0,03/07/2020,17:01:09
93,954,535.0,13.0,11872.0,1160233.0,04/07/2020,17:02:52
94,988,547.0,13.0,11872.0,1160266.0,05/07/2020,16:57:50
95,988,547.0,13.0,14247.0,1160298.0,06/07/2020,14:00:04
96,1011,564.0,13.0,14247.0,1160298.0,06/07/2020,19:00:34
97,1056,570.0,14.0,14247.0,1160331.0,07/07/2020,18:02:32
98,1138,588.0,14.0,14247.0,1160364.0,08/07/2020,19:05:42
99,1138,588.0,16.0,14247.0,1160397.0,09/07/2020,17:30:30
