,totalCases,totalRecoveries,totalDeaths,totalTests,Population,date,time
0,1,,,,,13/03/2020,12:08:22
1,4,,,,,15/03/2020,16:13:43
2,5,,,,,16/03/2020,10:06:33
3,6,,,,,17/03/2020,17:10:01
4,7,,,,,19/03/2020,15:53:36
5,9,,,,,20/03/2020,04:29:06
6,11,,,,,22/03/2020,12:57:16
7,12,,,,,24/03/2020,07:31:53
8,16,,,,,27/03/2020,09:30:08
9,16,1.0,,,,28/03/2020,12:20:21
10,19,1.0,,,,29/03/2020,09:31:16
11,21,1.0,,,,29/03/2020,17:51:10
12,19,1.0,,,,29/03/2020,20:23:18
13,21,1.0,,,,29/03/2020,23:24:59
14,23,1.0,,,,30/03/2020,09:53:29
15,23,4.0,,,,30/03/2020,15:31:51
16,25,4.0,,,,31/03/2020,09:04:58
17,25,2.0,,,,31/03/2020,10:58:49
18,26,2.0,,,,31/03/2020,17:34:40
19,29,4.0,,,,01/04/2020,08:19:46
20,29,2.0,,,,01/04/2020,08:37:54
21,29,3.0,,,,02/04/2020,10:10:41
22,35,3.0,,,,03/04/2020,09:54:51
23,35,3.0,,1222.0,,04/04/2020,03:58:25
24,38,3.0,,1222.0,,04/04/2020,10:33:32
25,38,4.0,,1222.0,,04/04/2020,11:55:34
26,43,4.0,,1843.0,,05/04/2020,10:40:08
27,43,4.0,1.0,1843.0,,05/04/2020,12:59:56
28,43,4.0,2.0,1843.0,,05/04/2020,17:31:47
29,44,4.0,2.0,1843.0,,06/04/2020,10:00:40
30,52,4.0,2.0,1843.0,,07/04/2020,10:39:06
31,52,4.0,2.0,2271.0,,07/04/2020,11:55:46
32,55,4.0,2.0,2271.0,,08/04/2020,10:55:06
33,55,4.0,2.0,2496.0,,08/04/2020,11:21:44
34,56,4.0,2.0,2790.0,,09/04/2020,11:33:21
35,65,4.0,2.0,2790.0,,10/04/2020,10:20:54
36,65,4.0,2.0,3232.0,,10/04/2020,11:00:35
37,65,4.0,3.0,3232.0,,10/04/2020,16:07:54
38,69,10.0,3.0,3577.0,,11/04/2020,10:41:23
39,71,10.0,3.0,3863.0,,12/04/2020,10:00:05
40,74,14.0,3.0,4110.0,,13/04/2020,11:07:56
41,82,14.0,3.0,4557.0,,14/04/2020,10:18:41
42,85,15.0,3.0,4988.0,,15/04/2020,08:59:40
43,92,15.0,3.0,5389.0,,16/04/2020,10:00:06
44,96,15.0,3.0,6231.0,,17/04/2020,11:00:04
45,105,16.0,3.0,6890.0,,18/04/2020,10:00:05
46,108,16.0,3.0,7557.0,,19/04/2020,10:20:53
47,111,16.0,3.0,7953.0,,20/04/2020,10:00:05
48,114,16.0,3.0,8698.0,,21/04/2020,10:04:39
49,116,21.0,3.0,9771.0,,22/04/2020,11:00:06
50,116,21.0,3.0,10736.0,,23/04/2020,10:25:04
51,117,21.0,3.0,10736.0,,24/04/2020,07:58:26
52,117,25.0,3.0,11669.0,,24/04/2020,10:02:36
53,122,29.0,3.0,12688.0,,25/04/2020,11:13:12
54,123,41.0,3.0,13645.0,,26/04/2020,10:29:04
55,124,50.0,3.0,14588.0,,27/04/2020,10:02:06
56,126,50.0,3.0,15668.0,,28/04/2020,02:05:53
57,130,58.0,3.0,16434.0,,29/04/2020,08:33:02
58,131,59.0,3.0,17842.0,,30/04/2020,09:43:06
59,133,66.0,3.0,18754.0,,01/05/2020,09:30:54
60,133,69.0,3.0,19857.0,,02/05/2020,09:42:14
61,133,69.0,3.0,20770.0,,02/05/2020,11:41:59
62,135,75.0,3.0,22330.0,,03/05/2020,08:49:12
63,140,75.0,3.0,24088.0,,04/05/2020,10:00:35
64,145,91.0,4.0,25135.0,,05/05/2020,10:00:04
65,162,93.0,4.0,26517.0,,06/05/2020,10:11:59
66,187,93.0,4.0,28360.0,,07/05/2020,10:03:25
67,191,93.0,4.0,28360.0,,07/05/2020,17:52:15
68,191,93.0,4.0,28445.0,,07/05/2020,17:59:54
69,194,95.0,4.0,30306.0,,07/05/2020,20:30:27
70,191,93.0,4.0,28445.0,,07/05/2020,21:17:20
71,194,95.0,4.0,30306.0,,08/05/2020,10:30:05
72,210,97.0,5.0,32689.0,,09/05/2020,11:00:08
73,239,99.0,5.0,34860.0,,10/05/2020,09:30:35
74,241,99.0,5.0,34860.0,,10/05/2020,18:00:36
75,239,99.0,5.0,34860.0,,10/05/2020,21:01:06
76,250,105.0,5.0,36624.0,,11/05/2020,09:47:35
77,261,106.0,5.0,39048.0,,12/05/2020,15:39:30
78,263,108.0,5.0,41689.0,,13/05/2020,10:05:30
79,272,108.0,5.0,45278.0,,14/05/2020,10:00:04
80,287,112.0,5.0,48985.0,114568201.0,15/05/2020,09:30:11
81,306,113.0,5.0,53029.0,114576005.0,16/05/2020,10:56:02
82,317,113.0,5.0,57254.0,114583809.0,17/05/2020,11:05:24
83,352,116.0,5.0,59029.0,114591613.0,18/05/2020,11:30:04
84,365,120.0,5.0,62300.0,114599417.0,19/05/2020,11:05:40
85,389,122.0,5.0,65760.0,114607221.0,20/05/2020,13:20:53
86,398,123.0,5.0,69507.0,114615025.0,21/05/2020,07:23:54
87,399,123.0,5.0,69519.0,114615025.0,21/05/2020,19:46:04
88,429,128.0,5.0,73164.0,114622829.0,22/05/2020,11:32:24
89,433,128.0,5.0,73205.0,114622829.0,22/05/2020,16:52:39
90,494,151.0,5.0,76962.0,114630633.0,23/05/2020,11:00:20
91,582,152.0,5.0,81010.0,114638437.0,24/05/2020,11:30:23
92,655,159.0,5.0,83854.0,114646241.0,25/05/2020,12:01:24
93,701,167.0,6.0,87264.0,114654045.0,26/05/2020,10:54:33
94,731,181.0,6.0,91616.0,114661849.0,27/05/2020,11:02:35
95,831,191.0,7.0,96566.0,114669653.0,28/05/2020,10:49:24
96,968,197.0,8.0,101581.0,114677457.0,29/05/2020,11:33:37
97,1063,208.0,8.0,106615.0,114685261.0,30/05/2020,11:26:14
98,1172,209.0,11.0,109451.0,114693065.0,31/05/2020,11:56:54
99,1257,217.0,12.0,112377.0,114700869.0,01/06/2020,11:59:06
100,1344,231.0,14.0,116309.0,114708673.0,02/06/2020,11:21:37
101,1486,246.0,17.0,120429.0,114716477.0,03/06/2020,12:00:27
102,1636,250.0,18.0,125570.0,114724281.0,04/06/2020,11:32:51
103,1805,262.0,19.0,131368.0,114732085.0,05/06/2020,11:38:59
104,1934,281.0,20.0,136868.0,114739889.0,06/06/2020,11:58:43
105,2020,344.0,27.0,142960.0,114747693.0,07/06/2020,12:00:04
106,2156,361.0,27.0,147735.0,114755497.0,08/06/2020,12:25:29
107,2336,379.0,32.0,152334.0,114763301.0,09/06/2020,12:21:23
108,2506,401.0,35.0,158521.0,114771105.0,10/06/2020,11:12:00
109,2670,434.0,40.0,165151.0,114778909.0,11/06/2020,12:02:00
110,2915,451.0,47.0,170860.0,114786713.0,12/06/2020,12:30:45
111,3166,495.0,55.0,176504.0,114794517.0,13/06/2020,19:32:47
112,3345,545.0,57.0,181349.0,114802321.0,14/06/2020,13:30:58
113,3521,620.0,60.0,186985.0,114810125.0,15/06/2020,13:03:06
114,3630,738.0,61.0,192087.0,114817929.0,16/06/2020,12:00:17
115,3759,849.0,63.0,197361.0,114825733.0,17/06/2020,13:03:13
116,3954,934.0,65.0,202214.0,114833537.0,18/06/2020,12:53:27
117,4070,1027.0,72.0,207023.0,114841341.0,19/06/2020,13:00:44
118,4070,1029.0,72.0,207023.0,114841341.0,19/06/2020,22:00:35
119,4469,1029.0,72.0,211871.0,114849145.0,20/06/2020,15:00:04
120,4469,1122.0,72.0,211871.0,114849145.0,20/06/2020,16:54:02
121,4532,1213.0,74.0,216328.0,114856949.0,21/06/2020,12:32:03
122,4663,1297.0,75.0,219566.0,114864753.0,22/06/2020,13:30:04
123,4848,1412.0,75.0,223341.0,114872557.0,23/06/2020,14:17:21
